date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,2,1,3,0,151000,60000,211000,0,1367456000,543360000,1910816000,0,9056.0,9056.0,9056.0,,-60000.0
2020-10-18,9,2,2,0,14957,130000,144957,0,135809560,1180400000,1316209560,0,9080.0,9080.0,9080.0,,-130000.0
2020-10-14,3,1,1,0,16457,50000,66457,0,149627044,454600000,604227044,0,9092.0,9092.0,9092.0,,-50000.0
2020-10-13,17,1,2,0,139755,50000,189755,0,1253742105,448550000,1702292105,0,8971.0,8971.0,8971.0,,-50000.0
2020-10-12,9,1,2,0,21113,50000,71113,0,193606210,458500000,652106210,0,9170.0,9170.0,9170.0,,-50000.0
2020-10-11,19,1,1,0,63316,50000,113316,0,581874040,459500000,1041374040,0,9190.0,9190.0,9190.0,,-50000.0
2020-10-10,12,2,7,0,75450,70000,145450,0,695271750,645050000,1340321750,0,9215.0,9215.0,9215.0,,-70000.0
2020-10-07,34,1,7,0,2455193,400000,2855193,0,23086179779,3761200000,26847379779,0,9403.0,9403.0,9403.0,,-400000.0
2020-10-05,4,0,1,0,20000,0,20000,0,192060000,0,192060000,0,9603.0,9603.0,,,0.0
2020-10-04,5,0,1,0,7513,0,7513,0,72154852,0,72154852,0,9604.0,9604.0,,,0.0
2020-10-03,12,1,3,0,46691,20000,66691,0,448980656,192320000,641300656,0,9616.0,9616.0,9616.0,,-20000.0
2020-09-30,12,2,12,0,1056999,100000,1156999,0,10371274188,981200000,11352474188,0,9812.0,9812.0,9812.0,,-100000.0
2020-09-29,1,1,1,0,500,20000,20500,0,5010000,200400000,205410000,0,10020.0,10020.0,10020.0,,-20000.0
2020-09-28,0,1,1,0,0,20000,20000,0,0,200480000,200480000,0,,10024.0,10024.0,,-20000.0
2020-09-27,7,1,8,0,565684,20000,585684,0,5739995548,202940000,5942935548,0,10147.0,10147.0,10147.0,,-20000.0
2020-09-26,7,1,1,0,16537,10000,26537,0,164559687,99510000,264069687,0,9951.0,9951.0,9951.0,,-10000.0
2020-09-23,3,0,1,0,4794,0,4794,0,48702246,0,48702246,0,10159.0,10159.0,,,0.0
2020-09-22,5,1,2,0,114221,50000,164221,0,1164368874,509700000,1674068874,0,10194.0,10194.0,10194.0,,-50000.0
2020-09-21,5,5,3,0,403161,433641,836802,0,4184004858,4500326298,8684331156,0,10378.0,10378.0,10378.0,,-433641.0
2020-09-20,1,0,1,0,1000,0,1000,0,10378000,0,10378000,0,10378.0,10378.0,,,0.0
2020-09-19,4,0,1,0,20095,0,20095,0,208626290,0,208626290,0,10382.0,10382.0,,,0.0
2020-09-16,18,0,6,0,126130,0,126130,0,1289805380,0,1289805380,0,10226.0,10226.0,,,0.0
2020-09-15,19,4,4,0,228162,557000,785162,0,2423993088,5917568000,8341561088,0,10624.0,10624.0,10624.0,,-557000.0
2020-09-14,8,4,4,0,193608,63000,256608,0,2068507872,673092000,2741599872,0,10684.0,10684.0,10684.0,,-63000.0
2020-09-13,4,1,1,0,23060,62934,85994,0,246857300,673708470,920565770,0,10705.0,10705.0,10705.0,,-62934.0
2020-09-12,2,1,2,0,510000,100000,610000,0,5534010000,1085100000,6619110000,0,10851.0,10851.0,10851.0,,-100000.0
2020-09-08,8,1,3,0,12741,99990,112731,0,136112103,1068193170,1204305273,0,10683.0,10683.0,10683.0,,-99990.0
