date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,32,1,106,1,241870,1970238,2206108,6000,1907620857,15484100442,17343481299,48240000,7886.967614834415,7861.574002270061,7859.0,8040.0,-1964238.0
2020-10-18,104,2,116,1,857662,572686,1355348,75000,7030700078,4681636800,11081586878,630750000,8197.51846065233,8176.193035294256,8174.875586272407,8410.0,-497686.0
2020-10-14,153,1,220,1,3509493,175835,2885328,800000,29540929040,1405811005,24149408407,6797331638,8417.434951430307,8369.727257005095,7995.057895185828,8496.6645475,624165.0
2020-10-13,175,1,176,1,1890100,1007912,2831094,66918,15658281562,8204384160,23293167122,569498600,8284.36673297709,8227.620531850938,8139.980633229885,8510.394811560418,-940994.0
2020-10-12,205,1,166,1,3167807,225000,1892807,1500000,27052089383,1892250000,16095339383,12849000000,8539.689881043889,8503.423425103563,8410.0,8566.0,1275000.0
2020-10-11,112,0,51,1,2035517,0,535517,1500000,16792979550,0,4417979550,12375000000,8249.982461458194,8249.933335449668,,8250.0,1500000.0
2020-10-10,114,0,86,1,2402068,0,902068,1500000,18953374206,0,7098204469,11855169737,7890.440323088273,7868.813070633256,,7903.446491333333,1500000.0
2020-10-07,139,1,125,1,2262806,144855,1051351,1356310,17145260673,1071927000,7918793373,10298394300,7576.99098950595,7532.016779362934,7400.0,7592.9502104976,1211455.0
2020-10-05,103,2,108,1,1069874,460692,1079874,450692,7661623470,3245170296,7646247162,3260546604,7161.239052449167,7080.68456319904,7044.121226329087,7234.53401436014,-10000.0
2020-10-04,109,2,146,1,1453270,510500,1794509,169261,10676865599,3718840650,13127941359,1267764890,7346.787313437971,7315.617452461927,7284.702546523016,7490.0,-341239.0
2020-10-03,129,1,219,1,1735581,400000,1799808,335773,13314226607,2988283360,13698838297,2603671670,7671.336922333213,7611.277590165173,7470.7084,7754.261569572301,-64227.0
2020-09-30,21,1,61,0,246300,400000,646300,0,1859318700,3019600000,4878918700,0,7549.0,7549.0,7549.0,,-400000.0
2020-09-29,14,1,9,0,40054,400000,440054,0,305171426,3047600000,3352771426,0,7619.0,7619.0,7619.0,,-400000.0
2020-09-28,8,1,16,0,15544,400000,415544,0,119440096,3073600000,3193040096,0,7684.0,7684.0,7684.0,,-400000.0
2020-09-27,12,1,8,0,41794,400000,441794,0,324070676,3101600000,3425670676,0,7754.0,7754.0,7754.0,,-400000.0
2020-09-26,27,1,35,0,188273,400000,588273,0,1477789277,3139600000,4617389277,0,7849.183244543828,7849.058646240776,7849.0,,-400000.0
2020-09-23,56,1,70,0,611813,400000,1011813,0,4917372308,3213600000,8130972308,0,8037.37793737629,8036.04253750446,8034.0,,-400000.0
2020-09-22,28,1,42,0,349148,400000,749148,0,2854048041,3269200000,6123248041,0,8174.32160860151,8173.615949051456,8173.0,,-400000.0
2020-09-21,21,1,64,0,290366,400000,690366,0,2411199264,3321600000,5732799264,0,8304.0,8304.0,8304.0,,-400000.0
2020-09-20,29,1,74,0,380548,400000,780548,0,3217603340,3382000000,6599603340,0,8455.183945257892,8455.089680583385,8455.0,,-400000.0
2020-09-19,54,1,151,0,746913,400000,1146913,0,6492758552,3470400000,9963158552,0,8692.790930135103,8686.934886953064,8676.0,,-400000.0
2020-09-16,171,1,280,0,1913645,400000,2313645,0,17363571222,3765000000,21128571222,0,9073.559213960792,9132.157795167366,9412.5,,-400000.0
2020-09-15,191,2,222,1,1940757,270000,2172765,37992,17984939583,2473270000,20103008468,355201115,9266.971384361876,9252.270019077074,9160.25925925926,9349.366050747525,-232008.0
2020-09-14,150,1,304,0,3083799,400000,3483799,0,27659650058,3546000000,31205650058,0,8969.342702945296,8957.362367346681,8865.0,,-400000.0
2020-09-13,49,1,125,1,781637,400000,1179405,2232,7138872915,3652400000,10770892523,20380392,9133.233092855124,9132.479956418703,9131.0,9131.0,-397768.0
2020-09-12,143,0,196,1,2503835,0,2103835,400000,24065457637,0,20197457637,3868000000,9611.43910720954,9600.30498446884,,9670.0,400000.0
2020-09-09,47,1,17,0,184870,400000,584870,0,1767726940,3824800000,5592526940,0,9562.0,9562.0,9562.0,,-400000.0
2020-09-08,16,1,18,0,226176,400000,626176,0,2200240128,3891200000,6091440128,0,9728.0,9728.0,9728.0,,-400000.0
2020-09-07,17,1,22,0,63429,400000,463429,0,624965937,3941200000,4566165937,0,9853.0,9853.0,9853.0,,-400000.0
2020-09-06,86,1,122,2,659926,400000,1048067,11859,6710862641,4053600000,10644283535,120179106,10169.11387185836,10156.109805002925,10134.0,10134.0,-388141.0
2020-09-05,91,1,69,1,543968,400000,943568,400,5681831946,4153600000,9831214346,4217600,10445.158439467028,10419.190080630118,10384.0,10544.0,-399600.0
2020-09-02,35,1,19,0,132487,400000,532487,0,1396942928,4217600000,5614542928,0,10544.0,10544.0,10544.0,,-400000.0
2020-09-01,62,1,73,0,445367,400000,845367,0,4812447592,4321600000,9134047592,0,10805.57740470219,10804.831028417244,10804.0,,-400000.0
2020-08-31,278,2,320,1,4267870,109215,3977085,400000,48503483537,1272955105,44981638642,4794800000,11364.798725593797,11310.202985855218,11655.497001327656,11987.0,290785.0
2020-08-26,226,2,197,1,2556871,69810,2426681,200000,29209534335,779213480,27693747815,2295000000,11423.937435639107,11412.191307798594,11161.917776822806,11475.0,130190.0
2020-08-25,347,1,454,1,3843099,400000,4143099,100000,42096303838,4276400000,45250198336,1122505502,10953.73911470925,10921.824058754088,10691.0,11225.05502,-300000.0
2020-08-24,40,1,64,0,635849,400000,1035849,0,7023588054,4418400000,11441988054,0,11046.0,11046.0,11046.0,,-400000.0
2020-08-23,57,1,74,0,468198,400000,868198,0,5314983696,4540800000,9855783696,0,11352.0,11352.0,11352.0,,-400000.0
2020-08-22,126,1,110,1,1061705,400000,1361705,100000,12649712207,4744419750,16178131957,1216000000,11914.526358074983,11880.790594879214,11861.049375,12160.0,-300000.0
2020-08-19,97,1,120,0,1055791,400000,1455791,0,13080970217,4938000000,18018970217,0,12389.734537422653,12377.443064972926,12345.0,,-400000.0
2020-08-18,749,2,557,0,6613237,400400,7013637,0,85838330485,5295286800,91133617285,0,12979.775333168916,12993.774454680219,13224.992007992008,,-400400.0
2020-08-17,459,1,306,1,3226279,2232,2228511,1000000,43186620375,29877552,29830497927,13386000000,13385.89141701632,13385.84280131442,13386.0,13386.0,997768.0
2020-08-16,222,2,303,1,2983456,109752,2093208,1000000,38068095451,1368186575,26659682026,12776600000,12759.730812520782,12736.279445712036,12466.165309060427,12776.6,890248.0
2020-08-15,527,2,806,2,6411209,351400,6698076,64533,78131105896,4162605620,81470414916,823296600,12186.64153609717,12163.256271801036,11845.775811041549,12757.761145460461,-286867.0
2020-08-12,504,1,844,0,9308951,400000,9708951,0,115937143859,4954000000,120891143859,0,12454.37255594105,12451.514469379854,12385.0,,-400000.0
2020-08-11,110,1,37,0,1794097,400000,2194097,0,23387848492,5214400000,28602248492,0,13036.0,13036.0,13036.0,,-400000.0
2020-08-10,113,1,46,0,329573,400000,729573,0,4414630335,5358000000,9772630335,0,13395.0,13395.0,13395.0,,-400000.0
2020-08-09,193,1,59,0,675759,400000,1075759,0,9424135014,5578400000,15002535014,0,13946.0,13946.0,13946.0,,-400000.0
2020-08-05,360,1,201,0,1722642,400000,2122642,0,25286661918,5871600000,31158261918,0,14679.0,14679.0,14679.0,,-400000.0
2020-08-04,1613,1,773,1,12052503,9086,11661589,400000,186220517206,141478106,180133595312,6228400000,15450.77542863918,15446.745320213224,15571.0,15571.0,390914.0
2020-08-03,624,0,258,1,4774860,0,2774860,2000000,70812752796,0,41142752796,29670000000,14830.330689486183,14826.965250859503,,14835.0,2000000.0
2020-08-02,564,0,375,1,4449334,0,4049334,400000,62865930230,0,57203530230,5662400000,14129.289963396768,14126.651501209828,,14156.0,400000.0
2020-08-01,1834,0,1481,1,18938236,0,18538236,400000,255325375740,0,249712975740,5612400000,13482.004118018172,13470.158419603678,,14031.0,400000.0
2020-07-29,129,0,266,2,4332758,0,932758,3400000,57898645154,0,12464445154,45434200000,13363.0,13363.0,,13363.0,3400000.0
2020-07-28,69,0,240,1,1658948,0,658948,1000000,21232875452,0,8433875452,12799000000,12799.0,12799.0,,12799.0,1000000.0
2020-07-27,391,0,249,3,4370228,0,967875,3402353,53273079320,0,11798396250,41474683070,12190.0,12190.0,,12190.0,3402353.0
