date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,217,4,94,1,334912,245245,486557,93600,26765759480,19564365800,38864589280,7465536000,79918.78308331741,79876.74471850164,79774.77950620808,79760.0,-151645.0
2020-10-18,309,3,209,2,549105,320952,833057,37000,46092317180,26953137400,69955132730,3090321850,83940.80764152575,83974.0050560766,83978.71768987263,83522.21216216216,-283952.0
2020-10-14,339,3,281,4,903163,556990,1394061,66092,78290734920,49925566870,122262067050,5954234740,86685.05565440569,87702.0926989565,89634.58387044651,90090.0977425407,-490898.0
2020-10-13,255,5,276,0,250952,195500,446452,0,22633891250,17582958090,40216849340,0,90192.11343205076,90081.01506992913,89938.40455242967,,-195500.0
2020-10-12,476,10,249,2,1042678,1540141,2383969,198850,93709572520,138127887290,214050202590,17787257220,89873.93281530828,89787.32634107239,89685.22186604992,89450.62720643701,-1341291.0
2020-10-11,531,4,386,2,913127,296786,1192332,17581,86098758130,27808909720,112232384110,1675283740,94290.01456533429,94128.46766672369,93700.20728740573,95289.44542403732,-279205.0
2020-10-10,327,4,401,2,375496,873933,1149429,100000,35054442070,82580716010,108228108080,9407050000,93355.03459424335,94158.14989877582,94493.18884857306,94070.5,-773933.0
2020-10-07,330,4,310,2,347800,316366,637166,27000,33869286460,30828588710,62081075170,2616800000,97381.50218516389,97433.12601425688,97445.96040661765,96918.51851851853,-289366.0
2020-10-06,301,5,480,3,765809,1050715,1593758,222766,74548030050,101442983590,154517353340,21473660300,97345.4608786264,96951.57818188207,96546.62167190913,96395.59133799592,-827949.0
2020-10-05,233,5,187,0,407962,811000,1218962,0,39063298900,77564050000,116627348900,0,95752.29776302695,95677.5920004069,95640.01233045623,,-811000.0
2020-10-03,489,4,545,7,1232437,256684,1017382,471739,129706313880,27051817060,106975520780,49782610160,105243.76814392947,105147.84100760579,105389.5726262642,105529.98619999619,215055.0
2020-09-30,375,3,574,4,833695,538528,950273,421950,83597304260,54329853960,95176193720,42750964500,100273.24652300902,100156.68520519893,100885.84801533067,101317.60753643796,-116578.0
2020-09-29,345,4,555,4,1226157,169494,1098206,297445,118364293480,16316839520,105817049980,28864083020,96532.73885807446,96354.4635341639,96267.94765596422,97040.06797895409,127951.0
2020-09-28,114,6,404,1,127063,1338618,1459047,6634,11758888850,123721907510,134851229760,629566600,92543.76844557424,92424.18493715419,92425.10373385088,94900.0,-1331984.0
2020-09-27,235,2,264,1,356928,350000,700226,6702,34496770450,33621000000,67473976330,643794120,96649.1013593778,96360.28415111692,96060.0,96060.0,-343298.0
2020-09-26,562,7,798,6,1607264,290443,1111758,785949,162554152810,29330898810,112292236920,79592814700,101137.1826968065,101004.20857776602,100986.76439094762,101269.69396233089,495506.0
2020-09-23,297,51,564,6,743580,1308000,1031558,1020022,71657117430,126294466390,99458259500,98493324320,96367.73101750988,96415.57672956829,96555.40243883792,96560.0,-287978.0
