date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,4,0,1,0,52847,0,52847,0,344139664,0,344139664,0,6512.0,6512.0,,,0.0
2020-10-18,38,0,1,0,132426,0,132426,0,846466992,0,846466992,0,6392.0,6392.0,,,0.0
2020-10-14,27,0,2,0,105490,0,105490,0,689271660,0,689271660,0,6534.0,6534.0,,,0.0
2020-10-13,77,0,15,0,1148799,0,1148799,0,7599305385,0,7599305385,0,6615.0,6615.0,,,0.0
2020-10-12,138,0,4,0,633808,0,633808,0,4221161280,0,4221161280,0,6660.0,6660.0,,,0.0
2020-10-11,527,0,123,0,8682441,0,8682441,0,59605507998,0,59605507998,0,6865.06340762926,6865.06340762926,,,0.0
2020-10-05,36,0,2,0,232962,0,232962,0,1614193698,0,1614193698,0,6929.0,6929.0,,,0.0
2020-10-04,57,0,3,0,221862,0,221862,0,1541053452,0,1541053452,0,6946.0,6946.0,,,0.0
2020-10-03,148,0,10,0,1008335,0,1008335,0,6987761550,0,6987761550,0,6930.0,6930.0,,,0.0
2020-09-30,24,0,1,0,155098,0,155098,0,1099179526,0,1099179526,0,7087.0,7087.0,,,0.0
2020-09-29,15,0,1,0,18448,0,18448,0,130759424,0,130759424,0,7088.0,7088.0,,,0.0
2020-09-28,10,0,1,0,19732,0,19732,0,139899880,0,139899880,0,7090.0,7090.0,,,0.0
2020-09-27,24,0,1,0,53452,0,53452,0,371544852,0,371544852,0,6951.0,6951.0,,,0.0
2020-09-26,24,0,1,0,119341,0,119341,0,848156487,0,848156487,0,7107.0,7107.0,,,0.0
2020-09-23,33,0,2,0,122004,0,122004,0,868180464,0,868180464,0,7116.0,7116.0,,,0.0
2020-09-22,14,0,3,0,60019,0,60019,0,427395299,0,427395299,0,7121.0,7121.0,,,0.0
2020-09-21,34,0,2,0,120008,0,120008,0,838855920,0,838855920,0,6990.0,6990.0,,,0.0
2020-09-20,20,0,3,0,69661,0,69661,0,497588523,0,497588523,0,7143.0,7143.0,,,0.0
2020-09-19,43,0,5,0,247570,0,247570,0,1773096340,0,1773096340,0,7162.0,7162.0,,,0.0
2020-09-16,167,0,21,0,1177624,0,1177624,0,8554260736,0,8554260736,0,7264.0,7264.0,,,0.0
