date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,99,3,149,11,77304,1976600,613242,1440662,6325057180,161737982000,50185081970,117877957210,81820.56788781952,81835.68961356202,81826.35940503895,81822.07707984246,-535938.0
2020-10-18,144,2,141,20,128179,1559707,553586,1134300,11061727110,134291269640,47684523260,97668473490,86299.05920626623,86137.51659182133,86100.31861112376,86104.62266596139,-425407.0
2020-10-14,81,3,172,3,59343,156284,179441,36186,5375121450,14079325080,16184807380,3269639150,90577.17759466154,90195.70432621308,90088.07734636943,90356.46797103852,-120098.0
2020-10-13,96,5,169,7,88348,744186,126512,706022,7950695640,67631749830,11449506520,64132938950,89992.93294698239,90501.34785632984,90880.16951407309,90837.02625413939,-38164.0
2020-10-12,122,3,213,6,226180,71433,205902,91711,20612803960,6497134810,18805521100,8304417670,91134.51215845786,91332.38676652,90954.24817661305,90549.85410692284,20278.0
2020-10-11,186,5,298,3,800345,133596,621154,312787,72609273710,12069356130,56176688800,28501941040,90722.46807314346,90439.22891907643,90342.19684721099,91122.52440158957,179191.0
2020-10-10,120,2,157,1,152298,70000,221626,672,13199715700,6085531120,19226110820,59136000,86670.3154342145,86750.24960970283,86936.15885714286,88000.0,-69328.0
2020-10-07,183,2,158,3,163199,100000,219902,43297,14372818800,8805664440,19328107810,3850375430,88069.28228726891,87894.18836572656,88056.6444,88929.38148139593,-56703.0
2020-10-06,214,1,206,3,339122,150,331872,7400,29549618740,12900000,28926153390,636365350,87135.65837663141,87160.57211816603,86000.0,85995.31756756757,7250.0
2020-10-05,178,3,153,4,258297,74431,128621,204107,22326280540,6421966750,11125336020,17622911270,86436.468638815,86497.04185164164,86280.8070561997,86341.53297045178,129676.0
2020-10-03,272,1,277,3,483879,43132,484326,42685,45151516960,3931716560,45138464390,3944769130,93311.58607833777,93198.51585502327,91155.44282667161,92415.8165631955,-447.0
2020-09-30,226,4,295,3,719156,318600,773388,264368,66177838890,29428707240,71076369990,24530176140,92021.53481303083,91902.60256171547,92368.82372881356,92787.99302487442,-54232.0
2020-09-29,262,2,259,5,467228,56827,427152,96903,41485014920,4923028080,37843581800,8564461200,88789.65926699598,88595.117897142,86631.84894504373,88381.7962292189,40076.0
2020-09-28,123,2,199,1,130483,391144,514627,7000,11339571800,33990413600,44721685400,608300000,86904.59140271146,86901.16414412769,86900.0,86900.0,-384144.0
2020-09-27,132,3,125,0,238664,140500,379164,0,21308402050,12541030000,33849432050,0,89282.01174035465,89273.85524469623,89260.0,,-140500.0
2020-09-26,250,1,319,3,295582,38562,326264,7880,27872518900,3594007880,30723768680,742758100,94297.07796821187,94168.43010568128,93200.76448316996,94258.6421319797,-30682.0
2020-09-23,311,1,326,3,749998,2000,579305,172693,70318359930,188360000,54283760190,16222959740,93758.06326150203,93704.97439172801,94180.0,93941.0383744564,170693.0
2020-09-22,271,1,270,1,344654,100000,442837,1817,31276036620,9011483550,40121264670,166255500,90746.1878289531,90600.52495613511,90114.8355,91500.0,-98183.0
2020-09-21,236,8,317,4,521540,913656,1047919,387277,46006358370,80586548910,92474139300,34118767980,88212.52132147102,88245.50303983419,88202.28719561848,88099.13312693499,-526379.0
2020-09-20,231,3,316,1,298079,277476,575495,60,27360673430,25411300830,52766393660,5580600,91790.00677672698,91688.70912866315,91580.17569087056,93010.0,-277416.0
2020-09-19,545,5,635,3,983782,1449468,1815616,617634,94176324560,140371396100,174229584220,60318136440,95728.85513253952,95961.69246140153,96843.3908854835,97660.0,-831834.0
2020-09-16,60,2,256,3,631664,134854,238797,527721,58751068640,12542770540,22210508970,49083330210,93010.0,93010.0,93010.0,93010.0,392867.0
2020-09-08,37,4,68,1,15695,560500,113019,463176,1195488150,42693285000,8608657230,35280115920,76170.0,76170.0,76170.0,76170.0,-97324.0
2020-09-07,99,4,48,2,154642,386500,290467,250675,12245724200,30587669590,22994636780,19838757010,79187.57000038799,79164.36903331532,79140.15417852522,79141.34640470729,-135825.0
2020-09-06,218,4,251,2,395835,250116,530689,115262,32896617950,20884623740,44243505010,9537736680,83106.89542359821,83369.93043006356,83499.75107550097,82748.31843972862,-134854.0
2020-09-05,266,5,261,5,808500,195527,681721,322306,67555281960,16446702050,57325788300,26676195710,83556.31658627087,84089.80844069642,84114.73632797516,82766.67424745428,126779.0
2020-09-02,144,3,246,1,323145,275298,558443,40000,26721833500,22709551620,46137385120,3294000000,82693.01242476288,82617.89496868972,82490.79768105835,82350.0,-235298.0
2020-09-01,227,3,273,2,330212,512315,338560,503967,28036950860,44992972070,28750654710,44279268220,84905.91153561954,84920.41206876181,87822.86692757385,87861.44374532459,-8348.0
2020-08-31,284,1,381,6,793076,500000,1011951,281125,68501475280,43264766270,87440801300,24325440250,86374.41465887254,86408.13764698093,86529.53254,86528.91151622943,-218875.0
2020-08-26,299,2,122,4,816002,2720,251480,567242,67243036880,223815400,20681111840,46785740440,82405.48047676354,82237.6007634802,82285.07352941176,82479.33058553492,564522.0
2020-08-25,406,1,126,3,1385562,28234,211916,1201880,108852341090,2219050610,16562760270,94508631430,78561.86954463243,78157.19563411918,78594.9780406602,78633.9995923054,1173646.0
2020-08-24,136,5,367,2,601947,1242761,1746882,97826,45300928860,92973899290,130991682450,7283145700,75257.33803806647,74985.99358743177,74812.37284562357,74450.0,-1144935.0
2020-08-23,134,6,273,2,121110,1286048,1063747,343411,9503685300,100758230980,83379703200,26882213080,78471.5159772108,78383.02077467668,78347.17753925204,78280.0,-942637.0
2020-08-22,149,3,204,2,203837,78602,253687,28752,16704023050,6386763470,20730928380,2359858140,81947.94394540736,81718.52865933217,81254.46515355843,82076.31260434056,-49850.0
2020-08-19,194,5,196,3,334867,367679,670361,32185,27716429930,30400758140,55458639740,2658548330,82768.4720500975,82729.51400812398,82682.8786523027,82602.09196830822,-335494.0
2020-08-18,425,1,194,3,361832,100684,375691,86825,31982415630,8759742390,33056334930,7685823090,88390.2353302085,87988.09375257858,87002.32797663979,88520.85332565506,-13859.0
2020-08-17,363,2,324,2,514347,123070,550719,86698,43702120330,10578507530,46810786430,7469841430,84966.21994490101,84999.40337994513,85955.20866173723,86159.32812752313,-36372.0
2020-08-16,317,3,354,4,1354311,436576,805694,985193,111185626930,35786809440,66212619340,80759817030,82097.5587808118,82180.8519611664,81971.54548119915,81973.60012708169,548617.0
