date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,2,1,1,0,2735,5000,7735,0,66058455,120765000,186823455,0,24153.0,24153.0,24153.0,,-5000.0
2020-10-05,17,0,1,0,36320,0,36320,0,861510400,0,861510400,0,23720.0,23720.0,,,0.0
2020-10-04,18,0,4,0,125350,0,125350,0,3050266900,0,3050266900,0,24334.0,24334.0,,,0.0
2020-10-03,7,0,2,0,3168,0,3168,0,77099616,0,77099616,0,24337.0,24337.0,,,0.0
2020-09-29,5,0,1,0,2144,0,2144,0,51108672,0,51108672,0,23838.0,23838.0,,,0.0
2020-09-28,1,0,1,0,307,0,307,0,7472380,0,7472380,0,24340.0,24340.0,,,0.0
2020-09-27,2,0,1,0,2215,0,2215,0,53917530,0,53917530,0,24342.0,24342.0,,,0.0
2020-09-26,2,0,3,0,15341,0,15341,0,373645396,0,373645396,0,24356.0,24356.0,,,0.0
2020-09-23,1,0,1,0,233,0,233,0,5674948,0,5674948,0,24356.0,24356.0,,,0.0
2020-09-19,10,0,1,0,9759,0,9759,0,232927812,0,232927812,0,23868.0,23868.0,,,0.0
2020-09-16,5,0,2,0,22225,0,22225,0,542089975,0,542089975,0,24391.0,24391.0,,,0.0
2020-09-15,8,0,1,0,4762,0,4762,0,116173752,0,116173752,0,24396.0,24396.0,,,0.0
2020-09-14,7,1,6,0,125598,5000,130598,0,3079286166,122585000,3201871166,0,24517.0,24517.0,24517.0,,-5000.0
2020-09-02,7,0,1,0,7346,0,7346,0,180153304,0,180153304,0,24524.0,24524.0,,,0.0
2020-09-01,10,0,1,0,8048,0,8048,0,197433536,0,197433536,0,24532.0,24532.0,,,0.0
2020-08-31,161,1,273,0,1793591,10000,1803591,0,45358948408,254500000,45613448408,0,25289.46031062823,25290.350422019183,25450.0,,-10000.0
2020-08-26,614,2,819,1,4855683,80000,4928683,7000,125669496067,2055920000,127545523067,179893000,25880.910279151256,25878.21595890829,25699.0,25699.0,-73000.0
2020-08-25,53,1,6,0,203145,45000,248145,0,5386389675,1193175000,6579564675,0,26515.0,26515.0,26515.0,,-45000.0
2020-08-24,8,0,1,0,19958,0,19958,0,529645404,0,529645404,0,26538.0,26538.0,,,0.0
2020-08-23,7,1,6,0,47525,29835,77360,0,1265305600,794327040,2059632640,0,26624.0,26624.0,26624.0,,-29835.0
2020-08-22,39,2,6,0,202367,30250,232617,0,5363737335,801776250,6165513585,0,26505.0,26505.0,26505.0,,-30250.0
2020-08-19,21,0,1,0,68765,0,68765,0,1866557160,0,1866557160,0,27144.0,27144.0,,,0.0
2020-08-18,123,1,4,0,386163,50000,436163,0,10686674862,1383700000,12070374862,0,27674.0,27674.0,27674.0,,-50000.0
2020-08-17,48,0,4,0,127867,0,127867,0,3558538610,0,3558538610,0,27830.0,27830.0,,,0.0
2020-08-16,56,1,6,0,189741,50000,239741,0,5263794822,1387100000,6650894822,0,27742.0,27742.0,27742.0,,-50000.0
2020-08-15,28,0,7,0,50300,0,50300,0,1427966700,0,1427966700,0,28389.0,28389.0,,,0.0
2020-08-12,47,0,3,0,136930,0,136930,0,3911816240,0,3911816240,0,28568.0,28568.0,,,0.0
2020-08-11,37,0,3,0,49345,0,49345,0,1412846040,0,1412846040,0,28632.0,28632.0,,,0.0
2020-08-10,74,0,1,0,166182,0,166182,0,4719568800,0,4719568800,0,28400.0,28400.0,,,0.0
2020-08-09,117,1,11,0,357623,250,357873,0,10542010794,7369500,10549380294,0,29478.0,29478.0,29478.0,,-250.0
2020-08-05,129,0,9,0,258265,0,258265,0,7716699935,0,7716699935,0,29879.0,29879.0,,,0.0
2020-08-04,170,0,95,1,566966,0,466966,100000,17455749208,0,14376949208,3078800000,30788.0,30788.0,,30788.0,100000.0
2020-08-03,232,0,74,0,599717,0,599717,0,19035017580,0,19035017580,0,31740.0,31740.0,,,0.0
2020-08-02,186,0,6,0,244863,0,244863,0,8037872838,0,8037872838,0,32826.0,32826.0,,,0.0
2020-08-01,220,0,13,0,488085,0,488085,0,16439678970,0,16439678970,0,33682.0,33682.0,,,0.0
2020-07-29,431,0,133,0,1756600,0,1756600,0,60994546972,0,60994546972,0,34723.071258112264,34723.071258112264,,,0.0
2020-07-28,24,0,169,0,614677,0,614677,0,21960565179,0,21960565179,0,35727.0,35727.0,,,0.0
2020-07-27,16,0,169,0,722280,0,722280,0,25053726360,0,25053726360,0,34687.0,34687.0,,,0.0
2020-07-26,24,0,141,1,1161172,0,561172,600000,38360478192,0,18538878192,19821600000,33036.0,33036.0,,33036.0,600000.0
2020-07-25,8,0,121,0,451130,0,451130,0,14593604370,0,14593604370,0,32349.0,32349.0,,,0.0
2020-07-22,26,0,126,1,1471157,0,321157,1150000,46204627899,0,10086577899,36118050000,31407.0,31407.0,,31407.0,1150000.0
2020-07-21,8,0,123,0,562940,0,562940,0,17352062560,0,17352062560,0,30824.0,30824.0,,,0.0
2020-07-20,14,0,109,0,499496,0,499496,0,14798567992,0,14798567992,0,29627.0,29627.0,,,0.0
2020-07-19,21,0,135,0,374732,0,374732,0,10933555564,0,10933555564,0,29177.0,29177.0,,,0.0
2020-07-18,189,0,252,0,1770055,0,1770055,0,50142118040,0,50142118040,0,28328.0,28328.0,,,0.0
2020-07-15,163,0,165,0,1799190,0,1799190,0,49483122570,0,49483122570,0,27503.0,27503.0,,,0.0
2020-07-14,21,0,140,0,1289854,0,1289854,0,33786435676,0,33786435676,0,26194.0,26194.0,,,0.0
2020-07-13,6,1,121,0,449500,161832,611332,0,11527427500,4150181640,15677609140,0,25645.0,25645.0,25645.0,,-161832.0
2020-07-12,4,0,100,0,417424,0,417424,0,10550809024,0,10550809024,0,25276.0,25276.0,,,0.0
2020-07-11,193,0,244,0,1664871,0,1664871,0,40855345830,0,40855345830,0,24539.64651315327,24539.64651315327,,,0.0
2020-07-08,392,0,503,0,4107491,0,4107491,0,96034628416,0,96034628416,0,23380.36246847528,23380.36246847528,,,0.0
2020-07-07,6,0,190,1,757343,0,657343,100000,17440094604,0,15137294604,2302800000,23028.0,23028.0,,23028.0,100000.0
2020-07-06,13,0,153,0,339119,0,339119,0,7728522010,0,7728522010,0,22790.0,22790.0,,,0.0
2020-07-05,297,0,262,0,1396713,0,1396713,0,30904411722,0,30904411722,0,22126.529732307208,22126.529732307208,,,0.0
2020-07-04,452,0,444,2,2694676,0,2604048,90628,56888711634,0,54972835714,1915875920,21111.521991512152,21110.530878847087,,21140.0,90628.0
2020-07-01,265,0,552,1,2405164,0,2404964,200,49364948331,0,49360858481,4089850,20524.566445780827,20524.57270919648,,20449.25,200.0
2020-06-30,281,0,385,0,1582543,0,1582543,0,31812474153,0,31812474153,0,20102.12307216929,20102.12307216929,,,0.0
2020-06-29,435,0,392,0,2454545,0,2454545,0,48050849693,0,48050849693,0,19576.275722384395,19576.275722384395,,,0.0
2020-06-28,567,0,358,0,2809582,0,2809582,0,56437387275,0,56437387275,0,20087.467557451608,20087.467557451608,,,0.0
2020-06-27,631,0,365,0,2836772,0,2836772,0,57691202160,0,57691202160,0,20336.91892051952,20336.91892051952,,,0.0
2020-06-24,370,0,316,0,2142108,0,2142108,0,44691313287,0,44691313287,0,20863.23998930026,20863.23998930026,,,0.0
2020-06-23,302,1,281,0,1493015,81000,1574015,0,31729493557,1721493000,33450986557,0,21251.958993714063,21252.01256468331,21253.0,,-81000.0
2020-06-22,282,0,368,0,2281738,0,2281738,0,47081756973,0,47081756973,0,20634.164383903848,20634.164383903848,,,0.0
2020-06-21,729,0,421,0,3564404,0,3564404,0,71503438575,0,71503438575,0,20060.41923839161,20060.41923839161,,,0.0
2020-06-20,744,0,413,0,2871447,0,2871447,0,59240136173,0,59240136173,0,20630.760788201907,20630.760788201907,,,0.0
2020-06-16,633,0,408,0,2452481,0,2452481,0,50253007119,0,50253007119,0,20490.68152576921,20490.68152576921,,,0.0
2020-06-15,607,0,502,0,3613310,0,3613310,0,74499762663,0,74499762663,0,20618.148640166495,20618.148640166495,,,0.0
2020-06-14,585,0,339,0,1782533,0,1782533,0,37615743904,0,37615743904,0,21102.410953401704,21102.410953401704,,,0.0
2020-06-13,249,0,201,0,972993,0,972993,0,21155190740,0,21155190740,0,21742.38739641498,21742.38739641498,,,0.0
2020-06-10,134,0,129,0,716174,0,716174,0,15257370896,0,15257370896,0,21304.0,21304.0,,,0.0
2020-06-09,193,1,157,0,922684,100000,1022684,0,19086081217,2069100000,21155181217,0,20685.39306739902,20685.941324006242,20691.0,,-100000.0
2020-06-08,457,0,367,0,2776749,0,2776749,0,55782517623,0,55782517623,0,20089.146560600184,20089.146560600184,,,0.0
2020-06-07,367,0,279,0,2009825,0,2009825,0,39777224514,0,39777224514,0,19791.38706802831,19791.38706802831,,,0.0
2020-06-06,461,0,326,0,2484678,0,2484678,0,48010492029,0,48010492029,0,19322.621292980417,19322.621292980417,,,0.0
2020-06-02,275,0,228,0,1448314,0,1448314,0,28211567958,0,28211567958,0,19478.903026553635,19478.903026553635,,,0.0
2020-06-01,230,0,315,0,2066361,0,2066361,0,40075440481,0,40075440481,0,19394.210634540625,19394.210634540625,,,0.0
2020-05-31,216,0,73,0,782337,0,782337,0,15238750110,0,15238750110,0,19478.498537075455,19478.498537075455,,,0.0
2020-05-30,349,0,306,0,1586344,0,1586344,0,31436077200,0,31436077200,0,19816.683644909303,19816.683644909303,,,0.0
2020-05-27,418,0,395,0,2961097,0,2961097,0,57587271497,0,57587271497,0,19447.951720933153,19447.951720933153,,,0.0
2020-05-26,59,0,2,0,147434,0,147434,0,2930693052,0,2930693052,0,19878.0,19878.0,,,0.0
2020-05-23,376,0,275,0,1466575,0,1466575,0,30052779498,0,30052779498,0,20491.812214172478,20491.812214172478,,,0.0
