date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-14,2372,1,998,1,2455874,50000,2505798,76,328261716166,6849065964,335100716690,10065440,133663.9079065131,133730.13973592446,136981.31928,132440.0,-49924.0
2020-09-13,763,0,113,0,443314,0,443314,0,60528116502,0,60528116502,0,136535.5402761925,136535.5402761925,,,0.0
2020-09-12,1765,0,811,1,1523628,0,1512800,10828,214420149248,0,212934384538,1485764710,140729.98740374946,140755.14578133263,,137215.06372367934,10828.0
2020-09-09,764,1,101,0,463866,100,463966,0,65458450590,14111500,65472562090,0,141115.0,141115.0,141115.0,,-100.0
2020-09-08,239,0,52,0,144936,0,144936,0,20775271176,0,20775271176,0,143341.0,143341.0,,,0.0
2020-09-07,777,1,205,0,624383,76,624459,0,92267574504,11153000,92278727504,0,147774.0017008791,147773.8770743956,146750.0,,-76.0
2020-09-06,1584,0,756,2,1822764,0,1506765,315999,274738771048,0,227243622333,47495148715,150726.46324373313,150815.57000129417,,150301.57916638977,315999.0
2020-09-05,1753,0,1034,1,1742356,0,1742231,125,256403797615,0,256385858865,17938750,147159.24737252318,147159.5091953937,,143510.0,125.0
2020-09-02,219,0,34,0,161946,0,161946,0,23360386608,0,23360386608,0,144248.0,144248.0,,,0.0
2020-09-01,331,0,119,1,203919,0,175919,28000,30073458246,0,25944829407,4128628839,147477.47020140348,147481.67853955514,,147451.02996428573,28000.0
2020-08-31,1278,2,694,1,1570020,29483,1571503,28000,238771682723,4370595730,238748742453,4393536000,152081.93699634398,151923.82225996387,148241.21459824307,156912.0,-1483.0
2020-08-26,1283,1,349,0,1246069,40000,1286069,0,189828636543,6093680000,195922316543,0,152341.99433819475,152341.99451429123,152342.0,,-40000.0
2020-08-25,1989,0,993,6,2090983,0,2045244,45739,309267435566,0,302319554936,6947880630,147905.28453172502,147815.88648395985,,151902.76634819302,45739.0
2020-08-24,343,0,87,0,252447,0,252447,0,37860233931,0,37860233931,0,149973.0,149973.0,,,0.0
2020-08-23,510,0,220,0,376023,0,376023,0,58137245431,0,58137245431,0,154610.87601290346,154610.87601290346,,,0.0
2020-08-22,1237,1,538,0,959467,125,959592,0,152589592882,19937500,152609530382,0,159035.79058164585,159035.85105128013,159500.0,,-125.0
2020-08-19,770,1,356,1,627341,22000,649158,183,101137378616,3546576000,104654453552,29501064,161215.95530341554,161215.68794037815,161208.0,161208.0,-21817.0
2020-08-18,2129,5,1186,1,2088766,92000,2160949,19817,354600642315,15457660590,366709212925,3349089980,169765.61391510585,169698.2265314915,168018.04989130434,169000.85684008678,-72183.0
2020-08-17,385,0,20,0,180764,0,180764,0,30935047140,0,30935047140,0,171135.0,171135.0,,,0.0
2020-08-16,300,1,13,0,88348,30,88378,0,15263883960,5183100,15269067060,0,172770.0,172770.0,172770.0,,-30.0
2020-08-15,425,1,32,0,221235,250,221485,0,38976076125,44043750,39020119875,0,176175.0,176175.0,176175.0,,-250.0
2020-08-12,635,0,86,1,303640,0,273640,30000,56309127080,0,50745717080,5563410000,185447.0,185447.0,,185447.0,30000.0
2020-08-11,478,0,86,0,304059,0,304059,0,58130607738,0,58130607738,0,191182.0,191182.0,,,0.0
2020-08-10,1993,2,1317,2,3271250,20250,3269300,22200,644749379563,3986465635,644364433798,4371411400,197095.7216852885,197095.53537393326,196862.50049382716,196910.42342342343,1950.0
2020-08-09,4387,5,2528,2,4971669,739960,5651629,60000,1010820496098,148208731360,1147101968573,11927258885,203316.12907013722,202968.37753734365,200292.89604843504,198787.64808333333,-679960.0
2020-08-05,606,0,766,1,1309409,0,1309400,9,268245527740,0,268243684000,1843740,204860.0,204860.0,,204860.0,9.0
2020-08-04,52,0,385,0,396411,0,396411,0,77341768155,0,77341768155,0,195105.0,195105.0,,,0.0
2020-08-03,82,0,388,0,437872,0,437872,0,82943027856,0,82943027856,0,189423.0,189423.0,,,0.0
2020-08-02,78,0,249,1,398285,0,395454,2831,73247001210,0,72726363324,520637886,183906.0,183906.0,,183906.0,2831.0
2020-08-01,589,0,386,1,886654,0,886201,453,158312071700,0,158231188550,80883150,178550.0,178550.0,,178550.0,453.0
2020-07-29,173,1,436,1,493229,23437,498666,18000,83872604992,3985414976,84797155968,3060864000,170048.0,170048.0,170048.0,170048.0,-5437.0
2020-07-28,483,1,363,2,615654,42100,642354,15400,101642012784,6950541600,106050075984,2542478400,165096.0,165096.0,165096.0,165096.0,-26700.0
2020-07-27,797,1,737,0,1318082,40000,1358082,0,211219293625,6464893440,217684187065,0,160247.46079910052,160287.95541432698,161622.336,,-40000.0
2020-07-26,3390,4,2230,2,4872057,31582,4794990,108649,765452638119,4991486525,753468517248,16975607396,157110.77233271286,157136.61910619208,158048.46194034576,156242.6473874587,77067.0
2020-07-25,807,0,27,0,424980,0,424980,0,69816564360,0,69816564360,0,164282.0,164282.0,,,0.0
2020-07-22,704,2,73,0,375377,6000,381377,0,63574599474,1016172000,64590771474,0,169362.0,169362.0,169362.0,,-6000.0
2020-07-21,1183,3,358,0,698290,475000,1173290,0,121921434000,82935000000,204856434000,0,174600.0,174600.0,174600.0,,-475000.0
2020-07-20,311,2,111,0,271499,50100,321599,0,48869820000,9018000000,57887820000,0,180000.0,180000.0,180000.0,,-50100.0
2020-07-13,1817,3,902,0,2042645,50028,2092673,0,370153941740,9059726064,379213667804,0,181213.0554942244,181210.1880245982,181093.10913888222,,-50028.0
2020-07-12,3081,4,2101,6,4356706,152000,4471911,36795,813133908522,28609760857,834902253322,6841416057,186639.60995348322,186699.21054376976,188222.11090131578,185933.3077048512,-115205.0
2020-07-11,578,0,88,0,484298,0,484298,0,92826850554,0,92826850554,0,191673.0,191673.0,,,0.0
2020-07-08,372,0,96,0,526173,0,526173,0,106161190653,0,106161190653,0,201761.0,201761.0,,,0.0
2020-07-07,412,1,38,0,254028,210000,464028,0,52838078028,43680210000,96518288028,0,208001.0,208001.0,208001.0,,-210000.0
2020-07-06,1239,1,169,1,679354,18517,677871,20000,145665236799,3981568622,145359153086,4287652335,214417.27994388787,214434.83064771912,215022.33741966842,214382.61675,1483.0
2020-07-05,1292,2,718,2,1533427,346158,1876551,3034,338430342818,76260473656,414021789110,669027364,220701.95895728978,220629.1164535363,220305.39134152612,220510.00791034938,-343124.0
2020-07-01,1158,1,1027,2,1580053,730,1568340,12443,340749489821,157429610,338223499380,2683420051,215657.0,215657.0,215657.0,215657.0,11713.0
2020-06-30,1694,6,1648,1,2376313,335407,2711650,70,498264333597,69505369349,567754869946,14833000,209679.5891774358,209376.16209540318,207226.94919605137,211900.0,-335337.0
2020-06-29,1286,4,1161,0,1194708,904854,2099562,0,246031542017,187102123887,433133665904,0,205934.4559649722,206297.1543131377,206776.0366722145,,-904854.0
2020-06-28,1086,3,1674,1,1046938,1974035,3017967,3006,215909256596,409682633452,624979068448,612821600,206229.2672498276,207086.11739227103,207535.6482797924,203866.13439787092,-1971029.0
2020-06-27,1622,0,541,0,1192537,0,1192537,0,241307127770,0,241307127770,0,202347.7072577203,202347.7072577203,,,0.0
2020-06-24,1760,1,856,3,2737729,10000,1894671,853058,562461574133,2057700000,388985529473,175533744660,205448.2288542803,205305.052683553,205770.0,205770.0,843058.0
2020-06-23,322,0,416,0,654633,0,654633,0,128289738276,0,128289738276,0,195972.0,195972.0,,,0.0
2020-06-22,300,0,329,0,593604,0,593604,0,112942065060,0,112942065060,0,190265.0,190265.0,,,0.0
2020-06-21,496,0,370,0,769867,0,769867,0,142212911708,0,142212911708,0,184724.0,184724.0,,,0.0
2020-06-20,1029,0,759,0,1721713,0,1721713,0,308778905783,0,308778905783,0,179344.00552414948,179344.00552414948,,,0.0
2020-06-16,1032,2,279,0,910651,131180,1041831,0,157117348983,22632878940,179750227923,0,172533.0,172533.0,172533.0,,-131180.0
2020-06-15,728,0,181,0,573653,0,573653,0,102035085457,0,102035085457,0,177869.0,177869.0,,,0.0
2020-06-14,1078,2,550,1,904274,707900,1581478,30696,165823702206,129801251900,289996504850,5628449256,183377.7176010811,183370.55896446237,183361.0,183361.0,-677204.0
2020-06-13,736,0,258,0,545638,0,545638,0,103142545859,0,103142545859,0,189031.0899515796,189031.0899515796,,,0.0
2020-06-09,1538,2,696,0,1111080,557082,1668162,0,203866721760,101674116058,305540837818,0,183485.18716924073,183160.17138503335,182511.93910052738,,-557082.0
2020-06-08,1692,3,1485,1,2516428,1910000,4419428,7000,472890319850,357715738680,829267722436,1338336094,187921.25975787902,187641.4147794692,187285.72705759163,191190.87057142856,-1903000.0
2020-06-07,687,2,225,0,342904,550000,892904,0,65281034808,104707350000,169988384808,0,190377.0,190377.0,190377.0,,-550000.0
2020-06-06,642,1,189,0,613613,2270,615883,0,120430141832,445519280,120875661112,0,196264.0,196264.0,196264.0,,-2270.0
2020-06-02,1531,5,807,1,1941697,272675,2213801,571,392992492677,55051365482,447924519159,119339000,202396.40514302696,202332.7838224845,201893.7030604199,209000.0,-272104.0
2020-05-30,302,0,133,1,317022,0,307022,10000,65089264559,0,63037994559,2051270000,205314.66131372587,205320.77362208572,,205127.0,10000.0
2020-05-27,1043,3,517,0,738790,119500,858290,0,156301593525,25202191500,181503785025,0,211564.30585822763,211471.3966433257,210897.0,,-119500.0
2020-05-26,850,5,718,0,974788,576500,1551288,0,211670031699,125609487500,337279519199,0,217144.68345835197,217419.0216123634,217882.8924544666,,-576500.0
2020-05-23,960,8,828,0,728628,545675,1274303,0,153751915863,116048892125,269800807988,0,211015.65663548477,211724.21942661988,212670.3479635314,,-545675.0
2020-05-20,784,1,508,2,797204,10000,686337,120867,165631089060,2077650000,142596806805,25111932255,207765.0,207765.0,207765.0,207765.0,110867.0
2020-05-19,532,2,400,1,610777,4009850,620627,4000000,123188153053,808858922300,125175075353,806872000000,201690.88399366708,201691.31435306554,201718.0,201718.0,-9850.0
2020-05-18,1300,5,1269,2,1422412,1092000,2508696,5716,276633235237,215797527791,491277829714,1152933314,194481.79236184733,195829.95696329887,197616.78369139193,201702.8191042687,-1086284.0
2020-05-17,285,5,141,0,155223,495000,650223,0,30777150771,98147115000,128924265771,0,198277.0,198277.0,198277.0,,-495000.0
2020-05-16,236,0,21,0,197214,0,197214,0,41143179108,0,41143179108,0,208622.0,208622.0,,,0.0
2020-05-13,655,1,367,1,673106,400000,1030955,42151,144767599844,86029600000,221731615670,9065584174,215074.0,215074.0,215074.0,215074.0,-357849.0
2020-05-12,723,1,640,2,511428,3200000,1524806,2186622,111027472190,711887726685,331923691085,490991507790,217093.0652799612,217682.5714779454,222464.9145890625,224543.38600361653,-1013378.0
2020-05-11,1727,2,600,0,907289,39259,946548,0,199497362832,8821327008,208318689840,0,219882.92906890748,220082.5418679243,224695.66234494,,-39259.0
2020-05-10,1158,3,547,0,878257,313220,1191477,0,192765162537,68705790433,261470952970,0,219486.05309949137,219451.11233368333,219353.1397516123,,-313220.0
2020-05-09,680,3,396,1,708795,525819,1209599,25015,151273083335,112387934109,258276038394,5384979050,213422.89848969024,213522.0336607421,213738.82288201834,215270.0,-500804.0
2020-04-27,1025,0,421,1,811808,0,809808,2000,169844319771,0,169425029771,419290000,209217.35160407386,209216.29543175668,,209645.0,2000.0
2020-04-26,1019,2,513,1,799492,155000,953492,1000,162740810491,31535404061,194072311552,203903000,203555.27071065127,203538.47913983546,203454.21974838708,203903.0,-154000.0
2020-04-25,1126,2,612,1,1018597,210043,1226640,2000,202239192322,41098773438,242955275328,382690432,198546.8171632157,198065.67153198982,195668.37951276643,191345.216,-208043.0
2020-04-22,1178,3,768,1,1039822,355236,1369870,25188,202364573258,68229476504,265681332325,4912717437,194614.62948273838,193946.3834706943,192068.02380389374,195041.98177703668,-330048.0
2020-04-21,1626,3,644,2,1255116,113396,1363213,5299,248628434353,22345856340,269930275597,1044015096,198091.9965588838,198010.34438271934,197060.35786094746,197021.15418003398,-108097.0
2020-04-20,708,0,366,1,732727,0,732724,3,144912844692,0,144912249417,595275,197771.94602082358,197771.94334701743,,198425.0,3.0
2020-04-19,1129,0,345,2,1390762,0,1369131,21631,267924635393,0,263839689933,4084945460,192645.92747932428,192705.94992955387,,188846.81521889882,21631.0
2020-04-18,102,0,101,0,190525,0,190525,0,35442984700,0,35442984700,0,186028.0,186028.0,,,0.0
2020-04-15,88,0,163,0,188469,0,188469,0,34096680666,0,34096680666,0,180914.0,180914.0,,,0.0
2020-04-14,330,1,215,1,503453,25000,478453,50000,88429002185,4391125000,84037877185,8782250000,175645.0,175645.0,175645.0,175645.0,25000.0
2020-04-13,34,1,106,0,143582,50000,193582,0,24522513362,8539550000,33062063362,0,170791.0,170791.0,170791.0,,-50000.0
2020-04-12,96,1,118,0,314178,2588,316766,0,51103879302,420961492,51524840794,0,162659.0,162659.0,162659.0,,-2588.0
2020-04-11,609,3,306,0,887093,210000,1097093,0,140178141335,33076563246,173254704581,0,158019.66798858743,157921.62066570474,157507.44402857142,,-210000.0
2020-04-08,110,0,125,1,261951,0,261939,12,40236721404,0,40234878156,1843248,153604.0,153604.0,,153604.0,12.0
2020-04-07,20,0,137,1,200066,0,184027,16039,29836042646,0,27444130537,2391912109,149131.0,149131.0,,149131.0,16039.0
2020-04-06,62,0,100,1,160611,0,160601,10,22943120739,0,22941692249,1428490,142849.0,142849.0,,142849.0,10.0
2020-04-05,149,0,91,1,200520,0,117621,82899,27809918280,0,16312738869,11497179411,138689.0,138689.0,,138689.0,82899.0
2020-04-04,10,0,73,0,105785,0,105785,0,14442085555,0,14442085555,0,136523.0,136523.0,,,0.0
2020-03-30,95,0,111,0,283634,0,283634,0,37594835798,0,37594835798,0,132547.0,132547.0,,,0.0
2020-03-29,77,0,96,0,161580,0,161580,0,20511934680,0,20511934680,0,126946.0,126946.0,,,0.0
2020-03-28,76,0,88,1,200012,0,97842,102170,24651278988,0,12058928658,12592350330,123249.0,123249.0,,123249.0,102170.0
2020-03-25,111,2,90,1,194851,5149,149660,50340,23315870660,616129340,17908315600,6023684400,119660.0,119660.0,119660.0,119660.0,45191.0
2020-03-24,116,1,87,1,192432,8568,167374,33626,22355787600,995387400,19444674450,3906500550,116175.0,116175.0,116175.0,116175.0,25058.0
