date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,14,0,2,0,42175,0,42175,0,249844700,0,249844700,0,5924.0,5924.0,,,0.0
2020-10-18,28,0,5,0,198697,0,198697,0,1156416540,0,1156416540,0,5820.0,5820.0,,,0.0
2020-10-14,44,0,5,0,233223,0,233223,0,1389076188,0,1389076188,0,5956.0,5956.0,,,0.0
2020-10-13,121,1,60,0,836353,1000000,1836353,0,5069135533,6061000000,11130135533,0,6061.0,6061.0,6061.0,,-1000000.0
2020-10-12,506,1,409,0,9611304,1000000,10611304,0,60053806096,6244000000,66297806096,0,6248.247490246901,6247.847210484216,6244.0,,-1000000.0
2020-10-11,2170,1,1492,2,52818215,500000,51716010,1602205,340124335082,3071500000,332755778969,10440056113,6439.527255550003,6434.289477649185,6143.0,6516.055132146012,1102205.0
2020-10-10,2706,0,2444,3,87417277,0,85569984,1847293,553519389112,0,541311517015,12207872097,6331.9221109117825,6325.950896695271,,6608.5196538935625,1847293.0
2020-10-07,1225,0,584,3,17203913,0,17078606,125307,108464544948,0,107681013791,783531157,6304.6438881666045,6305.023594490089,,6252.892152872545,125307.0
2020-10-05,23,0,4,0,199645,0,199645,0,1250576280,0,1250576280,0,6264.0,6264.0,,,0.0
2020-10-04,31,0,2,0,104334,0,104334,0,654278514,0,654278514,0,6271.0,6271.0,,,0.0
2020-10-03,130,0,13,0,1032253,0,1032253,0,6448484491,0,6448484491,0,6247.0,6247.0,,,0.0
2020-09-30,23,0,5,0,102011,0,102011,0,651340235,0,651340235,0,6385.0,6385.0,,,0.0
2020-09-29,9,0,3,0,81039,0,81039,0,517839210,0,517839210,0,6390.0,6390.0,,,0.0
2020-09-28,5,0,1,0,25601,0,25601,0,163641592,0,163641592,0,6392.0,6392.0,,,0.0
2020-09-27,13,0,5,0,634197,0,634197,0,4012564419,0,4012564419,0,6327.0,6327.0,,,0.0
2020-09-26,17,0,22,0,1461290,0,1461290,0,9583139820,0,9583139820,0,6558.0,6558.0,,,0.0
2020-09-23,50,0,2,0,156779,0,156779,0,1029724472,0,1029724472,0,6568.0,6568.0,,,0.0
2020-09-22,24,0,2,0,154826,0,154826,0,1018600254,0,1018600254,0,6579.0,6579.0,,,0.0
2020-09-21,24,0,7,0,140368,0,140368,0,906636912,0,906636912,0,6459.0,6459.0,,,0.0
2020-09-20,23,0,2,0,55832,0,55832,0,368379536,0,368379536,0,6598.0,6598.0,,,0.0
2020-09-19,44,0,2,0,120899,0,120899,0,798658794,0,798658794,0,6606.0,6606.0,,,0.0
2020-09-16,723,0,487,1,10503637,0,9703637,800000,71526657677,0,65948657677,5578000000,6809.703884187925,6796.2824327620665,,6972.5,800000.0
2020-09-15,3399,1,2530,4,89798552,280000,90044402,34150,620516673187,1932723038,622214442925,234953300,6910.096648184261,6910.084681610746,6902.582278571429,6880.038067349927,-245850.0
2020-09-14,48,0,1,0,130934,0,130934,0,921120690,0,921120690,0,7035.0,7035.0,,,0.0
2020-09-13,26,0,1,0,158342,0,158342,0,1115994416,0,1115994416,0,7048.0,7048.0,,,0.0
2020-09-12,108,0,1,0,326904,0,326904,0,2312191992,0,2312191992,0,7073.0,7073.0,,,0.0
2020-09-09,75,0,5,0,477423,0,477423,0,3337186770,0,3337186770,0,6990.0,6990.0,,,0.0
2020-09-08,19,0,1,0,50671,0,50671,0,361841611,0,361841611,0,7141.0,7141.0,,,0.0
2020-09-07,29,0,2,0,69057,0,69057,0,493481322,0,493481322,0,7146.0,7146.0,,,0.0
2020-09-06,61,0,4,0,273726,0,273726,0,1962341694,0,1962341694,0,7169.0,7169.0,,,0.0
2020-09-05,69,0,23,0,1313337,0,1313337,0,9456026400,0,9456026400,0,7200.0,7200.0,,,0.0
2020-09-02,35,0,1,0,86673,0,86673,0,637826607,0,637826607,0,7359.0,7359.0,,,0.0
2020-09-01,40,0,6,0,235952,0,235952,0,1741089808,0,1741089808,0,7379.0,7379.0,,,0.0
2020-08-31,565,0,328,2,10667034,0,10167034,500000,81143935763,0,77241435763,3902500000,7606.982012338201,7597.243774634766,,7805.0,500000.0
2020-08-26,759,0,745,1,14845877,0,12845877,2000000,113818763793,0,98460213793,15358550000,7666.691822450099,7664.732722647119,,7679.275,2000000.0
2020-08-25,1910,1,1927,1,40134098,5000,40069098,70000,299405528423,36785000,298925393423,516920000,7460.1285027758695,7460.2476308051655,7357.0,7384.571428571428,65000.0
2020-08-24,48,0,7,0,481964,0,481964,0,3641719984,0,3641719984,0,7556.0,7556.0,,,0.0
2020-08-23,62,0,2,0,201345,0,201345,0,1524987030,0,1524987030,0,7574.0,7574.0,,,0.0
2020-08-22,288,0,375,1,8579956,0,8569956,10000,66989268750,0,66911228750,78040000,7807.647119635579,7807.651375339617,,7804.0,10000.0
2020-08-19,159,0,30,0,718234,0,718234,0,5579959946,0,5579959946,0,7769.0,7769.0,,,0.0
2020-08-18,1998,3,1232,1,22152828,101300,22234128,20000,181131120329,845257950,181807878279,168500000,8176.433290097319,8176.973627164511,8344.106120434353,8425.0,-81300.0
2020-08-17,348,0,160,1,4247213,0,4247113,100,34746449553,0,34745631453,818100,8181.0,8181.0,,8181.0,100.0
