date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,32282,19,13201,9,21696668,231857,21456838,471687,4001241511840,42615190670,3958254504420,85602198090,184417.3267452864,184475.2010720312,183799.45686349776,181480.9356416437,239830.0
2020-10-18,25390,17,13023,8,16795768,437089,16893192,339665,3338322385880,86663973250,3358395074950,66591284180,198759.7343497481,198801.68738684792,198275.34724049334,196049.88497490174,-97424.0
2020-10-14,23072,15,15792,12,23866638,113043,23899001,80680,5063240385260,24115937660,5070202652760,17153670160,212147.1983301544,212151.23815259055,213334.19725237298,212613.66088249875,-32363.0
2020-10-13,19553,39,21855,15,33790816,365423,34046463,109776,7514424763540,80824242330,7570754711130,24494294740,222380.68366090953,222365.3808364763,221179.95399851678,223129.7800976534,-255647.0
2020-10-12,29907,25,27914,14,44075768,889460,44851252,113976,9995761415850,201516695970,10171496458530,25781653290,226785.87054569303,226782.88799006102,226560.71770512447,226202.47499473573,-775484.0
2020-10-11,29598,25,50429,29,46240825,277888,45803216,715497,10917954029800,66388995360,10814104405550,170238619610,236110.71017439675,236099.2382183382,238905.58555964992,237930.58476834983,437609.0
2020-10-10,23891,24,38525,12,40475459,359633,40608531,226561,9107056888620,81656821610,9137039851270,51673858960,225001.94225394703,225002.96430988848,227055.9754249471,228079.23234802106,-133072.0
2020-10-07,27680,23,41000,18,46814864,636545,47057458,393951,10524003615890,144329026080,10579439041000,88893600970,224800.4739667726,224819.60332408946,226738.1349001249,225646.33918939158,-242594.0
2020-10-06,18082,20,52437,15,39434604,712919,39890413,257110,8707553543890,157030346160,8806771730700,57812159350,220809.9653768553,220774.1426668107,220263.93764228476,224853.7954571973,-455809.0
2020-10-05,20208,16,28228,24,38791472,315572,38858935,248109,7971177776090,65112323660,7984584387800,51705711950,205487.89115530343,205476.15079517747,206331.1182867935,208399.1791914038,-67463.0
2020-10-03,14710,13,38741,18,17229833,110267,17129017,211083,3747466897130,23782437530,3724778034600,46471300060,217498.73589198457,217454.27858469635,215680.4622416498,220156.526390093,100816.0
2020-09-30,15156,8,26701,15,18036017,73528,17945188,164357,3625588401460,14776878850,3606747845300,33617435010,201019.3493086639,200986.90776045367,200969.41097269068,204539.11308918998,90829.0
2020-09-29,15742,10,31977,23,21048295,294309,20510219,832385,3984600229470,54331309310,3876801687360,162129851420,189307.50587969238,189018.05423725606,184606.3467647948,194777.478474504,538076.0
2020-09-28,31583,29,12768,13,18191245,530631,18674800,47076,3247301490030,94470333020,3333386706220,8385116830,178509.02948258902,178496.51435196094,178033.95018383773,178118.7193049537,-483555.0
2020-09-27,25577,12,11354,8,17056032,130111,17151793,34350,3351277502310,25548529330,3370124319040,6701712600,196486.35170888517,196488.16418435087,196359.48789879412,195100.80349344978,-95761.0
2020-09-26,18974,9,19654,17,16947070,54701,16807913,193858,3665858449080,11612296740,3635969738580,41501007240,216312.22677902435,216324.87856047327,212286.7358914828,214079.4150357478,139157.0
2020-09-23,19155,6,34290,10,38044815,84986,37936582,193219,8300391116360,18747664290,8276938725980,42200054670,218174.04333179173,218178.29360536486,220597.08999129268,218405.30522360638,108233.0
2020-09-22,21069,10,34726,10,43095761,266921,43174852,187830,8812669513820,53399810710,8827047851270,39021473260,204490.40252056345,204448.827091984,200058.4843830197,207748.8860139488,-79091.0
2020-09-21,25663,30,20419,20,23846221,453243,24106510,192954,4701530663020,89244056580,4752441378160,38333341440,197160.40805878633,197143.48440151644,196901.12495945883,198665.69980409837,-260289.0
2020-09-19,28845,43,59854,16,45635364,467835,45889547,213652,10727201731770,108547176880,10784307680020,51441228630,235063.35419544368,235005.75588641135,232020.21413532548,240771.10736150376,-254183.0
2020-09-16,43438,29,83281,19,53536286,527039,52987533,1075792,13127919444320,125274213710,12991540313980,261653344050,245215.35625986458,245181.07521593806,237694.39018744344,243219.26919887858,548753.0
2020-09-15,17776,22,75017,12,23839819,163544,23811734,191629,5749416127170,39765915480,5743369104030,45812938620,241168.61487790657,241199.11233805987,243151.17326224135,239071.0102333154,28085.0
2020-09-14,22617,16,60941,14,39528988,290196,39694798,124386,8802639375790,65448996670,8840292051180,27796321280,222688.20481288314,222706.5634942896,225533.76569628803,223468.2462656569,-165810.0
2020-09-13,32368,19,39741,18,59233276,199195,59170689,261782,12535716956420,41623956630,12519579561430,57761351620,211633.01783983718,211584.14365311852,208960.85057355856,220646.7657058163,62587.0
2020-09-12,16914,15,33931,6,28097266,89113,28151589,34790,6001149594890,19079459850,6012770078740,7458976000,213584.82333797176,213585.4597315981,214104.1133168,214400.0,-54323.0
2020-09-09,16728,10,57627,8,29743022,79207,29306739,515490,5797310192780,15251449670,5710684845520,101876796930,194913.28731761017,194859.10204884957,192551.79049831454,197630.98591631264,436283.0
2020-09-08,7538,2,4116,0,3144691,3719,3148410,0,581743491320,683886910,582427378230,0,184992.2588006262,184990.95677818326,183890.0,,-3719.0
2020-09-07,10608,1,6593,1,5730544,2500,5732904,140,1170857971710,512275000,1171340859310,29387400,204318.81715069286,204318.93841410914,204910.0,209910.0,-2360.0
2020-09-06,24374,18,42850,16,30110835,158401,29983084,286152,6762704045820,35972799210,6735727990990,62948854040,224593.70674443268,224650.93954277685,227099.57140422094,219983.97369230338,127751.0
2020-09-05,11489,12,52671,14,19250280,70211,18657833,662658,4137095474210,15309996960,4011565934390,140839536780,214910.92463122614,215007.0661684023,218056.95631738615,212537.29190623216,592447.0
2020-09-02,15149,13,21334,7,15018893,498176,15481597,35472,3006987249190,98750610260,3098702716010,7035143440,200213.64085821772,200153.94510075415,198224.34292298305,198329.48353631032,-462704.0
2020-09-01,17027,11,36621,6,16577933,114894,16458625,234202,3646426162740,25544719400,3620713465320,51257416820,219956.62322558547,219988.81834418123,222332.92774209272,218859.8595229759,119308.0
2020-08-31,23640,20,48566,24,30660973,1070444,31471328,260089,6866120554240,244266161230,7051761432910,58625282560,223936.81225445782,224069.39525748644,228191.44320487574,225404.69823791087,-810355.0
2020-08-26,70,0,8249,4,1088428,0,1043484,44944,226697783840,0,217336847520,9360936320,208280.0,208280.0,,208280.0,44944.0
2020-08-25,2203,2,18463,5,4690274,1689,4667238,24725,888117340210,315726810,883796176150,4636890870,189352.976011636,189361.7116054506,186931.20781527532,187538.55894843276,23036.0
2020-08-24,7859,20,25703,3,8657829,282333,8930071,10091,1504498986970,48605775530,1551375670430,1729092070,173773.2388766283,173724.89764415086,172157.6136335462,171349.92270339906,-272242.0
2020-08-23,11157,176,22476,2,7233294,401071,7622644,11721,1282923628130,70146275410,1351004079350,2065824190,177363.67803244275,177235.62576843417,174897.4007345333,176249.8242470779,-389350.0
2020-08-22,5201,39,11863,2,2626258,873835,3498286,1807,481295953520,161132218170,642096553890,331617800,183263.0128189995,183546.0433738122,184396.61740488766,183518.42833425567,-872028.0
2020-08-19,11163,11,16232,3,5758813,66308,5817598,7523,1054631565590,12160131510,1065380136470,1411560630,183133.49740476033,183130.58696561708,183388.6033359474,187632.67712348796,-58785.0
2020-08-18,14774,78,24878,8,8657515,608723,7910409,1355829,1698484245650,118170913650,1552771801490,263883357810,196186.11641446766,196294.75561756667,194129.20761988623,194628.7900686591,747106.0
2020-08-17,5361,6,11959,2,3609978,58600,3665982,2596,702322330690,11062521790,712871734280,513118200,194550.30769993612,194455.87410958373,188780.23532423208,197657.24191063174,-56004.0
2020-08-16,7818,8,15177,1,3876788,141360,4008148,10000,697200665720,25316593350,720725736240,1791522830,179839.77089281127,179815.1505982314,179093.04859932087,179152.283,-131360.0
2020-08-15,11047,9,17854,3,5542783,703750,6205614,40919,1037458666710,131889105990,1161663041090,7684731610,187172.88169318554,187195.5041177231,187409.03160213144,187803.50472885458,-662831.0
2020-08-12,10331,7,17754,3,4965566,190747,5131272,25041,992432111830,38057668790,1025460720100,5029060520,199862.83775706537,199845.32492138402,199519.09487436237,200833.0545904716,-165706.0
