date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-08-25,563,0,196,3,1538364,0,1515422,22942,51144298909,0,50359361321,784937588,33245.90208104194,33231.24602981876,,34214.0,22942.0
2020-08-24,179,0,81,0,718940,0,718940,0,23881890278,0,23881890278,0,33218.196620023926,33218.196620023926,,,0.0
2020-08-23,195,0,102,5,576200,0,561961,14239,19712827173,0,19223405673,489421500,34211.77919645956,34207.72201807599,,34371.901116651454,14239.0
2020-08-22,339,0,152,3,819276,0,811786,7490,28625458185,0,28366565165,258893020,34939.94476220468,34943.40277486924,,34565.1562082777,7490.0
2020-08-19,247,0,119,2,884380,0,856395,27985,31351526994,0,30360093261,991433733,35450.28946154368,35451.03983675757,,35427.32653207075,27985.0
2020-08-18,405,0,249,15,1321447,0,1190896,130551,48018185791,0,43296092321,4722093470,36337.57978261709,36355.89700611976,,36170.4886979035,130551.0
2020-08-17,279,0,163,1,896898,0,892136,4762,31748105695,0,31580026817,168078878,35397.67698779571,35398.22046974901,,35295.85846283074,4762.0
2020-08-16,90,0,59,3,344823,0,288873,55950,12169013524,0,10196440324,1972573200,35290.60858469418,35297.31170445144,,35256.0,55950.0
2020-08-15,127,0,36,1,168204,0,149104,19100,5991458765,0,5312090865,679367900,35620.19193954959,35626.74955064921,,35569.0,19100.0
2020-08-12,177,0,213,5,1101380,0,1069928,31452,40385988959,0,39261479537,1124509422,36668.53307577766,36695.44075582656,,35753.19286531858,31452.0
2020-08-11,267,0,131,0,593373,0,593373,0,21406834495,0,21406834495,0,36076.52268471939,36076.52268471939,,,0.0
2020-08-10,608,1,445,5,2013188,55000,1986401,81787,74074892882,2060126825,73086149693,3048870014,36794.8213887625,36793.250553639475,37456.851363636364,37278.17396407742,26787.0
2020-08-09,168,0,133,5,772240,0,670381,101859,28414570800,0,24666668895,3747901905,36795.0,36795.0,,36795.0,101859.0
2020-08-05,13,0,95,1,555064,0,546064,9000,19877396904,0,19555097904,322299000,35811.0,35811.0,,35811.0,9000.0
2020-08-04,3,0,109,13,339318,0,283519,55799,12049521498,0,10068043209,1981478289,35511.0,35511.0,,35511.0,55799.0
2020-08-03,1,0,89,0,107644,0,107644,0,3729864600,0,3729864600,0,34650.0,34650.0,,,0.0
2020-08-02,12,0,71,2,213568,0,211868,1700,7322606016,0,7264318116,58287900,34287.0,34287.0,,34287.0,1700.0
2020-08-01,6,0,69,2,157363,0,156153,1210,5353803986,0,5312637366,41166620,34022.0,34022.0,,34022.0,1210.0
2020-07-29,313,0,294,0,1010234,0,1010234,0,33369576828,0,33369576828,0,33031.5321282,33031.5321282,,,0.0
2020-07-28,313,1,378,0,1261304,19000,1280304,0,42797503569,662378000,43459881569,0,33931.156619657115,33944.970545276745,34862.0,,-19000.0
2020-07-27,244,0,238,0,1299074,0,1299074,0,43132110829,0,43132110829,0,33202.19697184302,33202.19697184302,,,0.0
2020-07-26,226,3,171,0,702537,9230,711767,0,24011460176,315462940,24326923116,0,34178.21435169963,34178.211572045344,34178.0,,-9230.0
2020-07-25,444,13,232,1,1608621,36648,1245269,400000,56681168942,1290451794,43890404709,14081216027,35235.8752882127,35245.72177497392,35212.06597904388,35203.0400675,363352.0
2020-07-22,263,14,262,1,1077011,178560,1155571,100000,39089121716,6476616988,41937145688,3628593016,36294.078441167265,36291.275644681285,36271.376500896054,36285.93016,-78560.0
2020-07-21,287,17,302,1,1170053,84270,1035649,218674,43738976402,3160197762,38721299190,8177874974,37382.04713974495,37388.43873744869,37500.863438946246,37397.56429205118,134404.0
2020-07-20,312,50,336,2,1002058,378208,1217940,162326,38510571785,14573912058,46832930017,6251553826,38431.47979957248,38452.57567449957,38534.11894513072,38512.33829454308,-215882.0
2020-07-19,810,0,456,2,2050865,0,1842072,208793,77806473580,0,69955054567,7851419013,37938.36921494101,37976.28679389296,,37603.84214509107,208793.0
2020-07-18,565,21,220,2,958179,673838,1426460,205557,36955046084,26127363982,55149438718,7932971348,38567.99834268962,38661.74916787011,38773.95454397051,38592.562393885884,-468281.0
2020-07-15,268,11,400,1,1876944,64670,1825267,116347,70844699837,2455906744,68865109900,4435496681,37744.70620167677,37728.78702129606,37975.98181537034,38123.0,51677.0
2020-07-14,307,9,328,3,1543374,75004,1592429,25949,57106822964,2794510182,58942470686,958862460,37001.286119890574,37014.19070237983,37258.1486587382,36951.80777679294,-49055.0
2020-07-13,402,5,271,4,891791,52540,898688,45643,33898093160,1991121040,34160435474,1728778726,38011.252815962485,38011.451665094006,37897.240959269126,37876.0976710558,-6897.0
2020-07-12,498,22,333,3,1445810,140080,1560450,25440,56447807845,5475879500,60946996395,976690950,39042.34155594442,39057.32089781794,39091.08723586522,38391.939858490565,-114640.0
2020-07-11,267,22,260,1,754827,116732,831559,40000,29198263934,4522444250,32169416134,1551292050,38682.06083513176,38685.668886994186,38742.11227426927,38782.30125,-76732.0
2020-07-08,553,10,369,3,1317088,63740,1294382,86446,52460370652,2529604220,51555083468,3434891404,39830.573698947985,39829.882884650746,39686.291496705366,39734.5325868172,22706.0
2020-07-07,435,20,492,2,1320270,264860,1579872,5258,53437642491,10730835630,63953655873,214822248,40474.78356018087,40480.27680280428,40515.12357471872,40856.266260935714,-259602.0
2020-07-06,625,57,549,2,2517159,281399,2790558,8000,99814498587,11196192616,110691261123,319430080,39653.63276098172,39666.3538700862,39787.60626725752,39928.76,-273399.0
2020-07-05,457,46,462,1,1088096,174503,1221463,41136,42171225551,6901555019,47499739930,1573040640,38756.897875738905,38887.57983663852,39549.77862271709,38240.0,-133367.0
2020-07-04,374,100,165,1,792008,137239,890583,38664,31282187046,5350536893,35125330571,1507393368,39497.311953919656,39440.8276050632,38987.0,38987.0,-98575.0
2020-07-01,492,4,399,2,1055771,34510,1067781,22500,42453376714,1366742555,42925541769,894577500,40210.781233809226,40200.69824149334,39604.24674007534,39759.0,-12010.0
2020-06-30,460,0,573,0,1029373,0,1029373,0,41974957077,0,41974957077,0,40777.20814223804,40777.20814223804,,,0.0
2020-06-29,244,0,92,1,414603,0,413303,1300,16409877231,0,16358424531,51452700,39579.73587021801,39579.7381848184,,39579.0,1300.0
2020-06-28,421,0,353,0,1207499,0,1207499,0,49269687214,0,49269687214,0,40803.08738475146,40803.08738475146,,,0.0
2020-06-27,579,0,284,3,1079449,0,1071749,7700,44446047884,0,44128336573,317711311,41174.75479063856,41174.133657227576,,41261.20922077922,7700.0
2020-06-24,212,1,216,0,651491,12412,663903,0,26103924274,497286780,26601211054,0,40067.97373102621,40067.91813563126,40065.0,,-12412.0
2020-06-23,763,1,555,1,1999392,1000,1823725,176667,82535311685,41160000,75295059448,7281412237,41280.20502482755,41286.410751621,41160.0,41215.46319912604,175667.0
2020-06-22,457,0,325,1,882411,0,867955,14456,37442598635,0,36826902595,615696040,42432.15308399374,42429.50682351043,,42591.03763143331,14456.0
2020-06-21,720,1,587,0,2071734,78396,2150130,0,87184377735,3258534116,90442911851,0,42082.80490400795,42063.92722812109,41565.05581917445,,-78396.0
2020-06-20,403,2,214,3,766658,27266,492676,301248,32339167756,1150134412,20782059032,12707243136,42182.0,42182.0,42182.0,42182.0,273982.0
2020-06-16,187,0,182,3,541229,0,447119,94110,22165492466,0,18311311526,3854180940,40954.0,40954.0,,40954.0,94110.0
2020-06-15,107,0,161,1,498956,0,492296,6660,19884893468,0,19619472488,265420980,39853.0,39853.0,,39853.0,6660.0
2020-06-14,445,5,318,1,1337237,9148,1276385,70000,51742209605,353989111,49387478716,2708720000,38693.372681880624,38693.24593755019,38695.792632269346,38696.0,60852.0
2020-06-13,519,5,418,1,2016550,78529,2045079,50000,75720191412,2988891404,76815032816,1894050000,37549.374630929065,37560.91222686263,38060.98898496097,37881.0,-28529.0
2020-06-10,567,1,411,0,2538872,50000,2588872,0,93829253093,1837600000,95666853093,0,36957.06325210566,36953.102777194086,36752.0,,-50000.0
2020-06-09,134,1,18,0,259096,2000,261096,0,9662208032,74584000,9736792032,0,37292.0,37292.0,37292.0,,-2000.0
2020-06-08,258,0,175,1,442221,0,440221,2000,16923284102,0,16847160102,76124000,38268.838662116905,38269.77836586624,,38062.0,2000.0
2020-06-07,281,1,323,0,1154118,300000,1454118,0,45281537654,11776670125,57058207779,0,39234.755591715926,39239.0492236531,39255.567083333335,,-300000.0
