date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,31,2,21,5,5700586,7100000,1331670,11468916,57434526385,71502449000,13430432185,115506543200,10075.196898178538,10085.405682338718,10070.767464788732,10071.269438192763,4368916.0
2020-10-18,35,18,19,1,4162405,5163994,2426399,6900000,41922154942,52001419580,24439260312,69484314210,10071.61843741779,10072.234744574162,10070.0,10070.19046521739,1736006.0
2020-10-14,36,67,21,3,2840502,5460964,1211466,7090000,28573617607,54969332245,12203229652,71339720200,10059.354862978445,10073.10948223062,10065.866071448192,10062.019774330043,1629036.0
2020-10-13,24,39,21,3,499779,23732300,1200482,23031597,5027480163,238837127690,12082638421,231781969432,10059.40658371,10064.822647070094,10063.80029284983,10063.651662192595,-700703.0
2020-10-12,30,2,27,0,2513402,1206927,3720329,0,25239870135,12128051027,37367921162,0,10042.114287726357,10044.251775044626,10048.703050805889,,-1206927.0
2020-10-11,19,2,35,1,2868315,385060,3248375,5000,28790188313,3870308034,32610206347,50290000,10037.317488839266,10038.929109785662,10051.181722328987,10058.0,-380060.0
2020-10-10,30,1,61,2,1386510,383757,1740266,30001,13913559216,3853646528,17465995720,301210024,10034.950498734232,10036.394275357905,10041.892468410999,10039.999466684443,-353756.0
2020-10-07,75,1,38,2,1698240,1000000,2044085,654155,17033751596,10036909414,20509100237,6561560773,10030.238126530996,10033.389138416454,10036.909414,10030.590262246715,-345845.0
2020-10-06,1,0,1,1,139000,0,100000,39000,1395460000,0,1003900000,391560000,10039.280575539568,10039.0,,10040.0,39000.0
2020-10-05,23,2,15,1,2453209,2221496,4624705,50000,24572371375,22297297257,46368168632,501500000,10016.419870871174,10026.189482788632,10037.063878125371,10030.0,-2171496.0
2020-10-04,17,1,20,0,1985367,400000,2385367,0,19889916913,4010700000,23900616913,0,10018.257034089918,10019.681211738069,10026.75,,-400000.0
2020-10-03,23,1,25,2,2207287,479309,1013211,1673385,22110186982,4802296871,10149462953,16763020900,10016.906266380403,10017.12669226844,10019.2086336789,10017.432270517544,1194076.0
2020-09-30,31,2,16,1,1582012,944000,972191,1553821,15827180419,9443300000,9729082981,15541397438,10004.462936437903,10007.378160258631,10003.495762711864,10002.051354692721,609821.0
2020-09-29,46,2,24,1,4819063,4300000,8719063,400000,48195271147,43000000000,87195071147,4000200000,10000.963080789772,10000.509360581522,10000.0,10000.5,-3900000.0
2020-09-28,34,1,20,1,12659487,8602149,20761636,500000,126625504136,86041118624,207656622760,5010000000,10002.41985603366,10001.939286480121,10002.281827947876,10020.0,-8102149.0
2020-09-27,39,1,16,1,3232805,344241,3009049,567997,32356051352,3446610000,30113259400,5689401952,10008.661627286521,10007.566975479629,10012.200754703827,10016.605637001603,223756.0
2020-09-26,26,1,25,1,1958290,2755209,4594607,118892,19616032191,27594108506,46018516457,1191624240,10016.918939993566,10015.767715715403,10015.250569376043,10022.745348719847,-2636317.0
2020-09-23,53,1,24,2,8745567,500000,3339804,5905763,87616161771,5011227992,33461188068,59166201695,10018.351213935015,10018.907716740263,10022.455984,10018.384025061621,5405763.0
