date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-05-23,7,0,486,0,3502973,0,3502973,0,29869850771,0,29869850771,0,8527.0,8527.0,,,0.0
2020-05-20,212,0,786,0,10724598,0,10724598,0,87093988547,0,87093988547,0,8120.956006649387,8120.956006649387,,,0.0
2020-05-19,135,0,506,0,6642741,0,6642741,0,52417869231,0,52417869231,0,7891.0,7891.0,,,0.0
2020-05-18,307,2,702,0,5267643,1115740,6383383,0,40347324589,8564474386,48911798975,0,7659.464506041886,7662.363197539612,7676.04852922724,,-1115740.0
2020-05-17,362,0,682,0,7329613,0,7329613,0,54645733032,0,54645733032,0,7455.473165090708,7455.473165090708,,,0.0
2020-05-16,495,0,264,0,4642555,0,4642555,0,35602898322,0,35602898322,0,7668.815624586031,7668.815624586031,,,0.0
2020-05-13,1029,1,1043,0,19018621,20000,19038621,0,147565993485,155852221,147721845706,0,7759.026981241174,7759.062261179525,7792.61105,,-20000.0
2020-05-12,1870,1,1614,0,29688624,80000,29768624,0,225111713684,601922665,225713636349,0,7582.423277144808,7582.266360346383,7524.0333125,,-80000.0
2020-05-11,155,0,550,1,5217189,0,4917189,300000,38883709617,0,36647809617,2235900000,7453.0,7453.0,,7453.0,300000.0
2020-05-10,222,0,576,1,8611749,0,8411749,200000,62314615764,0,60867415764,1447200000,7236.0,7236.0,,7236.0,200000.0
2020-05-09,76,0,427,0,3502654,0,3502654,0,24609647004,0,24609647004,0,7026.0,7026.0,,,0.0
2020-05-06,1170,2,807,0,11639754,310000,11949754,0,79414752929,2110790000,81525542929,0,6822.71746713891,6822.361609201327,6809.0,,-310000.0
2020-05-05,891,0,732,0,9497534,0,9497534,0,66663929875,0,66663929875,0,7019.077781137714,7019.077781137714,,,0.0
2020-05-04,1432,0,1394,0,16027620,0,16027620,0,114233531319,0,114233531319,0,7127.29221924403,7127.29221924403,,,0.0
2020-05-03,1779,0,1389,0,21311383,0,21311383,0,155673614585,0,155673614585,0,7304.716666440653,7304.716666440653,,,0.0
2020-05-02,204,0,575,0,5242729,0,5242729,0,37228618629,0,37228618629,0,7101.0,7101.0,,,0.0
2020-04-29,3630,1,2730,2,40711141,5000,40638850,77291,280720912792,34995000,280214796210,541111582,6895.432205940875,6895.244235749781,6999.0,7000.964950641083,72291.0
2020-04-28,390,0,138,0,3328261,0,3328261,0,23038222642,0,23038222642,0,6922.0,6922.0,,,0.0
2020-04-27,581,0,437,0,5905280,0,5905280,0,42140078080,0,42140078080,0,7136.0,7136.0,,,0.0
2020-04-26,2577,1,2351,3,30966158,1226888,30685716,1507330,227320884042,9483844240,225532430258,11272298024,7340.945687934551,7349.752903207473,7730.0,7478.321285982499,280442.0
2020-04-25,26,0,296,0,2458357,0,2458357,0,18159883159,0,18159883159,0,7387.0,7387.0,,,0.0
2020-04-22,141,0,208,0,2038952,0,2038952,0,14759973528,0,14759973528,0,7239.0,7239.0,,,0.0
2020-04-21,437,1,453,0,5525810,773112,6298922,0,38836903179,5435750472,44272653651,0,7028.273353408821,7028.608014355472,7031.0,,-773112.0
2020-04-20,1764,1,979,0,18369560,1425945,19795505,0,125184760810,9954763916,135139524726,0,6814.7936482964205,6826.778338112617,6981.169621549218,,-1425945.0
2020-04-19,1732,0,816,0,15566574,0,15566574,0,107134485104,0,107134485104,0,6882.341940108337,6882.341940108337,,,0.0
2020-04-18,1029,0,359,0,7491442,0,7491442,0,51493158998,0,51493158998,0,6873.597766357932,6873.597766357932,,,0.0
2020-04-15,1531,0,1098,2,16965335,0,16425335,540000,113229614191,0,109514310445,3715303746,6674.1749686051,6667.401940051755,,6880.192122222222,540000.0
2020-04-14,629,0,804,0,8401708,0,8401708,0,57344147841,0,57344147841,0,6825.296456506225,6825.296456506225,,,0.0
2020-04-13,830,0,260,1,6933914,0,6793914,140000,48739751646,0,47759589321,980162325,7029.183177928079,7029.760653579071,,7001.159464285714,140000.0
2020-04-12,1565,0,829,0,13643807,0,13643807,0,98463401497,0,98463401497,0,7216.7102258922305,7216.7102258922305,,,0.0
2020-04-11,1255,0,470,0,10491791,0,10491791,0,76326961846,0,76326961846,0,7274.922064879104,7274.922064879104,,,0.0
2020-04-08,427,0,383,1,4523580,0,4323580,200000,32037176387,0,30620576387,1416600000,7082.261480287737,7082.227317870838,,7083.0,200000.0
2020-04-07,1815,0,1432,0,20697078,0,20697078,0,142324557365,0,142324557365,0,6876.55317166027,6876.55317166027,,,0.0
2020-04-06,839,0,755,2,10049979,0,9789455,260524,70073893766,0,68256639607,1817254159,6972.541312374881,6972.465740636226,,6975.380997528059,260524.0
2020-04-05,1486,0,765,2,15829026,0,15669026,160000,113572035051,0,112427231164,1144803887,7174.922515826305,7175.125701112501,,7155.02429375,160000.0
2020-04-04,1291,1,731,0,12221655,4710,12226365,0,90132692167,34854000,90167546167,0,7374.835254881602,7374.8449491733645,7400.0,,-4710.0
2020-03-30,2171,2,894,0,27176989,11385,27188374,0,195574117527,81802610,195655920137,0,7196.312936911444,7196.308250614767,7185.121651295564,,-11385.0
2020-03-29,2675,4,984,0,31218274,770000,31988274,0,231026608106,5899720000,236926328106,0,7400.36454629106,7406.661831957548,7661.974025974026,,-770000.0
2020-03-28,3113,2,1527,3,46390264,122581,40419115,6093730,348339055866,941598100,303343584154,45937069812,7508.882809246354,7504.95363775283,7681.435948474886,7538.415684974556,5971149.0
2020-03-25,101,0,8,0,265773,0,265773,0,1941471765,0,1941471765,0,7305.0,7305.0,,,0.0
2020-03-24,61,0,3,0,215514,0,215514,0,1577993508,0,1577993508,0,7322.0,7322.0,,,0.0
2020-03-18,169,0,23,0,736302,0,736302,0,5356597050,0,5356597050,0,7275.0,7275.0,,,0.0
2020-03-17,51,0,3,0,148328,0,148328,0,1103560320,0,1103560320,0,7440.0,7440.0,,,0.0
2020-03-16,69,0,5,0,211507,0,211507,0,1577630713,0,1577630713,0,7459.0,7459.0,,,0.0
2020-03-15,17,0,4,0,56853,0,56853,0,424350792,0,424350792,0,7464.0,7464.0,,,0.0
2020-03-14,87,0,6,0,330066,0,330066,0,2427965496,0,2427965496,0,7356.0,7356.0,,,0.0
2020-03-11,195,0,28,0,2034008,0,2034008,0,15676099656,0,15676099656,0,7707.0,7707.0,,,0.0
2020-03-03,756,1,229,1,14335433,3550000,2985433,14900000,117512057020,29102900000,24464757020,122150200000,8197.314794746695,8194.709785816663,8198.0,8198.0,11350000.0
2020-03-02,1079,2,150,1,17627026,78730,2805756,14900000,140310489036,626688172,22333177208,118604000000,7959.9638098905625,7959.771700746608,7959.966620093992,7960.0,14821270.0
2020-03-01,972,1,173,2,20321515,1000000,6204443,15117072,157072368563,7730000000,47947402003,116854966560,7729.363118989898,7727.914013070956,7730.0,7730.0,14117072.0
2020-02-29,1770,2,846,1,34563503,6017300,35330803,5250000,255163694732,43585343994,259435396707,39313642019,7382.460473754642,7343.03708599547,7243.339038106792,7488.3127655238095,-767300.0
2020-02-26,515,1,96,1,14347261,1082700,11179961,4250000,104390671036,7877725200,81345396236,30923000000,7276.0,7276.0,7276.0,7276.0,3167300.0
2020-02-25,1034,0,119,1,26140254,0,20140254,6000000,184680270065,0,142290270065,42390000000,7064.97611174704,7064.968995177519,,7065.0,6000000.0
2020-02-24,1681,2,279,1,36642539,450000,29915061,7177478,251371218808,3087318964,205220211019,49238326753,6860.092822934568,6860.096692398522,6860.708808888889,6860.115315295986,6727478.0
2020-02-23,1324,2,130,2,28956137,315524,23261661,6010000,189226632908,2061949340,152013232248,39275350000,6534.940517376333,6534.925955975371,6535.0,6535.0,5694476.0
2020-02-22,1250,0,107,2,44876874,0,38103778,6773096,284734263047,0,241761703666,42972559381,6344.788254346771,6344.822386536054,,6344.596235015715,6773096.0
2020-02-19,312,1,156,1,24808211,773096,19581307,6000000,152836552991,4766946932,120547499923,37056000000,6160.724487186923,6156.254019356318,6166.047854341505,6176.0,5226904.0
2020-02-18,239,0,98,0,1986380,0,1986380,0,11911727034,0,11911727034,0,5996.7010511583885,5996.7010511583885,,,0.0
2020-02-17,218,0,108,0,1763971,0,1763971,0,10854087077,0,10854087077,0,6153.211746111472,6153.211746111472,,,0.0
2020-02-16,416,0,124,0,3524121,0,3524121,0,21928098283,0,21928098283,0,6222.288702062159,6222.288702062159,,,0.0
2020-02-15,491,0,33,2,8074829,0,3075829,4999000,50885111393,0,19383498289,31501613104,6301.695230078556,6301.877734100302,,6301.582937387478,4999000.0
2020-02-12,87,2,66,1,818037,4999000,3317037,2500000,5102110520,30493900000,20346010520,15250000000,6237.016809753104,6133.790645084755,6100.0,6100.0,-2499000.0
2020-02-10,55,0,33,0,467553,0,467553,0,2898015408,0,2898015408,0,6198.260749048771,6198.260749048771,,,0.0
2020-02-09,75,1,28,0,652185,10000,662185,0,4161468442,63790000,4225258442,0,6380.809803966666,6380.782473175926,6379.0,,-10000.0
2020-02-08,56,0,50,1,348830,0,346335,2495,2293958326,0,2277983986,15974340,6576.149774962016,6577.400453318319,,6402.541082164329,2495.0
2020-02-05,93,0,84,0,602132,0,602132,0,3870209471,0,3870209471,0,6427.510032683864,6427.510032683864,,,0.0
2020-02-04,65,0,32,0,343449,0,343449,0,2215996745,0,2215996745,0,6452.185753925619,6452.185753925619,,,0.0
2020-02-03,95,0,68,0,926223,0,926223,0,6145184729,0,6145184729,0,6634.670839527846,6634.670839527846,,,0.0
2020-02-02,55,0,65,0,398162,0,398162,0,2715083306,0,2715083306,0,6819.041761895912,6819.041761895912,,,0.0
2020-02-01,75,0,62,0,657158,0,657158,0,4538743026,0,4538743026,0,6906.623713018787,6906.623713018787,,,0.0
2020-01-28,96,0,47,0,459370,0,459370,0,3080654959,0,3080654959,0,6706.260659163637,6706.260659163637,,,0.0
2020-01-27,56,0,70,2,2627423,0,1597423,1030000,17152702377,0,10419097377,6733605000,6528.336844505053,6522.44106726897,,6537.480582524272,1030000.0
2020-01-26,72,0,51,0,313438,0,313438,0,1992277903,0,1992277903,0,6356.210488198623,6356.210488198623,,,0.0
2020-01-25,102,0,46,0,589846,0,589846,0,3840413347,0,3840413347,0,6510.874613034589,6510.874613034589,,,0.0
2020-01-22,66,0,34,0,276803,0,276803,0,1854681228,0,1854681228,0,6700.365342861169,6700.365342861169,,,0.0
2020-01-21,58,0,45,0,770472,0,770472,0,5267610189,0,5267610189,0,6836.861286328381,6836.861286328381,,,0.0
2020-01-20,81,0,74,0,424441,0,424441,0,2818927939,0,2818927939,0,6641.507156471689,6641.507156471689,,,0.0
2020-01-19,90,0,90,0,596247,0,596247,0,4017541989,0,4017541989,0,6738.049816602851,6738.049816602851,,,0.0
2020-01-18,190,0,164,0,1675729,0,1675729,0,11406972352,0,11406972352,0,6807.170104473934,6807.170104473934,,,0.0
2020-01-15,52,0,12,0,130949,0,130949,0,897131599,0,897131599,0,6851.0,6851.0,,,0.0
2020-01-14,106,0,64,0,728809,0,728809,0,5146703490,0,5146703490,0,7061.800128703131,7061.800128703131,,,0.0
2020-01-11,103,0,76,0,693023,0,693023,0,4358999031,0,4358999031,0,6289.833138294111,6289.833138294111,,,0.0
2020-01-05,10,0,3,0,28738,0,28738,0,180187260,0,180187260,0,6270.0,6270.0,,,0.0
2020-01-04,6,1,1,0,1016,30000,31016,0,6704584,197970000,204674584,0,6599.0,6599.0,6599.0,,-30000.0
2020-01-01,40,0,32,0,228238,0,228238,0,1552703114,0,1552703114,0,6803.0,6803.0,,,0.0
2019-12-31,60,0,37,0,186844,0,186844,0,1310257684,0,1310257684,0,7012.575645993449,7012.575645993449,,,0.0
2019-12-30,309,0,169,0,1953977,0,1953977,0,14117940276,0,14117940276,0,7225.233601009633,7225.233601009633,,,0.0
2019-12-29,14,0,24,0,244415,0,244415,0,1767364865,0,1767364865,0,7231.0,7231.0,,,0.0
2019-12-28,71,0,50,0,674048,0,674048,0,4732205014,0,4732205014,0,7020.575706774592,7020.575706774592,,,0.0
2019-12-25,188,0,70,0,1348404,0,1348404,0,9314889258,0,9314889258,0,6908.084860323761,6908.084860323761,,,0.0
2019-12-24,149,0,24,0,1277933,0,1277933,0,8623449570,0,8623449570,0,6747.966888717953,6747.966888717953,,,0.0
2019-12-23,64,0,34,0,366314,0,366314,0,2399918739,0,2399918739,0,6551.534309363005,6551.534309363005,,,0.0
2019-12-22,6,0,7,0,34080,0,34080,0,221894880,0,221894880,0,6511.0,6511.0,,,0.0
2019-12-21,112,0,50,0,621550,0,621550,0,3929586294,0,3929586294,0,6322.236817633336,6322.236817633336,,,0.0
2019-12-18,1,0,8,0,12870,0,12870,0,79909830,0,79909830,0,6209.0,6209.0,,,0.0
2019-12-17,6,0,14,0,56377,0,56377,0,339896933,0,339896933,0,6029.0,6029.0,,,0.0
2019-12-16,1,0,10,0,18763,0,18763,0,109838602,0,109838602,0,5854.0,5854.0,,,0.0
2019-12-15,10,0,13,0,119443,0,119443,0,678914012,0,678914012,0,5684.0,5684.0,,,0.0
2019-12-14,7,0,8,0,67741,0,67741,0,373862579,0,373862579,0,5519.0,5519.0,,,0.0
2019-12-11,30,0,13,0,230325,0,230325,0,1234312767,0,1234312767,0,5359.004741126669,5359.004741126669,,,0.0
2019-12-10,55,0,26,0,241204,0,241204,0,1255945228,0,1255945228,0,5206.9834165270895,5206.9834165270895,,,0.0
2019-12-09,64,0,41,0,780705,0,780705,0,3947356561,0,3947356561,0,5056.143563830128,5056.143563830128,,,0.0
2019-12-08,1,0,9,0,9267,0,9267,0,45843849,0,45843849,0,4947.0,4947.0,,,0.0
2019-12-07,6,0,7,0,72957,0,72957,0,350412471,0,350412471,0,4803.0,4803.0,,,0.0
2019-12-04,42,0,20,0,511503,0,511503,0,2385641992,0,2385641992,0,4663.984359818027,4663.984359818027,,,0.0
2019-12-03,34,0,6,1,833470,0,33470,800000,3702273740,0,148673740,3553600000,4442.0,4442.0,,4442.0,800000.0
2019-12-02,3,0,9,0,31958,0,31958,0,137834854,0,137834854,0,4313.0,4313.0,,,0.0
2019-12-01,34,0,55,0,717189,0,717189,0,3003924598,0,3003924598,0,4188.469982110712,4188.469982110712,,,0.0
