date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,9,0,3,0,3086,0,3086,0,106855836,0,106855836,0,34626.0,34626.0,,,0.0
2020-10-18,23,0,22,0,43657,0,43657,0,1514068417,0,1514068417,0,34681.0,34681.0,,,0.0
2020-10-14,58,0,16,0,38567,0,38567,0,1339512984,0,1339512984,0,34732.10215987761,34732.10215987761,,,0.0
2020-10-13,138,1,157,1,500225,25000,512225,13000,17741686861,885725000,18166847861,460564000,35467.41338597631,35466.5388471863,35429.0,35428.0,-12000.0
2020-10-12,143,1,114,0,416685,75000,491685,0,15080537796,2705050000,17785587796,0,36191.69827567587,36172.72805963168,36067.333333333336,,-75000.0
2020-10-11,197,1,308,1,625682,25000,626682,24000,23838163511,940605307,23875618818,903150000,38099.487456887044,38098.459534500755,37624.21228,37631.25,-1000.0
2020-10-10,245,2,246,1,782171,150000,932066,105,29630197562,5536962733,35163107295,4053000,37881.99455362063,37725.98431334262,36913.084886666664,38600.0,-149895.0
2020-10-07,328,1,331,2,942918,35000,914071,63847,35656797647,1313710000,34571699625,2398808022,37815.37487565196,37821.67864968914,37534.57142857143,37571.1939793569,28847.0
2020-10-06,71,0,70,2,406160,0,404284,1876,15721808406,0,15650447622,71360784,38708.411478235175,38711.5186898319,,38038.79744136461,1876.0
2020-10-05,19,0,0,1,30702,0,0,30702,1165263708,0,0,1165263708,37954.0,,,37954.0,30702.0
2020-10-04,45,1,91,0,117744,15000,132744,0,4492994179,572385000,5065379179,0,38159.007499320556,38159.00665190141,38159.0,,-15000.0
2020-10-03,60,0,12,0,199781,0,199781,0,7685575070,0,7685575070,0,38470.0,38470.0,,,0.0
2020-09-30,15,0,1,0,8102,0,8102,0,311781164,0,311781164,0,38482.0,38482.0,,,0.0
