date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,83,1,112,0,407201,300000,707201,0,8882827614,6544200000,15427027614,0,21814.356089498797,21814.20503364673,21814.0,,-300000.0
2020-10-18,225,2,181,1,1549966,375000,1824966,100000,35606380815,8460208940,41816646922,2249942833,22972.36250020968,22913.658074725776,22560.557173333335,22499.42833,-275000.0
2020-10-14,230,1,426,1,1028393,28657,1041815,15235,24116625603,666411300,24420754103,362282800,23450.787396452524,23440.585999433682,23254.74753114422,23779.638989169674,-13422.0
2020-10-13,406,4,453,2,2036966,699805,2591771,145000,48816529474,16712365398,62031150039,3497744833,23965.313841271774,23933.885377604733,23881.46040396968,24122.37815862069,-554805.0
2020-10-12,320,4,349,2,1364654,582932,1921161,26425,34239984236,14568639082,48126818668,681804650,25090.59749650827,25050.90342142069,24992.004353852593,25801.500473036896,-556507.0
2020-10-11,497,4,538,3,2613923,1060589,3237918,436594,68463520846,27838759945,84790226339,11512054452,26191.865960091403,26186.650291638023,26248.39588662526,26367.871413716177,-623995.0
2020-10-10,328,6,462,1,1422387,428992,1686417,164962,35869498593,10698041314,42420654107,4146885800,25217.81947739961,25154.308873190912,24937.624277375802,25138.43066888132,-264030.0
2020-10-07,557,6,682,5,2719691,874115,3466565,127241,67976315961,21836855325,86615726567,3197444719,24994.132039632445,24986.038504109976,24981.673263815403,25129.044246744368,-746874.0
2020-10-06,160,0,97,1,1180909,0,960584,220325,30842026076,0,25083611876,5758414200,26117.19114343273,26112.877037302307,,26136.0,220325.0
2020-10-05,342,0,555,4,2801494,0,2196370,605124,69734554027,0,54658142414,15076411613,24891.916251471535,24885.6715462331,,24914.582156714987,605124.0
2020-10-04,453,2,912,3,2806316,1865304,4459472,212148,66852484885,44205231555,106166286470,4891429970,23822.15149149276,23806.918502907967,23698.67407939939,23056.68669985105,-1653156.0
2020-10-03,673,3,956,5,3465047,991749,4242372,214424,82461307993,23552557831,100891288920,5122576904,23798.03448351494,23781.810958586375,23748.506760279062,23889.941909487745,-777325.0
2020-09-30,50,0,2,0,102426,0,102426,0,2420838510,0,2420838510,0,23635.0,23635.0,,,0.0
2020-09-29,31,0,3,0,90607,0,90607,0,2146570437,0,2146570437,0,23691.0,23691.0,,,0.0
2020-09-28,17,0,2,0,16128,0,16128,0,382233600,0,382233600,0,23700.0,23700.0,,,0.0
2020-09-27,29,0,1,0,17516,0,17516,0,415321876,0,415321876,0,23711.0,23711.0,,,0.0
2020-09-26,229,3,305,1,811305,1175000,1981794,4511,20253028695,29321600000,49459147095,115481600,24963.52012498382,24956.754887238534,24954.55319148936,25600.0,-1170489.0
2020-09-23,386,6,960,8,3104273,1512505,4077470,539308,80320242313,39443558120,105671286073,14092514360,25874.091071564904,25915.895413822785,26078.29932463033,26130.734867645206,-973197.0
2020-09-22,103,0,168,2,1401201,0,1051201,350000,35762745552,0,26830697387,8932048165,25522.923229429613,25523.850706953286,,25520.137614285715,350000.0
2020-09-21,47,2,17,0,74087,550000,624087,0,1923668955,14280750000,16204418955,0,25965.0,25965.0,25965.0,,-550000.0
2020-09-20,120,1,89,0,341841,500000,841841,0,9088058211,13288500000,22376558211,0,26585.629608502197,26580.504170027358,26577.0,,-500000.0
2020-09-19,641,2,1408,4,5496723,106371,5303336,299758,153823146796,2925430452,148399306703,8349270545,27984.518556965668,27982.256206847916,27502.142990100685,27853.370201962916,193387.0
2020-09-16,282,11,1364,3,6300446,2166867,6065987,2401326,172753499263,59439295327,166016887422,66175907168,27419.249250449888,27368.487176447954,27430.984609115374,27558.068820310113,234459.0
2020-09-15,1007,12,1632,12,6043540,1557886,6617808,983618,158357929180,41237751806,174065887157,25529793829,26202.842900022173,26302.649934389152,26470.326972576942,25954.988449784367,-574268.0
2020-09-14,113,1,4,0,103467,300000,403467,0,2677312092,7762800000,10440112092,0,25876.0,25876.0,25876.0,,-300000.0
2020-09-13,57,0,4,0,47628,0,47628,0,1234089108,0,1234089108,0,25911.0,25911.0,,,0.0
2020-09-12,309,3,287,2,1823186,1210000,1741766,1291420,49756114443,32970080000,47503443579,35222750864,27290.75061074405,27273.14896432701,27248.0,27274.435012621765,81420.0
2020-09-09,109,1,3,0,154788,20000,174788,0,4241345988,548020000,4789365988,0,27401.0,27401.0,27401.0,,-20000.0
2020-09-08,28,0,1,0,15011,0,15011,0,411526565,0,411526565,0,27415.0,27415.0,,,0.0
2020-09-07,30,0,2,0,23565,0,23565,0,646529340,0,646529340,0,27436.0,27436.0,,,0.0
2020-09-06,340,4,446,2,1197051,1831066,2797051,231066,34774993330,52673957000,80798492170,6650458160,29050.552841942408,28887.028577598336,28766.825990980116,28781.638839119558,-1600000.0
2020-09-05,216,3,264,3,1068251,1800000,2259162,609089,32342386171,54473400000,68382925764,18432860407,30276.017687790605,30269.15544967559,30263.0,30263.0,-1190911.0
