date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,11,0,0,1,6211,0,0,6211,224651870,0,0,224651870,36170.0,,,36170.0,6211.0
2020-10-18,45,0,1,0,58574,0,58574,0,2123366074,0,2123366074,0,36251.0,36251.0,,,0.0
2020-10-14,83,0,27,0,503886,0,503886,0,18680061792,0,18680061792,0,37072.0,37072.0,,,0.0
2020-10-13,315,3,191,0,974175,374962,1349137,0,38120759796,14526368932,52647128728,0,39131.326297636464,39022.8188301114,38740.90956416917,,-374962.0
2020-10-12,802,5,728,1,3606071,376666,3959640,23097,146930856326,15210887902,161171051628,970692600,40745.41414353738,40703.46082674182,40382.959709663206,42026.78269905182,-353569.0
2020-10-11,3312,7,2134,6,19425652,592236,15230539,4787349,821045748550,24907945146,642493556884,203460136812,42266.058742841684,42184.55807007224,42057.4655137479,42499.5413561869,4195113.0
2020-10-10,108,1,13,1,283291,500000,537736,245555,11839297472,20896000000,22473062912,10262234560,41792.0,41792.0,41792.0,41792.0,-254445.0
2020-10-07,494,2,346,1,1660162,34077,1669938,24301,73041197548,1490040300,73463452848,1067785000,43996.427787167755,43991.72475145784,43725.68888106348,43939.96131846426,-9776.0
2020-10-06,134,0,286,0,2036472,0,2036472,0,93681649211,0,93681649211,0,46001.93334894857,46001.93334894857,,,0.0
2020-10-05,12,0,1,0,10375,0,10375,0,477374500,0,477374500,0,46012.0,46012.0,,,0.0
2020-10-04,20,0,2,0,12015,0,12015,0,553146570,0,553146570,0,46038.0,46038.0,,,0.0
2020-10-03,48,0,5,0,76158,0,76158,0,3519185022,0,3519185022,0,46209.0,46209.0,,,0.0
2020-09-30,10,0,1,0,6913,0,6913,0,319553425,0,319553425,0,46225.0,46225.0,,,0.0
2020-09-29,10,0,1,0,3233,0,3233,0,149468056,0,149468056,0,46232.0,46232.0,,,0.0
2020-09-28,9,0,1,0,4641,0,4641,0,214613763,0,214613763,0,46243.0,46243.0,,,0.0
2020-09-27,6,0,1,0,959,0,959,0,44348955,0,44348955,0,46245.0,46245.0,,,0.0
2020-09-26,16,0,3,0,10288,0,10288,0,475994896,0,475994896,0,46267.0,46267.0,,,0.0
2020-09-23,37,3,10,0,20104,232551,252655,0,942676560,10904316390,11846992950,0,46890.0,46890.0,46890.0,,-232551.0
2020-09-22,26,1,15,0,22415,600000,622415,0,1086544710,29084400000,30170944710,0,48474.0,48474.0,48474.0,,-600000.0
2020-09-21,19,1,13,0,124408,400000,524408,0,6201365576,19938800000,26140165576,0,49847.0,49847.0,49847.0,,-400000.0
