date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,1,0,2,0,18776,0,18776,0,216224416,0,216224416,0,11516.0,11516.0,,,0.0
2020-09-28,4,0,23,0,22612,0,22612,0,4208929844,0,4208929844,0,186137.0,186137.0,,,0.0
2020-09-27,1,0,17,0,4232,0,4232,0,786838832,0,786838832,0,185926.0,185926.0,,,0.0
2020-09-26,6,0,8,0,32675,0,32675,0,6022329250,0,6022329250,0,184310.0,184310.0,,,0.0
2020-09-19,6,0,21,0,6211,0,6211,0,1163755070,0,1163755070,0,187370.0,187370.0,,,0.0
2020-09-16,8,0,30,0,23790,0,23790,0,4346337840,0,4346337840,0,182696.0,182696.0,,,0.0
2020-09-15,3,0,24,0,35949,0,35949,0,6508278858,0,6508278858,0,181042.0,181042.0,,,0.0
2020-09-14,9,0,16,0,40321,0,40321,0,7225724805,0,7225724805,0,179205.0,179205.0,,,0.0
2020-09-13,14,0,24,0,23415,0,23415,0,4235539350,0,4235539350,0,180890.0,180890.0,,,0.0
2020-09-12,15,0,22,1,64717,0,14717,50000,11297840841,0,2569190841,8728650000,174573.0,174573.0,,174573.0,50000.0
2020-09-09,1,0,21,0,4656,0,4656,0,811927248,0,811927248,0,174383.0,174383.0,,,0.0
2020-09-08,95,0,42,0,155111,0,155111,0,26260912744,0,26260912744,0,169304.0,169304.0,,,0.0
2020-09-07,40,0,29,0,115876,0,115876,0,19130779972,0,19130779972,0,165097.0,165097.0,,,0.0
2020-09-06,4,0,15,0,8371,0,8371,0,1353038214,0,1353038214,0,161634.0,161634.0,,,0.0
2020-09-05,2,0,18,0,5785,0,5785,0,933785775,0,933785775,0,161415.0,161415.0,,,0.0
2020-09-02,2,0,14,0,923,0,923,0,148954663,0,148954663,0,161381.0,161381.0,,,0.0
2020-09-01,1,0,32,0,37532,0,37532,0,6086414312,0,6086414312,0,162166.0,162166.0,,,0.0
