date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,59,1,24,6,2252045,4800000,4186568,2865477,23087965340,49209600000,42920695136,29376870204,10252.0,10252.0,10252.0,10252.0,-1934523.0
2020-10-18,368,3,395,5,11504925,9600480,18698505,2406900,121637942442,101429271200,197637515342,25429698300,10572.68451919504,10569.696098270959,10565.020832291719,10565.332294652873,-7193580.0
2020-10-14,1166,5,965,14,49556198,3917690,38561983,14911905,539650787035,42707730529,420043975339,162314542225,10889.672913063267,10892.696450257758,10901.253169342137,10884.896478685989,10994215.0
2020-10-13,971,6,879,16,60634966,16723387,36336857,41021496,643426672191,177399056635,385384083559,435441645267,10611.4790629387,10605.872807298661,10607.842576088206,10614.962586128015,24298109.0
2020-10-12,932,14,1001,21,60381860,56165545,84542356,32005049,624781009949,576900429619,873934989318,327746450250,10347.164031531987,10337.244319498264,10271.42939001126,10240.460817604122,-24160496.0
2020-10-11,462,6,210,10,40127419,4401200,27343515,17185104,423328945761,46281636000,289776600946,179833980815,10549.6180993101,10597.635342274027,10515.685722075797,10464.526767775162,12783904.0
2020-09-29,724,13,1175,7,38575339,21717872,50413211,9880000,454692319614,257634000955,596338096750,115988223819,11787.124401265793,11829.004439927463,11862.76449898038,11739.698767105263,-11837872.0
2020-09-28,97,4,271,3,11860537,818000,12500471,178066,143405752867,9890438000,151143194861,2152996006,12091.0,12091.0,12091.0,12091.0,-639934.0
2020-09-27,343,8,702,6,15318298,4810500,18913798,1215000,191107302143,59781034028,235722831505,15165504666,12475.75299442536,12463.008831171825,12427.197594428853,12481.896844444444,-3595500.0
2020-09-26,611,58,1598,6,22928249,12725843,33950190,1703902,292745766280,162337628555,433376642445,21706752390,12767.907670577026,12765.072668076378,12756.53240064332,12739.437121383742,-11021941.0
2020-09-23,789,30,1346,7,20909788,22979949,39436737,4453000,275172027462,300643725743,517243267383,58572485822,13159.962571691305,13115.772417555743,13082.871756721479,13153.488843925443,-18526949.0
2020-09-22,96,1,11,0,1602592,1500000,3102592,0,21567683136,20187000000,41754683136,0,13458.0,13458.0,13458.0,,-1500000.0
2020-09-21,92,3,22,0,458683,500000,958683,0,6137637223,6690500000,12828137223,0,13381.0,13381.0,13381.0,,-500000.0
2020-09-20,192,3,454,5,1833645,13419988,13553633,1700000,25830685815,189022105175,190908290990,23944500000,14087.070188068028,14085.396217383191,14085.117302265844,14085.0,-11719988.0
2020-09-19,158,1,32,0,2286640,100000,2386640,0,32943622480,1440700000,34384322480,0,14407.0,14407.0,14407.0,,-100000.0
2020-09-16,1455,16,1171,28,34014833,11327662,35799045,9543450,506248129176,167162195192,531887026381,141523297987,14883.157861630541,14857.575848210476,14756.990029540077,14829.364431835447,-1784212.0
2020-09-15,1014,27,964,7,36521459,10062386,33131194,13452651,541431760166,149117743087,491020142810,199529360443,14825.030954157664,14820.478332594956,14819.32248345472,14831.973299760768,3390265.0
2020-09-14,1556,17,2432,11,38971481,23946613,44654861,18263233,561236369151,344780822722,642682915594,263334276279,14401.207107089413,14392.2274350826,14397.895131223777,14418.820385142106,-5683380.0
2020-09-13,1481,16,2204,22,49823810,113042244,83997999,78868055,718254862018,1632479370998,1206819445217,1143914787799,14415.895974595278,14367.240405536328,14441.321343532423,14504.158721791731,-34174189.0
2020-09-12,292,2,15,3,3846284,1335000,3681284,1500000,57848111360,20078400000,55366511360,22560000000,15040.0,15040.0,15040.0,15040.0,165000.0
