date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,6,0,6,0,503091,0,503091,0,18240067296,0,18240067296,0,36256.0,36256.0,,,0.0
2020-10-18,2,0,1,0,338,0,338,0,12254866,0,12254866,0,36257.0,36257.0,,,0.0
2020-10-14,3,0,1,0,1931,0,1931,0,70020991,0,70020991,0,36261.51786639047,36261.51786639047,,,0.0
2020-10-13,3,0,5,0,1649,0,1649,0,61719332,0,61719332,0,37428.339599757426,37428.339599757426,,,0.0
2020-10-12,2,0,3,0,235,0,235,0,8713775,0,8713775,0,37079.89361702128,37079.89361702128,,,0.0
2020-10-11,5,1,18,0,6348,16018,22366,0,237500669,602738625,840239294,0,37413.463925645876,37567.705177501564,37628.83162691972,,-16018.0
2020-10-10,10,1,8,0,4137,20137,24274,0,153327640,757609952,910937592,0,37062.51873338168,37527.29636648265,37622.78154640711,,-20137.0
2020-10-07,8,1,24,0,48462,2566,51028,0,1812438613,94942000,1907380613,0,37399.17075234204,37379.09800501685,37000.0,,-2566.0
2020-10-05,8,0,12,0,5588,0,5588,0,204205281,0,204205281,0,36543.53632784538,36543.53632784538,,,0.0
2020-10-04,14,0,6,0,7404,0,7404,0,275742602,0,275742602,0,37242.38276607239,37242.38276607239,,,0.0
2020-10-03,13,0,30,0,33237,0,33237,0,1239710570,0,1239710570,0,37299.11153232843,37299.11153232843,,,0.0
2020-09-30,15,0,18,0,32889,0,32889,0,1227675486,0,1227675486,0,37327.84475052449,37327.84475052449,,,0.0
2020-09-29,17,0,16,1,74063,0,24063,50000,2750951090,0,893701090,1857250000,37143.3926522015,37140.05277812409,,37145.0,50000.0
2020-09-28,1,0,18,0,18018,0,18018,0,668413746,0,668413746,0,37097.0,37097.0,,,0.0
2020-09-27,9,0,24,0,31073,0,31073,0,1144990304,0,1144990304,0,36848.399060277414,36848.399060277414,,,0.0
2020-09-26,32,0,26,1,333894,0,111175,222719,12123744934,0,4061317134,8062427800,36310.16111101128,36530.84896784349,,36200.0,222719.0
2020-09-23,7,0,10,1,30271,0,6637,23634,1098769161,0,234497415,864271746,36297.74903372865,35331.83893325298,,36569.0,23634.0
2020-09-22,14,0,15,0,15698,0,15698,0,571815754,0,571815754,0,36426.025863167284,36426.025863167284,,,0.0
2020-09-21,21,3,46,0,118290,85785,204075,0,4244345117,3084510979,7328856096,0,35880.84467833291,35912.56202866593,35956.297476248765,,-85785.0
2020-09-20,2,0,6,0,1309,0,1309,0,45663156,0,45663156,0,34884.0,34884.0,,,0.0
2020-09-19,9,1,23,1,6599,220000,26599,200000,229021517,7888307004,917528521,7199800000,34705.488255796336,34494.85021993308,35855.94092727273,35999.0,-20000.0
2020-09-15,5,1,20,0,2428,14018,16446,0,82789944,477985764,560775708,0,34098.0,34098.0,34098.0,,-14018.0
