date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,11,0,12,0,76960,0,76960,0,771199490,0,771199490,0,10020.783393970894,10020.783393970894,,,0.0
2020-10-18,10,1,9,0,71010,300000,371010,0,711562440,3006000000,3717562440,0,10020.594845796366,10020.113851378668,10020.0,,-300000.0
2020-10-14,19,0,12,1,135280,0,116050,19230,1355843920,0,1162967020,192876900,10022.500887049084,10021.258250753985,,10030.0,19230.0
2020-10-13,16,1,20,0,128800,24500,153300,0,1290209590,245265000,1535474590,0,10017.155201863354,10016.142139595564,10010.816326530612,,-24500.0
2020-10-12,9,1,34,0,300590,78590,379180,0,3008673040,786292950,3794965990,0,10009.22532353039,10008.349570125007,10005.0,,-78590.0
2020-10-11,48,2,21,0,200500,300470,500970,0,2008456440,3011264870,5019721310,0,10017.23910224439,10020.003812603549,10021.848670416348,,-300470.0
2020-10-10,16,1,16,0,48940,10950,59890,0,490256560,109609500,599866060,0,10017.502247650184,10016.130572716647,10010.0,,-10950.0
2020-10-07,17,1,28,1,295800,500000,775800,20000,2960892790,5000000000,7760692790,200200000,10009.77954699121,10003.470984789894,10000.0,10010.0,-480000.0
2020-10-05,12,1,17,0,245240,150000,395240,0,2472329640,1520981160,3993310800,0,10081.265862012722,10103.508754174678,10139.8744,,-150000.0
2020-10-04,20,2,18,2,462350,518300,481860,498790,4668303020,5237567130,4867329560,5038540590,10096.902822537038,10101.128045490392,10105.28097626857,10101.52687503759,-19510.0
2020-10-03,22,1,20,1,87840,237870,268180,57530,887252370,2401410130,2707609500,581053000,10100.778346994535,10096.239466030278,10095.472863328709,10100.0,-180340.0
2020-09-30,13,1,14,2,158300,32000000,126970,32031330,1597800330,322240000000,1281367330,322556433000,10093.495451674036,10091.89044656218,10070.0,10070.029343146225,31330.0
2020-09-29,13,1,21,0,99510,212210,311720,0,1001476610,2134832600,3136309210,0,10064.08009245302,10061.302482997562,10060.0,,-212210.0
2020-09-28,20,1,18,1,200100,7320,196280,11140,2019188640,73785600,1980460240,112514000,10090.897751124437,10089.974729977583,10080.0,10100.0,3820.0
