date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,600,3,546,4,1339691,966634,2280225,26100,79904755550,58227476960,136562001510,1570231000,59644.16835673301,59889.704529158305,60237.35660032649,60162.10727969349,-940534.0
2020-10-18,578,3,456,3,1430699,666102,2088929,7872,90456533890,42473059910,132435070620,494523180,63225.412116734544,63398.55046294058,63763.59763219447,62820.52591463415,-658230.0
2020-10-14,676,3,376,4,1217016,80837,1248853,49000,80033792890,5319017140,82133927750,3218882280,65762.31774274126,65767.49044923623,65799.28918688225,65691.47510204081,-31837.0
2020-10-13,619,5,484,3,1303076,223791,1396886,129981,87467723050,14966113300,93734648330,8699188020,67124.03808373418,67102.5755358705,66875.40294292443,66926.61250490457,-93810.0
2020-10-12,828,3,573,1,1663634,181952,1824285,21301,112272153700,12286499550,123138701100,1419952150,67486.08990919878,67499.70596699529,67526.04835341188,66661.29054973945,-160651.0
2020-10-11,1048,2,961,1,3265524,12350,3269186,8688,225744820050,851645590,225999518620,596947020,69129.73845851385,69130.2111963039,68959.15708502024,68709.37154696132,-3662.0
2020-10-10,718,1,549,2,1899286,17816,1907809,9293,127556454940,1194639050,128129129470,621964520,67160.2143858271,67160.3548730507,67054.27986079929,66928.28150220597,-8523.0
2020-10-07,1045,4,697,2,2203495,42485,2183642,62338,150051891090,2888858000,148706395190,4234353900,68097.22331568712,68100.17172686731,67997.12839825821,67925.7258814848,19853.0
2020-10-06,905,2,620,1,3403997,53144,1476741,1980400,232399702280,3636886150,101020190080,135016398350,68272.5931544593,68407.5203979574,68434.55799337648,68176.3271813775,1927256.0
2020-10-05,566,1,471,2,1622016,1315,1432255,191076,107734619040,85843200,94987094320,12833367920,66420.19501657198,66319.96000712164,65280.0,67163.68314178652,189761.0
2020-10-03,1424,3,650,3,4176119,18092,2327259,1866952,290553297170,1261267260,161765425250,130049139180,69574.95635780494,69508.9911565494,69714.08688923281,69658.53389910399,1848860.0
2020-09-30,878,3,496,1,2238002,12910,1364926,885986,150657053010,870413500,91736534910,59790931600,67317.65789753539,67209.89629474419,67421.649883811,67485.1878020646,873076.0
2020-09-29,616,2,659,3,1634616,52134,1634637,52113,106550999640,3215488720,106316924250,3449564110,65184.11641633265,65040.08183468256,61677.38366517052,66193.92685126553,-21.0
2020-09-28,523,2,560,2,1045068,1094021,2137079,2010,65200262690,68741917990,133815239280,126941400,62388.53614310265,62615.9534954019,62834.185075057976,63154.92537313433,-1092011.0
2020-09-27,611,1,484,2,1169139,27716,1171775,25080,77504090150,1816540000,77646991650,1673638500,66291.59590946842,66264.42077190588,65541.20363688844,66731.9976076555,-2636.0
2020-09-26,802,1,599,1,1792708,100,1779308,13500,127308753130,7122000,126359401880,956473250,71014.77381146289,71016.03650407911,71220.0,70849.87037037036,13400.0
2020-09-23,938,0,797,7,2451680,0,2357922,93758,172934717640,0,166263329540,6671388100,70537.23065000326,70512.65035060533,,71155.4011391028,93758.0
2020-09-22,717,5,686,6,2200680,22228,2045367,177541,149753653210,1476694450,139026050490,12204297170,68048.80909991458,67971.20051804883,66433.97741587188,68740.7256352054,155313.0
2020-09-21,458,5,524,0,1058668,630822,1689490,0,69698843250,41341023490,111039866740,0,65836.35592083637,65723.8969985025,65535.16442039117,,-630822.0
2020-09-20,674,5,1357,1,1796011,1365701,3161042,670,122442479820,92768476570,215165121690,45834700,68174.68257154326,68067.78324679015,67927.3695852899,68410.0,-1365031.0
2020-09-19,804,3,1381,3,2433007,279123,2681446,30684,171918515100,19811229240,189548647980,2181096360,70660.9208687028,70688.96706478519,70976.69930460765,71082.53030895581,-248439.0
2020-09-16,1871,6,1587,5,5897274,683558,5761794,819038,424196372740,48471208010,412598514070,60069066680,71930.92482051876,71609.38313136499,70910.16125917625,73341.00088152198,135480.0
2020-09-15,2126,7,1224,3,9605230,243341,4189825,5658746,688424378070,17527440460,300269640480,405682178050,71671.82650181203,71666.39190896995,72028.30784783493,71691.17999818335,5415405.0
2020-09-14,1048,5,973,5,3738167,25567,2654660,1109074,254786295940,1696610610,180606170540,75876736010,68158.08280903449,68033.6353958699,66359.39335862636,68414.49354145891,1083507.0
2020-09-13,955,4,753,2,2629656,205257,2670552,164361,172358554550,13082050310,174346978130,11093626730,65544.14514674163,65284.99655876388,63734.97766215038,67495.49303058512,-40896.0
2020-09-12,1552,3,873,3,4416927,52515,4130008,339434,299294354600,3503371900,279648774520,23148951980,67760.76548242704,67711.43652021981,66711.83280967343,68198.68363216413,286919.0
2020-09-09,1006,1,976,2,4672904,21710,2643257,2051357,298703436410,1369819850,166956911010,133116345250,63922.442320663984,63163.328806090365,63096.26209120221,64891.84732350342,2029647.0
2020-09-08,400,1,863,0,929769,1739859,2669628,0,54461960190,103168906980,157630867170,0,58575.796988284186,59046.00460064099,59297.2804003083,,-1739859.0
2020-09-07,595,3,548,1,1150230,1081178,2229684,1724,72025054240,67779250290,139693968530,110336000,62617.95835615486,62651.9132442086,62690.18634304435,64000.0,-1079454.0
2020-09-06,960,3,789,1,1707861,258029,1955890,10000,117076109490,17235432150,133610441640,701100000,68551.3103759615,68311.83841627085,66796.49244852323,70110.0,-248029.0
2020-09-05,672,1,734,4,1917324,4110,1795384,126050,127628757260,270438000,119584592260,8314603000,66566.08755744986,66606.69375465081,65800.0,65962.73700912336,121940.0
2020-09-02,351,1,464,1,934979,708263,1618242,25000,58356361970,44233379750,101039991720,1549750000,62414.62318405012,62438.122184444604,62453.32560080083,61990.0,-683263.0
2020-09-01,500,2,666,2,928523,772745,1661168,40100,61333260540,50589566400,109215093570,2707733370,66054.64866244563,65745.96523048842,65467.34873729367,67524.5229426434,-732645.0
