date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,21,0,24,0,56705,0,56705,0,2184938710,0,2184938710,0,38531.676395379596,38531.676395379596,,,0.0
2020-10-18,42,0,43,0,93695,0,93695,0,3627177400,0,3627177400,0,38712.60366081435,38712.60366081435,,,0.0
2020-10-14,95,0,82,0,303433,0,303433,0,11949480520,0,11949480520,0,39380.95236839764,39380.95236839764,,,0.0
2020-10-13,105,0,102,0,367572,0,367572,0,14697247880,0,14697247880,0,39984.6775053595,39984.6775053595,,,0.0
2020-10-12,123,0,121,0,482664,0,482664,0,19687739290,0,19687739290,0,40789.740461273264,40789.740461273264,,,0.0
2020-10-11,177,0,160,0,888301,0,888301,0,37509879640,0,37509879640,0,42226.54217433055,42226.54217433055,,,0.0
2020-10-10,100,0,105,0,186971,0,186971,0,7889014840,0,7889014840,0,42193.78855544443,42193.78855544443,,,0.0
2020-10-07,175,0,150,0,451018,0,451018,0,19418133930,0,19418133930,0,43054.010992909374,43054.010992909374,,,0.0
2020-10-06,211,0,196,0,515117,0,515117,0,22674798310,0,22674798310,0,44018.73420989794,44018.73420989794,,,0.0
2020-10-05,173,0,187,0,905188,0,905188,0,38545066930,0,38545066930,0,42582.38833258947,42582.38833258947,,,0.0
2020-10-03,105,0,113,1,220823,0,182504,38319,8800267040,0,7269260660,1531006380,39852.13062045167,39830.692258799805,,39954.23627965239,38319.0
2020-09-30,68,1,107,0,133462,600,134062,0,5381592530,23760000,5405352530,0,40323.032248879834,40319.796288284524,39600.0,,-600.0
2020-09-29,141,0,145,0,288687,0,288687,0,11654858480,0,11654858480,0,40371.954677557354,40371.954677557354,,,0.0
2020-09-28,178,0,263,0,648539,0,648539,0,27240421760,0,27240421760,0,42002.750428270316,42002.750428270316,,,0.0
2020-09-27,20,0,55,0,180167,0,180167,0,7241121890,0,7241121890,0,40191.166473327525,40191.166473327525,,,0.0
2020-09-26,59,1,106,0,164805,20000,184805,0,6703027700,809600000,7512627700,0,40672.47777676648,40651.64741213712,40480.0,,-20000.0
2020-09-23,104,1,186,0,238006,20000,258006,0,9788411710,818200000,10606611710,0,41126.74348545835,41109.94205561111,40910.0,,-20000.0
2020-09-22,46,0,92,0,235114,0,235114,0,9722913130,0,9722913130,0,41354.03731806698,41354.03731806698,,,0.0
2020-09-21,49,0,81,0,227783,0,227783,0,9517005000,0,9517005000,0,41781.01526452808,41781.01526452808,,,0.0
2020-09-20,101,0,231,0,298383,0,298383,0,12658262520,0,12658262520,0,42422.86765666945,42422.86765666945,,,0.0
2020-09-19,204,1,395,0,635696,20000,655696,0,28091224170,857200000,28948424170,0,44189.71358951448,44149.15474549181,42860.0,,-20000.0
2020-09-16,269,1,549,1,2528736,20000,2248736,300000,114084341180,900600000,101475672480,13509268700,45115.164722612404,45125.649467078394,45030.0,45030.89566666666,280000.0
2020-09-15,75,1,3,0,97946,20000,117946,0,4434994880,905600000,5340594880,0,45280.0,45280.0,45280.0,,-20000.0
2020-09-14,21,1,2,0,6011,20000,26011,0,272538740,906800000,1179338740,0,45340.0,45340.0,45340.0,,-20000.0
2020-09-13,3,0,1,0,727,0,727,0,32962180,0,32962180,0,45340.0,45340.0,,,0.0
2020-09-12,17,0,3,0,5308,0,5308,0,240717800,0,240717800,0,45350.0,45350.0,,,0.0
2020-09-09,14,0,6,0,5251,0,5251,0,238185360,0,238185360,0,45360.0,45360.0,,,0.0
2020-09-08,4,0,3,0,915,0,915,0,41504400,0,41504400,0,45360.0,45360.0,,,0.0
2020-09-07,5,0,1,0,663,0,663,0,30073680,0,30073680,0,45360.0,45360.0,,,0.0
2020-09-06,18,0,1,0,6923,0,6923,0,314165740,0,314165740,0,45380.0,45380.0,,,0.0
2020-09-05,27,0,12,0,17624,0,17624,0,800305840,0,800305840,0,45410.0,45410.0,,,0.0
2020-09-02,9,0,1,0,2325,0,2325,0,105601500,0,105601500,0,45420.0,45420.0,,,0.0
2020-09-01,13,1,119,0,26732,268000,294732,0,1232077880,12352120000,13584197880,0,46090.0,46090.0,46090.0,,-268000.0
2020-08-31,93,0,39,0,149438,0,149438,0,6956262240,0,6956262240,0,46549.487011335805,46549.487011335805,,,0.0
2020-08-26,280,1,172,0,412625,78733,491358,0,19951728550,3706749640,23658478190,0,48353.1743108149,48149.16657508375,47080.0,,-78733.0
2020-08-18,179,1,243,1,366096,50000,406096,10000,18704969070,2707644680,20894150690,518463060,51093.07140749967,51451.25952976636,54152.8936,51846.306,-40000.0
2020-08-17,169,0,246,0,516126,0,516126,0,26341063850,0,26341063850,0,51036.111046527396,51036.111046527396,,,0.0
2020-08-16,82,1,116,0,146980,20000,166980,0,7403931680,1007400000,8411331680,0,50373.73574636005,50373.28829799976,50370.0,,-20000.0
