date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-18,147,2,150,0,958807,250700,1209507,0,8718656000,2329345990,11048001990,0,9093.233570468301,9134.301818840238,9291.368129238133,,-250700.0
2020-10-14,348,6,617,1,3560222,3525000,7083222,2000,33480682610,33303294440,66765497050,18480000,9404.099690974326,9425.86538301355,9447.7431035461,9240.0,-3523000.0
2020-10-13,597,3,465,1,6411710,750000,7159710,2000,62395864160,7210500000,69587144160,19220000,9731.548083116673,9719.268540206238,9614.0,9610.0,-748000.0
2020-10-12,1073,1,654,2,9934896,1000,9435896,500000,100405098410,9500000,95329771680,5084826730,10106.305935160268,10102.884949134666,9500.0,10169.65346,499000.0
2020-10-11,369,1,197,2,3756903,1000,2254403,1503500,37418753880,9960000,22453853880,14974860000,9960.0,9960.0,9960.0,9960.0,1502500.0
2020-10-10,841,2,293,1,9128388,148891,9177279,100000,86662601440,1414464500,87127065940,950000000,9493.746479663221,9493.779794642835,9500.0,9500.0,-48891.0
2020-10-07,576,3,244,0,10623706,900000,11523706,0,96143909300,8145000000,104288909300,0,9049.940698660148,9049.945330087387,9050.0,,-900000.0
2020-09-29,33,0,4,0,91492,0,91492,0,795065480,0,795065480,0,8690.0,8690.0,,,0.0
2020-09-28,15,0,1,0,22794,0,22794,0,198079860,0,198079860,0,8690.0,8690.0,,,0.0
2020-09-27,47,0,8,0,105393,0,105393,0,916919100,0,916919100,0,8700.0,8700.0,,,0.0
2020-09-26,176,1,441,0,2619694,3000000,5619694,0,23984323780,27450000000,51434323780,0,9155.391347233684,9152.513247162567,9150.0,,-3000000.0
2020-09-23,367,1,636,0,6677577,153450,6831027,0,64333538440,1477723500,65811261940,0,9634.263811559193,9634.168030663617,9630.0,,-153450.0
2020-09-22,44,0,2,0,112769,0,112769,0,1087093160,0,1087093160,0,9640.0,9640.0,,,0.0
2020-09-21,32,0,8,0,99727,0,99727,0,962365550,0,962365550,0,9650.0,9650.0,,,0.0
2020-09-20,60,0,5,0,162127,0,162127,0,1567768090,0,1567768090,0,9670.0,9670.0,,,0.0
2020-09-19,181,0,253,0,1773586,0,1773586,0,17474116460,0,17474116460,0,9852.421286591121,9852.421286591121,,,0.0
2020-09-16,595,0,890,0,8501740,0,8501740,0,88060535550,0,88060535550,0,10357.942674087893,10357.942674087893,,,0.0
2020-09-08,39,0,4,0,59870,0,59870,0,653181700,0,653181700,0,10910.0,10910.0,,,0.0
2020-09-07,32,0,4,0,61801,0,61801,0,674866920,0,674866920,0,10920.0,10920.0,,,0.0
2020-09-06,109,0,14,0,396575,0,396575,0,4350427750,0,4350427750,0,10970.0,10970.0,,,0.0
2020-09-05,146,0,32,0,819631,0,819631,0,9073315170,0,9073315170,0,11070.0,11070.0,,,0.0
2020-09-02,39,0,2,0,145214,0,145214,0,1610423260,0,1610423260,0,11090.0,11090.0,,,0.0
2020-09-01,84,0,7,0,210106,0,210106,0,2336378720,0,2336378720,0,11120.0,11120.0,,,0.0
2020-08-31,479,1,317,0,2368828,900000,3268828,0,27517283680,10368000000,37885283680,0,11616.412707043315,11589.867585568894,11520.0,,-900000.0
2020-08-26,969,0,622,1,7277943,0,7057943,220000,88237070050,0,85603887450,2633182600,12123.902323774726,12128.730346788008,,11969.011818181818,220000.0
2020-08-25,984,1,1185,1,9498496,1510191,11003805,4882,111153726610,17417890770,128513960960,57656420,11702.244924880739,11679.047471306516,11533.568118204916,11810.0,-1505309.0
2020-08-24,90,0,8,0,226892,0,226892,0,2606989080,0,2606989080,0,11490.0,11490.0,,,0.0
2020-08-23,156,0,176,0,1034526,0,1034526,0,12042022560,0,12042022560,0,11640.135250346535,11640.135250346535,,,0.0
2020-08-22,438,0,424,0,2992593,0,2992593,0,36315375130,0,36315375130,0,12135.0865720798,12135.0865720798,,,0.0
2020-08-19,346,2,335,0,2670294,131305,2801599,0,33352667100,1638686400,34991353500,0,12490.260285946042,12489.77940811658,12480.0,,-131305.0
2020-08-18,1407,1,1061,0,7738106,1890,7739996,0,101587282210,25274100,101612556310,0,13128.184365786667,13128.244033976245,13372.539682539682,,-1890.0
