date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,16,0,41,0,112992,0,112992,0,2348074161,0,2348074161,0,20780.8885673322,20780.8885673322,,,0.0
2020-10-14,2,0,5,0,7789,0,7789,0,162378050,0,162378050,0,20847.09847220439,20847.09847220439,,,0.0
2020-10-13,44,1,43,1,96546,20000,107046,9500,2056746354,435381972,2287403326,204725000,21303.27878938537,21368.414756273003,21769.0986,21550.0,-10500.0
2020-10-12,41,1,47,1,126075,10000,135575,500,2659500378,206000000,2854650378,10850000,21094.589553837002,21055.875921076895,20600.0,21700.0,-9500.0
2020-10-11,50,0,24,1,121772,0,64772,57000,2645740244,0,1407301244,1238439000,21727.0,21727.0,,21727.0,57000.0
2020-10-10,47,0,37,1,142669,0,67469,75200,3085949552,0,1459298352,1626651200,21630.133750148947,21629.168240228846,,21631.0,75200.0
2020-10-07,46,1,56,0,102652,54030,156682,0,2183725461,1163197588,3346923049,0,21273.092204730547,21361.24793530846,21528.73566537109,,-54030.0
2020-10-05,55,1,54,0,192270,100000,292270,0,4008227664,2149051237,6157278901,0,20846.8698392885,21067.09173367092,21490.51237,,-100000.0
2020-10-04,20,0,37,0,70958,0,70958,0,1447917693,0,1447917693,0,20405.277671298514,20405.277671298514,,,0.0
2020-10-03,35,0,36,1,198303,0,198301,2,4075507408,0,4075466148,41260,20551.920081894878,20551.91929440598,,20630.0,2.0
2020-09-30,17,0,44,0,130798,0,130798,0,2683097063,0,2683097063,0,20513.288146607745,20513.288146607745,,,0.0
2020-09-22,22,0,35,0,99039,0,99039,0,2084640743,0,2084640743,0,21048.685295691597,21048.685295691597,,,0.0
2020-09-21,18,1,53,0,95268,12600,107868,0,2022190438,265507200,2287697638,0,21226.334529957592,21208.30680090481,21072.0,,-12600.0
2020-09-20,23,1,118,0,126030,83300,209330,0,2676089786,1767209500,4443299286,0,21233.752170118227,21226.290001433143,21215.0,,-83300.0
2020-09-19,33,0,115,1,211994,0,165340,46654,4534401054,0,3538058230,996342824,21389.289574233233,21398.682895850972,,21356.0,46654.0
2020-09-16,47,1,120,0,399252,89517,488769,0,8716381093,1947595551,10663976644,0,21831.778157654815,21818.02987505345,21756.711585508896,,-89517.0
2020-09-15,52,0,92,2,290135,0,287783,2352,6433550511,0,6381105311,52445200,22174.334399503678,22173.322645882487,,22298.12925170068,2352.0
2020-09-14,22,0,51,0,125737,0,125737,0,2731272614,0,2731272614,0,21722.107366964377,21722.107366964377,,,0.0
2020-09-13,9,0,23,0,27920,0,27920,0,607036640,0,607036640,0,21742.0,21742.0,,,0.0
2020-09-12,42,0,32,1,88912,0,88901,11,1942415380,0,1942175492,239888,21846.49293683642,21846.497699688418,,21808.0,11.0
2020-09-09,20,0,9,1,21442,0,21177,265,467864440,0,462082140,5782300,21820.0,21820.0,,21820.0,265.0
2020-09-08,9,0,31,1,176844,0,153862,22982,3882613055,0,3378043245,504569810,21955.017162018503,21955.019725468275,,21955.0,22982.0
