date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,2,0,1,0,451,0,451,0,35525270,0,35525270,0,78770.0,78770.0,,,0.0
2020-10-18,17,0,2,0,3045,0,3045,0,239915550,0,239915550,0,78790.0,78790.0,,,0.0
2020-10-14,17,0,2,0,6777,0,6777,0,534298680,0,534298680,0,78840.0,78840.0,,,0.0
2020-10-13,16,0,1,0,2209,0,2209,0,174179650,0,174179650,0,78850.0,78850.0,,,0.0
2020-10-12,65,0,17,0,54033,0,54033,0,4281034590,0,4281034590,0,79230.0,79230.0,,,0.0
2020-10-11,96,2,109,0,91140,300000,391140,0,7472568600,24597000000,32069568600,0,81990.0,81990.0,81990.0,,-300000.0
2020-10-10,35,0,3,0,19657,0,19657,0,1614429410,0,1614429410,0,82130.0,82130.0,,,0.0
2020-10-07,102,2,66,0,64199,100000,164199,0,5356764560,8344000000,13700764560,0,83440.0,83440.0,83440.0,,-100000.0
2020-10-06,315,2,268,0,522440,400000,922440,0,45937551770,35080000000,81017551770,0,87928.85646198607,87829.61685312865,87700.0,,-400000.0
2020-10-05,1159,0,1501,0,2763885,0,2763885,0,255124644360,0,255124644360,0,92306.53386808785,92306.53386808785,,,0.0
2020-10-03,10,0,3,0,4188,0,4188,0,380354160,0,380354160,0,90820.0,90820.0,,,0.0
2020-09-30,8,0,1,0,2117,0,2117,0,192308280,0,192308280,0,90840.0,90840.0,,,0.0
2020-09-29,5,0,1,0,441,0,441,0,40060440,0,40060440,0,90840.0,90840.0,,,0.0
2020-09-28,5,0,1,0,2911,0,2911,0,264522570,0,264522570,0,90870.0,90870.0,,,0.0
2020-09-27,1,0,1,0,76,0,76,0,6906120,0,6906120,0,90870.0,90870.0,,,0.0
2020-09-26,67,0,10,0,49603,0,49603,0,4311492760,0,4311492760,0,86920.0,86920.0,,,0.0
2020-09-23,6,0,2,0,2438,0,2438,0,223735260,0,223735260,0,91770.0,91770.0,,,0.0
2020-09-22,8,0,3,0,4033,0,4033,0,370229400,0,370229400,0,91800.0,91800.0,,,0.0
2020-09-21,6,0,3,0,1858,0,1858,0,170601560,0,170601560,0,91820.0,91820.0,,,0.0
2020-09-20,2,0,1,0,256,0,256,0,23505920,0,23505920,0,91820.0,91820.0,,,0.0
2020-09-19,7,0,1,0,2173,0,2173,0,199568320,0,199568320,0,91840.0,91840.0,,,0.0
2020-09-16,20,0,3,0,4621,0,4621,0,424577480,0,424577480,0,91880.0,91880.0,,,0.0
2020-09-15,25,0,2,0,7096,0,7096,0,652477200,0,652477200,0,91950.0,91950.0,,,0.0
2020-09-14,12,0,2,0,2417,0,2417,0,222267320,0,222267320,0,91960.0,91960.0,,,0.0
2020-09-13,12,0,1,0,4892,0,4892,0,450112920,0,450112920,0,92010.0,92010.0,,,0.0
2020-09-12,30,0,18,0,59720,0,59720,0,5527086000,0,5527086000,0,92550.0,92550.0,,,0.0
2020-09-09,62,0,12,0,27770,0,27770,0,2577333700,0,2577333700,0,92810.0,92810.0,,,0.0
2020-09-08,2,0,1,0,200,0,200,0,18562000,0,18562000,0,92810.0,92810.0,,,0.0
2020-09-07,6,0,2,0,1010,0,1010,0,93748200,0,93748200,0,92820.0,92820.0,,,0.0
2020-09-06,18,0,3,0,8439,0,8439,0,783983100,0,783983100,0,92900.0,92900.0,,,0.0
2020-09-05,12,0,1,0,3839,0,3839,0,356758270,0,356758270,0,92930.0,92930.0,,,0.0
2020-09-02,8,0,1,0,2425,0,2425,0,225403750,0,225403750,0,92950.0,92950.0,,,0.0
2020-09-01,8,0,2,0,10262,0,10262,0,954879100,0,954879100,0,93050.0,93050.0,,,0.0
2020-08-31,26,1,5,0,5849,110,5959,0,544541900,10241000,554782900,0,93100.0,93100.0,93100.0,,-110.0
2020-08-26,158,0,16,0,105314,0,105314,0,9904781700,0,9904781700,0,94050.0,94050.0,,,0.0
2020-08-25,280,0,26,0,374665,0,374665,0,36556064050,0,36556064050,0,97570.0,97570.0,,,0.0
