date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,287,0,96,1,1302704,0,1299904,2800,23740135300,0,23686935300,53200000,18223.73716515801,18222.065090960565,,19000.0,2800.0
2020-10-18,708,0,517,2,4233759,0,4211313,22446,80314123620,0,79893349620,420774000,18969.932776050788,18971.1260169928,,18746.057203956163,22446.0
2020-10-14,715,1,606,1,3599929,13250,3591809,21370,70301900000,260272050,70133889850,428282200,19528.690704733344,19526.063287329587,19643.17358490566,20041.282171268133,8120.0
2020-10-13,869,0,579,2,4270630,0,3853028,417602,85940402090,0,77557207250,8383194840,20123.58881242346,20128.89790834637,,20074.604144616165,417602.0
2020-10-12,682,0,525,0,3543933,0,3543933,0,74837219010,0,74837219010,0,21116.996006978687,21116.996006978687,,,0.0
2020-10-11,1673,0,927,1,8780185,0,8480185,300000,192989728100,0,186270728100,6719000000,21980.143709956,21965.40854945971,,22396.666666666668,300000.0
2020-10-10,966,0,575,1,4957979,0,4508030,449949,110796233620,0,100603712280,10192521340,22347.055850781137,22316.557848993907,,22652.614718556993,449949.0
2020-10-07,1226,0,719,4,7937423,0,6878719,1058704,176228459530,0,152550605450,23677854080,22202.226028523364,22177.18232857019,,22364.94249573063,1058704.0
2020-10-06,253,2,349,2,4033596,1300000,2233596,3100000,86544505130,27908064830,47897599590,66554970370,21455.9180269913,21444.164293811413,21467.74217692308,21469.34528064516,1800000.0
2020-10-05,604,1,740,1,5201078,100000,4837158,463920,106451365650,1957047190,98728919060,9679493780,20467.173468653997,20410.521851880796,19570.4719,20864.575314709433,363920.0
2020-10-03,837,1,590,1,5815817,50000,5365817,500000,124073081340,1070000000,114443081340,10700000000,21333.732017358867,21328.174505392188,21400.0,21400.0,450000.0
2020-09-30,531,1,640,0,3151601,1439,3153040,0,64268023140,28823170,64296846310,0,20392.18262083303,20392.017326136047,20030.0,,-1439.0
2020-09-29,715,0,867,2,6209440,0,6108512,100928,124838596040,0,122855360840,1983235200,20104.64648019789,20112.158384889804,,19650.0,100928.0
2020-09-28,259,0,90,0,1400314,0,1400314,0,28338961620,0,28338961620,0,20237.576443569083,20237.576443569083,,,0.0
2020-09-27,1738,0,1032,1,15945883,0,15545883,400000,339526810680,0,331091715300,8435095380,21292.44336484847,21297.710480646227,,21087.73845,400000.0
2020-09-26,25,1,270,0,1404204,100000,1504204,0,30695899440,2186000000,32881899440,0,21860.0,21860.0,21860.0,,-100000.0
2020-09-23,19,2,313,0,499720,1175882,1675602,0,10574075200,24881663120,35455738320,0,21160.0,21160.0,21160.0,,-1175882.0
2020-09-22,699,2,645,7,8558357,752642,8394802,916197,172573681610,15150243860,169244341980,18479583490,20164.34715331459,20160.61152841961,20129.41592417112,20169.879938484846,163555.0
2020-09-21,522,0,811,3,6375575,0,4374575,2001000,122492394750,0,83572944750,38919450000,19212.76037847567,19104.243212197758,,19450.0,2001000.0
2020-09-20,732,7,2201,4,6453189,942112,6916610,478691,119823161860,17246882780,128342766560,8727278080,18568.054005546714,18555.73273034044,18306.616177269792,18231.548284801676,-463421.0
2020-09-19,819,3,1235,2,7080589,60500,7042782,98307,133025685820,1128800000,132293984140,1860501680,18787.375714082544,18784.336096162,18657.85123966942,18925.424232252026,37807.0
2020-09-16,1206,1,967,1,7145149,157968,7257388,45729,140178533380,3146722560,142455193960,870061980,19618.69981717666,19628.98965302668,19920.0,19026.48166371449,-112239.0
2020-09-15,252,0,499,4,2024475,0,1822323,202152,38796649050,0,34913309130,3883339920,19163.807431556328,19158.683246603374,,19210.0,202152.0
2020-09-14,986,3,955,1,5075537,311500,5382766,4271,92966233380,5640774000,98526994270,80013110,18316.531507897587,18304.15705791409,18108.423756019263,18734.045890892063,-307229.0
2020-09-13,417,1,382,1,2572632,1200,2553832,20000,49009541800,22704000,48654845800,377400000,19050.350691431966,19051.70183473306,18920.0,18870.0,18800.0
2020-09-12,736,1,781,4,2892520,516274,3374038,34756,57142832200,10567006370,67035711720,674126850,19755.38015294622,19868.096245507608,20467.82594126375,19395.98486592243,-481518.0
