date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-06-29,137,1,197,0,2851226,18600000,21451226,0,10798249258,70455281116,81253530374,0,3787.2302153529745,3787.8268763752712,3787.9183395698924,,-18600000.0
2020-06-28,103,0,104,2,5276212,0,5267712,8500,19595721368,0,19564164368,31557000,3713.975361111343,3713.977599382806,,3712.5882352941176,8500.0
2020-06-27,44,0,91,1,3375616,0,2475616,900000,12293993472,0,9016193472,3277800000,3642.0,3642.0,,3642.0,900000.0
2020-06-24,201,0,163,0,10334289,0,10334289,0,36904196783,0,36904196783,0,3571.0436182885924,3571.0436182885924,,,0.0
2020-06-23,5,0,118,0,696531,0,696531,0,2432982783,0,2432982783,0,3493.0,3493.0,,,0.0
2020-06-22,22,0,104,1,2747025,0,2495025,252000,9427789800,0,8562925800,864864000,3432.0,3432.0,,3432.0,252000.0
2020-06-21,14,0,119,1,1370733,0,1365733,5000,4661862933,0,4644857933,17005000,3401.0,3401.0,,3401.0,5000.0
2020-06-20,9,0,81,1,1713301,0,1413301,300000,5811516992,0,4793916992,1017600000,3392.0,3392.0,,3392.0,300000.0
2020-06-16,4,0,114,0,798421,0,798421,0,2643571931,0,2643571931,0,3311.0,3311.0,,,0.0
2020-06-15,101,0,146,2,15311062,0,15009448,301614,49709472582,0,48729830310,979642272,3246.637795732262,3246.610422315331,,3248.0,301614.0
2020-06-14,20,0,136,0,3154227,0,3154227,0,10055675676,0,10055675676,0,3188.0,3188.0,,,0.0
2020-06-13,94,0,151,0,5948078,0,5948078,0,18593412406,0,18593412406,0,3125.9530231446192,3125.9530231446192,,,0.0
2020-06-10,9,0,116,1,1045621,0,1005621,40000,3188098429,0,3066138429,121960000,3049.0,3049.0,,3049.0,40000.0
2020-06-09,6,0,143,2,4089026,0,1689026,2400000,12226187740,0,5050187740,7176000000,2990.0,2990.0,,2990.0,2400000.0
2020-06-08,125,1,184,3,10424948,7445937,15633385,2237500,30561800268,21827838102,45829288370,6560350000,2931.602178543241,2931.501294825145,2931.5099096325957,2932.0,-5208437.0
2020-06-07,131,1,110,1,5207327,1610513,6017840,800000,14977399380,4624009910,17299809290,2301600000,2876.216411990259,2874.7539465987797,2871.1410028978344,2877.0,-810513.0
2020-06-06,74,1,103,0,4049982,194341,4244323,0,11206300194,537741547,11744041741,0,2767.0,2767.0,2767.0,,-194341.0
2020-06-02,116,0,159,0,3589551,0,3589551,0,9742300786,0,9742300786,0,2714.0722575051864,2714.0722575051864,,,0.0
2020-06-01,116,0,157,0,5016774,0,5016774,0,13424168491,0,13424168491,0,2675.8567340286804,2675.8567340286804,,,0.0
2020-05-31,141,0,136,0,3080402,0,3080402,0,8074895486,0,8074895486,0,2621.3771728495176,2621.3771728495176,,,0.0
2020-05-30,214,0,242,0,5628468,0,5628468,0,14954183511,0,14954183511,0,2656.8834558533513,2656.8834558533513,,,0.0
2020-05-27,80,0,142,0,3718443,0,3718443,0,9975490034,0,9975490034,0,2682.706184819829,2682.706184819829,,,0.0
2020-05-26,29,0,2,0,237817,0,237817,0,651856397,0,651856397,0,2741.0,2741.0,,,0.0
2020-05-23,81,0,42,0,840485,0,840485,0,2316364124,0,2316364124,0,2755.9850848022274,2755.9850848022274,,,0.0
2020-05-20,109,0,134,0,2858477,0,2858477,0,8012722266,0,8012722266,0,2803.1438650722043,2803.1438650722043,,,0.0
2020-05-19,151,0,242,0,5657415,0,5657415,0,16062960768,0,16062960768,0,2839.2756706022096,2839.2756706022096,,,0.0
2020-05-18,169,0,210,0,2917260,0,2917260,0,8407994677,0,8407994677,0,2882.154719497062,2882.154719497062,,,0.0
2020-05-17,99,0,110,1,2551543,0,2351543,200000,7348491230,0,6771635637,576855593,2880.018573075194,2879.65630949551,,2884.277965,200000.0
2020-05-16,156,0,152,1,3724614,0,3574614,150000,10931013134,0,10496100938,434912196,2934.8042868334815,2936.289327463049,,2899.41464,150000.0
2020-05-13,221,0,248,0,5235084,0,5235084,0,15478952422,0,15478952422,0,2956.7725029818052,2956.7725029818052,,,0.0
2020-05-12,482,0,378,0,20784866,0,20784866,0,61703408887,0,61703408887,0,2968.670035544131,2968.670035544131,,,0.0
2020-05-11,9,0,157,2,3024337,0,2795874,228463,9009499923,0,8328908646,680591277,2979.0,2979.0,,2979.0,228463.0
2020-05-10,485,0,808,1,26739712,0,26317175,422537,78107214016,0,76911409223,1195804793,2921.019269616666,2922.479681918747,,2830.059362848697,422537.0
2020-05-09,231,0,4,0,3333137,0,3333137,0,9822754739,0,9822754739,0,2947.0,2947.0,,,0.0
2020-05-06,173,1,173,0,4348738,1000000,5348738,0,13076271116,3006000000,16082271116,0,3006.911687022764,3006.741238026615,3006.0,,-1000000.0
2020-05-05,509,1,382,0,10952062,1619,10953681,0,33590572703,5002710,33595575413,0,3067.05465171764,3067.0580431363665,3090.0,,-1619.0
2020-05-04,106,0,138,0,3940833,0,3940833,0,12003571683,0,12003571683,0,3045.947819407724,3045.947819407724,,,0.0
2020-04-28,151,0,190,0,8297231,0,8297231,0,24359389376,0,24359389376,0,2935.8456304277897,2935.8456304277897,,,0.0
2020-04-27,157,0,225,0,5964274,0,5964274,0,17180680423,0,17180680423,0,2880.5987825173693,2880.5987825173693,,,0.0
2020-04-26,501,0,307,1,10182565,0,9682565,500000,28771802989,0,27345302989,1426500000,2825.5948269419346,2824.179645476173,,2853.0,500000.0
2020-04-25,219,0,83,0,3501822,0,3501822,0,9805101600,0,9805101600,0,2800.0,2800.0,,,0.0
2020-04-22,365,0,268,0,8612498,0,8612498,0,23646501916,0,23646501916,0,2745.6031822590844,2745.6031822590844,,,0.0
2020-04-21,314,1,185,0,5881283,30000,5911283,0,16353715784,83310000,16437025784,0,2780.6374534264037,2780.6189932033367,2777.0,,-30000.0
2020-04-20,213,0,197,0,3475130,0,3475130,0,9843421979,0,9843421979,0,2832.533453137005,2832.533453137005,,,0.0
2020-04-19,368,0,220,0,7030002,0,7030002,0,20211359483,0,20211359483,0,2875.014755756826,2875.014755756826,,,0.0
2020-04-18,297,0,168,0,5651054,0,5651054,0,16360275313,0,16360275313,0,2895.083875149662,2895.083875149662,,,0.0
2020-04-15,236,0,290,0,6967737,0,6967737,0,19804475184,0,19804475184,0,2842.310951748035,2842.310951748035,,,0.0
2020-04-14,156,0,253,0,4238883,0,4238883,0,12148450068,0,12148450068,0,2865.955504787464,2865.955504787464,,,0.0
2020-04-13,269,0,124,0,5835772,0,5835772,0,17008701691,0,17008701691,0,2914.5589805427626,2914.5589805427626,,,0.0
2020-04-12,156,0,112,0,5145841,0,5145841,0,14723239375,0,14723239375,0,2861.192052960828,2861.192052960828,,,0.0
