date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,12,0,120,0,22911,0,22911,0,12800833920,0,12800833920,0,558720.0,558720.0,,,0.0
2020-10-18,2,0,167,0,19488,0,19488,0,10777643520,0,10777643520,0,553040.0,553040.0,,,0.0
2020-10-14,25,0,94,1,33514,0,33254,260,18208491340,0,18067230740,141260600,543310.0,543310.0,,543310.0,260.0
2020-10-10,340,1,274,0,73104,3000,76104,0,37541966870,1539600000,39081566870,0,513541.89743379294,513528.4199253653,513200.0,,-3000.0
2020-10-07,338,0,258,0,90477,0,90477,0,48362098560,0,48362098560,0,534523.6751881693,534523.6751881693,,,0.0
2020-10-06,100,1,9,0,22065,38,22103,0,11861040750,20426900,11881467650,0,537550.0,537550.0,537550.0,,-38.0
2020-10-05,80,1,12,1,9747,921,9568,1100,5272444710,498196530,5175618240,595023000,540930.0,540930.0,540930.0,540930.0,179.0
2020-10-03,372,0,275,1,87210,0,76544,10666,50310189550,0,44002133430,6308056120,576885.5584221993,574860.6478626672,,591417.2248265516,10666.0
2020-09-30,223,0,169,0,86847,0,86847,0,50773876000,0,50773876000,0,584635.9229449491,584635.9229449491,,,0.0
2020-09-26,268,2,267,1,58768,4143,62694,217,33649651580,2363595420,35889173400,124073600,572584.596719303,572449.8899416212,570503.359884142,571767.7419354839,-3926.0
2020-09-23,617,5,414,1,144530,7877,120363,32044,86791165870,4731935920,72017515260,19505586530,600506.2331003944,598335.9941177936,600728.18585756,608712.599238547,24167.0
2020-09-22,573,2,283,2,152823,5171,65054,92940,92169406040,3092887450,39141771340,56120522150,603112.1365239526,601681.2392781381,598121.7269386966,603836.0463740047,87769.0
2020-09-21,625,1,476,1,217209,4460,162919,58750,128848752810,2742006000,96253707520,35337051290,593201.7218899769,590807.134342833,614799.5515695068,601481.7240851064,54290.0
2020-09-20,718,1,451,2,306703,150,160500,146353,181298499820,88800000,94897604980,86489694840,591120.7253271079,591262.3363239876,592000.0,590966.3268945632,146203.0
2020-09-19,398,1,251,1,266931,3358,70001,200288,150569553560,1896598400,39343489560,113122662400,564076.6848361562,562041.8216882616,564800.0,564800.0,196930.0
2020-09-16,360,0,340,1,233556,0,128556,105000,125631074840,0,68800874840,56830200000,537905.5765640788,535182.1372786957,,541240.0,105000.0
2020-09-15,418,0,211,1,184019,0,183968,51,94857131720,0,94830751970,26379750,515474.6614208316,515474.169257697,,517250.0,51.0
2020-09-14,223,0,250,0,96973,0,96973,0,48016210230,0,48016210230,0,495150.30193971517,495150.30193971517,,,0.0
2020-09-13,246,0,251,0,56620,0,56620,0,27406800720,0,27406800720,0,484048.05227834685,484048.05227834685,,,0.0
2020-09-12,261,1,212,1,68443,6500,74431,512,32308231260,3075766720,35141468700,242529280,472045.8083368642,472134.84569601377,473194.88,473690.0,-5988.0
2020-09-09,269,0,208,0,65261,0,65261,0,29440778410,0,29440778410,0,451123.6176276796,451123.6176276796,,,0.0
2020-09-08,127,1,179,0,28284,5705,33989,0,12485211450,2486803280,14972014730,0,441423.11731014,440495.8877872253,435898.9097283085,,-5705.0
2020-09-07,158,0,276,0,74907,0,74907,0,33946964340,0,33946964340,0,453188.144499179,453188.144499179,,,0.0
2020-09-06,178,1,372,0,141075,217,141292,0,65163817360,99156600,65262973960,0,461909.03675349994,461901.4095631741,456942.85714285716,,-217.0
2020-09-05,190,0,326,1,138136,0,138076,60,61255343700,0,61229267700,26076000,443442.2865871315,443446.1289434804,,434600.0,60.0
2020-09-02,38,0,3,0,10161,0,10161,0,4422880080,0,4422880080,0,435280.0,435280.0,,,0.0
2020-09-01,86,2,73,0,14028,478,14506,0,6152239060,209450040,6361689100,0,438568.51012261194,438555.70798290364,438180.0,,-478.0
2020-08-31,225,1,269,0,91694,11224,102918,0,42293742120,5158317130,47452059250,0,461248.7416842978,461066.66715249035,459579.2168567356,,-11224.0
2020-08-26,384,1,199,1,94882,6515,98406,2991,44077950810,3096782110,45845323510,1329409410,464555.4563563163,465879.3519704083,475331.0990023024,444469.87963891675,-3524.0
2020-08-25,269,1,271,0,104290,2155,106445,0,47631866700,996256500,48628123200,0,456725.15773324383,456838.02151345764,462300.0,,-2155.0
2020-08-24,55,1,25,0,33711,19588,53299,0,14997349680,8714309440,23711659120,0,444880.0,444880.0,444880.0,,-19588.0
2020-08-23,78,3,60,0,16611,6248,22859,0,7473832940,2810912720,10284745660,0,449932.75179098186,449921.0665383438,449890.0,,-6248.0
2020-08-22,218,2,194,0,61576,7910,69486,0,28762487080,3667534890,32430021970,0,467105.48070676887,466713.03528768383,463658.0139064475,,-7910.0
2020-08-19,222,1,135,0,68785,4245,73030,0,33365033470,1999436250,35364469720,0,485062.6367667369,484245.78556757496,471009.7173144876,,-4245.0
2020-08-18,604,1,762,0,273137,1999,275136,0,135192177400,1000423860,136192601260,0,494961.05397657584,495001.0222580833,500462.1610805403,,-1999.0
2020-08-17,622,0,280,2,203027,0,193007,10020,102402407570,0,97343109570,5059298000,504378.27269279456,504350.15087535686,,504919.9600798403,10020.0
2020-08-16,195,0,197,3,65686,0,54710,10976,32219639860,0,26835802100,5383837760,490510.0,490510.0,,490510.0,10976.0
2020-08-15,330,1,342,2,121210,1326,112454,10082,56629805550,614524180,52510931550,4733398180,467204.0718587575,466954.76861650095,463442.06636500754,469490.0,8756.0
2020-08-12,310,1,493,2,183146,333,183452,27,81891235340,149435420,82028537820,12132940,447136.3575508065,447138.96725028893,448755.01501501503,449368.14814814815,-306.0
2020-08-11,75,0,1,0,11481,0,11481,0,4738897560,0,4738897560,0,412760.0,412760.0,,,0.0
2020-08-10,176,0,141,1,51863,0,51848,15,21943050670,0,21936708670,6342000,423096.440043962,423096.5258062027,,422800.0,15.0
