date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,2,0,1,0,2000,0,2000,0,10394000,0,10394000,0,5197.0,5197.0,,,0.0
2020-10-18,13,0,1,0,32086,0,32086,0,166783028,0,166783028,0,5198.0,5198.0,,,0.0
2020-10-14,29,0,2,0,109727,0,109727,0,559388246,0,559388246,0,5098.0,5098.0,,,0.0
2020-10-13,19,0,2,0,36056,0,36056,0,187743592,0,187743592,0,5207.0,5207.0,,,0.0
2020-10-12,18,0,2,0,80855,0,80855,0,421335405,0,421335405,0,5211.0,5211.0,,,0.0
2020-10-11,88,0,13,0,618714,0,618714,0,3240823932,0,3240823932,0,5238.0,5238.0,,,0.0
2020-10-10,51,0,12,0,575005,0,575005,0,2972775850,0,2972775850,0,5170.0,5170.0,,,0.0
2020-10-07,63,0,9,1,545299,0,495299,50000,2891720597,0,2626570597,265150000,5303.0,5303.0,,5303.0,50000.0
2020-10-05,18,0,1,0,94332,0,94332,0,500619924,0,500619924,0,5307.0,5307.0,,,0.0
2020-10-04,23,0,4,1,450003,0,449837,166,2397165981,0,2396281699,884282,5327.0,5327.0,,5327.0,166.0
2020-10-03,55,0,8,0,416885,0,416885,0,2187395595,0,2187395595,0,5247.0,5247.0,,,0.0
2020-09-30,9,0,2,0,52331,0,52331,0,280494160,0,280494160,0,5360.0,5360.0,,,0.0
2020-09-29,5,0,1,0,8358,0,8358,0,44798880,0,44798880,0,5360.0,5360.0,,,0.0
2020-09-28,10,0,1,0,18787,0,18787,0,100717107,0,100717107,0,5361.0,5361.0,,,0.0
2020-09-27,14,0,1,0,110394,0,110394,0,580451652,0,580451652,0,5258.0,5258.0,,,0.0
2020-09-26,18,0,2,0,32948,0,32948,0,176930760,0,176930760,0,5370.0,5370.0,,,0.0
2020-09-23,25,0,2,0,96540,0,96540,0,518805960,0,518805960,0,5374.0,5374.0,,,0.0
2020-09-22,18,0,1,0,123718,0,123718,0,665602840,0,665602840,0,5380.0,5380.0,,,0.0
2020-09-21,14,0,2,0,72676,0,72676,0,383365900,0,383365900,0,5275.0,5275.0,,,0.0
2020-09-20,9,0,1,0,28117,0,28117,0,151466279,0,151466279,0,5387.0,5387.0,,,0.0
2020-09-19,29,0,7,0,485748,0,485748,0,2627410932,0,2627410932,0,5409.0,5409.0,,,0.0
2020-09-16,79,0,3,0,393230,0,393230,0,2134452440,0,2134452440,0,5428.0,5428.0,,,0.0
2020-09-15,152,0,6,0,996149,0,996149,0,5371235408,0,5371235408,0,5392.0,5392.0,,,0.0
2020-09-14,36,0,2,0,149563,0,149563,0,824391256,0,824391256,0,5512.0,5512.0,,,0.0
2020-09-13,26,0,4,0,127855,0,127855,0,705503890,0,705503890,0,5518.0,5518.0,,,0.0
2020-09-12,56,0,13,0,403158,0,403158,0,2232285846,0,2232285846,0,5537.0,5537.0,,,0.0
2020-09-09,54,0,4,0,208365,0,208365,0,1133297235,0,1133297235,0,5439.0,5439.0,,,0.0
2020-09-08,13,0,2,0,34522,0,34522,0,191804232,0,191804232,0,5556.0,5556.0,,,0.0
2020-09-07,16,0,2,0,64554,0,64554,0,358855686,0,358855686,0,5559.0,5559.0,,,0.0
2020-09-06,60,0,75,0,719775,0,719775,0,4026421350,0,4026421350,0,5594.0,5594.0,,,0.0
2020-09-05,68,0,39,0,983442,0,983442,0,5465970636,0,5465970636,0,5558.0,5558.0,,,0.0
2020-09-02,28,0,1,0,60656,0,60656,0,344404768,0,344404768,0,5678.0,5678.0,,,0.0
2020-09-01,44,0,1,0,104152,0,104152,0,591895816,0,591895816,0,5683.0,5683.0,,,0.0
2020-08-31,166,0,113,0,2361321,0,2361321,0,13771073101,0,13771073101,0,5831.93606502462,5831.93606502462,,,0.0
2020-08-26,459,1,221,0,5129374,20000,5149374,0,30359762007,118880000,30478642007,0,5918.804518251155,5918.9023766772425,5944.0,,-20000.0
2020-08-25,355,0,146,0,5954227,0,5954227,0,34361249495,0,34361249495,0,5770.9001512706855,5770.9001512706855,,,0.0
2020-08-24,50,0,49,0,449955,0,449955,0,2605689405,0,2605689405,0,5791.0,5791.0,,,0.0
2020-08-23,106,0,151,1,2732001,0,2692001,40000,16236636765,0,15998916765,237720000,5943.129876233574,5943.131806043163,,5943.0,40000.0
2020-08-22,182,0,186,0,4004139,0,4004139,0,24528402023,0,24528402023,0,6125.7618736512395,6125.7618736512395,,,0.0
2020-08-19,183,0,99,0,1319150,0,1319150,0,8134324015,0,8134324015,0,6166.337425614979,6166.337425614979,,,0.0
2020-08-18,333,1,290,0,4024645,2000,4026645,0,25307694449,12684000,25320378449,0,6288.1805597760795,6288.207291429962,6342.0,,-2000.0
2020-08-17,364,0,316,0,7737366,0,7737366,0,47646295385,0,47646295385,0,6157.947728593943,6157.947728593943,,,0.0
2020-08-16,112,0,76,1,4396154,0,3996154,400000,27761712510,0,25235712510,2526000000,6315.0,6315.0,,6315.0,400000.0
2020-08-15,170,0,207,0,4445866,0,4445866,0,29551881194,0,29551881194,0,6647.04721059969,6647.04721059969,,,0.0
2020-08-12,374,0,203,1,6441739,0,5941739,500000,44116368849,0,40703368849,3413000000,6848.518521008069,6850.413464643937,,6826.0,500000.0
2020-08-11,470,0,317,0,6904795,0,6904795,0,48585940232,0,48585940232,0,7036.550720477581,7036.550720477581,,,0.0
2020-08-10,637,0,691,0,15532500,0,15532500,0,111693521376,0,111693521376,0,7190.955826557219,7190.955826557219,,,0.0
2020-08-09,654,2,587,2,14270952,45602,14179121,137433,104262100724,331800152,103593882180,1000018696,7305.896672065045,7306.086334970976,7276.0,7276.4088392162,91831.0
2020-08-05,426,0,515,0,10951120,0,10951120,0,83862220885,0,83862220885,0,7657.867038713848,7657.867038713848,,,0.0
2020-08-04,219,0,3,0,1058252,0,1058252,0,8202511252,0,8202511252,0,7751.0,7751.0,,,0.0
2020-08-03,358,0,164,0,2794677,0,2794677,0,22329231083,0,22329231083,0,7989.914785501151,7989.914785501151,,,0.0
2020-08-02,621,3,338,0,7501850,630000,8131850,0,61144943294,5086338840,66231282134,0,8150.64861254224,8144.675828255563,8073.553714285715,,-630000.0
2020-08-01,173,0,214,0,2910615,0,2910615,0,23078266335,0,23078266335,0,7929.0,7929.0,,,0.0
2020-07-29,196,0,472,0,4536839,0,4536839,0,34930105157,0,34930105157,0,7699.216383257153,7699.216383257153,,,0.0
2020-07-28,765,1,683,0,9551439,400000,9951439,0,71729232483,3067989055,74797221538,0,7509.782817332551,7516.221677890002,7669.9726375,,-400000.0
2020-07-27,635,1,747,0,13828792,50000,13878792,0,105282249196,380400000,105662649196,0,7613.264354254515,7613.245388791763,7608.0,,-50000.0
2020-07-26,566,4,625,0,9476028,468000,9944028,0,75700078568,3739746672,79439825240,0,7988.587472303797,7988.6968580539,7990.911692307693,,-468000.0
2020-07-25,837,0,598,0,11826439,0,11826439,0,97367854792,0,97367854792,0,8233.06616573256,8233.06616573256,,,0.0
2020-07-22,426,1,462,1,9397602,860000,10143113,114489,79340636432,7265816476,85640165748,966287160,8442.647010588445,8443.183640761963,8448.623809302326,8440.0,-745511.0
2020-07-21,1003,3,851,0,14543389,300000,14843389,0,126521431560,2637049706,129158481266,0,8699.583815024132,8701.414566848582,8790.165686666667,,-300000.0
2020-07-20,672,1,510,0,9822290,342000,10164290,0,85475796113,2976080692,88451876805,0,8702.22688527828,8702.218925768548,8701.99032748538,,-342000.0
2020-07-19,144,0,38,1,1039685,0,1036585,3100,9149228000,0,9121948000,27280000,8800.0,8800.0,,8800.0,3100.0
2020-07-15,310,0,47,0,2661011,0,2661011,0,21793680090,0,21793680090,0,8190.0,8190.0,,,0.0
2020-07-14,503,2,320,0,4966619,68000,5034619,0,41934716567,573852000,42508568567,0,8443.31255669098,8443.254309213866,8439.0,,-68000.0
2020-07-13,920,2,794,0,14745643,675000,15420643,0,128256875968,5880784212,134137660180,0,8697.950707744654,8698.577626108068,8712.272906666667,,-675000.0
2020-07-12,1578,6,1259,1,23202861,2676189,25879005,45,204069038389,23811781783,227880429752,390420,8794.994651263049,8805.610175198004,8897.645787722766,8676.0,-2676144.0
2020-07-11,427,0,27,0,2037686,0,2037686,0,17678963736,0,17678963736,0,8676.0,8676.0,,,0.0
