date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,401,2,271,19,2835116,358131,1717686,1475561,114706460150,14772453910,70053742740,59425171320,40459.17703190981,40783.78862027169,41248.74392331298,40272.934375468045,1117430.0
2020-10-18,189,4,269,4,1249388,297635,1466823,80200,50560049570,12039502230,59382729800,3216822000,40467.85271669009,40483.90964690354,40450.55934281922,40110.0,-217435.0
2020-10-14,166,2,237,0,761473,200000,961473,0,32052504170,8305000000,40357504170,0,42092.76516698557,41974.66197178704,41525.0,,-200000.0
2020-10-13,279,2,296,1,958560,110000,968560,100000,41510815600,4832000000,41934011650,4408803950,43305.391003171426,43295.21315148261,43927.27272727273,44088.0395,-10000.0
2020-10-12,303,2,472,2,1711131,15000,1721416,4715,77452837200,673050000,77913012200,212875000,45264.11899498051,45261.001524326486,44870.0,45148.462354188756,-10285.0
2020-10-11,507,1,409,5,1460798,10000,1037138,433660,69040877140,431900000,48814756040,20658021100,47262.43952962696,47066.78960755464,43190.0,47636.44583314117,423660.0
2020-10-10,536,1,388,5,2503781,1000,1774781,730000,113833820310,44120000,80644755550,33233184760,45464.767210071484,45439.27140869775,44120.0,45524.91063013698,729000.0
2020-10-07,292,46,328,3,1090613,1097716,1103211,1085118,47270017620,47871035470,47819057110,47321995980,43342.613392651656,43345.3411088178,43609.672693119166,43610.0,-12598.0
2020-10-06,384,5,215,4,1901596,613638,1197407,1317827,78989639280,25495610620,49729538050,54755711850,41538.60193227163,41531.02332790772,41548.29169640733,41550.0,704189.0
2020-10-05,143,6,351,4,1806774,775432,966951,1615255,71422573290,30793229160,38109714220,64106088230,39530.4411564479,39412.249658979614,39711.063200899625,39687.90576720084,839823.0
2020-10-03,204,54,222,4,1181528,916335,1977700,120163,44997502690,35068140450,75480006000,4585637140,38084.16109478573,38165.54886989938,38270.0,38161.80637966762,-796172.0
2020-09-30,147,1,321,2,804119,12842,797073,19888,29590924160,460944410,29332209680,719658890,36799.1853942016,36799.9037478374,35893.50646316773,36185.583769107,7046.0
2020-09-29,181,1,391,0,943770,3688,947458,0,33893174920,132038760,34025213680,0,35912.53686809286,35912.10763959985,35802.26681127983,,-3688.0
2020-09-28,132,0,251,2,1114786,0,1068474,46312,39724414300,0,38064531900,1659882400,35634.116592781036,35625.13631590474,,35841.30247020211,46312.0
2020-09-27,147,2,286,0,1204619,378547,1583166,0,44503497260,13937976460,58441473720,0,36944.043934223184,36914.30571399335,36819.67222035837,,-378547.0
2020-09-26,171,2,279,0,628998,246120,875118,0,24428294760,9492532780,33920827540,0,38836.84011713869,38761.432789635226,38568.71761742239,,-246120.0
2020-09-23,190,5,318,1,505263,283942,742664,46541,19667094650,10998840690,28845825760,1820109580,38924.47032535531,38841.01795697651,38736.223207556475,39107.65948303646,-237401.0
2020-09-22,262,2,265,0,611109,54944,666053,0,23103204800,2112819070,25216023870,0,37805.37481856756,37858.88490855833,38454.04539167152,,-54944.0
2020-09-21,125,3,200,1,268768,103461,352229,20000,9920198620,3944470140,13084468760,780200000,36909.894853554,37147.61919092409,38125.18862179952,39010.0,-83461.0
2020-09-20,186,9,774,1,560915,1085188,1643591,2512,21700976300,41879928720,63484419100,96485920,38688.529099774474,38625.43607259957,38592.32567997435,38410.0,-1082676.0
2020-09-19,300,73,565,1,848459,2666955,3514414,1000,34217074920,107523803040,141699887960,40990000,40328.49544880778,40319.63449952112,40317.06685714607,40990.0,-2665955.0
2020-09-16,238,4,358,3,1187590,1962706,2385773,764523,46996261850,77922523820,94559577340,30359208330,39572.800250928354,39634.77553815891,39701.577220429346,39710.0,-1198183.0
2020-09-08,64,1,279,2,96345,1800000,1870145,26200,3432772350,64134000000,66633266350,933506000,35630.0,35630.0,35630.0,35630.0,-1773800.0
2020-09-07,70,1,4,1,72432,25000,93476,3956,2590892640,894250000,3343636520,141506120,35770.0,35770.0,35770.0,35770.0,-21044.0
2020-09-06,373,4,411,1,1767903,217692,1885595,100000,66779314140,7987914440,71044698520,3722530060,37773.17767999715,37677.60230590344,36693.65176487882,37225.3006,-117692.0
2020-09-05,391,2,390,2,1274339,684115,1941911,16543,49006634310,26533933280,74896893890,643673700,38456.51299222578,38568.654222567355,38785.77911608428,38909.12772773983,-667572.0
2020-09-02,113,1,26,0,140442,200000,340442,0,5460384960,7776000000,13236384960,0,38880.0,38880.0,38880.0,,-200000.0
