date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,100,0,7,0,1050114,0,1050114,0,5340879804,0,5340879804,0,5086.0,5086.0,,,0.0
2020-10-18,137,0,13,0,1270887,0,1270887,0,6668344089,0,6668344089,0,5247.0,5247.0,,,0.0
2020-10-14,273,0,11,0,2872744,0,2872744,0,15458235464,0,15458235464,0,5381.0,5381.0,,,0.0
2020-10-13,470,0,101,0,6768470,0,6768470,0,37545578830,0,37545578830,0,5547.129385222953,5547.129385222953,,,0.0
2020-10-12,1145,1,854,1,30486685,160000,30619015,27670,173878332065,894102818,174614814460,157620423,5703.418789710983,5702.822721762931,5588.1426125,5696.437405131912,-132330.0
2020-10-11,1169,0,593,0,32752787,0,32752787,0,186349877819,0,186349877819,0,5689.58842552849,5689.58842552849,,,0.0
2020-10-10,1076,0,916,1,39409274,0,37809274,1600000,218436589155,0,209631789155,8804800000,5542.771205452808,5544.454229800868,,5503.0,1600000.0
2020-10-07,1362,1,760,0,37893544,30000,37923544,0,219498362260,171440000,219669802260,0,5792.500228007178,5792.438656577033,5714.666666666667,,-30000.0
2020-10-05,150,1,5,0,1408886,4400,1413286,0,8077143438,25225200,8102368638,0,5733.0,5733.0,5733.0,,-4400.0
2020-10-04,553,0,548,1,12705867,0,12704367,1500,75092054325,0,75083198325,8856000,5910.029935383394,5910.030647335676,,5904.0,1500.0
2020-10-03,1876,3,1876,2,46046730,797530,46534760,309500,278768264508,4790106180,281678061688,1880309000,6054.0295588416375,6053.067893505844,6006.176795857209,6075.3117932148625,-488030.0
2020-09-30,81,0,7,0,543497,0,543497,0,3351202502,0,3351202502,0,6166.0,6166.0,,,0.0
2020-09-29,60,0,5,0,413620,0,413620,0,2560721420,0,2560721420,0,6191.0,6191.0,,,0.0
2020-09-28,31,0,3,0,100971,0,100971,0,625717287,0,625717287,0,6197.0,6197.0,,,0.0
2020-09-27,58,0,2,0,382367,0,382367,0,2335115269,0,2335115269,0,6107.0,6107.0,,,0.0
2020-09-26,120,0,12,0,1120518,0,1120518,0,7064865990,0,7064865990,0,6305.0,6305.0,,,0.0
2020-09-23,228,0,135,0,5427880,0,5427880,0,35275792120,0,35275792120,0,6499.0,6499.0,,,0.0
2020-09-22,86,0,28,0,4186592,0,4186592,0,28050166400,0,28050166400,0,6700.0,6700.0,,,0.0
2020-09-21,66,0,9,0,447109,0,447109,0,2957178926,0,2957178926,0,6614.0,6614.0,,,0.0
2020-09-20,62,0,5,0,585000,0,585000,0,3975075000,0,3975075000,0,6795.0,6795.0,,,0.0
2020-09-19,125,0,5,0,569603,0,569603,0,3893806108,0,3893806108,0,6836.0,6836.0,,,0.0
2020-09-16,1102,0,887,0,17280053,0,17280053,0,121770889863,0,121770889863,0,7046.904882930626,7046.904882930626,,,0.0
2020-09-15,1779,0,1316,2,35198409,0,35194376,4033,252171018185,0,252142222565,28795620,7164.273197262979,7164.275978781383,,7140.0,4033.0
2020-09-14,134,0,17,0,1267529,0,1267529,0,9374644484,0,9374644484,0,7396.0,7396.0,,,0.0
2020-09-13,91,0,12,0,634497,0,634497,0,4728271644,0,4728271644,0,7452.0,7452.0,,,0.0
2020-09-12,578,1,785,0,17247246,600000,17847246,0,132504552270,4600200000,137104752270,0,7682.649871753438,7682.1237444701555,7667.0,,-600000.0
