date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2019-03-25,0,1,1,0,0,4813,4813,0,0,59060323,59060323,0,,12271.0,12271.0,,-4813.0
2019-03-16,1,0,0,1,4813,0,0,4813,59998858,0,0,59998858,12466.0,,,12466.0,4813.0
2019-02-05,0,1,0,1,0,100,0,100,0,1200700,0,1200700,,,12007.0,12007.0,0.0
2019-02-04,0,2,1,2,0,3228000,100,3227900,0,40528136000,1200200,40526935800,,12002.0,12555.184634448575,12555.201772049939,-100.0
2019-01-30,1,0,0,1,100,0,0,100,1221400,0,0,1221400,12214.0,,,12214.0,100.0
2019-01-23,0,1,1,0,0,2200,2200,0,0,26261400,26261400,0,,11937.0,11937.0,,-2200.0
2019-01-19,1,1,0,2,2200,3203000,0,3205200,26736600,40225861000,0,40252597600,12153.0,,12558.807680299718,12558.52914014726,2200.0
2018-07-08,0,1,0,1,0,1000,0,1000,0,14297000,0,14297000,,,14297.0,14297.0,0.0
2018-02-18,0,1,0,1,0,4500000,0,4500000,0,66730500000,0,66730500000,,,14829.0,14829.0,0.0
2018-02-03,0,1,1,0,0,1000,1000,0,0,14297000,14297000,0,,14297.0,14297.0,,-1000.0
2018-01-07,1,0,0,1,1000,0,0,1000,14381000,0,0,14381000,14381.0,,,14381.0,1000.0
2017-11-05,0,1,0,1,0,5000,0,5000,0,69065000,0,69065000,,,13813.0,13813.0,0.0
2017-10-28,0,1,0,1,0,5000,0,5000,0,69830000,0,69830000,,,13966.0,13966.0,0.0
2017-10-23,0,1,0,1,0,1000,0,1000,0,13739000,0,13739000,,,13739.0,13739.0,0.0
2017-10-10,0,1,1,0,0,317,317,0,0,4328318,4328318,0,,13654.0,13654.0,,-317.0
2017-10-09,0,1,0,1,0,1000,0,1000,0,13648000,0,13648000,,,13648.0,13648.0,0.0
2017-10-04,0,1,0,1,0,1500,0,1500,0,20422500,0,20422500,,,13615.0,13615.0,0.0
2017-09-20,1,1,0,1,170,4500000,0,4500170,2330700,61695000000,0,61697330700,13710.0,,13710.0,13710.0,170.0
2017-09-17,0,1,0,1,0,1500,0,1500,0,20533500,0,20533500,,,13689.0,13689.0,0.0
2017-09-12,0,1,0,1,0,1000,0,1000,0,13473000,0,13473000,,,13473.0,13473.0,0.0
2017-08-22,0,1,0,1,0,1000,0,1000,0,13339000,0,13339000,,,13339.0,13339.0,0.0
2017-06-19,0,1,0,1,0,1000,0,1000,0,12927000,0,12927000,,,12927.0,12927.0,0.0
2017-05-20,0,1,1,0,0,200,200,0,0,2547000,2547000,0,,12735.0,12735.0,,-200.0
2017-05-09,0,1,0,1,0,121,0,121,0,1532465,0,1532465,,,12665.0,12665.0,0.0
2017-04-03,1,0,0,1,317,0,0,317,3981837,0,0,3981837,12561.0,,,12561.0,317.0
2017-03-15,0,1,0,1,0,1000,0,1000,0,12322000,0,12322000,,,12322.0,12322.0,0.0
2017-02-28,0,1,1,0,0,330,330,0,0,4035900,4035900,0,,12230.0,12230.0,,-330.0
2017-02-21,0,1,1,1,0,3009,9,3000,0,36670683,109683,36561000,,12187.0,12187.0,12187.0,-9.0
2017-01-22,0,1,0,1,0,2000,0,2000,0,24014000,0,24014000,,,12007.0,12007.0,0.0
2017-01-15,0,1,0,1,0,500000,0,500000,0,5984500000,0,5984500000,,,11969.0,11969.0,0.0
2016-12-28,0,1,0,1,0,5000,0,5000,0,59360000,0,59360000,,,11872.0,11872.0,0.0
2016-12-10,1,1,0,2,330,5000,0,5330,3913800,58880000,0,62793800,11860.0,,11776.0,11781.200750469043,330.0
2016-11-13,0,1,0,1,0,500,0,500,0,5816000,0,5816000,,,11632.0,11632.0,0.0
2016-11-08,0,1,0,1,0,500,0,500,0,5803000,0,5803000,,,11606.0,11606.0,0.0
2016-10-22,0,1,0,1,0,500,0,500,0,5757500,0,5757500,,,11515.0,11515.0,0.0
2016-10-17,0,1,0,1,0,500,0,500,0,5744000,0,5744000,,,11488.0,11488.0,0.0
2016-10-02,0,1,0,1,0,500,0,500,0,5703000,0,5703000,,,11406.0,11406.0,0.0
2016-09-21,0,1,0,1,0,2000,0,2000,0,22692000,0,22692000,,,11346.0,11346.0,0.0
2016-09-13,0,1,1,0,0,217,217,0,0,2452751,2452751,0,,11303.0,11303.0,,-217.0
2016-09-11,1,1,0,2,217,2000,0,2217,2463167,22584000,0,25047167,11351.0,,11292.0,11297.774921064502,217.0
2016-09-04,0,1,0,1,0,2000,0,2000,0,22510000,0,22510000,,,11255.0,11255.0,0.0
2016-08-30,0,1,0,1,0,3000,0,3000,0,33684000,0,33684000,,,11228.0,11228.0,0.0
2016-08-22,0,1,0,1,0,3000,0,3000,0,33555000,0,33555000,,,11185.0,11185.0,0.0
2016-08-13,0,1,0,1,0,5000,0,5000,0,55685000,0,55685000,,,11137.0,11137.0,0.0
2016-08-07,0,1,1,0,0,100,100,0,0,1110600,1110600,0,,11106.0,11106.0,,-100.0
2016-08-02,0,1,1,0,0,200,200,0,0,2215800,2215800,0,,11079.0,11079.0,,-200.0
2016-07-27,0,1,0,1,0,90,0,90,0,994230,0,994230,,,11047.0,11047.0,0.0
2016-07-19,0,1,0,1,0,2000,0,2000,0,22002000,0,22002000,,,11001.0,11001.0,0.0
2016-07-16,0,1,0,1,0,3000,0,3000,0,32952000,0,32952000,,,10984.0,10984.0,0.0
2016-07-11,0,1,1,0,0,1000,1000,0,0,10956000,10956000,0,,10956.0,10956.0,,-1000.0
2016-07-10,0,1,0,1,0,5000,0,5000,0,54750000,0,54750000,,,10950.0,10950.0,0.0
2016-07-05,0,1,0,1,0,2000,0,2000,0,21842000,0,21842000,,,10921.0,10921.0,0.0
2016-06-25,1,1,0,2,100,2000,0,2100,1090100,21728000,0,22818100,10901.0,,10864.0,10865.761904761905,100.0
2016-06-20,1,1,1,1,101,100,100,101,1097971,1083600,1083600,1097971,10871.0,10836.0,10836.0,10871.0,1.0
2016-06-19,0,1,0,1,0,5000,0,5000,0,54150000,0,54150000,,,10830.0,10830.0,0.0
2016-06-15,0,1,0,1,0,5000,0,5000,0,54040000,0,54040000,,,10808.0,10808.0,0.0
2016-06-13,0,1,0,1,0,2000,0,2000,0,21592000,0,21592000,,,10796.0,10796.0,0.0
2016-06-07,0,1,0,1,0,2000,0,2000,0,21526000,0,21526000,,,10763.0,10763.0,0.0
2016-06-05,0,1,0,1,0,1000,0,1000,0,10751000,0,10751000,,,10751.0,10751.0,0.0
2016-05-30,0,1,0,1,0,1000,0,1000,0,10718000,0,10718000,,,10718.0,10718.0,0.0
2016-05-24,0,1,0,1,0,100,0,100,0,1068400,0,1068400,,,10684.0,10684.0,0.0
2016-05-21,0,1,0,1,0,100,0,100,0,1066800,0,1066800,,,10668.0,10668.0,0.0
2016-05-17,0,1,0,1,0,850090,0,850090,0,9049208050,0,9049208050,,,10645.0,10645.0,0.0
2016-05-16,0,1,1,1,0,950000,90,949910,0,10108000000,957600,10107042400,,10640.0,10640.0,10640.0,-90.0
2016-05-15,0,1,0,1,0,200000,0,200000,0,2126800000,0,2126800000,,,10634.0,10634.0,0.0
2016-05-09,1,1,0,2,100,100,0,200,1062500,1060100,0,2122600,10625.0,,10601.0,10613.0,100.0
2016-05-08,0,1,0,1,0,20000,0,20000,0,211900000,0,211900000,,,10595.0,10595.0,0.0
2016-05-07,0,1,0,1,0,100,0,100,0,1059000,0,1059000,,,10590.0,10590.0,0.0
2016-05-03,0,1,0,1,0,1000,0,1000,0,10568000,0,10568000,,,10568.0,10568.0,0.0
2016-04-30,0,1,0,1,0,100,0,100,0,1055100,0,1055100,,,10551.0,10551.0,0.0
