date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,4,0,1,0,1427,0,1427,0,106925110,0,106925110,0,74930.0,74930.0,,,0.0
2020-10-18,14,0,2,0,10464,0,10464,0,784800000,0,784800000,0,75000.0,75000.0,,,0.0
2020-10-14,25,0,4,0,32202,0,32202,0,2421590400,0,2421590400,0,75200.0,75200.0,,,0.0
2020-10-11,183,2,6,0,262422,52500,314922,0,20261602620,4053525000,24315127620,0,77210.0,77210.0,77210.0,,-52500.0
2020-10-10,108,0,38,1,228440,0,128440,100000,17978228000,0,10108228000,7870000000,78700.0,78700.0,,78700.0,100000.0
2020-10-07,430,3,758,1,1912430,62500,1919930,55000,158426036630,5177500000,159047336630,4556200000,82840.17539465497,82840.17470949462,82840.0,82840.0,-7500.0
2020-10-06,21,0,1,0,32447,0,32447,0,2695696760,0,2695696760,0,83080.0,83080.0,,,0.0
2020-10-05,13,0,5,0,20852,0,20852,0,1735511960,0,1735511960,0,83230.0,83230.0,,,0.0
2020-10-03,38,0,4,0,104408,0,104408,0,8795329920,0,8795329920,0,84240.0,84240.0,,,0.0
2020-09-30,64,0,14,0,209831,0,209831,0,18026581210,0,18026581210,0,85910.0,85910.0,,,0.0
2020-09-29,26,0,13,0,176552,0,176552,0,15420051680,0,15420051680,0,87340.0,87340.0,,,0.0
2020-09-28,12,0,1,0,23153,0,23153,0,2026582090,0,2026582090,0,87530.0,87530.0,,,0.0
2020-09-27,19,0,4,0,23506,0,23506,0,2061946320,0,2061946320,0,87720.0,87720.0,,,0.0
2020-09-26,38,0,1,0,38165,0,38165,0,3359664950,0,3359664950,0,88030.0,88030.0,,,0.0
2020-09-23,33,0,13,0,123058,0,123058,0,10960776060,0,10960776060,0,89070.0,89070.0,,,0.0
2020-09-22,17,0,2,0,5267,0,5267,0,469342370,0,469342370,0,89110.0,89110.0,,,0.0
2020-09-21,18,0,2,0,6052,0,6052,0,539596320,0,539596320,0,89160.0,89160.0,,,0.0
2020-09-20,20,0,1,0,8774,0,8774,0,782991760,0,782991760,0,89240.0,89240.0,,,0.0
2020-09-19,35,0,7,0,31296,0,31296,0,2800992000,0,2800992000,0,89500.0,89500.0,,,0.0
2020-09-16,169,1,9,0,246004,43000,289004,0,22580707160,3946970000,26527677160,0,91790.0,91790.0,91790.0,,-43000.0
2020-09-15,2553,7,2201,2,9394959,947175,10289083,53051,904124894040,95118066150,994410905210,4832054980,96235.10800206792,96647.18471121285,100422.9061683427,91083.20257865073,-894124.0
2020-09-14,21,0,176,0,474663,0,474663,0,45838205910,0,45838205910,0,96570.0,96570.0,,,0.0
2020-09-13,12,0,248,0,369590,0,369590,0,34589928100,0,34589928100,0,93590.0,93590.0,,,0.0
2020-09-12,15,0,215,1,392897,0,392677,220,35568965410,0,35549048810,19916600,90530.0,90530.0,,90530.0,220.0
2020-09-09,19,1,321,1,531112,21000,534384,17728,46153632800,1824900000,46437969600,1540563200,86900.0,86900.0,86900.0,86900.0,-3272.0
2020-09-08,341,3,1062,4,2236952,489529,2614981,111500,184735830360,40942296170,216347486530,9330640000,82583.72569460588,82733.86557301946,83636.09953649325,83682.86995515694,-378029.0
2020-09-07,1287,4,1705,1,7120125,1882000,8986025,16100,571396348340,146122181570,716281727910,1236802000,80250.88721616544,79710.63155399634,77641.96682784273,76820.0,-1865900.0
2020-09-06,23,0,324,1,604153,0,594153,10000,49051182070,0,48239282070,811900000,81190.0,81190.0,,81190.0,10000.0
2020-09-05,8,0,170,0,287123,0,287123,0,22817664810,0,22817664810,0,79470.0,79470.0,,,0.0
2020-08-25,23,0,220,1,666115,0,366115,300000,45229208500,0,24859208500,20370000000,67900.0,67900.0,,67900.0,300000.0
2020-08-24,760,6,1494,4,4642817,545440,4384034,804223,300062237610,35438629790,283337854460,52163012940,64629.34843436646,64629.48381787185,64972.55388310355,64861.37916970791,258783.0
2020-08-23,1413,9,2231,6,9639717,1532390,10876904,295203,612331094900,95195868320,688991447200,18535516020,63521.68791884658,63344.445000158135,62122.480778391924,62789.050314529326,-1237187.0
2020-08-22,19,0,418,0,455702,0,455702,0,29775568680,0,29775568680,0,65340.0,65340.0,,,0.0
2020-08-19,11,0,389,0,740398,0,740398,0,46548822260,0,46548822260,0,62870.0,62870.0,,,0.0
2020-08-18,8,0,355,0,420032,0,420032,0,25831968000,0,25831968000,0,61500.0,61500.0,,,0.0
2020-08-17,27,1,297,1,359756,100000,409756,50000,21599750240,6004000000,24601750240,3002000000,60040.0,60040.0,60040.0,60040.0,-50000.0
2020-08-16,42,0,321,2,491828,0,411828,80000,28781774560,0,24100174560,4681600000,58520.0,58520.0,,58520.0,80000.0
2020-08-15,390,2,617,2,2353911,170777,2515064,9624,131221762180,9504546600,140190819580,535489200,55746.27170695918,55740.45812750689,55654.72282567325,55641.02244389027,-161153.0
2020-08-12,196,0,521,0,1134152,0,1134152,0,60280996210,0,60280996210,0,53150.720723500905,53150.720723500905,,,0.0
2020-08-11,340,1,856,1,1943172,5334,1948416,90,98498681700,277306660,98771247160,4741200,50689.6361721968,50693.10001560242,51988.500187476566,52680.0,-5244.0
2020-08-10,345,0,793,0,2482939,0,2482939,0,124599728800,0,124599728800,0,50182.35599021966,50182.35599021966,,,0.0
2020-08-09,86,0,94,0,409434,0,409434,0,21302424750,0,21302424750,0,52028.95887981946,52028.95887981946,,,0.0
2020-08-03,10,0,348,0,673311,0,673311,0,36486723090,0,36486723090,0,54190.0,54190.0,,,0.0
2020-08-02,430,2,967,2,2536128,35314,2530542,40900,130869759140,1841752700,130573526840,2137985000,51602.190086620234,51599.03563742471,52153.61329784222,52273.47188264059,5586.0
2020-08-01,550,1,443,1,1235542,20000,1175542,80000,61842866500,994200000,58800892420,4036174080,50053.22886635987,50020.23953206266,49710.0,50452.176,60000.0
2020-07-29,563,0,785,2,1501900,0,1397227,104673,73264839330,0,68222958330,5041881000,48781.436400559294,48827.39764547922,,48167.922960075666,104673.0
2020-07-28,529,1,695,1,1525012,30000,1530685,24327,72648504100,1455300000,72947910660,1155893440,47637.98848795944,47657.036333406286,48510.0,47514.837012373086,-5673.0
2020-07-27,197,1,603,1,1339859,6076,1312935,33000,64169390090,294321440,62865191530,1598520000,47892.64399462929,47881.41951429431,48440.0,48440.0,26924.0
2020-07-26,549,2,896,0,1651098,16924,1668022,0,76182497070,780416110,76962913180,0,46140.50593604983,46140.22667566735,46112.98215551879,,-16924.0
2020-07-25,869,1,768,0,1606967,30000,1636967,0,77366997280,1443300000,78810297280,0,48144.733077903904,48144.096539514845,48110.0,,-30000.0
2020-07-22,98,0,45,0,164942,0,164942,0,7998037580,0,7998037580,0,48490.0,48490.0,,,0.0
2020-07-19,963,0,568,2,1468667,0,1427667,41000,74961134010,0,72848404010,2112730000,51040.25215382384,51026.187486297575,,51530.0,41000.0
2020-07-18,419,0,337,0,936751,0,936751,0,46188554030,0,46188554030,0,49307.184118298246,49307.184118298246,,,0.0
2020-07-15,880,1,697,1,1566836,1000,1566836,1000,74076253300,46380000,74074443300,48190000,47277.6048673888,47276.44967309916,46380.0,48190.0,0.0
2020-07-14,985,1,687,3,1653824,124,1644824,9124,78401760120,6247120,77980328410,427678830,47406.35044599667,47409.527347606796,50380.0,46874.049758877685,9000.0
2020-07-13,726,1,442,1,1331085,1000,1304085,28000,63953021840,47770000,62660084340,1340707500,48045.7835825661,48049.07988359655,47770.0,47882.41071428572,27000.0
2020-07-12,892,0,430,0,1865422,0,1865422,0,93785231480,0,93785231480,0,50275.61135228383,50275.61135228383,,,0.0
2020-07-11,720,2,645,0,1311684,259,1311943,0,63264072110,12444400,63276516510,0,48231.18381408937,48231.147626078266,48047.87644787645,,-259.0
2020-07-08,750,0,682,0,1678258,0,1678258,0,83048433320,0,83048433320,0,49484.90239283829,49484.90239283829,,,0.0
2020-07-07,920,1,588,0,1383110,1000,1384110,0,71352131400,51300000,71403431400,0,51588.182718655786,51587.974510696404,51300.0,,-1000.0
2020-07-06,1423,3,825,1,2599006,36000,2620006,15000,140102899530,1952871310,141257495790,798275050,53906.33939667704,53914.9512596536,54246.42527777778,53218.33666666667,-21000.0
2020-07-05,1236,1,989,1,2826840,45000,2761840,110000,150024989110,2330150820,146547882980,5807256950,53071.623830849996,53061.68459432842,51781.12933333333,52793.245,65000.0
2020-07-04,593,1,222,1,969131,100000,1019131,50000,52745316470,5421000000,55455166470,2711150000,54425.37331898371,54414.16900280729,54210.0,54223.0,-50000.0
2020-07-01,835,1,801,0,1791699,100000,1891699,0,102103598060,5762000000,107865598060,0,56987.02631412978,57020.486906214996,57620.0,,-100000.0
2020-06-30,411,1,521,0,1307184,100000,1407184,0,71740811000,5489000000,77229811000,0,54881.953114481206,54882.52495764591,54890.0,,-100000.0
2020-06-29,736,0,717,0,1437481,0,1437481,0,75150656140,0,75150656140,0,52279.40831217943,52279.40831217943,,,0.0
2020-06-28,1026,3,435,0,2575768,145000,2720768,0,134780089500,7493600000,142273689500,0,52326.17592112333,52291.738766407136,51680.0,,-145000.0
2020-06-27,676,0,409,1,1035538,0,1025538,10000,56190353810,0,55648953810,541400000,54261.991167876025,54263.18070125144,,54140.0,10000.0
2020-06-24,809,1,454,0,1628090,90000,1718090,0,84603278980,4705876800,89309155780,0,51964.743337284795,51981.651589846864,52287.52,,-90000.0
2020-06-23,1389,2,730,0,2775880,15000,2790880,0,151415361760,799350000,152214711760,0,54546.79660504057,54540.04176460471,53290.0,,-15000.0
2020-06-22,918,1,614,0,1476700,10000,1486700,0,82830257090,555458090,83385715180,0,56091.458718764814,56087.78851146835,55545.809,,-10000.0
2020-06-21,945,1,774,0,2326902,100000,2426902,0,131345697340,5589898930,136935596270,0,56446.59609214312,56424.03206639576,55898.9893,,-100000.0
2020-06-20,1139,1,770,2,2086870,50000,2066670,70200,119708366120,2897200000,118570332370,4035233750,57362.63692515586,57372.648932824304,57944.0,57481.96225071225,20200.0
2020-06-16,1073,0,859,0,1754901,0,1754901,0,101483996440,0,101483996440,0,57828.90114029225,57828.90114029225,,,0.0
2020-06-15,1204,1,688,1,2274827,10000,2284729,98,130318902490,571700000,130884999830,5602660,57287.390421337535,57286.88165204714,57170.0,57170.0,-9902.0
2020-06-14,1443,0,969,0,3040041,0,3040041,0,182913476850,0,182913476850,0,60168.09538095046,60168.09538095046,,,0.0
2020-06-13,56,0,253,0,440875,0,440875,0,27942657500,0,27942657500,0,63380.0,63380.0,,,0.0
2020-06-10,523,0,444,1,1323235,0,1293485,29750,79879714371,0,78078738621,1800975750,60366.99027081358,60363.080067414776,,60537.0,29750.0
2020-06-09,227,0,390,0,894894,0,894894,0,51862370048,0,51862370048,0,57953.64596030368,57953.64596030368,,,0.0
2020-06-08,641,1,608,2,3006017,29750,2885767,150000,166376263515,1651214000,159700077515,8327400000,55347.745377022155,55340.600095225986,55502.991596638654,55516.0,120250.0
2020-06-07,278,1,239,1,904943,200000,1004943,100000,47847051239,10574600000,53134351239,5287300000,52873.0,52873.0,52873.0,52873.0,-100000.0
2020-06-06,7,0,270,0,361711,0,361711,0,18788716184,0,18788716184,0,51944.0,51944.0,,,0.0
2020-06-02,14,1,337,0,323079,50000,373079,0,16497382977,2553150000,19050532977,0,51063.0,51063.0,51063.0,,-50000.0
2020-06-01,185,0,668,1,1300063,0,1250063,50000,63225029907,0,60882239907,2342790000,48632.281594815024,48703.33727740122,,46855.8,50000.0
2020-05-31,467,0,484,1,1348178,0,1198178,150000,63175368514,0,56275022925,6900345589,46859.81266123613,46967.16424855072,,46002.30392666667,150000.0
2020-05-30,276,0,471,1,883655,0,833655,50000,42681297945,0,40284047945,2397250000,48300.86169941889,48322.20516280716,,47945.0,50000.0
2020-05-27,391,1,679,1,1611037,10000,1621035,2,74496697834,467010000,74963622834,85000,46241.45679708163,46244.29628848236,46701.0,42500.0,-9998.0
2020-05-26,278,0,301,0,725690,0,725690,0,31947519694,0,31947519694,0,44023.64603894225,44023.64603894225,,,0.0
2020-05-23,401,0,630,2,1441151,0,1388151,53000,66323560724,0,63882235274,2441325450,46021.243245156125,46019.658721565596,,46062.744339622644,53000.0
2020-05-20,439,1,936,1,1906465,20000,1866945,59520,88838777814,916497792,86958668886,2796606720,46598.69329570697,46578.05606806842,45824.8896,46986.0,39520.0
2020-05-19,44,0,283,0,787400,0,787400,0,35795204000,0,35795204000,0,45460.0,45460.0,,,0.0
2020-05-18,188,0,249,0,680034,0,680034,0,30043902120,0,30043902120,0,44180.0,44180.0,,,0.0
2020-05-17,193,2,357,2,755159,409520,1114229,50450,31885965228,17131226927,46948453155,2068739000,42224.17428382632,42135.371772768434,41832.45489109201,41005.728444003966,-359070.0
2020-05-16,577,2,541,0,2013464,53000,2066464,0,81917568290,2154905800,84072474090,0,40684.893442346125,40684.219076644935,40658.6,,-53000.0
2020-05-13,1040,2,669,0,1629248,255000,1884248,0,69604723717,10726983260,80331706977,0,42721.99426790765,42633.298258509494,42066.60101960784,,-255000.0
