date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-28,916,2,713,2,4416029,2471156,4886655,2000530,148057406072,82887860994,163811656816,67133610250,33527.27214246102,33522.24718462834,33542.14019430582,33557.912278246265,-470626.0
2020-09-27,626,1,382,3,4819065,200000,2718565,2300500,157038157305,6488866512,88417999317,75109024500,32586.851869605413,32523.77607929183,32444.33256,32649.0,2100500.0
2020-09-26,245,1,288,0,1115096,100000,1215096,0,35647205939,3198697227,38845903166,0,31967.835898433856,31969.410784003896,31986.97227,,-100000.0
2020-09-23,460,3,815,3,3383268,2099908,5239789,243387,105112835823,65185781486,162658615709,7640001600,31068.433190335498,31042.97056789882,31042.208271029016,31390.34377349653,-1856521.0
2020-09-22,348,2,674,1,2058298,2930631,4987929,1000,62258378633,90831173470,153059551103,30001000,30247.50479911072,30685.992343315233,30993.725743705025,30001.0,-2929631.0
2020-09-21,106,2,378,2,1115887,1995000,3096987,13900,34400520184,61770685389,95742751973,428453600,30827.960343654868,30914.805897796796,30962.74956842105,30824.0,-1981100.0
2020-09-20,104,1,134,0,534090,500000,1034090,0,16664917969,16017500000,32682417969,0,31202.452712089722,31605.003402992003,32035.0,,-500000.0
2020-09-19,471,20,1196,2,2535724,3754153,6265556,24321,80493486528,120997664500,200727667678,763483350,31743.788570049423,32036.688791545395,32230.349828576513,31391.93906500555,-3729832.0
2020-09-16,614,6,512,1,2423675,734173,3112460,45388,77381798967,23698544004,99606459355,1473883616,31927.465096186577,32002.486571714977,32279.23664313452,32472.97999471226,-688785.0
2020-09-15,863,13,1056,6,6023812,5574184,9922025,1675971,196614730565,181779983406,323739121538,54655592433,32639.58612337171,32628.33156921092,32611.048254955345,32611.299618549485,-3898213.0
2020-09-14,132,1,23,1,670257,1000000,1470257,200000,22984453044,34292000000,50418053044,6858400000,34292.0,34292.0,34292.0,34292.0,-800000.0
2020-09-13,40,0,1,0,86302,0,86302,0,2963869586,0,2963869586,0,34343.0,34343.0,,,0.0
2020-09-12,93,0,7,0,290880,0,290880,0,10040595840,0,10040595840,0,34518.0,34518.0,,,0.0
2020-09-09,107,0,8,0,357678,0,357678,0,12218280480,0,12218280480,0,34160.0,34160.0,,,0.0
2020-09-08,23,0,1,0,25102,0,25102,0,875909188,0,875909188,0,34894.0,34894.0,,,0.0
2020-09-07,28,0,3,0,64757,0,64757,0,2262156281,0,2262156281,0,34933.0,34933.0,,,0.0
2020-09-06,85,0,9,0,210474,0,210474,0,7379428914,0,7379428914,0,35061.0,35061.0,,,0.0
2020-09-05,128,0,19,0,575938,0,575938,0,20111754960,0,20111754960,0,34920.0,34920.0,,,0.0
2020-09-02,23,0,3,0,60835,0,60835,0,2171383655,0,2171383655,0,35693.0,35693.0,,,0.0
2020-09-01,41,0,5,0,32855,0,32855,0,1173350615,0,1173350615,0,35713.0,35713.0,,,0.0
2020-08-31,400,0,324,0,1449574,0,1449574,0,53211870655,0,53211870655,0,36708.6265723585,36708.6265723585,,,0.0
2020-08-26,1840,5,1812,2,16320577,1651383,17856960,115000,609116381561,62745241894,667599263455,4262360000,37321.98816016125,37385.94158552183,37995.57213196454,37064.0,-1536383.0
2020-08-25,369,0,15,0,1355394,0,1355394,0,51209496108,0,51209496108,0,37782.0,37782.0,,,0.0
2020-08-24,83,0,1,0,181843,0,181843,0,7037324100,0,7037324100,0,38700.0,38700.0,,,0.0
2020-08-23,53,0,2,0,86141,0,86141,0,3338652878,0,3338652878,0,38758.0,38758.0,,,0.0
2020-08-22,90,0,9,0,154186,0,154186,0,5991976332,0,5991976332,0,38862.0,38862.0,,,0.0
2020-08-19,132,0,8,0,313755,0,313755,0,12051015795,0,12051015795,0,38409.0,38409.0,,,0.0
2020-08-18,242,0,4,1,818015,0,806000,12015,32542272730,0,32064292000,477980730,39782.0,39782.0,,39782.0,12015.0
2020-08-17,121,1,9,1,706720,1000,598393,109327,28464561440,40277000,24101474861,4403363579,40277.0,40277.0,40277.0,40277.0,108327.0
2020-08-16,96,0,7,0,126202,0,126202,0,5094143730,0,5094143730,0,40365.0,40365.0,,,0.0
2020-08-15,203,1,27,0,602881,7823,610704,0,24262342964,314828812,24577171776,0,40244.0,40244.0,40244.0,,-7823.0
2020-08-12,272,0,10,0,808765,0,808765,0,33706898905,0,33706898905,0,41677.0,41677.0,,,0.0
2020-08-11,176,0,3,0,259664,0,259664,0,10871093024,0,10871093024,0,41866.0,41866.0,,,0.0
2020-08-10,580,0,178,0,965347,0,965347,0,41253151680,0,41253151680,0,42734.01344801403,42734.01344801403,,,0.0
2020-08-09,1930,2,1129,2,7933920,506280,7340200,1100000,347025952224,21809368146,320053620370,48781700000,43739.53256700345,43602.84738426746,43077.68062337047,44347.0,593720.0
2020-08-05,261,0,450,3,1727304,0,1370564,356740,74370801024,0,59011003584,15359797440,43056.0,43056.0,,43056.0,356740.0
2020-08-04,862,1,706,1,3122133,88323,3210306,150,130509291141,3692961276,134195980617,6271800,41801.3233712337,41801.616611313686,41812.0,41812.0,-88173.0
2020-08-03,1100,0,534,2,3328002,0,2318501,1009501,135099219042,0,94110449939,40988769103,40594.692864367265,40591.075845557105,,40603.0,1009501.0
2020-08-02,1484,0,828,2,6316629,0,6311470,5159,249009503162,0,248806324256,203178906,39421.264595720284,39421.295554918266,,39383.3894165536,5159.0
2020-08-01,189,0,421,1,1739806,0,1739172,634,65507175512,0,65483304144,23871368,37652.0,37652.0,,37652.0,634.0
2020-07-29,27,0,532,1,1156106,0,1056106,100000,42674184672,0,38982984672,3691200000,36912.0,36912.0,,36912.0,100000.0
2020-07-28,13,0,487,0,1349148,0,1349148,0,48659720916,0,48659720916,0,36067.0,36067.0,,,0.0
2020-07-27,1202,3,797,0,6436646,109500,6546146,0,225398645897,3830090730,229228736627,0,35018.02738522516,35017.3577899118,34977.99753424658,,-109500.0
2020-07-26,1251,6,1348,2,6684391,708082,7380278,12195,227268758140,24162308946,251016442243,414624843,33999.91983413298,34011.786851796096,34123.60283978409,33999.57712177122,-695887.0
2020-07-25,1393,4,1841,7,9077537,5606584,13461248,1222873,301973667537,186221664062,447571280704,40624050895,33266.035438577666,33248.86969647985,33214.817447130015,33220.17159181697,-4383711.0
2020-07-22,398,3,44,1,1779665,1000300,2647431,132534,60914373620,34238268400,90616268268,4536373752,34228.0,34228.0,34228.0,34228.0,-867766.0
2020-07-21,721,3,432,0,2389509,400145,2789654,0,84317793073,14118716180,98436509253,0,35286.66059554494,35286.278962552344,35284.0,,-400145.0
2020-07-20,2844,9,1366,3,15595742,2556681,18018965,133458,566639617657,93658224867,655468904509,4828938015,36332.96945134127,36376.612336446626,36632.73786092203,36183.20381693117,-2423223.0
2020-07-19,1062,1,502,1,5028427,1458319,6485019,1727,179454502776,52044488472,231437358072,61633176,35688.0,35688.0,35688.0,35688.0,-1456592.0
2020-07-18,4157,4,2768,0,27414722,1187986,28602708,0,948630530560,42433554748,991064085308,0,34602.96006503367,34649.309614600126,35718.901357423405,,-1187986.0
2020-07-15,330,2,10,0,793502,15150,808652,0,27759873968,530007600,28289881568,0,34984.0,34984.0,34984.0,,-15150.0
2020-07-14,290,2,13,0,577445,645,578090,0,20405751410,22793010,20428544420,0,35338.0,35338.0,35338.0,,-645.0
2020-07-13,469,2,20,0,1163541,1529,1165070,0,41965433247,55146443,42020579690,0,36067.0,36067.0,36067.0,,-1529.0
2020-07-12,3342,9,2331,3,25129780,2982740,26723244,1389276,934646359330,110632641726,993462201687,51816799369,37192.77921772494,37175.95819156537,37090.94380536017,37297.6999307553,-1593464.0
2020-07-11,292,4,23,0,540468,103135,643603,0,20662091640,3942851050,24604942690,0,38230.0,38230.0,38230.0,,-103135.0
2020-07-08,390,1,13,0,624057,130,624187,0,24119178993,5024370,24124203363,0,38649.0,38649.0,38649.0,,-130.0
2020-07-07,675,1,10,0,1121908,130,1122038,0,44222247636,5124210,44227371846,0,39417.0,39417.0,39417.0,,-130.0
