date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,670,5,573,3,1394879,862155,2206034,51000,82470773914,50139009201,129610713731,2999069384,59123.96266199434,58752.817831003515,58155.446759573395,58805.28203921569,-811155.0
2020-10-18,944,3,762,9,3181421,613773,2938384,856810,190390812174,36493393940,175409007694,51475198420,59844.582711310446,59695.740139478025,59457.476852191285,60077.728341172486,243037.0
2020-10-14,656,6,643,5,1906101,2721231,3470707,1156625,108519232986,156260397018,198945787165,65833842839,56932.572296011596,57321.40084570665,57422.68738596613,56918.917401059116,-1564606.0
2020-10-13,676,1,327,2,1711690,1132428,864412,1979706,102958277003,66452807920,53383326332,116027758591,60150.07215266783,61756.808480215455,58681.70684582154,58608.58056246736,847278.0
2020-10-12,654,8,983,6,3278329,2605389,4888770,994948,200537859895,161615777937,300218395256,61935242576,61170.754947108726,61409.80149526364,62031.34270429483,62249.72820288096,-1610441.0
2020-10-11,775,2,568,3,2495691,2166,2095862,401995,159965675546,139199480,134432691760,25672183266,64096.74737217067,64141.95770523059,64265.68790397045,63861.946705804796,399829.0
2020-10-10,164,0,1,0,156807,0,156807,0,10081278837,0,10081278837,0,64291.0,64291.0,,,0.0
2020-10-07,336,2,157,1,517967,23182,250869,290280,34754255720,1535708630,16994542900,19295421450,67097.4323074636,67742.6979818152,66245.73505305841,66471.75640760644,267098.0
2020-10-06,130,3,98,1,230682,2008482,287504,1951660,15585962081,140483702312,19453464393,136616200000,67564.70847747115,67663.28257345984,69945.21350552308,70000.0,-56822.0
2020-10-05,144,2,26,0,102865,115600,218465,0,6711941250,7542900000,14254841250,0,65250.0,65250.0,65250.0,,-115600.0
2020-10-04,268,4,86,0,480185,139400,619585,0,32797526746,9512338800,42309865546,0,68301.8560471485,68287.42714236143,68237.72453371593,,-139400.0
2020-10-03,640,9,820,7,1022608,4960607,2234685,3748530,72062639011,356096893964,158578706005,269580826970,70469.46533862437,70962.44258363036,71784.94364983962,71916.41175874276,-1212077.0
2020-09-30,804,8,823,4,3236638,4806270,3918892,4124016,221765452765,348621236365,269318052230,301068636900,68517.22459076362,68723.00952156885,72534.6758224153,73003.7509311312,-682254.0
2020-09-29,150,0,5,0,180851,0,180851,0,12124793593,0,12124793593,0,67043.0,67043.0,,,0.0
2020-09-28,71,1,7,0,86674,50000,136674,0,5866616364,3384300000,9250916364,0,67686.0,67686.0,67686.0,,-50000.0
2020-09-27,307,4,271,3,1278632,1756802,1602669,1432765,89029081317,127240146539,113963102053,102306125803,69628.38511549844,71108.32121479856,72427.14121397858,71404.67962506063,-324037.0
2020-09-26,562,5,1014,5,1669392,5209215,3882507,2996100,118852313264,376547281963,276882608487,218516986740,71194.9699435483,71315.41771515158,72284.84175888306,72933.80953239212,-2213115.0
2020-09-23,488,4,778,5,1726304,5970220,2550090,5146434,114901018327,420301609892,172679852465,362522775754,66558.97126288302,67715.19925375182,70399.68542063776,70441.5476335653,-823786.0
2020-09-22,248,0,309,0,993838,0,993838,0,67747251075,0,67747251075,0,68167.2979650607,68167.2979650607,,,0.0
2020-09-21,108,0,23,0,137713,0,137713,0,9367238260,0,9367238260,0,68020.0,68020.0,,,0.0
2020-09-20,341,4,378,1,672130,1687208,916720,1442618,46501952237,122424829048,63759929085,105166852200,69185.9494993528,69552.23959878698,72560.60251492406,72900.0,-244590.0
2020-09-19,543,5,861,2,1383670,4767665,1832903,4318432,97852081952,347569238400,129935649152,315485671200,70719.23359760636,70890.63041088372,72901.35493999683,73055.6070351461,-449233.0
2020-09-16,1020,12,1160,3,4006132,5272514,4688214,4590432,277195227438,370246860668,324400698916,323041389190,69192.73439766838,69194.94266174709,70222.07255741757,70372.76430410036,-682082.0
2020-09-15,867,6,671,7,3953547,4831983,2733151,6052379,265554550766,325012962436,183366193919,407201319283,67168.6844157917,67089.66826896867,67262.8530431502,67279.54731238741,1220396.0
2020-09-14,391,3,637,7,4038900,6974396,2457817,8555479,256727130051,449415809053,155733892661,550409046443,63563.62624749313,63362.68837793863,64437.95406125491,64334.100573796044,1581083.0
2020-09-13,512,4,515,3,1946182,4886287,2794649,4037820,115494675454,304369696089,167416811911,252447559632,59344.231656648764,59906.20357368671,62290.589171082254,62520.75615852118,-848467.0
2020-09-12,629,6,743,5,1473873,4115768,2485429,3104212,89852990552,254004613110,152089063454,191768540208,60963.86225407481,61192.27845736088,61714.99781085814,61776.88257374174,-1011556.0
2020-09-09,334,1,34,1,1635288,10000,572066,1073222,96254686968,588610000,33672376826,63170920142,58861.0,58861.0,58861.0,58861.0,1063222.0
2020-09-08,53,0,2,0,30184,0,30184,0,1779890112,0,1779890112,0,58968.0,58968.0,,,0.0
2020-09-07,202,3,186,0,641540,600300,1241840,0,39644018109,37437707658,77081725767,0,61795.083874738906,62070.577342491786,62364.99693153423,,-600300.0
2020-09-06,1008,5,930,4,4373396,3499465,4327770,3545091,284186210647,227848040539,280067780706,231966470480,64980.671918801774,64714.10927706417,65109.392589724426,65433.14980630963,45626.0
2020-09-05,679,11,874,7,2950278,5139617,2768214,5321681,185158654492,323198666960,173064828632,335292492820,62759.731283628185,62518.58730286026,62883.803785379336,63004.99650768244,182064.0
2020-09-02,252,7,665,3,1323852,2384390,3692284,15958,78331754647,144510004165,221873913822,967844990,59169.57080323178,60091.23724556399,60606.69779901778,60649.51685674897,-2368432.0
2020-09-01,342,3,206,0,663975,176266,840241,0,41164058267,10933472726,52097530993,0,61996.39785684702,62003.08125049837,62028.256873134924,,-176266.0
2020-08-31,1365,7,1032,10,3881395,4251745,7392929,740211,250361069879,279982785548,481605633513,48738221914,64502.8578330729,65144.09018577076,65851.26472730609,65843.68769715662,-3511534.0
2020-08-26,938,6,307,3,2896279,2123186,1269465,3750000,183589593926,134420147622,80434521548,237575220000,63388.090003069454,63360.96036361774,63310.58495204848,63353.392,1626814.0
2020-08-25,1010,4,924,8,4937304,5858871,3874951,6921224,296078139799,355950748879,231159673878,420869214800,59967.5733556208,59654.86373324462,60754.15363796199,60808.49497140968,1062353.0
2020-08-24,213,1,234,1,611582,250000,704980,156602,35991896948,14587526040,41468005424,9111417564,58850.484396205255,58821.53454566087,58350.10416,58182.0,-93398.0
2020-08-19,423,2,236,0,746546,251551,998097,0,48756383568,16335218838,65091602406,0,65309.28243939422,65215.70789813014,64938.0,,-251551.0
2020-08-18,1283,5,1025,2,3929660,1029703,4579363,380000,268300081608,70695320756,312884531562,26110870802,68275.64766621031,68324.90273472533,68656.03067680681,68712.8179,-649703.0
2020-08-17,1337,9,3434,10,13973306,4363642,15077601,3259347,911191147110,291880934813,982306774950,220765306973,65209.41766465287,65150.0709529321,66889.29449597378,67732.98669119918,-1104295.0
2020-08-16,798,4,195,1,1389725,990000,2129725,250000,89623117225,65212200000,137865317225,16970000000,64489.82152943928,64733.85870241463,65870.90909090909,67880.0,-740000.0
2020-08-15,1454,8,1751,11,6665967,2425776,8432154,659589,440424793353,160395949237,557007983170,43812759420,66070.65311799473,66057.61507320667,66121.50059898358,66424.33306195222,-1766187.0
2020-08-12,22,2,515,2,971117,543065,1064182,450000,61471706100,34376014500,67362720600,28485000000,63300.0,63300.0,63300.0,63300.0,-93065.0
2020-08-11,1941,11,2390,8,10811098,9966464,15514302,5263260,652184158344,600410718078,934754582354,317840294068,60325.432101716215,60251.15292676396,60243.10307828333,60388.484336323876,-4703204.0
2020-08-10,57,6,649,1,2948298,4293349,2241647,5000000,169819016502,247292609051,129116625553,287995000000,57599.0,57599.0,57599.0,57599.0,706651.0
2020-08-09,393,2,524,2,1754759,444753,1781951,417561,96260814463,24397815321,97752486007,22906143777,54857.0,54857.0,54857.0,54857.0,-27192.0
2020-08-05,273,5,659,5,3475545,1835635,1238180,4073000,181579848525,95902750575,64688714100,212793885000,52245.0,52245.0,52245.0,52245.0,2237365.0
2020-08-04,24,2,610,4,1005923,592760,879541,719142,50052716634,29494552080,43764201078,35783067636,49758.0,49758.0,49758.0,49758.0,126382.0
2020-08-03,165,6,547,2,2518581,2143928,2312509,2350000,119353035009,101598603992,109587489001,111364150000,47389.0,47389.0,47389.0,47389.0,206072.0
2020-08-02,61,4,334,3,1059652,1679187,487839,2251000,47825273716,75786746871,22017637587,101594383000,45133.0,45133.0,45133.0,45133.0,571813.0
2020-08-01,91,1,310,2,2033479,400000,433479,2000000,87407061336,17193600000,18632661336,85968000000,42984.0,42984.0,42984.0,42984.0,1600000.0
2020-07-29,172,5,655,3,1245013,2254483,1749496,1750000,50967533841,92294474480,71617008321,71645000000,40937.35072726148,40935.79426360506,40938.19934769967,40940.0,-504483.0
2020-07-28,905,6,1671,3,2789926,3394764,5909690,275000,107541865523,133607073801,230263172194,10885767130,38546.49389374485,38963.66343987586,39356.80766056197,39584.607745454545,-3119764.0
2020-07-27,890,4,786,4,2115127,745974,2627092,234009,83600893514,29392996923,103777107003,9216783434,39525.235843521456,39502.65426677102,39402.173430977484,39386.4485297574,-511965.0
2020-07-26,1529,7,1180,3,5030686,2320032,6090121,1260597,206919227522,97514488101,249487106988,54946608635,41131.41379167772,40965.870298471906,42031.52719488352,43587.767252341546,-1059435.0
2020-07-25,1390,1,1164,4,3840000,150000,3571428,418572,162216234105,6306220000,150887040747,17635413358,42243.81096484375,42248.378168900505,42041.46666666667,42132.32934357769,268572.0
2020-07-22,403,2,370,1,1132062,320400,1239712,212750,50017189655,14230981600,54764988335,9483182920,44182.37663219859,44175.57330654217,44416.29712858926,44574.30279670975,-107650.0
2020-07-21,898,2,988,1,1960617,1336497,2610676,686438,89443994734,63517010958,119288628652,33672377040,45620.33009710719,45692.6208583524,47524.99329066956,49053.77767547834,-650059.0
2020-07-20,1293,5,1683,3,4090985,5491641,6784942,2797684,189112482501,259288260687,314442270719,133958472469,46226.63796151782,46344.13539850451,47215.078459607976,47881.91678152358,-2693957.0
2020-07-19,1247,1,915,4,3101126,1722830,4733974,89982,143085727322,78681461200,217644834609,4122353913,46139.927020701514,45975.08026216451,45669.89267658446,45813.094985663796,-1632848.0
2020-07-18,1414,3,1199,6,3896534,1573122,4863756,605900,169050667619,68871658480,211497825778,26424500321,43384.88195380818,43484.46463556149,43780.23985425161,43611.98270506684,-967222.0
2020-07-15,918,4,1095,8,2844554,1134822,3458818,520558,119489599905,47786066468,145454933292,21820733081,42006.44456213522,42053.36426837145,42108.86506253844,41917.96702961053,-614264.0
2020-07-14,831,4,732,7,1868177,1212777,2359087,721867,81961641234,53898095701,104492241832,31367495103,43872.52451668124,44293.50923980337,44441.88478261049,43453.28862934585,-490910.0
2020-07-13,1414,3,1302,6,4639056,1306513,5022553,923016,210169182581,59681904450,227568737908,42282349123,45304.29953443114,45309.37511420985,45680.29897138414,45808.9016040892,-383497.0
2020-07-12,84,2,283,3,1210907,232980,843887,600000,52914214086,10180760040,36876174126,26218800000,43698.0,43698.0,43698.0,43698.0,367020.0
2020-07-11,1064,4,1308,7,3810904,1441650,4711972,540582,158212367583,60388103126,196118642310,22481828399,41515.70535048902,41621.351381120265,41888.185846772794,41588.19272376809,-901068.0
2020-07-08,1582,4,1322,2,3473674,1866809,5317939,22544,147228682253,81798270074,228038772327,988180000,42384.139171666655,42881.043262624866,43817.16076684867,43833.392476933994,-1844265.0
2020-07-07,1965,6,1119,3,3843877,2987000,6610059,220818,169985896548,131575036000,291823429464,9737503084,44222.51194510126,44148.38497871199,44049.22530967526,44097.41544620457,-2766182.0
2020-07-06,1374,5,760,4,2738930,759412,2993774,504568,126828537084,35336916094,138683867594,23481585584,46305.87020624842,46324.09380066765,46531.94325873176,46538.0,-254844.0
2020-07-05,1876,4,1571,6,5380922,1581826,5573065,1389683,238521996912,70083329047,245935154194,62670171765,44327.347044242604,44129.24561152615,44305.33386541883,45096.73915921833,-192143.0
2020-07-04,1952,5,1593,3,4804767,1228950,5905907,127810,207560084477,52252265652,254263947907,5548402222,43198.782475195985,43052.480830971435,42517.812483827656,43411.33105390814,-1101140.0
2020-07-01,2007,5,2210,3,5658162,2732662,8310824,80000,251677036379,122878612304,370896817883,3658830800,44480.35181371619,44628.16417277035,44966.63411135369,45735.385,-2652662.0
2020-06-30,2062,3,1906,3,4940110,488000,5259565,168545,227637565791,22516858766,242379047705,7775376852,46079.452844369865,46083.47795017269,46141.104028688525,46132.34953276573,-319455.0
2020-06-29,1711,5,1627,3,4336914,1722521,5844435,215000,195231879913,77914862240,263517154581,9629587572,45016.31342309301,45088.559387006615,45233.040549287936,44788.77940465116,-1507521.0
2020-06-28,1822,10,1891,4,4654243,5562560,8610295,1606508,218917639040,261255641756,404477249592,75696031204,47036.14294311663,46976.00367838733,46966.79977492378,47118.36555062284,-3956052.0
2020-06-27,2407,5,1354,1,5943569,2034553,7880051,98071,293289036614,99705886871,388167147361,4827776124,49345.60978664503,49259.4714629385,49006.28632972451,49227.35695567497,-1936482.0
2020-06-24,1323,3,1010,5,8931286,1153760,5039140,5045906,432296864506,55920070003,245761541914,242455392595,48402.532905787586,48770.53265319082,48467.67958934267,48049.922569901224,3892146.0
2020-06-23,6008,8,6438,10,40124996,616024,40080386,660634,1870146473249,28806318922,1868621602797,30331189374,46608.01644064961,46621.8464761542,46761.68285975871,45912.24395656294,44610.0
2020-06-22,898,1,29,0,749396,250000,999396,0,35154915756,11727750000,46882665756,0,46911.0,46911.0,46911.0,,-250000.0
2020-06-21,770,1,100,0,876093,50000,926093,0,43134438855,2461750000,45596188855,0,49235.0,49235.0,49235.0,,-50000.0
2020-06-20,3514,5,1942,3,5826664,799876,6506517,120023,300878741169,42547943837,337281249727,6145435279,51638.25152248354,51837.45001004377,53193.17473833444,51202.146913508244,-679853.0
2020-06-16,694,0,280,1,1592627,0,692627,900000,81211235984,0,35318435984,45892800000,50992.0,50992.0,,50992.0,900000.0
2020-06-15,237,1,276,5,1014275,200000,456907,757368,49257251100,9712800000,22189231548,36780819552,48564.0,48564.0,48564.0,48564.0,557368.0
2020-06-14,69,20,316,2,1055750,4103498,909248,4250000,48830549000,189794989496,42054538496,196571000000,46252.0,46252.0,46252.0,46252.0,146502.0
2020-06-13,685,3,399,3,1957990,1745616,949443,2754163,86249459500,76894384800,41822964150,121320880150,44050.0,44050.0,44050.0,44050.0,1008547.0
2020-06-10,143,0,54,0,294335,0,294335,0,13818733915,0,13818733915,0,46949.0,46949.0,,,0.0
2020-06-07,934,2,545,4,4366811,920580,1470044,3817347,176893203155,37296233902,59355125390,154834311667,40508.55490539893,40376.42777359045,40513.84334006822,40560.711841758166,2896767.0
2020-06-06,2377,10,2352,2,7794695,2070892,9730060,135527,300923581470,80185773147,375834691630,5274662987,38606.2035102079,38626.143274553295,38720.40316298484,38919.64691168549,-1935365.0
2020-06-02,214,3,337,2,1375802,3289772,415574,4250000,52397419170,125290966620,15827135790,161861250000,38085.0,38085.0,38085.0,38085.0,960228.0
2020-06-01,586,2,706,2,5732250,360488,4162738,1930000,207995460000,13003294488,150069324488,70929430000,36285.13410964281,36050.62929446917,36071.36572645969,36751.0,1569512.0
2020-05-19,1863,2,750,2,5676522,200000,3130466,2746056,409114908922,14489000000,226562832002,197041076920,72071.40374370081,72373.51627585158,72445.0,71754.20928050994,2546056.0
2020-05-18,525,0,159,2,689457,0,389457,300000,45553113447,0,25731813447,19821300000,66071.0,66071.0,,66071.0,300000.0
2020-05-17,1622,4,938,5,2240917,227209,2195648,272478,141072894594,14234723991,137919709458,17387909127,62953.19933491512,62815.03658965371,62650.35271930249,63813.99278840861,45269.0
2020-05-16,2108,3,1048,5,2508734,25180,2454099,79815,160234217974,1560649120,156737723650,5057143444,63870.549039475685,63867.72646498776,61979.71088165211,63360.814934536116,54635.0
2020-05-13,1654,2,984,3,2911798,140215,2352013,700000,186891438647,9088839884,150428378531,45551900000,64184.20462099362,63957.290427816515,64820.738751203506,65074.142857142855,559785.0
2020-05-12,2528,3,1154,6,4106125,463445,3219198,1350372,255504749003,28282112292,196935922325,86850938970,62225.27297707693,61175.461194061376,61025.822464370096,64316.306151193894,886927.0
2020-05-11,1679,2,365,7,3341577,12175,1339464,2014288,208934351771,761266225,83748232220,125947385776,62525.673288689744,62523.690237288945,62527.0,62527.0,2002113.0
2020-05-10,601,0,249,3,1422260,0,420243,1002017,84695583000,0,25025470650,59670112350,59550.0,59550.0,,59550.0,1002017.0
2020-05-09,454,0,315,2,999772,0,579772,420000,56701974117,0,32881254117,23820720000,56714.9051153663,56714.11195607929,,56716.0,420000.0
2020-05-06,1085,1,735,3,1727679,20000,1510572,237107,93343077654,1060000000,81550201400,12852876254,54028.02120880094,53986.305452504086,53000.0,54207.072140426055,217107.0
2020-05-05,1742,5,921,4,3196898,341049,3516308,21639,171276823340,18026488406,188118411186,1184900560,53575.94247298475,53498.84344204205,52856.00721890403,54757.639447294234,-319410.0
2020-05-04,1556,2,754,4,4579439,1307219,4056658,1830000,248966244691,71600297287,220331981978,100234560000,54366.101326166805,54313.66952254787,54772.99311515515,54772.983606557376,522781.0
2020-05-03,809,2,211,2,2067687,400000,447687,2020000,107860892355,20866000000,23353592355,105373300000,52165.0,52165.0,52165.0,52165.0,1620000.0
2020-05-02,1470,5,574,4,3820728,1070000,2012497,2878231,189654742879,53322045025,100007761638,142969026266,49638.37857052373,49693.37178539894,49833.68693925234,49672.53367294008,1808231.0
2020-04-29,1404,2,545,3,3137803,300000,2278152,1159651,148935141818,14239526774,108106669132,55067999460,47464.78406005731,47453.66820651124,47465.08924666667,47486.70027447913,859651.0
2020-04-28,1157,3,683,9,2552965,300250,1546097,1307118,115422529005,13658905463,69703112752,59378321716,45211.16780096868,45083.27275196835,45491.77506411324,45426.90232710436,1006868.0
2020-04-27,1583,5,989,4,5762135,1013943,2849551,3926527,250432692382,44036505018,124040839399,170428358001,43461.78844855249,43529.95942132638,43430.947319523875,43404.35147930983,2912584.0
2020-04-26,1390,3,805,2,3387684,34177,2667312,754549,154579957005,1573552250,122287845556,33865663699,45629.981133128116,45846.84714649055,46041.26313017526,44881.994010992,720372.0
2020-04-25,1345,4,622,3,2342907,414197,2745554,11550,110737247310,19441077934,129641797599,536527645,47264.892422106386,47218.81179499657,46936.79078795839,46452.60995670996,-402647.0
2020-04-22,987,2,721,0,2015826,61934,2077760,0,92716222343,2877375110,95593597453,0,45994.15938826069,46008.00739883336,46458.73203733006,,-61934.0
2020-04-21,1147,2,528,1,1930766,36619,1947385,20000,91004142583,1703839061,91764981644,943000000,47133.69853363898,47122.15696639339,46528.82550042328,47150.0,-16619.0
2020-04-20,545,1,380,1,1852788,129108,1846896,135000,85827158289,6023688916,85564972205,6285875000,46323.2481476564,46329.06899197356,46656.20190847972,46562.03703703704,5892.0
2020-04-19,731,2,374,3,2324018,253323,1917874,659467,103492861803,11382815682,85243187307,29632490178,44531.867568581656,44446.708859393264,44934.0,44934.0,406144.0
2020-04-18,648,0,162,3,1386171,0,386171,1000000,59321187945,0,16526187945,42795000000,42795.0,42795.0,,42795.0,1000000.0
