date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,2,0,1,0,290,0,290,0,15187300,0,15187300,0,52370.0,52370.0,,,0.0
2020-10-18,12,0,4,0,4160,0,4160,0,217913280,0,217913280,0,52383.0,52383.0,,,0.0
2020-10-14,14,0,2,0,11068,0,11068,0,580129220,0,580129220,0,52415.0,52415.0,,,0.0
2020-10-13,9,0,3,0,3885,0,3885,0,203675010,0,203675010,0,52426.0,52426.0,,,0.0
2020-10-12,40,0,23,0,44012,0,44012,0,2313094672,0,2313094672,0,52556.0,52556.0,,,0.0
2020-10-11,208,1,202,0,395758,2000,397758,0,21425325900,106962000,21532287900,0,54137.442325865806,54134.14161374504,53481.0,,-2000.0
2020-10-10,63,1,42,0,49275,2000,51275,0,2645452631,107258000,2752710631,0,53687.52168442415,53685.23902486592,53629.0,,-2000.0
2020-10-07,109,1,98,0,124639,2000,126639,0,6779681646,109955640,6889637286,0,54394.544612841884,54403.75623623055,54977.82,,-2000.0
2020-10-06,30,0,20,0,34609,0,34609,0,1910828211,0,1910828211,0,55211.88739923141,55211.88739923141,,,0.0
2020-10-05,8,0,1,0,3280,0,3280,0,177251200,0,177251200,0,54040.0,54040.0,,,0.0
2020-10-04,55,0,55,0,77081,0,77081,0,4198610619,0,4198610619,0,54470.1109093032,54470.1109093032,,,0.0
2020-10-03,93,1,219,0,368218,477993,846211,0,20704769800,27620494094,48325263894,0,56229.65145647415,57107.81813755671,57784.30666139462,,-477993.0
2020-09-30,29,1,143,1,133182,264897,396829,1250,7506831554,15490103317,22926882371,70052500,56365.21116967758,57775.2189759317,58475.94845166234,56042.0,-263647.0
2020-09-29,4,0,1,0,1177,0,1177,0,65966142,0,65966142,0,56046.0,56046.0,,,0.0
2020-09-28,5,0,1,0,2530,0,2530,0,141816620,0,141816620,0,56054.0,56054.0,,,0.0
2020-09-27,12,0,4,0,3266,0,3266,0,183108290,0,183108290,0,56065.0,56065.0,,,0.0
2020-09-26,14,0,2,0,2480,0,2480,0,139061040,0,139061040,0,56073.0,56073.0,,,0.0
2020-09-23,66,0,89,0,99684,0,99684,0,5627951514,0,5627951514,0,56457.92217407006,56457.92217407006,,,0.0
2020-09-22,21,0,27,0,21214,0,21214,0,1198039436,0,1198039436,0,56474.0,56474.0,,,0.0
2020-09-21,9,0,8,0,11142,0,11142,0,629656704,0,629656704,0,56512.0,56512.0,,,0.0
2020-09-20,27,1,78,0,40751,62062,102813,0,2330716427,3699019324,6029735751,0,57194.09160511399,58647.60050771789,59602.0,,-62062.0
2020-09-19,36,1,225,0,74559,206564,281123,0,4316828634,12329683104,16646511738,0,57898.15627892005,59214.335852989614,59689.40911291416,,-206564.0
2020-09-16,136,1,313,0,161066,220778,381844,0,9412057829,13465337674,22877395503,0,58436.0313722325,59912.93696640513,60990.39611736676,,-220778.0
2020-09-15,162,4,420,3,355703,615156,958954,11905,20658971525,37308210878,57256638893,710543510,58079.27266567895,59707.38835543728,60648.373547522904,59684.46115077699,-603251.0
2020-09-14,17,0,1,0,7903,0,7903,0,439928398,0,439928398,0,55666.0,55666.0,,,0.0
2020-09-13,10,0,1,0,2172,0,2172,0,120921756,0,120921756,0,55673.0,55673.0,,,0.0
2020-09-12,46,0,49,0,97558,0,97558,0,5464119895,0,5464119895,0,56008.93719633449,56008.93719633449,,,0.0
2020-09-09,24,0,2,0,8615,0,8615,0,482629530,0,482629530,0,56022.0,56022.0,,,0.0
2020-09-08,5,0,2,0,3380,0,3380,0,189391540,0,189391540,0,56033.0,56033.0,,,0.0
2020-09-07,6,0,1,0,1546,0,1546,0,86634748,0,86634748,0,56038.0,56038.0,,,0.0
2020-09-06,24,0,1,0,10842,0,10842,0,607954308,0,607954308,0,56074.0,56074.0,,,0.0
2020-09-05,37,0,34,0,45662,0,45662,0,2567391612,0,2567391612,0,56226.0,56226.0,,,0.0
2020-09-02,16,0,4,0,15130,0,15130,0,851486140,0,851486140,0,56278.0,56278.0,,,0.0
2020-09-01,36,0,78,0,171255,0,171255,0,9740076423,0,9740076423,0,56874.698099325564,56874.698099325564,,,0.0
2020-08-31,103,1,64,0,106182,1000,107182,0,6156631498,57124000,6213755498,0,57981.87544028178,57973.871526935494,57124.0,,-1000.0
2020-08-26,248,1,187,1,280313,4000,283505,808,16922787692,238400000,17111091692,50096000,60371.04127172125,60355.51998024726,59600.0,62000.0,-3192.0
2020-08-25,160,0,187,0,264891,0,264891,0,15455603101,0,15455603101,0,58347.029914191124,58347.029914191124,,,0.0
2020-08-24,21,0,8,0,26896,0,26896,0,1556175664,0,1556175664,0,57859.0,57859.0,,,0.0
2020-08-23,33,0,26,0,20758,0,20758,0,1202552546,0,1202552546,0,57932.00433567781,57932.00433567781,,,0.0
2020-08-22,76,0,33,0,42275,0,42275,0,2470623486,0,2470623486,0,58441.714630396214,58441.714630396214,,,0.0
2020-08-19,90,0,117,0,138502,0,138502,0,8118110172,0,8118110172,0,58613.66747050584,58613.66747050584,,,0.0
2020-08-18,277,2,226,0,546702,1308,548010,0,33384537827,79351000,33463888827,0,61065.329607354644,61064.37624678382,60665.902140672784,,-1308.0
2020-08-17,191,2,162,0,272999,1500,274499,0,16733425682,91808400,16825234082,0,61294.824090930735,61294.33652581612,61205.6,,-1500.0
2020-08-16,123,1,140,0,129201,500,129701,0,7988305765,30856000,8019161765,0,61828.51344029845,61828.064278610036,61712.0,,-500.0
2020-08-15,143,1,176,0,256541,2000,258541,0,16152286783,125394000,16277680783,0,62961.81422462686,62959.765696736686,62697.0,,-2000.0
2020-08-12,223,1,200,5,514843,10000,358666,166177,33620394102,650810000,23380102346,10891101756,65302.2263136529,65186.28012133852,65081.0,65539.1646015995,156177.0
2020-08-11,170,2,217,0,299283,16000,315283,0,19946758836,1066336000,21013094836,0,66648.48600154369,66648.35984179293,66646.0,,-16000.0
2020-08-10,166,0,170,0,302234,0,302234,0,20612481036,0,20612481036,0,68200.40444159161,68200.40444159161,,,0.0
2020-08-09,305,1,362,0,557223,15000,572223,0,39722257560,1063020000,40785277560,0,71286.10549097937,71275.14545902559,70868.0,,-15000.0
2020-08-05,308,0,449,1,1057330,0,1027527,29803,78800605271,0,76572592597,2228012674,74527.91963814513,74521.2462514367,,74758.0,29803.0
2020-08-04,123,3,241,1,219020,417219,267154,369085,15703953020,29915019519,19155208954,26463763585,71701.0,71701.0,71701.0,71701.0,-48134.0
2020-08-03,214,3,472,1,731156,250126,974282,7000,49192770520,17815780470,66555650990,452900000,67280.81356099108,68312.51217819891,71227.22335942685,64700.0,-243126.0
2020-08-02,378,0,325,0,635860,0,635860,0,43286682507,0,43286682507,0,68075.80679237568,68075.80679237568,,,0.0
2020-08-01,506,0,346,0,644195,0,644195,0,43465158697,0,43465158697,0,67472.05224660235,67472.05224660235,,,0.0
2020-07-29,335,0,432,1,682657,0,659119,23538,45764822340,0,44192483940,1572338400,67039.26326105204,67047.80766447334,,66800.0,23538.0
2020-07-28,297,2,485,0,801966,7000,808966,0,55102477585,474000000,55576477585,0,68709.24401408539,68700.63461876025,67714.28571428571,,-7000.0
2020-07-27,324,2,578,1,973521,15000,931557,56964,69385942050,1061984000,66415211574,4032714476,71273.18470787995,71294.84462464455,70798.93333333333,70794.08882803174,41964.0
2020-07-26,340,0,222,0,481111,0,481111,0,35380154775,0,35380154775,0,73538.44492227366,73538.44492227366,,,0.0
2020-07-25,609,0,647,0,1317005,0,1317005,0,101919374471,0,101919374471,0,77387.2342709405,77387.2342709405,,,0.0
2020-07-22,629,1,459,1,719444,33600,751206,1838,56263023700,2617089770,58736992560,143120910,78203.47893651208,78190.26014169215,77889.57648809523,77867.7421109902,-31762.0
2020-07-21,253,3,782,0,1701877,73410,1775287,0,129080508315,5568641926,134649150241,0,75845.96790191066,75846.41257498083,75856.72150933115,,-73410.0
2020-07-20,828,0,397,0,996934,0,996934,0,73247596241,0,73247596241,0,73472.86404215325,73472.86404215325,,,0.0
2020-07-19,1049,1,451,1,1448578,5000,1441006,12572,107708177009,360050000,107114557009,953670000,74354.41999602369,74333.17904921978,72010.0,75856.66560610881,7572.0
