date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-07,3556,4,1462,16,8775709,225210,8552943,447976,501560765370,12665290430,488327710080,25898345720,57153.304122778,57094.69945958952,56237.691177123575,57811.90447702556,222766.0
2020-10-06,2157,2,1035,24,7453669,1779323,6157744,3075248,427759566740,102720286100,352981806340,177498046500,57389.12832592915,57323.234993205304,57729.98275186686,57718.28694791444,1295925.0
2020-10-05,1750,1,949,18,5299348,100,4354643,944805,291390516900,5351000,239174261130,52221606770,54986.10713997269,54923.9653239083,53510.0,55272.364953614764,944705.0
2020-10-03,97,0,242,3,1232314,0,345000,887314,61554084300,0,17232750000,44321334300,49950.0,49950.0,,49950.0,887314.0
2020-09-30,92,0,356,1,830045,0,530045,300000,39775756400,0,25399756400,14376000000,47920.0,47920.0,,47920.0,300000.0
2020-09-29,1016,21,1756,5,4584496,3838526,7304143,1118879,210118316980,174291897980,331106703140,53303511820,45832.37000970227,45331.35552521357,45405.94435989231,47640.10390757178,-2719647.0
2020-09-28,105,20,21,0,99435,690054,789489,0,4468608900,31011026760,35479635660,0,44940.0,44940.0,44940.0,,-690054.0
2020-09-27,398,3,306,0,1390655,331409,1722064,0,65403528480,16054943760,81458472240,0,47030.73622142084,47302.81350751191,48444.50138650429,,-331409.0
2020-09-26,776,25,1161,0,2639201,2219703,4858904,0,129986151940,108116734450,238102886390,0,49252.08498329608,49003.41443049708,48707.748041066756,,-2219703.0
2020-09-23,789,5,938,1,2203048,352672,2545720,10000,112841249810,17995977140,130320771350,516455600,51220.51349312407,51192.1072820263,51027.5188844025,51645.56,-342672.0
2020-09-22,736,10,1260,0,3282351,1448289,4730640,0,169775955730,74991364250,244767319980,0,51723.88806986212,51740.84690020801,51779.28179389611,,-1448289.0
2020-09-21,254,6,591,2,1936200,400700,2045212,291688,103667765550,21705930130,109543334920,15830360760,53541.86837620081,53560.87042321285,54170.02777639132,54271.55302926415,-109012.0
2020-09-20,466,1,426,2,1261816,12314,1122130,152000,71095105590,690445980,63236322460,8549229110,56343.480816537434,56353.82928894157,56070.0,56244.92835526316,139686.0
2020-09-19,989,7,1756,3,2991790,1591011,4344389,238412,177130150190,93367432170,256246426790,14251155570,59205.40886559551,58983.30623477778,58684.34106992347,59775.32829723336,-1352599.0
