date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-22,119,0,36,0,1841027,0,1841027,0,36472585897,0,36472585897,0,19811.0,19811.0,,,0.0
2020-09-21,48,0,18,0,728164,0,728164,0,14315704240,0,14315704240,0,19660.0,19660.0,,,0.0
2020-09-20,34,0,5,0,116664,0,116664,0,2343779760,0,2343779760,0,20090.0,20090.0,,,0.0
2020-09-19,48,0,4,0,204323,0,204323,0,4112409021,0,4112409021,0,20127.0,20127.0,,,0.0
2020-09-16,257,1,47,1,3731605,310000,3841605,200000,76635971885,6366470000,78895041885,4107400000,20537.0,20537.0,20537.0,20537.0,-110000.0
2020-09-15,711,2,59,2,5214580,5080000,9749401,545179,109276738480,106456480000,204308447356,11424771124,20956.0,20956.0,20956.0,20956.0,-4534821.0
2020-09-14,97,2,3,0,491474,1854,493328,0,10560301838,39836898,10600138736,0,21487.0,21487.0,21487.0,,-1854.0
2020-09-13,74,0,2,0,279433,0,279433,0,6018986820,0,6018986820,0,21540.0,21540.0,,,0.0
2020-09-12,114,0,12,0,430338,0,430338,0,9304768236,0,9304768236,0,21622.0,21622.0,,,0.0
2020-09-09,118,1,3,2,757333,110000,555580,311753,16290990163,2366210000,11951081380,6706118783,21511.0,21511.0,21511.0,21511.0,201753.0
2020-09-08,29,0,0,1,43068,0,0,43068,946117824,0,0,946117824,21968.0,,,21968.0,43068.0
2020-09-07,41,0,1,1,251300,0,51300,200000,5532872100,0,1129472100,4403400000,22017.0,22017.0,,22017.0,200000.0
2020-09-06,216,2,67,0,7732059,1408000,9140059,0,173708437494,31632128000,205340565494,0,22466.0,22466.0,22466.0,,-1408000.0
2020-09-05,153,1,16,0,1375777,7777,1383554,0,31037529120,175449120,31212978240,0,22560.0,22560.0,22560.0,,-7777.0
2020-09-02,52,0,3,0,370062,0,370062,0,8550652572,0,8550652572,0,23106.0,23106.0,,,0.0
2020-09-01,90,0,3,0,414420,0,414420,0,9610814220,0,9610814220,0,23191.0,23191.0,,,0.0
2020-08-31,764,1,304,2,7218027,10000,6553966,674061,170806480570,234620000,155187565630,15853534940,23663.873877168928,23678.420917960208,23462.0,23519.436579182002,664061.0
2020-08-26,3029,9,1508,3,31884101,13115000,42184101,2815000,765365831547,311897065250,1010053774019,67209122778,24004.623230462104,23943.94452115976,23781.705318337783,23875.35445044405,-10300000.0
2020-08-25,516,0,20,1,1989140,0,1789140,200000,48001926480,0,43175526480,4826400000,24132.0,24132.0,,24132.0,200000.0
2020-08-24,100,0,3,0,150584,0,150584,0,3714606112,0,3714606112,0,24668.0,24668.0,,,0.0
2020-08-23,93,1,4,0,235632,1603,237235,0,5824823040,39626160,5864449200,0,24720.0,24720.0,24720.0,,-1603.0
2020-08-22,247,0,10,0,644358,0,644358,0,16020028596,0,16020028596,0,24862.0,24862.0,,,0.0
2020-08-19,303,1,21,0,922224,670000,1592224,0,23111855664,16790870000,39902725664,0,25061.0,25061.0,25061.0,,-670000.0
2020-08-18,2565,6,1077,5,22133867,9622664,25903792,5852739,576677778411,252330455510,673331497951,155676735970,26054.090702316047,25993.54943673884,26222.51546037563,26598.954091409167,-3769925.0
2020-08-17,625,1,73,0,2486087,500000,2986087,0,64896815048,13052000000,77948815048,0,26104.0,26104.0,26104.0,,-500000.0
2020-08-16,1225,4,253,0,6137101,297000,6434101,0,163478743360,7898794780,171377538140,0,26637.779524892943,26635.81720896206,26595.26861952862,,-297000.0
2020-08-15,5311,13,1545,6,50911768,7313791,54180659,4044900,1381810231009,194651357692,1463707740993,112753847708,27141.273722982867,27015.318159806804,26614.2904127285,27875.55877969789,-3268891.0
