date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-08-05,1,0,2,0,13400,0,13400,0,29131600,0,29131600,0,2174.0,2174.0,,,0.0
2020-08-04,1,0,1,0,10,0,10,0,21740,0,21740,0,2174.0,2174.0,,,0.0
2020-08-03,1,0,1,0,200,0,200,0,443200,0,443200,0,2216.0,2216.0,,,0.0
2020-08-01,1,0,2,0,659,0,659,0,1432666,0,1432666,0,2174.0,2174.0,,,0.0
2020-07-25,1,0,2,0,175,0,175,0,380450,0,380450,0,2174.0,2174.0,,,0.0
2020-07-22,1,0,1,0,777,0,777,0,1721832,0,1721832,0,2216.0,2216.0,,,0.0
2020-07-21,1,0,1,0,55,0,55,0,119570,0,119570,0,2174.0,2174.0,,,0.0
2020-07-20,1,0,1,0,442,0,442,0,960908,0,960908,0,2174.0,2174.0,,,0.0
2020-07-18,1,0,4,0,10119,0,10119,0,22423704,0,22423704,0,2216.0,2216.0,,,0.0
2020-07-12,1,0,2,0,668,0,668,0,1480288,0,1480288,0,2216.0,2216.0,,,0.0
2020-07-07,1,0,3,0,6075,0,6075,0,13207050,0,13207050,0,2174.0,2174.0,,,0.0
2020-07-06,1,0,2,0,264,0,264,0,585024,0,585024,0,2216.0,2216.0,,,0.0
2020-07-04,1,0,1,0,2893,0,2893,0,6289382,0,6289382,0,2174.0,2174.0,,,0.0
2020-06-30,1,0,2,0,3278,0,3278,0,7264048,0,7264048,0,2216.0,2216.0,,,0.0
2020-06-28,1,0,1,0,19737,0,19737,0,42908238,0,42908238,0,2174.0,2174.0,,,0.0
2020-06-27,1,0,1,0,1698,0,1698,0,3691452,0,3691452,0,2174.0,2174.0,,,0.0
2020-06-24,1,0,1,0,6345,0,6345,0,14060520,0,14060520,0,2216.0,2216.0,,,0.0
2020-06-22,2,0,5,0,9045,0,9045,0,19663830,0,19663830,0,2174.0,2174.0,,,0.0
2020-06-20,2,0,2,0,6005,0,6005,0,13307080,0,13307080,0,2216.0,2216.0,,,0.0
2020-06-14,1,0,1,0,2164,0,2164,0,4704536,0,4704536,0,2174.0,2174.0,,,0.0
2020-06-13,1,0,1,0,2793,0,2793,0,6189288,0,6189288,0,2216.0,2216.0,,,0.0
2020-06-10,1,0,2,0,3394,0,3394,0,7378556,0,7378556,0,2174.0,2174.0,,,0.0
2020-06-01,1,0,2,0,3234,0,3234,0,7030716,0,7030716,0,2174.0,2174.0,,,0.0
2020-05-31,1,0,2,0,1176,0,1176,0,2606016,0,2606016,0,2216.0,2216.0,,,0.0
2020-05-20,1,0,2,0,1042,0,1042,0,2265308,0,2265308,0,2174.0,2174.0,,,0.0
2020-05-19,1,0,1,0,9400,0,9400,0,20435600,0,20435600,0,2174.0,2174.0,,,0.0
2020-05-02,1,0,2,0,277,0,277,0,602198,0,602198,0,2174.0,2174.0,,,0.0
2020-04-26,1,0,2,0,5679,0,5679,0,12346146,0,12346146,0,2174.0,2174.0,,,0.0
2020-04-18,1,0,1,0,341,0,341,0,755656,0,755656,0,2216.0,2216.0,,,0.0
2020-04-12,2,0,1,0,39937,0,39937,0,88500392,0,88500392,0,2216.0,2216.0,,,0.0
2020-04-11,1,0,1,0,660,0,660,0,1434840,0,1434840,0,2174.0,2174.0,,,0.0
2020-03-30,1,0,2,0,6960,0,6960,0,15131040,0,15131040,0,2174.0,2174.0,,,0.0
2020-03-24,1,0,1,0,24261,0,24261,0,52743414,0,52743414,0,2174.0,2174.0,,,0.0
2020-03-18,1,0,1,0,1,0,1,0,2174,0,2174,0,2174.0,2174.0,,,0.0
2020-03-15,1,0,2,0,2332,0,2332,0,5069768,0,5069768,0,2174.0,2174.0,,,0.0
2020-03-11,2,0,3,0,53001,0,53001,0,117397215,0,117397215,0,2215.0,2215.0,,,0.0
2020-03-10,1,0,2,0,19306,0,19306,0,41951938,0,41951938,0,2173.0,2173.0,,,0.0
2020-03-09,1,0,1,0,461,0,461,0,1001753,0,1001753,0,2173.0,2173.0,,,0.0
2020-03-07,1,0,1,0,465,0,465,0,1010445,0,1010445,0,2173.0,2173.0,,,0.0
2020-03-04,2,0,4,0,2081,0,2081,0,4609415,0,4609415,0,2215.0,2215.0,,,0.0
2020-03-03,1,0,1,0,28,0,28,0,60844,0,60844,0,2173.0,2173.0,,,0.0
2020-03-02,1,0,1,0,11000,0,11000,0,23903000,0,23903000,0,2173.0,2173.0,,,0.0
2019-11-24,1,0,4,0,11660,0,11660,0,24602600,0,24602600,0,2110.0,2110.0,,,0.0
2019-11-05,1,0,3,0,7001,0,7001,0,14345049,0,14345049,0,2049.0,2049.0,,,0.0
2019-10-13,0,0,1,0,0,0,2000,0,0,0,3980000,0,,1990.0,,,0.0
2019-10-12,1,0,2,0,6000,0,6000,0,11598000,0,11598000,0,1933.0,1933.0,,,0.0
2019-10-08,1,0,1,0,1,0,1,0,1933,0,1933,0,1933.0,1933.0,,,0.0
2019-10-07,1,0,2,0,20001,0,20001,0,37541877,0,37541877,0,1877.0,1877.0,,,0.0
2019-09-22,1,0,3,0,17414,0,17414,0,31745722,0,31745722,0,1823.0,1823.0,,,0.0
2019-09-18,1,0,2,0,1291,0,1291,0,2353493,0,2353493,0,1823.0,1823.0,,,0.0
2019-09-16,1,0,1,0,4283,0,4283,0,7580910,0,7580910,0,1770.0,1770.0,,,0.0
2019-09-02,1,0,2,0,19652,0,19652,0,32818840,0,32818840,0,1670.0,1670.0,,,0.0
2019-04-08,1,0,1,0,7700,0,7700,0,12489400,0,12489400,0,1622.0,1622.0,,,0.0
2019-03-30,1,0,1,0,8945,0,8945,0,14312000,0,14312000,0,1600.0,1600.0,,,0.0
2019-02-27,1,0,2,0,20289,0,20289,0,32462400,0,32462400,0,1600.0,1600.0,,,0.0
2019-02-16,1,0,6,0,15468,0,15468,0,24748800,0,24748800,0,1600.0,1600.0,,,0.0
2018-10-10,3,0,3,0,71731,0,71731,0,109031120,0,109031120,0,1520.0,1520.0,,,0.0
2018-03-10,1,0,2,0,55859,0,55859,0,68315557,0,68315557,0,1223.0,1223.0,,,0.0
2018-03-07,1,0,1,0,5000,0,5000,0,7000000,0,7000000,0,1400.0,1400.0,,,0.0
2018-03-05,1,0,1,0,426,0,426,0,517164,0,517164,0,1214.0,1214.0,,,0.0
2018-03-03,2,0,2,0,41859,0,41859,0,51277275,0,51277275,0,1225.0,1225.0,,,0.0
2018-02-21,2,0,6,0,48621,0,48621,0,75605655,0,75605655,0,1555.0,1555.0,,,0.0
2017-04-10,1,0,1,0,900,0,900,0,810000,0,810000,0,900.0,900.0,,,0.0
2017-04-05,1,0,2,0,1254,0,1254,0,1128600,0,1128600,0,900.0,900.0,,,0.0
2017-04-04,1,0,1,0,1000,0,1000,0,1000000,0,1000000,0,1000.0,1000.0,,,0.0
2017-03-07,2,0,1,0,13073,0,13073,0,13073000,0,13073000,0,1000.0,1000.0,,,0.0
2017-03-04,1,0,2,0,8193,0,8193,0,8193000,0,8193000,0,1000.0,1000.0,,,0.0
2017-02-11,1,0,1,0,568,0,568,0,568000,0,568000,0,1000.0,1000.0,,,0.0
2017-01-25,1,0,1,0,6850,0,6850,0,6850000,0,6850000,0,1000.0,1000.0,,,0.0
2017-01-15,1,0,1,0,1095,0,1095,0,1095000,0,1095000,0,1000.0,1000.0,,,0.0
2017-01-14,1,0,1,0,5000,0,5000,0,5100000,0,5100000,0,1020.0,1020.0,,,0.0
2017-01-09,1,0,2,0,19905,0,19905,0,19905000,0,19905000,0,1000.0,1000.0,,,0.0
2016-12-25,1,0,1,0,2950,0,2950,0,2802500,0,2802500,0,950.0,950.0,,,0.0
2016-12-13,1,0,1,0,3900,0,3900,0,3900000,0,3900000,0,1000.0,1000.0,,,0.0
2016-10-25,1,0,1,0,6970,0,6970,0,6970000,0,6970000,0,1000.0,1000.0,,,0.0
2016-10-23,1,0,2,0,21250,0,21250,0,21250000,0,21250000,0,1000.0,1000.0,,,0.0
2016-10-17,1,0,1,0,12542,0,12542,0,12542000,0,12542000,0,1000.0,1000.0,,,0.0
2016-09-10,1,0,1,0,178,0,178,0,178000,0,178000,0,1000.0,1000.0,,,0.0
2016-09-07,1,0,2,0,28599,0,28599,0,28599000,0,28599000,0,1000.0,1000.0,,,0.0
2016-09-06,1,0,1,0,22500,0,22500,0,22500000,0,22500000,0,1000.0,1000.0,,,0.0
2016-09-05,2,0,1,0,12441,0,12441,0,12441000,0,12441000,0,1000.0,1000.0,,,0.0
2016-08-24,1,0,0,1,10,0,0,10,10000,0,0,10000,1000.0,,,1000.0,10.0
2016-08-16,1,0,1,0,69,0,69,0,69000,0,69000,0,1000.0,1000.0,,,0.0
2016-07-18,1,0,1,0,2893,0,2893,0,2893000,0,2893000,0,1000.0,1000.0,,,0.0
2016-04-13,1,1,1,0,1,10,11,0,1030,10300,11330,0,1030.0,1030.0,1030.0,,-10.0
2016-04-11,2,0,1,1,1005,0,604,401,1023120,0,622120,401000,1018.0298507462686,1030.0,,1000.0,401.0
2016-04-05,0,1,0,1,0,401,0,401,0,407416,0,407416,,,1016.0,1016.0,0.0
2016-04-04,0,1,0,1,0,10,0,10,0,10160,0,10160,,,1016.0,1016.0,0.0
2016-03-09,1,0,0,1,406000,0,0,406000,412496000,0,0,412496000,1016.0,,,1016.0,406000.0
2016-02-22,0,1,3,0,0,20000,20000,0,0,20313000,20313000,0,,1015.65,1015.65,,-20000.0
2016-02-21,1,0,1,0,5400,0,5400,0,5400000,0,5400000,0,1000.0,1000.0,,,0.0
2016-02-20,1,0,1,0,2600,0,2600,0,2600000,0,2600000,0,1000.0,1000.0,,,0.0
2016-02-16,1,0,0,1,2178,0,0,2178,2112660,0,0,2112660,970.0,,,970.0,2178.0
2016-02-15,1,0,0,1,17822,0,0,17822,17287340,0,0,17287340,970.0,,,970.0,17822.0
2016-02-13,1,0,1,1,90000,0,20000,70000,87300000,0,19400000,67900000,970.0,970.0,,970.0,70000.0
2016-02-09,1,0,1,0,10000,0,10000,0,9700000,0,9700000,0,970.0,970.0,,,0.0
2016-02-06,1,0,3,1,36488,0,35027,1461,35015680,0,33616042,1399638,959.6491997368998,959.7179889799297,,958.0,1461.0
2016-01-23,1,0,1,0,7122,0,7122,0,6837120,0,6837120,0,960.0,960.0,,,0.0
2016-01-19,1,0,1,0,3852,0,3852,0,3701772,0,3701772,0,961.0,961.0,,,0.0
2016-01-18,1,0,1,0,3852,0,3852,0,3697920,0,3697920,0,960.0,960.0,,,0.0
2016-01-12,1,0,1,0,5000,0,5000,0,4800000,0,4800000,0,960.0,960.0,,,0.0
2016-01-11,1,0,2,0,7953,0,7953,0,7626430,0,7626430,0,958.9375078586697,958.9375078586697,,,0.0
2016-01-10,1,0,1,0,29000,0,29000,0,27840000,0,27840000,0,960.0,960.0,,,0.0
2015-12-05,1,0,1,0,17500,0,17500,0,17500000,0,17500000,0,1000.0,1000.0,,,0.0
2015-11-23,1,0,1,0,29924,0,29924,0,29924000,0,29924000,0,1000.0,1000.0,,,0.0
2015-11-21,2,0,7,0,370700,0,370700,0,370501420,0,370501420,0,999.4643107634206,999.4643107634206,,,0.0
2015-11-07,1,0,2,0,86403,0,86403,0,86402021,0,86402021,0,999.988669374906,999.988669374906,,,0.0
2015-11-03,1,0,2,0,44860,0,44860,0,40822600,0,40822600,0,910.0,910.0,,,0.0
2015-11-01,1,0,1,0,979,0,979,0,890890,0,890890,0,910.0,910.0,,,0.0
2015-10-06,1,0,1,0,23199,0,23199,0,22039050,0,22039050,0,950.0,950.0,,,0.0
2015-09-28,1,0,1,0,2398,0,2398,0,2278100,0,2278100,0,950.0,950.0,,,0.0
2015-09-27,1,0,1,0,3150,0,3150,0,3150000,0,3150000,0,1000.0,1000.0,,,0.0
2015-09-26,1,0,2,0,20000,0,20000,0,21000000,0,21000000,0,1050.0,1050.0,,,0.0
2015-09-23,1,0,5,0,27630,0,27630,0,27404550,0,27404550,0,991.8403908794788,991.8403908794788,,,0.0
2015-08-30,1,0,3,0,19400,0,19400,0,16684000,0,16684000,0,860.0,860.0,,,0.0
2015-08-16,1,0,2,0,1400,0,1400,0,1204000,0,1204000,0,860.0,860.0,,,0.0
2015-08-09,1,0,1,0,58000,0,58000,0,49880000,0,49880000,0,860.0,860.0,,,0.0
2015-08-01,1,0,1,0,13630,0,13630,0,11721800,0,11721800,0,860.0,860.0,,,0.0
2015-07-25,1,0,1,0,60000,0,60000,0,51600000,0,51600000,0,860.0,860.0,,,0.0
2015-07-15,1,0,1,0,30000,0,30000,0,25800000,0,25800000,0,860.0,860.0,,,0.0
2015-06-29,1,0,1,0,36800,0,36800,0,31280000,0,31280000,0,850.0,850.0,,,0.0
2015-06-28,1,0,1,0,30000,0,30000,0,25500000,0,25500000,0,850.0,850.0,,,0.0
2015-06-27,1,0,1,0,15000,0,15000,0,15750000,0,15750000,0,1050.0,1050.0,,,0.0
