date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,227,7,181,2,762924,445648,998821,209751,38224569790,22277943520,50017060820,10485452490,50102.72293177302,50076.10054253965,49990.0,49990.0,-235897.0
2020-10-18,553,5,244,8,1827328,173653,1437044,563937,96301364650,8995821000,75702704100,29594481550,52700.645231726325,52679.46151961944,51803.42982845099,52478.34696074207,390284.0
2020-10-14,261,7,500,6,1365063,367515,1337480,395098,74251824010,20208913120,72868571030,21592166100,54394.43015450569,54481.989285821095,54987.99537433846,54650.15287346431,27583.0
2020-10-13,349,3,290,5,1319653,537383,1274780,582256,69842870910,28798714620,68077055050,30564530480,52925.17874774657,53402.98329907906,53590.669261960276,52493.28556511225,44873.0
2020-10-12,605,8,359,29,2314247,2055226,3158590,1210883,126265931600,110852301400,171534207800,65584025200,54560.26586617591,54307.20916611526,53936.79400708243,54162.1487790315,-844343.0
2020-10-11,462,27,448,4,2063225,876840,2771122,168943,116908488570,49754030360,156920751340,9741767590,56662.98565110446,56627.153672772256,56742.427763331965,57663.043689291655,-707897.0
2020-10-10,450,4,381,5,1731065,97000,1498191,329874,96863350910,5362142360,83958136440,18267356830,55955.929390288635,56039.67480781823,55279.818144329896,55376.77061544711,232874.0
2020-10-07,411,9,367,3,1248078,661465,1886703,22840,72607853600,38356517230,109618114430,1346256400,58175.73388842685,58100.355185739354,57987.22113792869,58942.92469352014,-638625.0
2020-10-06,315,10,396,5,1380860,494395,1207571,667684,80055015800,28917200590,70345684550,38626531840,57974.75182132874,58253.8704142448,58490.07491985153,57851.51634605592,173289.0
2020-10-05,396,12,346,9,2556909,1097011,1770884,1883036,147601958150,63027187530,102192808800,108436336880,57726.71540129117,57707.22915786692,57453.560201310655,57585.90748132271,786025.0
2020-10-03,467,11,467,4,2005420,512077,2193786,323711,126434192070,32134265630,138026527640,20541930060,63046.24072264164,62917.04279268807,62752.80012576234,63457.62133507975,-188366.0
2020-09-30,327,5,360,10,1531690,315288,1230376,616602,92584611350,19038652630,74619548490,37003715490,60446.0506695219,60647.76010747934,60384.957974930854,60012.31830256795,301314.0
2020-09-29,378,3,771,8,1882832,148121,1886997,143956,110971690580,9035514060,111855720140,8151484500,58938.710718747076,59277.1054431989,61000.89831961707,56624.83328239184,-4165.0
2020-09-28,51,4,29,2,42525,1650225,1615750,77000,2511526500,97462288500,95426195000,4547620000,59060.0,59060.0,59060.0,59060.0,-1573225.0
2020-09-27,165,4,42,0,457925,212500,670425,0,28233784770,13138405000,41372189770,0,61655.91476770213,61710.39231830555,61827.788235294116,,-212500.0
2020-09-26,607,11,528,6,1759002,817849,2543785,33066,114376849720,52692387790,164922969220,2146268290,65023.71783545442,64833.69043374342,64428.01518373196,64908.61579870562,-784783.0
2020-09-23,339,8,578,3,1826610,1244000,2502279,568331,116385504910,79354326420,159485996840,36253834490,63716.66908097514,63736.296727902845,63789.65146302251,63790.0,-675669.0
2020-09-22,576,14,532,4,2664897,217707,2670712,211892,161841839100,13299982680,161881944300,13259877480,60730.992267243346,60613.77801125692,61091.20368201298,62578.47148547373,-5815.0
2020-09-21,352,10,588,4,1941418,422945,2329314,35049,118041916520,25843912500,141760686760,2125142260,60801.906915460764,60859.41472897171,61104.664909148945,60633.463436902624,-387896.0
2020-09-20,433,17,854,2,2316323,1171141,3461764,25700,142255575630,72435516890,213051842520,1639250000,61414.39498291042,61544.3001082685,61850.380859349985,63784.046692607,-1145441.0
2020-09-19,879,11,1005,12,8042875,876012,7780909,1137978,514408727900,56190511500,497381198800,73218040600,63958.314396282425,63923.27667628551,64143.54084190627,64340.471081163254,261966.0
2020-09-16,15,6,362,17,1076685,337000,317837,1095848,66313029150,20755830000,19575580830,67493278320,61590.0,61590.0,61590.0,61590.0,758848.0
2020-09-15,17,2,201,2,864963,118000,148694,834269,50738729580,6921880000,8722390040,48938219540,58660.0,58660.0,58660.0,58660.0,716269.0
2020-09-14,80,4,429,5,1404058,78500,1212733,269825,78481986320,4348949660,67680251860,15150684120,55896.541538882295,55808.04007147493,55400.63261146497,56150.03843231724,191325.0
2020-09-13,426,29,421,8,1462928,1005399,1733842,734485,78660217370,53991007550,93320755270,39330469650,53769.028530453994,53823.10226075963,53701.075443679576,53548.36334302266,-270914.0
