date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,932,3,797,1,1640899,120090,1760938,51,91814271805,6644925000,98456320405,2876400,55953.63992847823,55911.29296147849,55332.87534349238,56400.0,-120039.0
2020-10-18,1538,3,2227,3,3568137,623000,4166196,24941,207908350390,36202171029,242663801769,1446719650,58268.0402658306,58245.891880506824,58109.42380256822,58005.67940339201,-598059.0
2020-10-14,1290,0,1358,0,2642731,0,2642731,0,160168736677,0,160168736677,0,60607.27961983267,60607.27961983267,,,0.0
2020-10-13,1987,6,2235,2,4148854,503141,4651893,102,261177751542,31560207446,292731463118,6495870,62951.78175515456,62927.3852855171,62726.3678491715,63685.0,-503039.0
2020-10-12,1868,1,1862,2,3081786,200000,3265147,16639,203246277476,13014800000,215139528136,1121549340,65950.80822484105,65889.691378673,65074.0,67404.85245507542,-183361.0
2020-10-11,3376,3,2208,7,5320837,24063,5194146,150754,364457808107,1659384480,355822461100,10294731487,68496.33020274817,68504.51664238934,68960.0,68288.28082173607,126691.0
2020-10-10,377,0,967,1,1062116,0,1062016,100,69756899161,0,69750300461,6598700,65677.28869633825,65677.25953375467,,65987.0,100.0
2020-10-07,3346,0,2078,12,4863482,0,4115795,747687,305644571776,0,258419450092,47225121684,62844.80373855604,62787.250116198695,,63161.61934606326,747687.0
2020-10-05,1278,0,1881,1,2555361,0,2555311,50,154932762989,0,154929752989,3010000,60630.479603077605,60630.48802631069,,60200.0,50.0
2020-10-04,2456,2,2060,2,5302951,34700,5219683,117968,329606735509,2170135970,324228156909,7548714570,62155.34247044712,62116.4459429816,62539.94149855908,63989.510460463855,83268.0
2020-10-03,430,1,1173,1,1165287,15000,1163643,16644,71813912691,927210000,71712290475,1028832216,61627.66141817423,61627.398158198004,61814.0,61814.0,1644.0
2020-09-30,1408,2,2232,6,3412960,4000,2939543,477417,200921616293,236794000,172785564920,28372845373,58870.19370077587,58779.73716322571,59198.5,59429.90168552858,473417.0
2020-09-29,1624,5,2801,5,3622573,768032,4340771,49834,207882918733,43835991880,248830435363,2888475250,57385.43260080611,57324.018097936976,57075.73627140536,57961.938636272425,-718198.0
2020-09-28,612,0,361,0,684194,0,684194,0,40127293906,0,40127293906,0,58649.0,58649.0,,,0.0
2020-09-27,1790,2,759,0,3368546,4632,3373178,0,207955578732,288348372,208243927104,0,61734.522471119584,61735.232206542314,62251.37564766839,,-4632.0
2020-09-26,2353,2,2768,6,5428920,100500,5473890,55530,348634268307,6453522509,351547359456,3540431360,64217.97858634867,64222.5838400114,64214.154318407964,63757.092742661625,-44970.0
2020-09-23,2368,4,2310,11,4692619,451000,4209995,933624,289881741769,28010663958,260001987194,57890418533,61773.97776572102,61758.26507964974,62107.902345898,62006.137945254195,482624.0
2020-09-22,1470,2,2236,5,3771819,75513,3505516,341816,223775913122,4448836399,208496770594,19727978927,59328.3805829495,59476.77049370192,58914.84113993617,57715.20036218316,266303.0
2020-09-21,1300,4,2046,4,2522324,1037861,3551784,8401,147363039839,60808499214,207685483223,486055830,58423.51729555759,58473.56799371808,58590.21508082489,57856.90155933818,-1029460.0
2020-09-20,1573,4,3912,0,3240376,300919,3541295,0,197340930916,18229226230,215570157146,0,60900.62724696146,60873.25601114846,60578.515248289405,,-300919.0
2020-09-19,2335,2,5135,7,5724141,43384,5705190,62335,360963665091,2763162480,359722868113,4003959458,63059.883586200966,63051.864725451735,63690.81873501752,64232.92625330874,18951.0
2020-09-16,3025,2,3809,4,8211822,6400,7678172,540050,503022323484,394137600,470158021884,33258439200,61255.87275077321,61233.06717848988,61584.0,61584.0,533650.0
2020-09-15,655,0,1623,6,1917291,0,1898737,18554,112452576748,0,111361545886,1091030862,58651.80441988201,58650.32697314057,,58803.0,18554.0
2020-09-14,3091,5,3668,5,7797513,1396563,9143015,51061,438506013705,76387490257,511994435981,2899067981,56236.65054550085,55998.42458762236,54696.773619951266,56776.56099567184,-1345502.0
2020-09-13,877,1,414,0,1205903,50000,1255903,0,69215596518,2861850000,72077446518,0,57397.31679745386,57390.934266420256,57237.0,,-50000.0
2020-09-12,3369,6,2711,21,7262032,394664,7147355,509341,437006834060,24299787332,430570155294,30736466098,60176.93588516272,60241.887424648696,61570.82311029128,60345.55650929338,114677.0
2020-09-09,2566,7,3640,9,8088526,1889689,8560509,1417706,495799479092,116192241200,524601353042,87390367250,61296.64157499154,61281.5608326561,61487.494079713644,61642.094517481055,-471983.0
2020-09-08,125,0,4,0,68173,0,68173,0,4177505094,0,4177505094,0,61278.0,61278.0,,,0.0
2020-09-07,242,1,22,0,267043,200,267243,0,16671761533,12486200,16684247733,0,62431.0,62431.0,62431.0,,-200.0
2020-09-06,2328,3,2422,5,5595341,525000,6077431,42910,368525371165,33681462550,399431920331,2774913384,65862.8975722838,65723.80999981736,64155.16676190476,64668.2214868329,-482090.0
2020-09-05,2903,4,4293,10,8041339,725000,8128162,638177,540641415279,47838640030,546373233385,42106821924,67232.7600265329,67219.77654788377,65984.33107586206,65979.84873162147,-86823.0
2020-09-02,539,0,16,0,437644,0,437644,0,29663072676,0,29663072676,0,67779.0,67779.0,,,0.0
2020-09-01,937,3,520,0,1704200,167389,1871589,0,121647355283,11883713271,133531068554,0,71380.91496479287,71346.36319939901,70994.58907694054,,-167389.0
2020-08-31,3914,9,4162,5,12189102,1267839,13217120,239821,909001355812,95852005381,987120083249,17733277944,74574.92404378927,74684.96035815669,75602.66357242521,73943.80785669312,-1028018.0
2020-08-26,77,0,1035,2,530529,0,528469,2060,38805543705,0,38654865005,150678700,73145.0,73145.0,,73145.0,2060.0
2020-08-25,926,3,2510,6,3709143,210555,3470816,448882,257910744975,15142905045,240771015125,32282634895,69533.78313400157,69370.14671045657,71919.0,71917.86459470418,238327.0
2020-08-24,401,1,81,0,296118,1000000,1296118,0,20282602410,68495000000,88777602410,0,68495.0,68495.0,68495.0,,-1000000.0
2020-08-23,611,3,699,0,908863,823079,1731942,0,65824131160,59047532350,124871663510,0,72424.70114857795,72099.21782022723,71739.81154907367,,-823079.0
2020-08-22,1948,8,2136,3,4922197,1074767,5480964,516000,372030986103,80486892080,413692302283,38825575900,75582.3032078968,75478.0185169981,74887.75900264895,75243.36414728682,-558767.0
2020-08-19,718,4,673,0,637539,1510000,2147539,0,49928141285,118166560000,168094701285,0,78313.86203040127,78273.17747663721,78256.0,,-1510000.0
2020-08-18,3223,5,3944,10,9053577,135112,8639506,549183,745847808371,11065337176,712218645612,44694499935,82381.56127362698,82437.42704872246,81897.51595713187,81383.61882104872,414071.0
2020-08-17,1922,9,4988,6,5216948,2908300,7450080,675168,415564247163,227044618904,589777744961,52831121106,79656.58219384207,79163.94789868029,78067.8124347557,78248.85229454003,-2233132.0
2020-08-16,580,4,210,0,389474,411200,800674,0,32005025950,33790360000,65795385950,0,82175.0,82175.0,82175.0,,-411200.0
2020-08-15,1677,2,606,1,2147531,250233,2197764,200000,186042128797,21362891676,190330620473,17074400000,86630.70698257674,86601.937456888,85372.0,85372.0,-50233.0
2020-08-12,4083,13,6558,8,15215162,3240829,16908652,1547339,1366427312724,292111284325,1519004034861,139534562188,89806.95129792242,89835.90382373474,90134.74155069582,90177.111924407,-1693490.0
2020-08-11,5428,9,7370,7,14256702,1926621,15599841,583482,1225511678496,164538103088,1340348345600,49701435984,85960.39101441554,85920.64147320476,85402.42377094405,85180.75276358139,-1343139.0
2020-08-10,5501,26,7033,14,22915785,8407244,27575084,3747945,2041686714647,750762857060,2457567107309,334882464398,89095.21164764812,89122.74237529068,89299.52039693388,89350.95482937983,-4659299.0
