date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-14,224,1,104,0,161256,200,161456,0,17730097200,21990000,17752087200,0,109950.0,109950.0,109950.0,,-200.0
2020-09-13,77,0,34,0,103269,0,103269,0,11499133150,0,11499133150,0,111351.25884825068,111351.25884825068,,,0.0
2020-09-12,197,1,183,0,233426,111400,344826,0,27120737790,12973759000,40094496790,0,116185.59110810279,116274.57555404755,116461.03231597846,,-111400.0
2020-09-09,65,0,3,0,16474,0,16474,0,1916585160,0,1916585160,0,116340.0,116340.0,,,0.0
2020-09-08,10,0,1,0,1898,0,1898,0,220870260,0,220870260,0,116370.0,116370.0,,,0.0
2020-09-07,27,0,1,0,7853,0,7853,0,914717440,0,914717440,0,116480.0,116480.0,,,0.0
2020-09-06,275,0,217,0,285220,0,285220,0,34939755830,0,34939755830,0,122501.07226000982,122501.07226000982,,,0.0
2020-09-05,213,0,265,0,281611,0,281611,0,34128802770,0,34128802770,0,121191.29852882167,121191.29852882167,,,0.0
2020-09-02,20,0,1,0,16401,0,16401,0,1986817140,0,1986817140,0,121140.0,121140.0,,,0.0
2020-09-01,85,0,174,0,126999,0,126999,0,15655200100,0,15655200100,0,123270.26275797447,123270.26275797447,,,0.0
2020-08-31,210,0,300,0,440099,0,440099,0,57098569960,0,57098569960,0,129740.28561755423,129740.28561755423,,,0.0
2020-08-26,492,0,715,0,823805,0,823805,0,111839928810,0,111839928810,0,135760.1966606175,135760.1966606175,,,0.0
2020-08-25,57,0,2,0,22450,0,22450,0,3010096000,0,3010096000,0,134080.0,134080.0,,,0.0
2020-08-24,5,0,1,0,1628,0,1628,0,218331080,0,218331080,0,134110.0,134110.0,,,0.0
2020-08-23,8,0,2,0,1755,0,1755,0,235415700,0,235415700,0,134140.0,134140.0,,,0.0
