date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,12,1,62,0,285676,200000,485676,0,4339704116,3038200000,7377904116,0,15191.0,15191.0,15191.0,,-200000.0
2020-10-18,53,1,72,0,291884,118564,410448,0,4494992626,1816756172,6311748798,0,15399.92814268682,15377.706306279968,15323.0,,-118564.0
2020-10-14,132,1,77,1,589156,4000000,4523975,65181,9304292010,63186000000,71459780400,1030511610,15792.57787411144,15795.794715930127,15796.5,15810.0,-3934819.0
2020-10-13,77,0,76,0,445519,0,445519,0,6975598502,0,6975598502,0,15657.241334264083,15657.241334264083,,,0.0
2020-10-12,234,1,113,0,1443237,4000000,5443237,0,22064700603,60681200000,82745900603,0,15288.34183366973,15201.597983516058,15170.3,,-4000000.0
2020-10-11,128,1,72,0,513609,4000000,4513609,0,7648396974,59423200000,67071596974,0,14891.477707750448,14859.85980930116,14855.8,,-4000000.0
2020-10-10,116,1,93,0,948269,4000000,4948269,0,13810056801,57771400000,71581456801,0,14563.438012842347,14465.959065887486,14442.85,,-4000000.0
2020-10-07,90,0,39,0,432795,0,432795,0,6205528370,0,6205528370,0,14338.26261856075,14338.26261856075,,,0.0
2020-10-05,45,0,32,0,140281,0,140281,0,2006317138,0,2006317138,0,14302.130281363834,14302.130281363834,,,0.0
2020-10-04,57,0,46,0,250818,0,250818,0,3653256782,0,3653256782,0,14565.36923984722,14565.36923984722,,,0.0
2020-10-03,83,0,92,0,690205,0,690205,0,10310869478,0,10310869478,0,14938.850744344072,14938.850744344072,,,0.0
2020-09-30,41,1,90,0,231299,226195,457494,0,3360080233,3220564410,6580644643,0,14526.998530041203,14384.111361023313,14238.0,,-226195.0
2020-09-29,32,0,57,1,558691,0,372237,186454,8058948609,0,5370095475,2688853134,14424.697389075536,14426.549416097809,,14421.0,186454.0
2020-09-28,3,1,33,0,4000,500000,504000,0,58352000,7294000000,7352352000,0,14588.0,14588.0,14588.0,,-500000.0
2020-09-27,5,1,32,0,3110,500000,503110,0,45897380,7379000000,7424897380,0,14758.0,14758.0,14758.0,,-500000.0
2020-09-26,18,0,9,0,38615,0,38615,0,570382165,0,570382165,0,14771.0,14771.0,,,0.0
2020-09-23,40,1,91,0,619492,362573,982065,0,9373089933,5485729490,14858819423,0,15130.284060165426,15130.17918671371,15130.0,,-362573.0
2020-09-22,19,1,53,0,78581,550000,628581,0,1207239903,8449650000,9656889903,0,15363.0,15363.0,15363.0,,-550000.0
2020-09-21,10,1,63,0,75479,400000,475479,0,1173336199,6216800000,7390136199,0,15545.200638588216,15542.508079221165,15542.0,,-400000.0
2020-09-20,11,0,1,0,7551,0,7551,0,117380295,0,117380295,0,15545.0,15545.0,,,0.0
2020-09-19,42,0,78,0,350078,0,350078,0,5488617846,0,5488617846,0,15678.271259547872,15678.271259547872,,,0.0
2020-09-16,100,2,101,1,349502,391952,691454,50000,5616952059,6272547795,11062109774,827390080,16071.301620591585,15998.330726266679,16003.357030962976,16547.8016,-341952.0
2020-09-15,150,2,105,0,675365,80000,755365,0,11126551314,1326115700,12452667014,0,16474.87109044739,16485.628820503996,16576.44625,,-80000.0
2020-09-14,46,1,86,0,521305,200000,721305,0,8375834728,3213400000,11589234728,0,16067.052355147178,16067.037838362412,16067.0,,-200000.0
2020-09-13,40,1,95,0,402941,500000,902941,0,6604940577,8195500000,14800440577,0,16391.830508684896,16391.3706177923,16391.0,,-500000.0
2020-09-12,18,1,2,0,12334,1000000,1012334,0,212132466,17199000000,17411132466,0,17199.0,17199.0,17199.0,,-1000000.0
2020-09-09,19,0,1,0,104789,0,104789,0,1807610250,0,1807610250,0,17250.0,17250.0,,,0.0
2020-09-08,4,1,54,0,6585,1050000,1056585,0,117101055,18672150000,18789251055,0,17783.0,17783.0,17783.0,,-1050000.0
2020-09-07,11,0,1,0,9692,0,9692,0,172391604,0,172391604,0,17787.0,17787.0,,,0.0
2020-09-06,65,1,53,0,179784,200000,379784,0,3248306605,3593000000,6841306605,0,18067.829200596272,18013.67778790049,17965.0,,-200000.0
2020-09-05,77,0,150,0,1209240,0,1209240,0,22394711051,0,22394711051,0,18519.65784376964,18519.65784376964,,,0.0
2020-09-02,41,1,94,0,125545,386240,511785,0,2358604445,7255904640,9614509085,0,18786.924568879684,18786.22680422443,18786.0,,-386240.0
2020-09-01,26,1,85,0,42255,275668,317923,0,801366075,5228043620,6029409695,0,18965.0,18965.0,18965.0,,-275668.0
2020-08-31,78,0,83,0,554043,0,554043,0,10722755202,0,10722755202,0,19353.65161548833,19353.65161548833,,,0.0
2020-08-26,220,1,189,0,963460,15000,978460,0,19083933649,295350000,19379283649,0,19807.707272746145,19805.902795208796,19690.0,,-15000.0
2020-08-25,18,0,16,0,70143,0,70143,0,1400685567,0,1400685567,0,19969.0,19969.0,,,0.0
2020-08-22,74,0,119,0,759050,0,759050,0,14664998744,0,14664998744,0,19320.201230485476,19320.201230485476,,,0.0
2020-08-19,43,0,57,0,306950,0,306950,0,5887474600,0,5887474600,0,19180.565564424174,19180.565564424174,,,0.0
2020-08-18,163,0,173,0,649519,0,649519,0,12833605704,0,12833605704,0,19758.630161704277,19758.630161704277,,,0.0
2020-08-17,59,0,64,0,401353,0,401353,0,7806983235,0,7806983235,0,19451.662837950633,19451.662837950633,,,0.0
