date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-16,446,1,597,1,4418247,3475293,7315201,578339,92914231775,75610421488,155957479295,12567173968,21029.659902445474,21319.643752099226,21756.560234777327,21729.770892158405,-2896954.0
2020-09-15,373,2,323,1,5934227,100179,5965487,68919,125702599319,2122264246,126367502391,1457361174,21182.640859373932,21183.09911512673,21184.721807963746,21146.0,-31260.0
2020-09-14,27,1,9,1,39154,150000,158073,31081,833275428,3192300000,3364109586,661465842,21282.0,21282.0,21282.0,21282.0,-118919.0
2020-09-13,55,0,28,1,269282,0,97018,172264,5703752385,0,2058634780,3645117605,21181.335495874213,21219.101403863202,,21160.065974318488,172264.0
2020-09-12,205,1,121,0,972592,20000,992592,0,21647549343,455638540,22103187883,0,22257.585239237007,22268.150340724085,22781.927,,-20000.0
2020-09-09,275,1,238,0,2473545,435,2473980,0,55525087931,9804900,55534892831,0,22447.575415446252,22447.591666464563,22540.0,,-435.0
2020-09-08,32,0,2,0,106399,0,106399,0,2392062318,0,2392062318,0,22482.0,22482.0,,,0.0
2020-09-07,322,1,347,0,3708244,753246,4461490,0,85236101251,18168293520,103404394771,0,22985.569787478926,23177.09885509101,24120.0,,-753246.0
2020-09-06,299,0,330,3,2807411,0,1791064,1016347,65743241696,0,41896840309,23846401387,23417.74741781663,23392.15143009965,,23462.854110849938,1016347.0
2020-09-05,433,0,384,2,6043827,0,5785772,258055,137678735443,0,131844444082,5834291361,22780.05896644626,22787.7012924118,,22608.712720156556,258055.0
2020-09-02,326,1,487,3,7397486,2813847,6811333,3400000,163761353767,63299715316,151104875426,75956193657,22137.43341548737,22184.33240982345,22495.79146129836,22340.056957941175,586153.0
2020-09-01,46,2,199,0,1764030,3148055,4912085,0,40122649320,71599362920,111722012240,0,22744.879236747674,22744.315751865044,22744.0,,-3148055.0
2020-08-31,257,1,107,2,2202218,400000,2002218,600000,51759908004,9254000000,47132908004,13881000000,23503.5350741843,23540.347756338222,23135.0,23135.0,200000.0
2020-08-26,588,1,199,6,6585730,4100,5423937,1165893,157069630765,97834890,129346462056,27821003599,23849.99548493485,23847.33857638833,23862.168292682927,23862.398692675913,1161793.0
2020-08-25,486,4,304,1,3615686,3402432,7015830,2288,83462028716,79153589423,162562765339,52852800,23083.317720620653,23170.852962372235,23263.82699874678,23100.0,-3400144.0
2020-08-24,137,0,60,1,753551,0,730214,23337,16970373718,0,16448091658,522282060,22520.53771808411,22525.029180486817,,22380.0,23337.0
2020-08-23,362,1,352,1,4260454,350658,4607112,4000,98410260786,7977226718,106292823504,94664000,23098.53850927624,23071.465053161286,22749.307638781946,23666.0,-346658.0
2020-08-22,282,2,406,1,2711978,2621938,5295417,38499,63130128156,59426243820,121651549996,904821980,23278.25968942226,22972.98777338971,22665.007265618027,23502.480064417257,-2583439.0
2020-08-19,147,0,83,0,718297,0,718297,0,16717067955,0,16717067955,0,23273.19751439864,23273.19751439864,,,0.0
2020-08-18,711,2,464,1,5920409,108070,5678479,350000,144970620444,2709182662,139389762654,8290040452,24486.5887549323,24547.024415164695,25068.776367169427,23685.829862857143,241930.0
2020-08-17,376,1,264,1,3422381,179244,3507250,94375,83562156152,4371702672,85626745624,2307113200,24416.380336379847,24414.212167367597,24389.673696190668,24446.232582781457,-84869.0
2020-08-16,340,0,173,0,1684678,0,1684678,0,42355602143,0,42355602143,0,25141.660390294168,25141.660390294168,,,0.0
2020-08-15,598,2,570,1,4995616,121149,4516765,600000,127552147345,3028247955,114667795300,15912600000,25532.81664263226,25387.151047265022,24996.062328207416,26521.0,478851.0
2020-08-12,842,2,628,0,6603178,1153064,7756242,0,169473163163,30240846862,199714010025,0,25665.393718448904,25748.811089829327,26226.512025351585,,-1153064.0
2020-08-11,230,1,38,0,1562323,23892,1586215,0,40070460304,612782016,40683242320,0,25648.0,25648.0,25648.0,,-23892.0
2020-08-10,896,4,493,2,12277747,1618112,10934434,2961425,324420265899,42994851631,288727093855,78688023675,26423.43631115709,26405.30765972889,26570.99856561227,26571.0,1343313.0
2020-08-09,11,0,114,0,758056,0,758056,0,19584376760,0,19584376760,0,25835.0,25835.0,,,0.0
2020-08-05,10,0,128,0,396998,0,396998,0,10230638460,0,10230638460,0,25770.0,25770.0,,,0.0
2020-08-04,13,0,127,0,309711,0,309711,0,7749278931,0,7749278931,0,25021.0,25021.0,,,0.0
2020-08-03,25,1,97,0,332784,400000,732784,0,8128581984,9770400000,17898981984,0,24426.0,24426.0,24426.0,,-400000.0
2020-08-02,30,1,86,4,693582,200000,521682,371900,16452458622,4744200000,12374818722,8821839900,23721.0,23721.0,23721.0,23721.0,171900.0
2020-08-01,5,2,102,0,59954,636020,695974,0,1395968936,14809089680,16205058616,0,23284.0,23284.0,23284.0,,-636020.0
