date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,792,7,1716,4,2451400,759263,3123876,86787,139755331310,43522246470,178327453550,4950124230,57010.41499143346,57085.31758302826,57321.70074137684,57037.62349199765,-672476.0
2020-10-18,668,1,2158,6,4634270,8734,4316161,326843,264167448050,498100020,246025691780,18639856290,57003.03349826402,57001.04601751418,57030.0,57030.0,318109.0
2020-10-14,428,17,1384,3,1197828,807312,1840140,165000,64742232030,44180402270,99885129280,9037505020,54049.68996383454,54281.26625148087,54725.313472362606,54772.7576969697,-642312.0
2020-10-13,340,2,1123,4,827162,196780,1003740,20202,44092872240,10523240600,53543843900,1072268940,53306.21116540654,53344.3360830494,53477.1856896026,53077.36560736561,-176578.0
2020-10-12,414,3,1089,2,1073573,167927,1241366,134,58625176880,9133329280,67751172340,7333820,54607.53659043214,54577.91847045915,54388.68841818171,54730.0,-167793.0
2020-10-11,818,2,1269,2,1356950,84239,1432341,8848,76629841810,4857517370,80975629300,511729880,56472.11895058771,56533.764864651646,57663.521290613615,57835.65551537071,-75391.0
2020-10-10,486,4,1091,1,874250,342636,1166886,50000,49051085270,19374389830,65618371640,2807103460,56106.47442951101,56233.74660420984,56545.108599213156,56142.0692,-292636.0
2020-10-07,569,2,1153,1,925676,193799,1099475,20000,53079515060,11130179600,63053040800,1156653860,57341.35384302931,57348.3169694627,57431.56363035929,57832.693,-173799.0
2020-10-06,423,4,1194,7,1079409,816675,1154404,741680,60695036790,46335263050,64946385970,42083913870,56229.87837789012,56259.66816643047,56736.47785226681,56741.33571081868,-74995.0
2020-10-05,394,4,1291,2,1040862,439951,1429413,51400,56485405250,23651397920,77363671390,2773131780,54267.909915051176,54122.686298501554,53759.16390688963,53951.98015564202,-388551.0
2020-10-03,434,4,1299,2,1082877,309048,1071925,320000,59436561840,16976477310,58739647260,17673391890,54887.638983928926,54798.28090584696,54931.52296730605,55229.34965625,10952.0
2020-09-30,441,2,1172,3,827957,132000,891732,68225,43579511290,6967238610,46930802800,3615947100,52634.9934718832,52628.81986964693,52782.11068181818,53000.32392817882,-63775.0
2020-09-29,462,6,2141,6,1312545,750154,1886231,176468,67836367510,38743258670,97443786680,9135839500,51683.07944489522,51660.57957906534,51647.073360936556,51770.51646757486,-573686.0
2020-09-28,332,24,897,1,599746,1800000,2399678,68,30094583530,90267807880,120358974410,3417000,50178.881609881515,50156.301974681606,50148.78215555556,50250.0,-1799932.0
2020-09-27,511,5,1175,0,1318596,100000,1418596,0,69682549680,5152504620,74835054300,0,52846.019311449454,52752.90096687147,51525.0462,,-100000.0
2020-09-26,452,9,1355,1,2057263,211195,1816436,452022,111650653760,11340395440,98554075660,24436973540,54271.45375190241,54256.83902983645,53696.32538649116,54061.46944175284,240827.0
2020-09-23,118,9,1362,16,865837,534204,1035050,364991,45753981100,28275316280,54710460060,19318837320,52843.6427410702,52857.79436742186,52929.81010999543,52929.62653873657,-169213.0
