date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,345,2,347,1,4186743,348821,4535563,1,75109144093,6206473761,81315599594,18260,17939.755101519248,17928.446720726843,17792.71821650646,18260.0,-348820.0
2020-10-18,697,2,754,2,9457295,325906,8983201,800000,173261910628,5866835149,164372545777,14756200000,18320.45110446486,18297.770001695386,18001.617487864598,18445.25,474094.0
2020-10-14,258,0,350,1,4908675,0,4608675,300000,87924581028,0,82532681028,5391900000,17912.08035325215,17908.114811306936,,17973.0,300000.0
2020-10-13,734,3,901,0,8195448,700029,8895477,0,143097514504,12128941440,155226455944,0,17460.60917035896,17450.042976222634,17326.341394427945,,-700029.0
2020-10-12,261,1,93,0,2003711,300000,2303711,0,35820505208,5327100000,41147605208,0,17877.081678944716,17861.44408217871,17757.0,,-300000.0
2020-10-11,1030,3,1051,1,9076643,177063,9233706,20000,166192178614,3201938852,169033917466,360200000,18309.87278159998,18306.183613166806,18083.613470911485,18010.0,-157063.0
2020-10-10,384,1,235,0,3096952,250000,3346952,0,57505621071,4635150000,62140771071,0,18568.45733191861,18566.376533335406,18540.6,,-250000.0
2020-10-07,776,3,943,5,8478422,130407,8032163,576666,162043912623,2486086666,153913003319,10616995970,19112.508509602376,19162.086640796508,19064.05841710951,18410.996954909773,446259.0
2020-10-05,29,1,6,0,73586,300000,373586,0,1383858316,5641800000,7025658316,0,18806.0,18806.0,18806.0,,-300000.0
2020-10-04,51,0,7,0,124642,0,124642,0,2352867034,0,2352867034,0,18877.0,18877.0,,,0.0
2020-10-03,70,1,23,0,446740,400000,846740,0,8652013580,7746800000,16398813580,0,19367.0,19367.0,19367.0,,-400000.0
2020-09-30,38,0,3,0,159040,0,159040,0,3041480960,0,3041480960,0,19124.0,19124.0,,,0.0
2020-09-29,16,0,3,0,18173,0,18173,0,355045901,0,355045901,0,19537.0,19537.0,,,0.0
2020-09-28,9,0,1,0,5625,0,5625,0,109918125,0,109918125,0,19541.0,19541.0,,,0.0
2020-09-27,10,0,3,0,19212,0,19212,0,375652236,0,375652236,0,19553.0,19553.0,,,0.0
2020-09-26,51,1,15,0,491772,256,492028,0,9662828028,5030144,9667858172,0,19649.0,19649.0,19649.0,,-256.0
2020-09-23,49,0,3,0,102886,0,102886,0,2071198066,0,2071198066,0,20131.0,20131.0,,,0.0
2020-09-22,39,0,4,0,149640,0,149640,0,3027217200,0,3027217200,0,20230.0,20230.0,,,0.0
2020-09-21,21,0,3,0,20939,0,20939,0,423868177,0,423868177,0,20243.0,20243.0,,,0.0
2020-09-20,70,1,6,0,557771,100000,657771,0,11469445073,2056300000,13525745073,0,20563.0,20563.0,20563.0,,-100000.0
2020-09-19,59,0,5,1,223747,0,110884,112863,4732472797,0,2345307484,2387165313,21151.0,21151.0,,21151.0,112863.0
2020-09-16,192,1,174,1,1297320,400000,1694320,3000,28302099080,8707600000,36944386080,65313000,21815.819597323713,21804.845648991926,21769.0,21771.0,-397000.0
2020-09-15,774,2,819,0,7114257,1502791,8617048,0,159283970922,34097506896,193381477818,0,22389.403548676975,22441.731532422706,22689.453753715585,,-1502791.0
2020-09-14,283,2,560,0,4150187,2046749,6196936,0,93940881956,46324070117,140264952073,0,22635.337144085315,22634.565222716516,22633.0,,-2046749.0
2020-09-13,53,0,44,0,324635,0,324635,0,7434141500,0,7434141500,0,22900.0,22900.0,,,0.0
2020-09-12,575,7,591,1,6131665,471005,6408227,194443,144477243836,11398970892,151432803292,4443411436,23562.48161567861,23630.998604138087,24201.37979851594,22852.0,-276562.0
