date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-22,1,0,51,0,69402,0,69402,0,5354294898,0,5354294898,0,77149.0,77149.0,,,0.0
2020-09-21,34,0,84,0,95096,0,95096,0,7230719456,0,7230719456,0,76036.0,76036.0,,,0.0
2020-09-20,27,3,192,1,160173,773930,924448,9655,11901802683,57731881356,68919783684,713900355,74305.92348897754,74552.36387985047,74595.74038478933,73941.0,-764275.0
2020-09-19,23,3,126,0,305972,159329,465301,0,23083370012,12023221608,35106591620,0,75442.75297086008,75449.20733030877,75461.60214399136,,-159329.0
2020-09-16,58,4,174,1,264615,586430,675542,175503,20374012953,45140424358,52006146904,13508290407,76994.92830338416,76984.327997371,76974.95755333117,76969.0,-410927.0
2020-09-15,124,3,288,1,580350,469386,849736,200000,45914773292,36530897585,66910912560,15534758317,79115.66001895408,78743.17736332226,77826.98586025147,77673.791585,-269386.0
2020-09-14,43,3,254,0,36862,1563315,1600177,0,2949071334,123877840855,126826912189,0,80003.02029189952,79258.0521961008,79240.48630954094,,-1563315.0
2020-09-13,1,0,1,0,69,0,69,0,5467146,0,5467146,0,79234.0,79234.0,,,0.0
2020-09-08,11,0,2,0,7481,0,7481,0,593475211,0,593475211,0,79331.0,79331.0,,,0.0
2020-09-07,4,0,1,0,1838,0,1838,0,145852652,0,145852652,0,79354.0,79354.0,,,0.0
2020-09-06,8,0,2,0,1572,0,1572,0,124777500,0,124777500,0,79375.0,79375.0,,,0.0
2020-09-05,10,0,2,0,5864,0,5864,0,456823192,0,456823192,0,77903.0,77903.0,,,0.0
2020-09-02,3,0,2,0,300,0,300,0,23858700,0,23858700,0,79529.0,79529.0,,,0.0
2020-09-01,6,0,1,0,5401,0,5401,0,429919600,0,429919600,0,79600.0,79600.0,,,0.0
2020-08-31,38,0,28,0,58519,0,58519,0,4703230549,0,4703230549,0,80371.0,80371.0,,,0.0
2020-08-26,64,4,143,0,71585,225828,297413,0,5870757497,18520380108,24391137605,0,82011.00086610323,82011.00020846432,82011.0,,-225828.0
2020-08-25,31,1,8,0,27705,230,27935,0,2283584625,18957750,2302542375,0,82425.0,82425.0,82425.0,,-230.0
2020-08-24,12,0,2,0,40672,0,40672,0,3377118176,0,3377118176,0,83033.0,83033.0,,,0.0
