date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-18,1,0,1,0,1000,0,1000,0,29199000,0,29199000,0,29199.0,29199.0,,,0.0
2020-10-14,1,0,1,0,172,0,172,0,5022228,0,5022228,0,29199.0,29199.0,,,0.0
2020-10-13,4,0,2,0,891,0,891,0,26018091,0,26018091,0,29201.0,29201.0,,,0.0
2020-10-11,4,0,2,0,6402,0,6402,0,187008822,0,187008822,0,29211.0,29211.0,,,0.0
2020-10-10,3,0,1,0,4190,0,4190,0,122423420,0,122423420,0,29218.0,29218.0,,,0.0
2020-10-07,4,0,1,0,4270,0,4270,0,124795020,0,124795020,0,29226.0,29226.0,,,0.0
2020-10-05,5,0,3,0,3135,0,3135,0,89786400,0,89786400,0,28640.0,28640.0,,,0.0
2020-10-04,2,0,1,0,1374,0,1374,0,40174386,0,40174386,0,29239.0,29239.0,,,0.0
2020-10-03,3,0,1,0,5027,0,5027,0,147029696,0,147029696,0,29248.0,29248.0,,,0.0
2020-09-30,3,0,2,0,17200,0,17200,0,503581600,0,503581600,0,29278.0,29278.0,,,0.0
2020-09-29,6,0,5,0,2441,0,2441,0,68799753,0,68799753,0,28185.068824252354,28185.068824252354,,,0.0
2020-09-12,18,0,6,0,137468,0,137468,0,4059979912,0,4059979912,0,29534.0,29534.0,,,0.0
2020-09-09,16,0,1,0,11115,0,11115,0,328470480,0,328470480,0,29552.0,29552.0,,,0.0
2020-09-08,35,0,19,1,55999,0,49181,6818,1679832648,0,1469913246,209919402,29997.547241915036,29887.827535023687,,30789.0,6818.0
2020-09-07,184,1,106,1,2317624,30000,1927624,420000,69958959745,906030000,58180569745,12684420000,30185.638285157558,30182.53027820778,30201.0,30201.0,390000.0
2020-09-06,1,0,17,0,24200,0,24200,0,729847800,0,729847800,0,30159.0,30159.0,,,0.0
2020-09-05,12,0,22,0,173968,0,173968,0,5243917424,0,5243917424,0,30143.0,30143.0,,,0.0
2020-09-02,3,0,34,0,123967,0,123967,0,3639175252,0,3639175252,0,29356.0,29356.0,,,0.0
2020-09-01,1,0,30,0,25522,0,25522,0,748126386,0,748126386,0,29313.0,29313.0,,,0.0
2020-08-31,2,0,41,0,116521,0,116521,0,3392974999,0,3392974999,0,29119.0,29119.0,,,0.0
2020-08-26,46,0,42,0,389459,0,389459,0,11119833368,0,11119833368,0,28552.0,28552.0,,,0.0
2020-08-25,48,0,42,0,646942,0,646942,0,17761145668,0,17761145668,0,27454.0,27454.0,,,0.0
2020-08-24,1,0,32,0,38463,0,38463,0,1053886200,0,1053886200,0,27400.0,27400.0,,,0.0
2020-08-23,11,0,41,0,173613,0,173613,0,4714981854,0,4714981854,0,27158.0,27158.0,,,0.0
2020-08-22,34,0,43,0,504062,0,504062,0,13421151998,0,13421151998,0,26625.99441735342,26625.99441735342,,,0.0
2020-08-19,9,0,34,0,421959,0,421959,0,10806369990,0,10806369990,0,25610.0,25610.0,,,0.0
2020-08-18,3,0,33,0,184298,0,184298,0,4677298942,0,4677298942,0,25379.0,25379.0,,,0.0
2020-08-17,10,0,22,0,103496,0,103496,0,2613377496,0,2613377496,0,25251.0,25251.0,,,0.0
2020-08-16,57,0,100,0,806792,0,806792,0,19973164300,0,19973164300,0,24756.274603615308,24756.274603615308,,,0.0
2020-08-15,15,0,24,0,138677,0,138677,0,3371898101,0,3371898101,0,24314.760926469422,24314.760926469422,,,0.0
2020-08-12,19,0,15,0,70193,0,70193,0,1705061812,0,1705061812,0,24291.051985240694,24291.051985240694,,,0.0
2020-08-11,33,0,44,0,172853,0,172853,0,4241447050,0,4241447050,0,24537.885081543278,24537.885081543278,,,0.0
2020-08-10,32,0,74,0,432113,0,432113,0,10788676904,0,10788676904,0,24967.258342146615,24967.258342146615,,,0.0
2020-08-09,14,0,8,0,11477,0,11477,0,297173961,0,297173961,0,25893.0,25893.0,,,0.0
2020-08-02,67,0,45,0,218936,0,218936,0,5533802737,0,5533802737,0,25275.892210509006,25275.892210509006,,,0.0
2020-08-01,68,0,79,0,503185,0,503185,0,12842296421,0,12842296421,0,25522.017589952007,25522.017589952007,,,0.0
