date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-05-23,4,0,147,1,2155396,0,655396,1500000,18420014216,0,5601014216,12819000000,8546.0,8546.0,,8546.0,1500000.0
2020-05-20,56,1,205,1,7916806,45500,3962306,4000000,65706592075,368550000,32900833990,33174308085,8299.633978020935,8303.456116211115,8100.0,8293.57702125,3954500.0
2020-05-19,217,3,134,2,14678085,1420000,9744329,6353756,118700685665,11482269811,78800130704,51382824772,8086.932707161731,8086.768283788448,8086.105500704225,8087.0,4933756.0
2020-05-18,15,0,64,1,2316191,0,316191,2000000,18244636507,0,2490636507,15754000000,7877.0,7877.0,,7877.0,2000000.0
2020-05-17,98,1,202,3,12392239,50000,8142239,4300000,94794171506,366550000,61723021506,33437700000,7649.478960662395,7580.595645251878,7331.0,7776.209302325581,4250000.0
2020-05-16,145,3,357,0,6404739,2353757,8758496,0,48480608835,17673307182,66153916017,0,7569.490159552169,7553.113687212965,7508.552149605928,,-2353757.0
2020-05-13,301,5,285,2,3429838,11200000,13039838,1590000,26405705595,86281434844,100455789600,12231350839,7698.8200594313785,7703.760552853494,7703.699539642857,7692.673483647799,-9610000.0
2020-05-12,79,1,59,0,732680,500000,1232680,0,5833280396,4000000000,9833280396,0,7961.566299066441,7977.1557873900765,8000.0,,-500000.0
2020-05-11,122,3,201,1,2222793,3217782,5216358,224217,18236124193,26389030182,42786350758,1838803617,8204.14865126892,8202.341702390826,8201.0,8201.0,-2993565.0
2020-05-10,320,1,212,0,4474462,3500000,7974462,0,37940932319,29474885771,67415818090,0,8479.440057597985,8453.964429199112,8421.395934571428,,-3500000.0
2020-05-09,233,2,431,4,8386591,6178947,9215277,5350261,71609910436,53515816861,78799358381,46326368916,8538.619617434546,8550.948428462867,8660.993023730418,8658.711961154791,-828686.0
2020-05-06,174,2,92,0,956974,1400000,2356974,0,7896718100,11550000000,19446718100,0,8251.758250485384,8250.713881442902,8250.0,,-1400000.0
2020-05-05,245,1,258,1,1840283,2000000,3740283,100000,15653522052,17010000000,31813022052,850500000,8506.040675265707,8505.512029972064,8505.0,8505.0,-1900000.0
2020-05-04,423,2,314,1,7227234,7500000,13627234,1100000,63359025982,65762217404,119480843386,9640400000,8766.704659348237,8767.798614597797,8768.295653866666,8764.0,-6400000.0
2020-05-03,1341,3,603,4,10103052,1882218,10512965,1472305,91331340697,16958532740,95036382632,13253490805,9039.975316072807,9039.921908995226,9009.866412923477,9001.86497023375,-409913.0
2020-05-02,553,2,317,4,13371947,1098240,10269668,4200519,119104383566,9789352260,91450157546,37443578280,8907.033774961867,8904.879646157986,8913.67302229021,8914.036165530973,3102279.0
2020-04-29,682,6,620,4,17570822,4223696,19931096,1863422,152807570239,35892247600,172394035806,16305782033,8696.665997697773,8649.501051322015,8497.829294532561,8750.450532944229,-2360274.0
2020-04-28,112,2,18,0,1538463,2100000,3638463,0,13460012787,18372900000,31832912787,0,8749.0,8749.0,8749.0,,-2100000.0
2020-04-27,145,1,96,0,1370866,2000000,3370866,0,12372858117,18030000000,30402858117,0,9025.578077653105,9019.301899571208,9015.0,,-2000000.0
2020-04-26,459,1,262,0,6031941,2972400,9004341,0,55356379748,28318532837,83674912585,0,9177.208422297233,9292.73031585543,9527.16082525905,,-2972400.0
2020-04-25,482,4,167,2,6121604,4900000,10371604,650000,57371632717,45951326849,97227259566,6095700000,9371.993470502175,9374.370595522158,9377.821805918367,9378.0,-4250000.0
2020-04-22,230,4,138,19,5135753,7189527,6402711,5922569,46740518250,65477873094,58277875754,53940515590,9101.005879760962,9102.062509771251,9107.396508003934,9107.621302512474,-1266958.0
2020-04-21,61,2,238,1,5085818,3689699,8675517,100000,44966694299,32631815576,76715509875,883000000,8841.585424212979,8842.759443039533,8844.031877939095,8830.0,-3589699.0
2020-04-20,155,2,232,3,3841609,905799,4630126,117282,33038252912,7771641659,39811729717,998164854,8600.108160929443,8598.411731559789,8579.87440811924,8510.810303371361,-788517.0
2020-04-19,341,2,203,19,3120437,8884857,8690362,3314932,27046820936,76960885343,74854062503,29153643776,8667.638839047224,8613.457356897216,8662.028588980103,8794.64308046138,-5569925.0
2020-04-18,243,5,194,1,1305165,4640740,4933990,1011915,11521032031,41182370982,43718711236,8984691777,8827.260944784759,8860.721492341898,8874.095722233955,8878.899687226694,-3628825.0
2020-04-15,201,4,389,13,3154734,4614595,6408418,1360911,26687440434,40295350648,55187007466,11795783616,8459.489907548465,8611.642914990876,8732.153232948936,8667.564312434832,-3253684.0
