date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-06-20,1,0,2,0,1267,0,1267,0,7855400,0,7855400,0,6200.0,6200.0,,,0.0
2020-06-15,1,0,1,0,548,0,548,0,3397600,0,3397600,0,6200.0,6200.0,,,0.0
2020-06-14,1,0,2,0,3901,0,3901,0,24186200,0,24186200,0,6200.0,6200.0,,,0.0
2020-06-13,1,0,1,0,2702,0,2702,0,16752400,0,16752400,0,6200.0,6200.0,,,0.0
2020-06-10,1,0,2,0,1114,0,1114,0,6907914,0,6907914,0,6201.0,6201.0,,,0.0
2020-06-08,1,0,1,0,1903,0,1903,0,11800503,0,11800503,0,6201.0,6201.0,,,0.0
2020-06-07,1,0,1,0,3000,0,3000,0,18603000,0,18603000,0,6201.0,6201.0,,,0.0
2020-06-06,1,0,3,0,7805,0,7805,0,48398805,0,48398805,0,6201.0,6201.0,,,0.0
2020-05-23,1,0,1,0,3424,0,3424,0,21232224,0,21232224,0,6201.0,6201.0,,,0.0
2020-05-12,1,0,1,0,1550,0,1550,0,9611550,0,9611550,0,6201.0,6201.0,,,0.0
2020-05-11,1,0,1,0,2732,0,2732,0,16941132,0,16941132,0,6201.0,6201.0,,,0.0
2020-05-09,1,0,1,0,945,0,945,0,5859945,0,5859945,0,6201.0,6201.0,,,0.0
2020-05-06,1,0,1,0,2250,0,2250,0,13952250,0,13952250,0,6201.0,6201.0,,,0.0
2020-05-04,1,0,1,0,78,0,78,0,483678,0,483678,0,6201.0,6201.0,,,0.0
2020-04-28,2,0,1,0,5400,0,5400,0,33485400,0,33485400,0,6201.0,6201.0,,,0.0
2020-04-27,1,0,1,0,323,0,323,0,2002923,0,2002923,0,6201.0,6201.0,,,0.0
2020-04-26,1,0,2,0,3030,0,3030,0,18789030,0,18789030,0,6201.0,6201.0,,,0.0
2020-04-21,1,0,1,0,467,0,467,0,2895867,0,2895867,0,6201.0,6201.0,,,0.0
2020-04-19,1,0,2,0,2091,0,2091,0,12966291,0,12966291,0,6201.0,6201.0,,,0.0
2020-04-07,1,0,1,0,647,0,647,0,4012047,0,4012047,0,6201.0,6201.0,,,0.0
2020-02-26,1,0,2,0,11,0,11,0,64966,0,64966,0,5906.0,5906.0,,,0.0
2020-02-10,1,0,1,0,9,0,9,0,50625,0,50625,0,5625.0,5625.0,,,0.0
2020-02-09,1,0,1,0,2025,0,2025,0,11378475,0,11378475,0,5619.0,5619.0,,,0.0
2020-01-28,1,0,1,0,792,0,792,0,4448664,0,4448664,0,5617.0,5617.0,,,0.0
2020-01-27,1,0,1,0,2300,0,2300,0,12903000,0,12903000,0,5610.0,5610.0,,,0.0
2020-01-25,1,0,1,0,10,0,10,0,53430,0,53430,0,5343.0,5343.0,,,0.0
2020-01-19,1,0,1,0,210,0,210,0,1121820,0,1121820,0,5342.0,5342.0,,,0.0
2020-01-18,1,0,1,0,210,0,210,0,1121610,0,1121610,0,5341.0,5341.0,,,0.0
2020-01-13,1,0,1,0,23,0,23,0,122843,0,122843,0,5341.0,5341.0,,,0.0
