date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,15,1,1,0,18893,20000,38893,0,289780834,306760000,596540834,0,15338.0,15338.0,15338.0,,-20000.0
2020-10-18,26,1,0,1,180000,20000,0,200000,2769840000,307760000,0,3077600000,15388.0,,15388.0,15388.0,180000.0
2020-10-14,78,3,106,1,471954,351020,722974,100000,7363426308,5476614040,11279840348,1560200000,15602.0,15602.0,15602.0,15602.0,-251020.0
2020-10-13,223,2,144,0,973719,62000,1035719,0,15490842347,984397360,16475239707,0,15908.94533946652,15907.055588436631,15877.376774193548,,-62000.0
2020-10-12,376,5,368,3,2167536,393293,2432210,128619,36042297940,6539730957,40459218319,2122810578,16628.234982025675,16634.755353772907,16628.139725344718,16504.64222237772,-264674.0
2020-10-11,551,2,365,3,4045359,300000,4034315,311044,69229330620,5142600000,69040014372,5331916248,17113.272424029612,17113.193781844006,17142.0,17142.0,11044.0
2020-10-10,900,4,1017,3,8723757,1367687,10015444,76000,142143484514,22612337356,163490011150,1265810720,16293.838138086607,16323.790652715945,16533.269202675758,16655.404210526314,-1291687.0
2020-10-07,580,7,409,1,3126116,826000,3940247,11869,52298596309,13908582261,66009061222,198117348,16729.57635257297,16752.518616726313,16838.47731355932,16692.0,-814131.0
2020-10-06,212,1,177,2,1703169,87162,1290331,500000,29513419593,1557445870,22517265463,8553600000,17328.53263123037,17450.76686757119,17868.40446524862,17107.2,412838.0
2020-10-05,26,1,4,0,44931,20000,64931,0,767870790,341800000,1109670790,0,17090.0,17090.0,17090.0,,-20000.0
2020-10-04,42,1,3,0,75999,40000,115999,0,1301558874,685040000,1986598874,0,17126.0,17126.0,17126.0,,-40000.0
2020-10-03,91,0,3,0,270576,0,270576,0,4656883536,0,4656883536,0,17211.0,17211.0,,,0.0
2020-09-30,28,0,1,0,39077,0,39077,0,673023171,0,673023171,0,17223.0,17223.0,,,0.0
2020-09-29,23,0,4,0,21413,0,21413,0,368945990,0,368945990,0,17230.0,17230.0,,,0.0
2020-09-28,11,0,1,0,14177,0,14177,0,244326418,0,244326418,0,17234.0,17234.0,,,0.0
2020-09-27,9,0,1,0,8068,0,8068,0,139068116,0,139068116,0,17237.0,17237.0,,,0.0
2020-09-26,35,0,2,0,94839,0,94839,0,1637585013,0,1637585013,0,17267.0,17267.0,,,0.0
2020-09-23,87,0,11,0,254430,0,254430,0,4414614930,0,4414614930,0,17351.0,17351.0,,,0.0
2020-09-22,34,0,2,0,96326,0,96326,0,1674531184,0,1674531184,0,17384.0,17384.0,,,0.0
2020-09-21,14,0,2,0,14687,0,14687,0,255377556,0,255377556,0,17388.0,17388.0,,,0.0
2020-09-20,35,0,5,0,45535,0,45535,0,792491140,0,792491140,0,17404.0,17404.0,,,0.0
2020-09-19,363,2,675,1,2890739,213203,3103380,562,52920790670,3939130916,56849738146,10183440,18307.010999609443,18318.651968498863,18475.96382790111,18120.0,-212641.0
2020-09-16,566,5,1201,3,5704511,4057772,9660203,102080,108389910284,77792394789,184245034173,1937270900,19000.736484511996,19072.584103356836,19171.208926721363,18977.967280564262,-3955692.0
2020-09-15,1127,1,1198,2,10558919,20000,10576703,2216,193040580708,368933428,193369172640,40341496,18282.22952633693,18282.556732471356,18446.6714,18204.646209386283,-17784.0
2020-09-14,63,0,4,0,130766,0,130766,0,2386741032,0,2386741032,0,18252.0,18252.0,,,0.0
2020-09-13,61,0,1,0,160472,0,160472,0,2938402792,0,2938402792,0,18311.0,18311.0,,,0.0
2020-09-12,227,1,262,0,1619728,150000,1769728,0,30745529199,2847000000,33592529199,0,18981.908813702055,18981.74702496655,18980.0,,-150000.0
2020-09-09,51,0,27,0,479795,0,479795,0,9200069125,0,9200069125,0,19175.0,19175.0,,,0.0
2020-09-08,7,0,2,0,13954,0,13954,0,267651674,0,267651674,0,19181.0,19181.0,,,0.0
2020-09-07,20,0,3,0,19070,0,19070,0,365934230,0,365934230,0,19189.0,19189.0,,,0.0
2020-09-06,223,0,398,1,2085797,0,2085527,270,41888695349,0,41883282659,5412690,20082.824622434495,20082.829260421946,,20047.0,270.0
2020-09-05,108,1,44,0,375803,269,376072,0,7594602827,5436221,7600039048,0,20209.0,20209.0,20209.0,,-269.0
2020-09-02,55,0,1,0,88132,0,88132,0,1784496736,0,1784496736,0,20248.0,20248.0,,,0.0
2020-09-01,52,0,2,0,65124,0,65124,0,1320519348,0,1320519348,0,20277.0,20277.0,,,0.0
2020-08-31,566,2,294,1,2863464,60429,2916393,7500,61117682557,1289418529,62242382132,164718954,21343.967501250234,21342.24781502356,21337.743947442454,21962.5272,-52929.0
2020-08-26,1605,3,1418,7,8578060,1116733,9396301,298492,187956136249,25317211533,206508256327,6765091455,21911.263881227223,21977.61186311507,22670.783018859478,22664.230381383757,-818241.0
2020-08-25,1039,3,925,2,7695452,172246,7864183,3515,167559280604,3729511080,171211614313,77177371,21773.80621749054,21771.061827147205,21652.236220289586,21956.577809388335,-168731.0
2020-08-24,97,2,14,0,336679,280000,616679,0,7401551136,6155520000,13557071136,0,21984.0,21984.0,21984.0,,-280000.0
2020-08-23,168,3,230,1,1017124,520000,1535359,1765,23265694376,11894480000,35119801766,40372610,22874.0,22874.0,22874.0,22874.0,-518235.0
2020-08-22,399,4,237,0,1134187,1330446,2464633,0,27312256509,32029679655,59341936164,0,24080.91126860033,24077.392522132097,24074.39283894273,,-1330446.0
2020-08-19,324,3,167,0,709430,380746,1090176,0,17571083511,9547966686,27119050197,0,24767.889024991895,24875.845915705355,25076.998014424313,,-380746.0
2020-08-18,1816,4,1672,2,10523866,3036124,13539215,20775,274099164930,77610206960,351129258390,580113500,26045.482233430186,25934.240529454626,25562.26523027386,27923.63417569194,-3015349.0
2020-08-17,1883,2,1082,2,13844774,715500,14559717,557,372353370840,19083225000,391421738080,14857760,26894.868117023794,26883.88366889274,26671.17400419287,26674.614003590665,-714943.0
2020-08-16,215,1,661,2,3741334,6000,3347334,400000,105011762712,168408000,93952970712,11227200000,28068.0,28068.0,28068.0,28068.0,394000.0
2020-08-15,3747,13,4884,6,41920999,705698,41805926,820771,1120462798601,19033491510,1118347704108,21148586003,26727.960337991946,26750.9372740123,26971.156939654073,25766.73152803888,115073.0
2020-08-12,184,1,8,0,398270,170000,568270,0,10423124170,4449070000,14872194170,0,26171.0,26171.0,26171.0,,-170000.0
2020-08-11,150,1,6,1,223386,160000,367663,15723,5912133876,4234560000,9730568958,416124918,26466.0,26466.0,26466.0,26466.0,-144277.0
2020-08-10,227,1,9,0,537219,200000,737219,0,14529087855,5409000000,19938087855,0,27045.0,27045.0,27045.0,,-200000.0
2020-08-09,400,1,10,0,558015,150000,708015,0,15408468195,4141950000,19550418195,0,27613.0,27613.0,27613.0,,-150000.0
2020-08-05,816,1,17,0,1461490,150000,1611490,0,42206369710,4331850000,46538219710,0,28879.0,28879.0,28879.0,,-150000.0
2020-08-04,3421,3,1003,1,14119267,601644,14570911,150000,428225822691,19264728541,442687401232,4803150000,30329.182293315935,30381.587069744644,32020.145702441976,32021.0,-451644.0
2020-08-03,103,1,334,2,1481393,215723,1546116,151000,45342476944,6602849584,47323518528,4621808000,30608.0,30608.0,30608.0,30608.0,-64723.0
2020-08-02,61,0,325,1,1092790,0,942790,150000,32482089960,0,28023489960,4458600000,29724.0,29724.0,,29724.0,150000.0
2020-08-01,39,0,308,1,1483134,0,1333134,150000,42374621514,0,38088971514,4285650000,28571.0,28571.0,,28571.0,150000.0
2020-07-29,41,0,540,1,1275686,0,1125686,150000,35404113558,0,31241163558,4162950000,27753.0,27753.0,,27753.0,150000.0
2020-07-28,283,1,434,1,1378479,7500,1185979,200000,37070057268,201690000,31893347268,5378400000,26892.0,26892.0,26892.0,26892.0,192500.0
