date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,681,2,406,5,309235,347192,636832,19595,49126759450,55191075410,101206518100,3111316760,158865.4565298236,158921.8476772524,158964.13341897278,158781.15641745343,-327597.0
2020-10-18,697,3,872,2,497314,490649,934014,53949,83240189270,81773736570,156098144220,8915781620,167379.5414365974,167126.128965947,166664.43133482386,165263.14889988693,-436700.0
2020-10-14,655,9,934,9,497717,997734,1056957,438494,85724625950,172605706650,182806869990,75523462610,172235.68001494824,172955.8250619467,172997.719482347,172233.74233170808,-559240.0
2020-10-13,605,5,643,4,437671,491437,643464,285644,75173309000,84736613640,110534687120,49375235520,171757.57361122852,171780.68566384443,172426.19835299338,172855.84685832716,-205793.0
2020-10-12,908,5,894,9,1065463,327611,1000440,392634,182195402580,56772787100,171461906320,67506283360,171001.1540335047,171386.49626164488,173293.28716068753,171931.83310665912,65023.0
2020-10-11,1161,26,959,9,964244,625223,1257245,332222,168603063230,108915014240,219561659090,57956418380,174855.18523319822,174637.13046383162,174201.86755765544,174450.8743550999,-293001.0
2020-10-10,908,18,919,2,544837,600096,894326,250607,92353176970,102233697110,151899443410,42687430670,169506.06689707196,169847.95634925071,170362.23722537726,170336.14651625854,-349489.0
2020-10-07,1130,4,774,35,704339,233088,770437,166990,120853649400,40046634130,132304767220,28595516310,171584.49184270643,171726.9124146426,171809.07695805875,171240.8905323672,-66098.0
2020-10-06,859,5,664,11,761460,294938,559394,497004,130158835180,50369078630,95807926640,84719987170,170933.25346045755,171270.92289155765,170778.5318609335,170461.37892250365,202066.0
2020-10-05,1113,6,922,6,784928,419869,1013356,191441,131655060180,70163471190,169752805090,32065726280,167728.8365047495,167515.46849281003,167108.0055684035,167496.65056074716,-228428.0
2020-10-03,1166,6,1176,8,1461333,1121059,1233488,1348904,265556910470,203708102590,223597224120,245667788940,181722.37982034212,181272.31405575085,181710.42076286796,182123.99766032276,227845.0
2020-09-30,1204,11,834,9,1284151,720058,1155321,848888,223132810560,124832037610,200751808710,147213039460,173759.01320016105,173762.7972745237,173363.86459146347,173418.68357191997,128830.0
2020-09-29,1221,6,1378,11,1815274,173825,1360549,628550,307532555160,29879102210,231734733100,105676924270,169413.84890655626,170324.43013812805,171891.85796059255,168128.11116060775,454725.0
2020-09-28,655,6,967,1,674472,1855040,2524512,5000,113183555630,311275712000,423620267630,839000000,167810.6068598845,167802.83382689406,167800.0,167800.0,-1850040.0
2020-09-27,595,4,394,0,528937,240449,769386,0,93512813500,42381307860,135894121360,0,176793.8591930608,176626.7144970145,176259.03147860878,,-240449.0
2020-09-26,1064,10,1356,5,886443,408959,1237037,58365,164210573050,75945251370,229361763230,10794061190,185246.62392280158,185412.2093599464,185703.82696064888,184940.65261715068,-350594.0
2020-09-23,1473,15,1645,16,1945783,818469,2087580,676672,361090754020,153710432490,389882646610,124918539900,185576.0657894534,186762.97272918883,187802.38773857043,184607.2246228601,-141797.0
2020-09-22,1696,19,1412,48,2734026,190146,1694044,1230128,492264483320,34431265950,305091255570,221604493700,180051.13459784215,180096.41754877678,181078.045028557,180147.5079829091,1039982.0
2020-09-21,879,10,1186,2,1145789,1226213,2171002,201000,201668765750,215467290360,381860556110,35275500000,176008.6418616342,175891.38845104704,175717.66924669695,175500.0,-1025213.0
2020-09-20,1036,5,1061,2,904189,551763,1371568,84384,167252019790,101707883920,253463625950,15496277760,184974.62343602942,184798.43941386792,184332.55568060925,183640.0,-467379.0
2020-09-19,2401,13,2872,55,2629772,890846,2356410,1164208,509085440360,171465578300,454032580910,226518437750,193585.39080954547,192679.78870824687,192474.99376996697,194568.70056725258,273362.0
2020-09-16,3299,29,3038,79,4157111,1249648,4081587,1325172,805188019310,240961902180,789103651420,257046270070,193689.32398244838,193332.5570225503,192823.82093197445,193972.0051963066,75524.0
2020-09-15,1708,21,1100,12,1994866,1053321,2142316,905871,378172123670,199681700530,405939084420,171914739780,189572.69494291846,189486.09095016794,189573.45436956067,189778.38983696353,-147450.0
2020-09-14,1721,27,1776,53,4560546,1485995,2434917,3611624,824419726730,269092952910,439250789440,654261890200,180772.15463455472,180396.61698530175,181086.04195168894,181154.48623666252,2125629.0
2020-09-13,2041,16,1646,52,2682565,851612,2825205,708972,463519456970,146987261850,488743575080,121763143740,172789.64609245255,172994.02170108008,172598.86174689882,171746.05448452124,-142640.0
2020-09-12,1596,8,873,11,3113126,525719,2202094,1436751,532518914110,89929222340,376677768590,245770367860,171056.01061762357,171054.35489584005,171059.48679808035,171059.82028897144,911032.0
2020-09-09,955,6,2099,7,2903018,553879,2191185,1265712,472374525250,90827258130,355255436400,207946346980,162718.4279429201,162129.36671253227,163983.93535411163,164291.99294942294,711833.0
2020-09-08,698,7,948,9,767518,2760182,1849192,1678508,119350181610,433027677520,291619604780,260758254350,155501.4756787463,157701.09581914695,156883.74082578614,155351.2133096774,-1081674.0
2020-09-07,1370,6,1910,8,2081872,3799518,4360254,1521136,334466113170,625988231670,714822464370,245631880470,160656.42516446736,163940.55584147162,164754.64300208606,161479.23687954264,-2278382.0
2020-09-06,2210,7,1788,11,3117700,615810,2285564,1447946,521284607700,102394079350,380395361120,243283325930,167201.65753600412,166433.91351981394,166275.44104512755,168019.61256151818,832136.0
2020-09-05,630,4,1121,8,1317890,541135,1152125,706900,211289686140,86748793180,184703518530,113334960790,160324.21988178074,160315.52004339808,160308.9675958864,160326.7234262272,165765.0
2020-09-02,986,19,1692,4,1892917,1258397,2674146,477168,286359179390,194835634520,410095366740,71099447170,151279.31092065843,153355.63830097535,154828.43214025462,149002.96576886968,-781229.0
2020-09-01,836,5,1349,5,1286222,534416,1236286,584352,199030440300,83132500930,191889408910,90273532320,154740.34832245135,155214.41552359244,155557.65719963473,154484.85214391325,49936.0
2020-08-31,2146,15,1598,8,5024188,1129681,3713439,2440430,798550177510,180078800630,589802108040,388826870100,158941.14183426258,158829.08216346087,159406.77114158776,159327.19647766993,1310749.0
2020-08-26,225,0,236,7,1076680,0,243417,833263,163483091200,0,36960437280,126522653920,151840.0,151840.0,,151840.0,833263.0
2020-08-25,223,0,561,4,653177,0,396996,256181,94456640980,0,57295025120,37161615860,144611.09466499893,144321.4166389586,,145060.0,256181.0
2020-08-24,1188,9,1420,7,1316192,4414833,3537628,2193397,182663025320,609144106390,489224159590,302582972120,138781.4432240889,138291.5783089686,137976.70407691525,137951.75799000362,-2221436.0
2020-08-23,859,8,256,2,578984,591885,658896,511973,84416325530,85604327550,95973998090,74046654990,145800.7916108217,145658.79606189748,144630.0,144630.0,-79912.0
2020-08-22,1319,10,1003,15,1314718,283315,1018723,579310,200421940250,42859121530,156210554740,87070507040,152444.813450489,153339.57782439387,151277.27628258299,150300.36947402946,295995.0
2020-08-19,2023,5,1106,7,1381547,547571,1796383,132735,213087501360,83762211620,276388628520,20461084460,154238.32946689473,153858.4079898329,152970.5035876626,154149.88104117225,-414836.0
2020-08-18,995,7,485,15,1648618,1082697,465462,2265853,263695556480,173177363150,74449732280,362423187350,159949.4585646887,159948.035027564,159949.97968037226,159950.0,1183156.0
2020-08-17,1510,20,1136,14,2705424,3157508,1239610,4623322,411043897900,482142056390,188136288300,705049665990,151933.26365848753,151770.54743024014,152697.01815165632,152498.4991289813,1465814.0
2020-08-16,1752,10,1580,9,994330,1225687,1577853,642164,144898191830,178161478620,230106301560,92953368890,145724.4494584293,145835.06927451416,145356.42347516128,144750.20226920227,-583523.0
2020-08-15,1410,9,1156,3,1076746,489756,1481276,85226,164156618330,74264021120,225504676790,12915962660,152456.2137495751,152236.7720735366,151634.7346842101,151549.55835073805,-404530.0
2020-08-12,1993,20,1173,12,1422139,944290,1390878,975551,227890903090,149305398010,223588099300,153608201800,160245.16808131975,160753.20718280107,158113.924758284,157457.88974641,31261.0
2020-08-11,1930,3,1337,3,1395188,307016,1316030,386174,230990781160,50724188710,218103997730,63610972140,165562.47699951546,165728.74306056852,165216.75974542042,164721.01213442645,79158.0
2020-08-10,1990,53,1775,11,1681648,1008736,1968164,722220,291937278160,174453461170,342054530870,124336208460,173601.89418950933,173793.71377080365,172942.63431661009,172158.35681648253,-286516.0
2020-08-09,2726,48,2092,10,1923885,597114,2030730,490269,342606840130,103924732450,360459062840,86072509740,178080.72734596924,177502.2099639046,174045.04407868514,175561.80329574173,-106845.0
2020-08-05,2066,5,2071,9,1646626,166394,1553851,259169,283978672520,28882013840,268439757370,44420928990,172460.94287348798,172757.72089473187,173576.05346346623,171397.53979063855,92775.0
2020-08-04,1800,42,2286,6,1292698,629044,1666521,255221,227239491470,110091007130,292523843030,44806655570,175786.9908284843,175529.64710915735,175013.2059601554,175560.22259140117,-373823.0
2020-08-03,1568,14,1204,7,724698,106263,766315,64646,130190452040,19094328150,137698090600,11586689590,179647.86992650732,179688.6275226245,179689.33824567348,179232.89283172973,-41617.0
2020-08-02,2151,11,1332,9,1389871,283411,1209690,463592,252465939520,51421626510,219758075330,84129490700,181647.03020640046,181664.7862923559,181438.35810889487,181473.12874251496,180181.0
2020-08-01,2066,4,1732,8,1678724,153582,1550955,281351,293097229370,26933154770,271117361620,48913022520,174595.2457759584,174806.7233543204,175366.61047518588,173850.5373003828,127769.0
2020-07-29,1829,33,2259,10,1708279,167897,1490128,386048,287177452210,28190208010,250506950540,64860709680,168109.22115766804,168111.0284082978,167901.79699458598,168012.0339439655,218151.0
