date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,67,3,161,0,379970,1689604,2069574,0,2225864260,9897700232,12123564492,0,5858.0,5858.0,5858.0,,-1689604.0
2020-10-18,194,5,214,1,2628535,1571000,4193037,6498,15826490752,9451136000,25238534784,39091968,6021.031012331964,6019.153845768592,6016.0,6016.0,-1564502.0
2020-10-14,655,4,658,4,7866012,4675957,12056473,485496,49929451403,29483291217,76329705851,3083036769,6347.492401867681,6331.014538912002,6305.295625473032,6350.282533738692,-4190461.0
2020-10-13,323,3,791,5,10020580,11054558,15680875,5394263,61812995430,67999603230,96355619693,33456978967,6168.604554826168,6144.785905952314,6151.272916565275,6202.326243084551,-5660295.0
2020-10-12,562,5,755,3,6924150,8658322,15370013,212459,41053201254,51094194596,90861075432,1286320418,5928.987854682524,5911.580909658307,5901.165906742669,6054.440706206845,-8445863.0
2020-10-11,463,7,397,4,5948705,6821270,8099560,4670415,36705164184,42109727600,49979749574,28835142210,6170.278099855346,6170.674650721768,6173.297289214472,6174.0,-2150855.0
2020-10-10,252,2,471,4,5815879,1136719,6017607,934991,34541527937,6700813648,35661067705,5581273880,5939.175821402061,5926.121081851972,5894.8725656912575,5969.334335838526,-201728.0
2020-10-07,152,4,593,7,2432202,6070360,6980775,1521787,13771707689,34571259596,39664248480,8678718805,5662.23845264497,5681.926215928747,5695.092152030522,5702.978672442333,-4548573.0
2020-10-06,175,4,157,1,2442391,451028,2493419,400000,13584562257,2518845098,13889407355,2214000000,5561.993250466448,5570.426532804956,5584.675669803205,5535.0,-51028.0
2020-10-05,280,6,390,3,2759779,7009575,8821808,947546,14820432822,37572699627,47316112981,5077019468,5370.152038261034,5363.539195253399,5360.196535025305,5358.071764325953,-6062029.0
