date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-22,7,1,3,1,55704,244248,2892,297060,2840904000,12456648000,147492000,15150060000,51000.0,51000.0,51000.0,51000.0,52812.0
2020-09-21,1,0,1,0,100,0,100,0,5100000,0,5100000,0,51000.0,51000.0,,,0.0
2020-09-19,2,1,32,0,860,12089,12949,0,43860000,616539000,660399000,0,51000.0,51000.0,51000.0,,-12089.0
2020-09-16,18,1,16,0,17294,7373,24667,0,881994000,376023000,1258017000,0,51000.0,51000.0,51000.0,,-7373.0
2020-09-15,40,1,66,0,58352,22045,80397,0,2971947310,1122177670,4094124980,0,50931.37013298601,50923.85263131709,50903.954184622366,,-22045.0
2020-09-14,22,1,13,1,63370,1044,19809,44605,3209975990,53244000,1005770730,2257449260,50654.50512860975,50773.42268665758,51000.0,50609.78051787916,43561.0
2020-09-13,35,1,59,1,139383,200000,51070,288313,7103583290,10200000000,2599620290,14703963000,50964.48842398284,50903.079890346584,51000.0,51000.0,88313.0
2020-09-12,12,0,9,1,128663,0,28663,100000,6561813000,0,1461813000,5100000000,51000.0,51000.0,,51000.0,100000.0
2020-09-09,90,1,60,1,190441,149897,73494,266844,9702837570,7644747000,3738540570,13609044000,50949.310127546065,50868.65009388522,51000.0,51000.0,116947.0
2020-09-08,56,1,76,1,94638,42795,86534,50899,4818061120,2139750000,4361962120,2595849000,50910.42836915404,50407.4943952666,50000.0,51000.0,8104.0
2020-09-07,39,1,14,1,149952,155664,5616,300000,7647078000,7938864000,285942000,15300000000,50996.83898847631,50915.59829059829,51000.0,51000.0,144336.0
2020-09-06,67,1,11,1,163458,143220,7413,299265,8336315880,7304220000,378020880,15262515000,50999.74231912785,50994.31808984217,51000.0,51000.0,156045.0
2020-09-05,11,0,1,1,76537,0,103,76434,3903387000,0,5253000,3898134000,51000.0,51000.0,,51000.0,76434.0
2020-09-02,4,0,7,1,52778,0,2778,50000,2691678000,0,141678000,2550000000,51000.0,51000.0,,51000.0,50000.0
2020-09-01,66,1,42,2,253277,330678,33955,550000,12916099460,16864578000,1730677460,28050000000,50995.943018908154,50969.738182889116,51000.0,51000.0,219322.0
2020-08-31,11,0,4,1,50670,0,670,50000,2584170000,0,34170000,2550000000,51000.0,51000.0,,51000.0,50000.0
2020-08-26,48,1,9,1,30987,271127,13006,289108,1580334500,13827477000,663303500,14744508000,50999.91932100558,50999.807781024145,51000.0,51000.0,17981.0
2020-08-25,32,0,5,1,63384,0,13384,50000,3232487100,0,682487100,2550000000,50998.47122302158,50992.760011954575,,51000.0,50000.0
2020-08-24,50,0,6,1,92535,0,2309,90226,4718407650,0,116881650,4601526000,50990.51872264549,50620.03031615418,,51000.0,90226.0
2020-08-23,13,0,49,1,72529,0,22529,50000,3692043510,0,1142043510,2550000000,50904.37631843814,50692.152780860226,,51000.0,50000.0
2020-08-22,53,1,89,1,69909,23654,40156,53407,3550624650,1182700000,2009567650,2723757000,50789.23529159336,50044.019573662714,50000.0,51000.0,29753.0
2020-08-19,259,0,42,1,122227,0,24127,98100,6225872790,0,1222772790,5003100000,50936.968018522915,50680.680979815144,,51000.0,98100.0
2020-08-17,12,1,35,0,13905,4851,18756,0,700626420,242550000,943176420,0,50386.65372168285,50286.65067178503,50000.0,,-4851.0
2020-08-16,7,1,30,0,1127,50000,51127,0,56350000,2500000000,2556350000,0,50000.0,50000.0,50000.0,,-50000.0
2020-08-15,9,1,62,0,2008,116898,118906,0,100471920,5844900000,5945371920,0,50035.81673306773,50000.604847526614,50000.0,,-116898.0
2020-08-12,1,1,13,0,110,50000,50110,0,5500000,2500000000,2505500000,0,50000.0,50000.0,50000.0,,-50000.0
2020-08-11,2,1,16,0,2521,50000,52521,0,126050000,2500000000,2626050000,0,50000.0,50000.0,50000.0,,-50000.0
2020-08-10,76,1,48,0,60206,94200,154406,0,3012753250,4710000000,7722753250,0,50040.74759990699,50015.88830744919,50000.0,,-94200.0
2020-08-09,224,1,83,0,118353,247016,365369,0,5918549970,12350800000,18269349970,0,50007.60411649895,50002.463181058054,50000.0,,-247016.0
