date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,1063,6,1326,12,6385440,2260177,7894202,751415,189567362190,67083355130,234348552350,22302164970,29687.43926651883,29686.161102794176,29680.575959316462,29680.223272093317,-1508762.0
2020-10-18,5095,23,5323,30,27195141,10455692,35679984,1970849,842357397950,333760965140,1113884296970,62234066120,30974.555268898956,31218.7442956813,31921.46107019985,31577.287818600005,-8484843.0
2020-10-14,989,28,2242,19,18833235,8254861,14998885,12089211,583762842570,256174128830,464539651270,375397320130,30996.41896732027,30971.612307848216,31033.124462059386,31052.25974879585,3834350.0
2020-09-13,905,1,807,21,3649451,800,3590801,59450,107998070150,24160000,106252998150,1769232000,29592.963475876233,29590.333229271127,30200.0,29760.0,58650.0
2020-09-12,5225,29,4319,465,35040512,8947972,31816089,12172395,1086404758540,274664027190,984256315660,376812470070,31004.248983005727,30935.804701200075,30695.67352132975,30956.313040285004,3224423.0
2020-09-09,435,0,14,13,904413,0,455332,449081,28172464950,0,14183591800,13988873150,31150.0,31150.0,,31150.0,449081.0
2020-09-08,83,0,1,0,95615,0,95615,0,2987012600,0,2987012600,0,31240.0,31240.0,,,0.0
2020-09-07,142,0,4,0,119335,0,119335,0,3741152250,0,3741152250,0,31350.0,31350.0,,,0.0
2020-09-06,1493,20,3099,90,9562935,12239501,19879225,1923211,316599470660,402829878110,656136474760,63292874010,33106.935335229195,33006.139563287805,32912.27952103603,32910.0,-10316290.0
2020-09-05,822,13,1461,0,3831644,4352551,8184195,0,132980714190,150511213580,283491927770,0,34705.91583925855,34638.950778909835,34580.0,,-4352551.0
2020-09-02,177,0,3,1,136456,0,111600,24856,4739116880,0,3875868000,863248880,34730.0,34730.0,,34730.0,24856.0
2020-09-01,281,0,5,3,348789,0,119297,229492,12245981790,0,4188517670,8057464120,35110.0,35110.0,,35110.0,229492.0
2020-08-31,3083,22,1666,5,12970412,5451474,13378171,5043715,477919529160,202841906890,497112274820,183649161230,36846.90425870821,37158.463202481114,37208.63511226505,36411.486618494506,-407759.0
2020-08-26,5098,13,2225,9,29377966,791002,18430451,11738517,1124412795080,30232699850,705295164170,449350330760,38274.01784997641,38267.927581913216,38220.76284257183,38279.99148103632,10947515.0
2020-08-25,2017,3,709,4,10576766,85433,8900706,1761493,385643176430,3079974290,325247533020,63475617700,36461.3508921347,36541.767924926404,36051.3418702375,36035.12344357883,1676060.0
2020-08-18,4237,6,2410,13,16696932,1636455,15732829,2600558,574937718990,56817612600,541522946680,90232384910,34433.734232732095,34419.934690703114,34719.93583691577,34697.316848922426,964103.0
2020-08-17,3055,7,3225,18,16981484,3824891,13006719,7799656,560752486630,127290537910,427463320490,260579704050,33021.406529017135,32864.80783432009,33279.52036018804,33409.12779358474,3974765.0
2020-08-16,2995,31,2928,9,12010333,4217400,15713601,514132,383494330510,133940358790,500945699680,16488989620,31930.366169697376,31879.75179463956,31758.988663631622,32071.51007912365,-3703268.0
2020-08-15,1811,3,886,0,4224502,600754,4825256,0,139986663190,19954881320,159941544510,0,33136.84386704042,33146.747967361734,33216.39359871095,,-600754.0
2020-08-12,3706,46,4068,13,22717242,3041361,22721140,3037463,788617886800,105553572000,788291435780,105880023020,34714.5083368835,34694.18505321476,34706.031937675274,34858.04535561421,-3898.0
