date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,1,0,1,0,150,0,150,0,5160300,0,5160300,0,34402.0,34402.0,,,0.0
2020-10-18,1,0,1,0,145,0,145,0,5093270,0,5093270,0,35126.0,35126.0,,,0.0
2020-10-14,5,0,5,0,27546,0,27546,0,969150918,0,969150918,0,35183.0,35183.0,,,0.0
2020-10-13,14,0,11,0,476360,0,476360,0,17242802920,0,17242802920,0,36197.0,36197.0,,,0.0
2020-10-12,15,0,16,0,478693,0,478693,0,17804986135,0,17804986135,0,37195.0,37195.0,,,0.0
2020-10-11,11,0,1,0,5925,0,5925,0,225102600,0,225102600,0,37992.0,37992.0,,,0.0
2020-10-10,24,0,2,0,14708,0,14708,0,559256992,0,559256992,0,38024.0,38024.0,,,0.0
2020-10-07,259,2,92,0,1399266,365000,1764266,0,55044350737,14114632872,69158983609,0,39338.017744303084,39199.861930683925,38670.22704657534,,-365000.0
2020-10-05,34,0,46,1,563991,0,463991,100000,21790920267,0,17927220267,3863700000,38637.0,38637.0,,38637.0,100000.0
2020-10-04,79,0,59,1,535133,0,335133,200000,19730888843,0,12356688843,7374200000,36871.0,36871.0,,36871.0,200000.0
2020-10-03,54,0,63,1,538891,0,438891,100000,19326247933,0,15739947933,3586300000,35863.0,35863.0,,35863.0,100000.0
2020-09-30,23,0,73,1,572456,0,382456,190000,19965547912,0,13338917912,6626630000,34877.0,34877.0,,34877.0,190000.0
2020-09-29,114,1,148,0,695243,190000,885243,0,23598364540,6377806660,29976171200,0,33942.61364731468,33862.08216275079,33567.40347368421,,-190000.0
2020-09-16,4,0,21,0,49993,0,49993,0,1692113071,0,1692113071,0,33847.0,33847.0,,,0.0
2020-09-15,126,0,44,2,837462,0,397462,440000,27520676244,0,13061396244,14459280000,32862.0,32862.0,,32862.0,440000.0
2020-09-14,209,1,67,1,934540,30000,784540,180000,29816907221,957210000,25030857221,5743260000,31905.437135917135,31905.13832436842,31907.0,31907.0,150000.0
2020-09-13,103,1,55,1,725540,50000,618040,157500,22475772620,1548900000,19145637620,4879035000,30977.992419439313,30977.991100899617,30978.0,30978.0,107500.0
2020-09-12,54,0,67,1,520988,0,408488,112500,15482163401,0,12138775901,3343387500,29716.928990686927,29716.358622529915,,29719.0,112500.0
2020-09-09,114,1,116,1,889192,34012,823204,100000,25653819162,984137220,23744456382,2893500000,28850.70846566321,28843.95165961293,28935.0,28935.0,65988.0
2020-09-08,249,2,342,1,1706968,1039018,2545986,200000,47749957070,29392060191,71468241661,5673775600,27973.551390535733,28070.94841094963,28288.307027404724,28368.878,-839018.0
2020-09-07,177,2,143,0,1105204,666970,1772174,0,30764347640,18651019523,49415367163,0,27835.899652914755,27884.038002476056,27963.80575288244,,-666970.0
2020-09-06,7,0,38,1,570518,0,468518,102000,15342370056,0,12599386056,2742984000,26892.0,26892.0,,26892.0,102000.0
