date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,45,1,4,0,15911,5326,21237,0,2382035810,797355460,3179391270,0,149710.0,149710.0,149710.0,,-5326.0
2020-10-18,131,1,146,0,176440,100000,276440,0,27676751910,15685000000,43361751910,0,156862.1169236001,156857.73372160323,156850.0,,-100000.0
2020-10-14,919,4,961,1,1499561,22683,1519918,2326,247656174080,3665316190,250945841270,375649000,165152.45067056292,165104.8551763977,161588.68712251465,161500.0,-20357.0
2020-10-13,1494,6,1359,4,2028186,210112,2200108,38190,341598022690,35439632440,370585382990,6452272140,168425.3922914368,168439.63250440432,168670.19703777033,168951.8758837392,-171922.0
2020-10-12,1132,8,1152,5,3558202,1827310,4328197,1057315,577373138110,297551533250,702684912430,172239758930,162265.4189138222,162350.49200163485,162835.82602295178,162902.97492232683,-769995.0
2020-10-11,22,2,175,2,324155,70790,124021,270924,50312097550,10987315900,19249299410,42050114040,155210.0,155210.0,155210.0,155210.0,200134.0
2020-10-10,40,1,191,2,383714,7795,103138,288371,56720603480,1152256900,15245859160,42627001220,147820.0,147820.0,147820.0,147820.0,280576.0
2020-10-07,14,2,177,1,321647,100000,121647,300000,45284681130,14079000000,17126681130,42237000000,140790.0,140790.0,140790.0,140790.0,200000.0
2020-10-06,14,2,163,4,332327,100000,78966,353361,44561727430,13409000000,10588550940,47382176490,134090.0,134090.0,134090.0,134090.0,253361.0
2020-10-05,23,0,258,1,278092,0,178092,100000,36057408720,0,23091408720,12966000000,129660.0,129660.0,,129660.0,100000.0
2020-10-03,779,2,1251,4,1904994,146929,1985958,65965,226392473150,17147711110,235768510930,7771673330,118841.56755874297,118717.77294887404,116707.46489801197,117815.10391874479,-80964.0
2020-09-30,25,0,1,0,33411,0,33411,0,3915100980,0,3915100980,0,117180.0,117180.0,,,0.0
2020-09-29,21,0,1,0,6587,0,6587,0,772457490,0,772457490,0,117270.0,117270.0,,,0.0
2020-09-28,11,1,1,0,6742,2112,8854,0,791578220,247969920,1039548140,0,117410.0,117410.0,117410.0,,-2112.0
2020-09-27,10,0,1,0,1389,0,1389,0,163096380,0,163096380,0,117420.0,117420.0,,,0.0
2020-09-26,17,0,2,0,7002,0,7002,0,822945060,0,822945060,0,117530.0,117530.0,,,0.0
2020-09-23,38,0,5,0,13527,0,13527,0,1592533710,0,1592533710,0,117730.0,117730.0,,,0.0
2020-09-22,25,0,1,1,4019,0,1887,2132,473398010,0,222269730,251128280,117790.0,117790.0,,117790.0,2132.0
2020-09-21,27,0,1,0,9077,0,9077,0,1070359840,0,1070359840,0,117920.0,117920.0,,,0.0
2020-09-20,35,0,6,0,72921,0,72921,0,8678328210,0,8678328210,0,119010.0,119010.0,,,0.0
2020-09-19,82,0,13,0,32237,0,32237,0,3852321500,0,3852321500,0,119500.0,119500.0,,,0.0
2020-09-16,124,0,1,0,81333,0,81333,0,9825839730,0,9825839730,0,120810.0,120810.0,,,0.0
2020-09-15,198,0,45,0,145696,0,145696,0,17949747200,0,17949747200,0,123200.0,123200.0,,,0.0
2020-09-14,77,0,2,0,32489,0,32489,0,4019863970,0,4019863970,0,123730.0,123730.0,,,0.0
2020-09-13,35,0,1,0,6714,0,6714,0,831528900,0,831528900,0,123850.0,123850.0,,,0.0
2020-09-12,201,0,203,2,221300,0,191935,29365,28370525510,0,24646749860,3723775650,128199.39227293267,128411.96165368485,,126810.0,29365.0
2020-09-09,93,0,1,0,45342,0,45342,0,5788359720,0,5788359720,0,127660.0,127660.0,,,0.0
2020-09-08,17,0,1,0,1942,0,1942,0,247973980,0,247973980,0,127690.0,127690.0,,,0.0
2020-09-07,32,1,1,0,6251,7000,13251,0,799752940,895580000,1695332940,0,127940.0,127940.0,127940.0,,-7000.0
2020-09-06,319,0,567,0,744901,0,744901,0,100315884370,0,100315884370,0,134670.08954210024,134670.08954210024,,,0.0
2020-09-05,158,0,250,0,375309,0,375309,0,52528880730,0,52528880730,0,139961.68685003556,139961.68685003556,,,0.0
2020-09-02,47,0,10,0,27228,0,27228,0,3806202120,0,3806202120,0,139790.0,139790.0,,,0.0
2020-09-01,97,0,54,0,58311,0,58311,0,8225349660,0,8225349660,0,141060.0,141060.0,,,0.0
