date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,3,0,1,0,5600,0,5600,0,49722400,0,49722400,0,8879.0,8879.0,,,0.0
2020-10-14,1,0,1,0,1000,0,1000,0,8696000,0,8696000,0,8696.0,8696.0,,,0.0
2020-10-13,1,0,1,0,2000,0,2000,0,17758000,0,17758000,0,8879.0,8879.0,,,0.0
2020-10-12,1,0,1,0,1000,0,1000,0,8879000,0,8879000,0,8879.0,8879.0,,,0.0
2020-10-11,12,0,1,0,52426,0,52426,0,465857436,0,465857436,0,8886.0,8886.0,,,0.0
2020-10-10,10,0,3,0,38337,0,38337,0,333915270,0,333915270,0,8710.0,8710.0,,,0.0
2020-10-07,7,0,2,0,14328,0,14328,0,127447560,0,127447560,0,8895.0,8895.0,,,0.0
2020-10-05,6,0,10,0,1411206,0,1411206,0,12806694450,0,12806694450,0,9075.0,9075.0,,,0.0
2020-10-04,2,0,1,0,1600,0,1600,0,14520000,0,14520000,0,9075.0,9075.0,,,0.0
2020-10-03,10,0,2,0,22676,0,22676,0,201634992,0,201634992,0,8892.0,8892.0,,,0.0
2020-09-27,1,0,1,0,1000,0,1000,0,8892000,0,8892000,0,8892.0,8892.0,,,0.0
2020-09-26,4,0,2,0,81090,0,81090,0,737108100,0,737108100,0,9090.0,9090.0,,,0.0
2020-09-23,2,0,1,0,1200,0,1200,0,10908000,0,10908000,0,9090.0,9090.0,,,0.0
2020-09-22,2,0,1,0,1600,0,1600,0,14544000,0,14544000,0,9090.0,9090.0,,,0.0
2020-09-21,1,0,1,0,565,0,565,0,5030195,0,5030195,0,8903.0,8903.0,,,0.0
2020-09-20,2,0,1,0,2063,0,2063,0,18752670,0,18752670,0,9090.0,9090.0,,,0.0
2020-09-19,5,0,1,0,3113,0,3113,0,28297170,0,28297170,0,9090.0,9090.0,,,0.0
2020-09-16,11,0,1,0,24722,0,24722,0,224797146,0,224797146,0,9093.0,9093.0,,,0.0
2020-09-15,21,0,1,0,141484,0,141484,0,1264159540,0,1264159540,0,8935.0,8935.0,,,0.0
