date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,15,1,46,0,64695,580000,644695,0,405896430,3638920000,4044816430,0,6274.0,6274.0,6274.0,,-580000.0
2020-10-18,155,1,130,1,1470860,580000,2017306,33554,9528975671,3679050000,12982609751,225415920,6478.506228329004,6435.617477467474,6343.189655172414,6718.0044108005,-546446.0
2020-10-14,341,2,245,1,4657159,362165,4626759,392565,30430256646,2323095945,30170314371,2583038220,6534.081538981169,6520.831184637022,6414.468391479022,6579.899430667533,30400.0
2020-10-13,290,0,98,3,3478612,0,2398650,1079962,21829802806,0,15051961294,6777841512,6275.43480158178,6275.1803281012235,,6276.0,1079962.0
2020-10-12,98,2,106,2,6327360,74865,1352225,5050000,38560825286,454842750,8235918036,30779750000,6094.299247395438,6090.641746750725,6075.505910639151,6095.0,4975135.0
2020-10-11,71,1,146,1,1971805,219455,2161260,30000,11719667256,1293382359,12831369615,181680000,5943.623865443084,5936.985654201716,5893.610804037274,6056.0,-189455.0
2020-10-10,66,2,92,0,965685,520241,1485926,0,5625044923,3077734190,8702779113,0,5824.927303416745,5856.805192856172,5915.977767995986,,-520241.0
2020-10-07,55,2,89,0,421981,1256738,1678719,0,2483671323,7305829936,9789501259,0,5885.742066585936,5831.530624839535,5813.32778669858,,-1256738.0
2020-10-05,9,1,39,0,25672,300000,325672,0,149122960,1742151000,1891273960,0,5808.778435649735,5807.296789407747,5807.17,,-300000.0
2020-10-04,30,1,82,0,341997,500000,841997,0,1999126926,2965878361,4965005287,0,5845.4516443126695,5896.701873047054,5931.756722,,-500000.0
2020-10-03,47,1,105,0,756967,331338,1088305,0,4459813745,1955914120,6415727865,0,5891.688468585817,5895.156105135969,5903.078186021525,,-331338.0
2020-09-30,26,1,41,0,52643,500000,552643,0,325639377,3055500000,3381139377,0,6185.8058431320405,6118.125764734195,6111.0,,-500000.0
2020-09-16,77,1,128,1,451953,757395,1009348,200000,2724115802,4687074092,6166389894,1244800000,6027.4316178894705,6109.2803413688835,6188.414357105606,6224.0,-557395.0
2020-09-15,59,1,122,1,715355,451130,966485,200000,4390657346,2774517503,5931574849,1233600000,6137.732099447127,6137.2652953744755,6150.15073925476,6168.0,-251130.0
2020-09-14,79,1,179,1,616134,2203295,2619429,200000,3618509658,13305397008,15706506666,1217400000,5872.926438080028,5996.1566684953095,6038.863160856808,6087.0,-2003295.0
2020-09-13,39,1,130,2,436306,2456769,2265295,627780,2537653299,14544247140,13335220439,3746680000,5816.2237030891165,5886.747835933068,5920.071093375079,5968.141705693077,-1828989.0
2020-09-12,62,2,135,1,322826,1950491,1873317,400000,1873089300,11530542582,11068231882,2335400000,5802.1637042865195,5908.360347981682,5911.610246855792,5838.5,-1550491.0
2020-09-09,13,0,7,0,22547,0,22547,0,133027300,0,133027300,0,5900.0,5900.0,,,0.0
2020-09-08,5,0,2,0,8591,0,8591,0,50686900,0,50686900,0,5900.0,5900.0,,,0.0
2020-09-07,11,0,4,0,13487,0,13487,0,79586787,0,79586787,0,5901.0,5901.0,,,0.0
2020-09-06,43,3,106,1,424628,1047555,1471408,775,2537043731,6323620395,8856051326,4612800,5974.744319733979,6018.759804214738,6036.552157165972,5952.0,-1046780.0
2020-09-05,21,1,1,0,55649,230000,285649,0,332113232,1372640000,1704753232,0,5968.0,5968.0,5968.0,,-230000.0
2020-09-02,20,1,74,0,351121,1000000,1351121,0,2123228687,6047000000,8170228687,0,6047.0,6047.0,6047.0,,-1000000.0
2020-09-01,42,3,126,0,518980,624717,1143697,0,3174037661,3821207920,6995245581,0,6115.91518170257,6116.345134244472,6116.702314808145,,-624717.0
2020-08-31,62,4,127,1,880245,1168736,2035468,13513,5502289271,7284198579,12698045265,88442585,6250.861147748638,6238.391006392633,6232.544029618322,6545.0,-1155223.0
2020-08-26,109,5,147,0,696891,1032518,1729409,0,4524203931,6710092356,11234296287,0,6491.982147853825,6496.032047364158,6498.76549948766,,-1032518.0
2020-08-25,104,2,174,1,1445288,1405731,2651019,200000,9104445101,8864526167,16708971268,1260000000,6299.398528874522,6302.848552952657,6305.990382939553,6300.0,-1205731.0
2020-08-24,103,1,65,0,287267,1000000,1287267,0,1827620235,6358000000,8185620235,0,6362.096011724284,6358.914067555526,6358.0,,-1000000.0
2020-08-23,38,0,8,0,182131,0,182131,0,1160174470,0,1160174470,0,6370.0,6370.0,,,0.0
2020-08-22,69,3,113,1,1054014,626255,1480270,199999,6892307589,4040053860,9642367899,1289993550,6539.104403736573,6513.925094070676,6451.132302336908,6450.0,-426256.0
2020-08-19,80,1,102,0,658151,349902,1008053,0,4294674699,2276579412,6571254111,0,6525.363782779332,6518.758548409657,6506.334379340501,,-349902.0
2020-08-18,213,3,194,0,3520258,1239846,4760104,0,23616402282,8307701463,31924103745,0,6708.713475546395,6706.597953532108,6700.5914145789075,,-1239846.0
2020-08-17,90,2,161,1,1595944,254737,1849681,1000,10847899148,1729986377,12571094525,6791000,6797.16778784218,6796.358142295888,6791.264625869034,6791.0,-253737.0
2020-08-16,219,4,210,0,1845677,927984,2773661,0,12949486180,6453010744,19402496924,0,7016.117218776633,6995.266156895165,6953.795263711443,,-927984.0
