date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-09-09,335,0,37,0,1675450,0,1675450,0,43757727650,0,43757727650,0,26117.0,26117.0,,,0.0
2020-09-08,60,0,5,0,119866,0,119866,0,3203658582,0,3203658582,0,26727.0,26727.0,,,0.0
2020-09-07,77,0,6,0,174650,0,174650,0,4683239750,0,4683239750,0,26815.0,26815.0,,,0.0
2020-09-06,278,0,8,2,476695,0,166937,309758,12898413310,0,4516981346,8381431964,27058.0,27058.0,,27058.0,309758.0
2020-09-05,850,0,620,1,9271643,0,8971643,300000,258618872347,0,250254572347,8364300000,27893.5321762281,27893.951235799286,,27881.0,300000.0
2020-08-26,593,0,494,2,4552934,0,4152934,400000,130866467654,0,119314467654,11552000000,28743.326315294707,28730.162254926276,,28880.0,400000.0
2020-08-25,3711,5,3325,4,27063355,9067842,32927952,3203245,758927881628,254170725858,923555096756,89543510730,28042.638528297768,28047.753979840592,28029.902358025207,27954.0,-5864597.0
2020-08-24,131,0,5,0,203296,0,203296,0,5824836992,0,5824836992,0,28652.0,28652.0,,,0.0
2020-08-23,255,0,23,0,613612,0,613612,0,17786771044,0,17786771044,0,28987.0,28987.0,,,0.0
2020-08-22,305,1,18,0,708704,2000,710704,0,20821723520,58760000,20880483520,0,29380.0,29380.0,29380.0,,-2000.0
2020-08-19,314,0,27,0,1370837,0,1370837,0,41218326916,0,41218326916,0,30068.0,30068.0,,,0.0
2020-08-18,635,0,23,1,1216437,0,1116437,100000,38221666977,0,35079566977,3142100000,31421.0,31421.0,,31421.0,100000.0
2020-08-17,350,1,14,0,586673,240,586913,0,18639774556,7625280,18647399836,0,31772.0,31772.0,31772.0,,-240.0
2020-08-16,280,0,11,1,554378,0,354378,200000,17799414446,0,11378014446,6421400000,32107.0,32107.0,,32107.0,200000.0
2020-08-15,476,1,16,0,975289,200,975489,0,31637399871,6487800,31643887671,0,32439.0,32439.0,32439.0,,-200.0
2020-08-12,526,0,20,0,746659,0,746659,0,25084009105,0,25084009105,0,33595.0,33595.0,,,0.0
2020-08-11,404,1,9,0,584075,2237,586312,0,19841027750,75990890,19917018640,0,33970.0,33970.0,33970.0,,-2237.0
2020-08-10,1104,1,11,1,1559634,2000,1516634,45000,54585630366,69998000,53080673366,1574955000,34999.0,34999.0,34999.0,34999.0,43000.0
