date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,8,0,1,0,5679,0,5679,0,119679246,0,119679246,0,21074.0,21074.0,,,0.0
2020-10-18,62,0,39,0,616629,0,616629,0,13292037915,0,13292037915,0,21555.972740497124,21555.972740497124,,,0.0
2020-10-14,309,4,206,2,9052233,1700000,10146733,605500,199544362131,37936043331,224183399962,13297005500,22043.661727553852,22094.145964223164,22315.319606470588,21960.372419488027,-1094500.0
2020-10-13,235,4,282,4,3504559,2330000,4775209,1059350,81088250383,53777000000,110405928414,24459321969,23137.93272791241,23120.648418529952,23080.257510729614,23088.99038938972,-1270650.0
2020-10-12,38,0,2,1,235744,0,204131,31613,5488356064,0,4752373811,735982253,23281.0,23281.0,,23281.0,31613.0
2020-10-11,398,10,524,9,6260094,3709400,8035168,1934326,150345024577,88932865000,192901896007,46375993570,24016.416459081924,24007.201343767796,23975.0,23975.27281854248,-1775074.0
2020-10-10,48,0,7,0,177843,0,177843,0,4522419306,0,4522419306,0,25429.2792294327,25429.2792294327,,,0.0
2020-09-16,334,2,346,6,2784072,1047688,2902663,929097,67972459071,26046218190,70969416471,23049260790,24414.763364956078,24449.760950892334,24860.662897732913,24808.239387276033,-118591.0
2020-09-15,313,4,214,3,3512195,769939,3341309,940825,84876843180,18606047743,80742209848,22740681075,24166.32424452515,24164.843732800528,24165.612786207737,24171.0,170886.0
2020-09-14,268,7,352,1,3297119,2302401,5594520,5000,77103054087,54301805855,131284659942,120200000,23384.97763865969,23466.653071577188,23584.860263264305,24040.0,-2297401.0
2020-09-13,425,4,326,4,10469009,555133,8427588,2596554,244669516330,12903882712,196075583853,61497815189,23370.838283738223,23265.919484080143,23244.668776671537,23684.396777036025,2041421.0
2020-09-12,107,0,140,0,2745361,0,2745361,0,63544150217,0,63544150217,0,23146.00892815189,23146.00892815189,,,0.0
2020-09-09,378,7,702,7,8905456,4014910,10729116,2191250,199726483389,90633155799,240652571257,49707067931,22427.42913883354,22429.860135448253,22574.143828628785,22684.34360798631,-1823660.0
2020-09-08,37,2,129,0,362250,2150000,2512250,0,7861859110,46664033399,54525892509,0,21702.85468599034,21704.007367499253,21704.201580930232,,-2150000.0
2020-09-07,383,7,708,3,8582446,7950000,15475958,1056488,189734643091,180129484587,346865384743,22998742935,22107.292383896154,22413.176925331536,22657.796803396228,21769.05268682654,-6893512.0
2020-09-06,256,11,490,4,7131052,2624946,9409868,346130,157663684761,57497069615,207379651036,7781103340,22109.45660766462,22038.529237179522,21904.09616616875,22480.291624534133,-2278816.0
2020-09-05,110,6,276,2,2962869,5650000,7511192,1101677,65093329702,124045969839,165042096920,24097202621,21969.695488393176,21972.82361042029,21955.038909557523,21873.201147886357,-4548323.0
2020-09-02,16,0,1,0,39517,0,39517,0,883837222,0,883837222,0,22366.0,22366.0,,,0.0
2020-09-01,24,3,125,0,44178,1400400,1444578,0,1018612146,32289022800,33307634946,0,23057.0,23057.0,23057.0,,-1400400.0
2020-08-31,251,4,154,3,3488657,4770000,5058042,3200615,84280614283,112030315000,121230445863,75080483420,24158.469658381433,23967.86065892691,23486.439203354297,23458.142706948507,-1569385.0
2020-08-26,101,4,109,6,3897099,3344880,1041979,6200000,94243545117,80889233040,25198178157,149934600000,24183.0,24183.0,24183.0,24183.0,2855120.0
2020-08-25,83,3,345,4,5672974,3352715,4235689,4790000,133041319867,78873453226,99212228093,112702545000,23451.776769468714,23422.92554835825,23525.248410914737,23528.71503131524,1437285.0
2020-08-24,25,0,7,1,768685,0,568685,200000,17531398795,0,12969998795,4561400000,22807.0,22807.0,,22807.0,200000.0
2020-08-23,55,1,98,0,135572,1000000,1135572,0,3188209888,23510800000,26699009888,0,23516.728291977695,23511.507758204676,23510.8,,-1000000.0
2020-08-22,193,5,423,1,3373062,2726762,5899824,200000,81397166708,66441600148,143058566856,4780200000,24131.53588875627,24247.938049677414,24366.48308433226,23901.0,-2526762.0
2020-08-19,53,0,3,0,69126,0,69126,0,1656811968,0,1656811968,0,23968.0,23968.0,,,0.0
2020-08-18,606,7,631,11,10563921,1631000,9521234,2673687,262292429331,39037703238,236992142336,64337990233,24829.07902577083,24890.906193041785,23934.827245861434,24063.396438326552,1042687.0
2020-08-17,93,0,2,0,243017,0,243017,0,5964852265,0,5964852265,0,24545.0,24545.0,,,0.0
