date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,1,0,2,0,1974,0,1974,0,113465520,0,113465520,0,57480.0,57480.0,,,0.0
2020-10-13,2,0,1,0,420,0,420,0,23645160,0,23645160,0,56298.0,56298.0,,,0.0
2020-10-12,1,0,1,0,200,0,200,0,11497000,0,11497000,0,57485.0,57485.0,,,0.0
2020-10-11,3,0,1,0,600,0,600,0,34492800,0,34492800,0,57488.0,57488.0,,,0.0
2020-10-10,4,0,1,0,1688,0,1688,0,97053248,0,97053248,0,57496.0,57496.0,,,0.0
2020-10-07,6,0,2,0,2267,0,2267,0,130370636,0,130370636,0,57508.0,57508.0,,,0.0
2020-09-26,3,0,1,0,423,0,423,0,23885964,0,23885964,0,56468.0,56468.0,,,0.0
2020-09-21,1,0,1,0,82,0,82,0,4727874,0,4727874,0,57657.0,57657.0,,,0.0
2020-09-20,5,0,2,0,507,0,507,0,29233620,0,29233620,0,57660.0,57660.0,,,0.0
2020-09-15,6,0,1,0,2772,0,2772,0,159875100,0,159875100,0,57675.0,57675.0,,,0.0
2020-09-14,3,1,1,0,2293,1,2294,0,132273998,57686,132331684,0,57686.0,57686.0,57686.0,,-1.0
2020-09-12,2,0,1,0,200,0,200,0,11299800,0,11299800,0,56499.0,56499.0,,,0.0
2020-09-09,1,0,1,0,344,0,344,0,19845360,0,19845360,0,57690.0,57690.0,,,0.0
2020-09-07,1,0,1,0,165,0,165,0,9519015,0,9519015,0,57691.0,57691.0,,,0.0
2020-09-06,5,0,2,0,8638,0,8638,0,488694850,0,488694850,0,56575.0,56575.0,,,0.0
2020-09-05,5,0,1,0,725,0,725,0,41883250,0,41883250,0,57770.0,57770.0,,,0.0
2020-09-02,1,0,1,0,90,0,90,0,5199300,0,5199300,0,57770.0,57770.0,,,0.0
2020-08-31,5,0,1,0,479,0,479,0,27102778,0,27102778,0,56582.0,56582.0,,,0.0
2020-08-26,13,0,1,0,8296,0,8296,0,479641536,0,479641536,0,57816.0,57816.0,,,0.0
2020-08-25,8,0,1,0,2602,0,2602,0,150473660,0,150473660,0,57830.0,57830.0,,,0.0
2020-08-24,8,0,3,0,1500,0,1500,0,86757000,0,86757000,0,57838.0,57838.0,,,0.0
2020-08-23,4,1,2,0,770,11500,12270,0,43697500,652625000,696322500,0,56750.0,56750.0,56750.0,,-11500.0
2020-08-22,11,0,1,0,7935,0,7935,0,460118910,0,460118910,0,57986.0,57986.0,,,0.0
2020-08-19,8,0,2,0,983,0,983,0,57005153,0,57005153,0,57991.0,57991.0,,,0.0
2020-08-18,26,0,2,0,22423,0,22423,0,1302955684,0,1302955684,0,58108.0,58108.0,,,0.0
2020-08-17,17,0,2,0,8487,0,8487,0,483606234,0,483606234,0,56982.0,56982.0,,,0.0
2020-08-16,7,0,1,0,3069,0,3069,0,178612731,0,178612731,0,58199.0,58199.0,,,0.0
2020-08-15,2,0,2,0,1400,0,1400,0,81488400,0,81488400,0,58206.0,58206.0,,,0.0
2020-08-12,17,0,3,0,5029,0,5029,0,292853757,0,292853757,0,58233.0,58233.0,,,0.0
2020-08-11,22,0,2,0,9847,0,9847,0,562440946,0,562440946,0,57118.0,57118.0,,,0.0
2020-08-10,27,1,3,0,14974,46100,61074,0,878210126,2703718900,3581929026,0,58649.0,58649.0,58649.0,,-46100.0
2020-08-09,137,0,2,0,111497,0,111497,0,6606643238,0,6606643238,0,59254.0,59254.0,,,0.0
2020-08-05,270,0,166,0,379690,0,379690,0,23193567448,0,23193567448,0,61085.53674840001,61085.53674840001,,,0.0
2020-08-04,33,0,65,0,91574,0,91574,0,5678320592,0,5678320592,0,62008.0,62008.0,,,0.0
2020-08-03,74,0,59,0,85564,0,85564,0,5267063148,0,5267063148,0,61557.0,61557.0,,,0.0
2020-08-02,126,0,66,0,281530,0,281530,0,16984937173,0,16984937173,0,60330.82503818421,60330.82503818421,,,0.0
2020-08-01,5,0,74,0,86646,0,86646,0,5090192562,0,5090192562,0,58747.0,58747.0,,,0.0
2020-07-29,67,0,85,0,102822,0,102822,0,5993185914,0,5993185914,0,58287.0,58287.0,,,0.0
2020-07-28,135,0,75,0,159511,0,159511,0,9185121913,0,9185121913,0,57583.0,57583.0,,,0.0
2020-07-27,209,0,92,0,392274,0,392274,0,21930342494,0,21930342494,0,55905.6743347762,55905.6743347762,,,0.0
2020-07-26,207,1,136,0,487344,41400,528744,0,25953796250,2204910638,28158706888,0,53255.59820168095,53255.84193484938,53258.71106280193,,-41400.0
2020-07-25,55,0,69,0,157376,0,157376,0,8283957888,0,8283957888,0,52638.0,52638.0,,,0.0
2020-07-22,36,0,70,0,159526,0,159526,0,8305880716,0,8305880716,0,52066.0,52066.0,,,0.0
2020-07-21,124,0,134,0,425953,0,425953,0,21554899215,0,21554899215,0,50603.938028374025,50603.938028374025,,,0.0
2020-07-20,2,0,62,0,82653,0,82653,0,4080000039,0,4080000039,0,49363.0,49363.0,,,0.0
2020-07-19,77,0,81,0,306701,0,306701,0,14824184009,0,14824184009,0,48334.31912188092,48334.31912188092,,,0.0
2020-07-18,119,0,184,0,445226,0,445226,0,20906020786,0,20906020786,0,46955.97468701289,46955.97468701289,,,0.0
2020-07-15,49,0,92,0,178738,0,178738,0,8451090116,0,8451090116,0,47282.0,47282.0,,,0.0
2020-07-14,12,0,77,0,139714,0,139714,0,6422093724,0,6422093724,0,45966.0,45966.0,,,0.0
2020-07-13,16,0,100,0,171721,0,171721,0,7806608381,0,7806608381,0,45461.0,45461.0,,,0.0
2020-07-12,27,1,103,0,96798,67200,163998,0,4354264434,3022857600,7377122034,0,44983.0,44983.0,44983.0,,-67200.0
2020-07-11,15,0,13,0,48207,0,48207,0,2318756700,0,2318756700,0,48100.0,48100.0,,,0.0
2020-07-08,185,0,230,0,555960,0,555960,0,23994528197,0,23994528197,0,43158.73119828765,43158.73119828765,,,0.0
2020-07-07,97,0,116,0,345515,0,345515,0,14445636635,0,14445636635,0,41809.0,41809.0,,,0.0
2020-07-06,20,0,75,0,290838,0,290838,0,11956931856,0,11956931856,0,41112.0,41112.0,,,0.0
2020-07-05,5,0,73,0,50474,0,50474,0,2068979734,0,2068979734,0,40991.0,40991.0,,,0.0
2020-07-04,7,0,154,0,243813,0,243813,0,9952446660,0,9952446660,0,40820.0,40820.0,,,0.0
2020-07-01,42,0,180,0,214519,0,214519,0,8487229716,0,8487229716,0,39564.0,39564.0,,,0.0
2020-06-30,75,0,180,0,425380,0,425380,0,16433962019,0,16433962019,0,38633.6029408999,38633.6029408999,,,0.0
2020-06-29,93,1,252,0,448465,52000,500465,0,16872999072,1920415952,18793415024,0,37623.8927720112,37551.90677469953,36931.076,,-52000.0
2020-06-28,113,1,164,0,216279,136908,353187,0,7959855653,5078560530,13038416183,0,36803.64553655232,36916.4668659945,37094.695196774475,,-136908.0
2020-06-27,128,0,159,0,281932,0,281932,0,10537697023,0,10537697023,0,37376.732768894624,37376.732768894624,,,0.0
2020-06-24,133,1,113,0,496740,29800,526540,0,18691031906,1110185053,19801216959,0,37627.394423642145,37606.29194173282,37254.53197986577,,-29800.0
2020-06-23,192,1,314,0,498043,89200,587243,0,18911557157,3401681510,22313238667,0,37971.7356874808,37996.60220215481,38135.442937219734,,-89200.0
2020-06-22,167,0,240,0,389274,0,389274,0,14348293678,0,14348293678,0,36859.1112635316,36859.1112635316,,,0.0
2020-06-21,165,0,290,0,480162,0,480162,0,18141505313,0,18141505313,0,37782.05129310524,37782.05129310524,,,0.0
2020-06-20,39,0,157,1,373107,0,373067,40,14273954499,0,14272424219,1530280,38257.0,38257.0,,38257.0,40.0
2020-06-16,15,0,11,0,15015,0,15015,0,588527940,0,588527940,0,39196.0,39196.0,,,0.0
2020-06-14,194,0,188,0,337038,0,337038,0,12398627528,0,12398627528,0,36787.03151573413,36787.03151573413,,,0.0
2020-06-13,142,0,130,0,249328,0,249328,0,9518595056,0,9518595056,0,38177.0,38177.0,,,0.0
2020-06-10,78,0,115,0,245400,0,245400,0,9352684800,0,9352684800,0,38112.0,38112.0,,,0.0
2020-06-09,23,0,76,0,132636,0,132636,0,4925039952,0,4925039952,0,37132.0,37132.0,,,0.0
2020-06-08,84,0,143,0,354821,0,354821,0,12936013810,0,12936013810,0,36457.858497665016,36457.858497665016,,,0.0
2020-06-07,157,0,167,0,377668,0,377668,0,13500885393,0,13500885393,0,35748.02576072106,35748.02576072106,,,0.0
2020-06-06,148,0,146,0,269436,0,269436,0,9453126088,0,9453126088,0,35084.86649148592,35084.86649148592,,,0.0
2020-06-02,244,0,159,0,425754,0,425754,0,14608941636,0,14608941636,0,34313.10483518652,34313.10483518652,,,0.0
2020-06-01,138,0,97,0,276123,0,276123,0,9645076960,0,9645076960,0,34930.36422174176,34930.36422174176,,,0.0
2020-05-31,105,0,123,0,424391,0,424391,0,14912516272,0,14912516272,0,35138.62516405861,35138.62516405861,,,0.0
2020-05-30,201,0,106,0,363361,0,363361,0,12964864522,0,12964864522,0,35680.39641568578,35680.39641568578,,,0.0
2020-05-27,101,0,181,1,296979,0,296861,118,10752918570,0,10748608738,4309832,36207.67316880992,36207.54743128939,,36524.0,118.0
2020-05-26,91,0,214,0,297107,0,297107,0,10395597873,0,10395597873,0,34989.4074289734,34989.4074289734,,,0.0
2020-05-23,115,0,131,0,212817,0,212817,0,7548108323,0,7548108323,0,35467.600440754264,35467.600440754264,,,0.0
2020-05-20,173,0,162,0,251929,0,251929,0,9050788102,0,9050788102,0,35925.947794815205,35925.947794815205,,,0.0
2020-05-19,137,1,161,0,246802,158,246960,0,9067713811,5956600,9073670411,0,36740.84412200873,36741.45777048915,37700.0,,-158.0
2020-05-18,153,0,137,0,458073,0,458073,0,16895558861,0,16895558861,0,36883.98761987718,36883.98761987718,,,0.0
2020-05-17,154,0,127,1,247935,0,245935,2000,8786020458,0,8715296874,70723584,35436.78971504628,35437.39961371907,,35361.792,2000.0
2020-05-16,176,0,160,0,250891,0,250891,0,9034782316,0,9034782316,0,36010.78681977432,36010.78681977432,,,0.0
2020-05-13,266,0,259,0,467539,0,467539,0,16998906025,0,16998906025,0,36358.26321440564,36358.26321440564,,,0.0
2020-05-12,106,0,146,0,232739,0,232739,0,8490993876,0,8490993876,0,36482.90091475859,36482.90091475859,,,0.0
2020-05-11,131,0,151,0,285222,0,285222,0,10580090433,0,10580090433,0,37094.22987357216,37094.22987357216,,,0.0
2020-05-10,325,0,370,0,572642,0,572642,0,21878895048,0,21878895048,0,38206.933909842446,38206.933909842446,,,0.0
2020-05-09,420,0,361,0,767874,0,767874,0,30081043280,0,30081043280,0,39174.452162724614,39174.452162724614,,,0.0
2020-05-06,234,0,254,0,518984,0,518984,0,20263980342,0,20263980342,0,39045.481829883,39045.481829883,,,0.0
2020-05-05,363,0,152,0,630552,0,630552,0,25275528769,0,25275528769,0,40084.76504554739,40084.76504554739,,,0.0
2020-05-04,535,0,517,0,1380957,0,1380957,0,55376609261,0,55376609261,0,40100.1691298136,40100.1691298136,,,0.0
2020-05-03,390,0,214,0,575758,0,575758,0,22475865046,0,22475865046,0,39037.0,39037.0,,,0.0
2020-05-02,125,0,184,0,254603,0,254603,0,9799160264,0,9799160264,0,38488.0,38488.0,,,0.0
2020-04-29,562,0,605,0,1013390,0,1013390,0,37866951897,0,37866951897,0,37366.612949604794,37366.612949604794,,,0.0
2020-04-28,424,0,250,0,884469,0,884469,0,32821740830,0,32821740830,0,37108.978189173395,37108.978189173395,,,0.0
2020-04-27,435,0,262,0,625993,0,625993,0,23698004087,0,23698004087,0,37856.659877985854,37856.659877985854,,,0.0
2020-04-26,457,0,305,0,923845,0,923845,0,34460120052,0,34460120052,0,37300.759382796896,37300.759382796896,,,0.0
2020-04-25,41,0,116,0,215289,0,215289,0,8060635449,0,8060635449,0,37441.0,37441.0,,,0.0
2020-04-22,58,0,108,0,205477,0,205477,0,7603113098,0,7603113098,0,37002.25863721974,37002.25863721974,,,0.0
2020-04-21,398,0,315,0,577634,0,577634,0,20761676400,0,20761676400,0,35942.614873778206,35942.614873778206,,,0.0
2020-04-20,368,0,308,0,611471,0,611471,0,22440817124,0,22440817124,0,36699.72431071956,36699.72431071956,,,0.0
2020-04-19,481,0,372,0,689557,0,689557,0,25908548442,0,25908548442,0,37572.74372096868,37572.74372096868,,,0.0
2020-04-18,602,0,290,0,705656,0,705656,0,26933274050,0,26933274050,0,38167.71068339248,38167.71068339248,,,0.0
2020-04-15,300,0,549,2,786330,0,785270,1060,29461194257,0,29421510357,39683900,37466.705145422406,37466.74437709323,,37437.64150943396,1060.0
