date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,35,0,2,0,123971,0,123971,0,660517488,0,660517488,0,5328.0,5328.0,,,0.0
2020-10-18,69,0,52,0,853317,0,853317,0,3856992840,0,3856992840,0,4520.0,4520.0,,,0.0
2020-08-23,20,0,6,0,99726,0,99726,0,642035988,0,642035988,0,6438.0,6438.0,,,0.0
2020-08-22,130,0,94,0,938834,0,938834,0,6108903038,0,6108903038,0,6506.9043494377065,6506.9043494377065,,,0.0
2020-08-19,123,0,104,1,1016669,0,1009085,7584,6593098465,0,6543916225,49182240,6485.0,6485.0,,6485.0,7584.0
2020-08-18,663,0,561,0,7892871,0,7892871,0,53875419098,0,53875419098,0,6825.832969777411,6825.832969777411,,,0.0
2020-08-17,112,2,1,1,448101,4237,5088,447250,3040813386,28752282,34527168,3035038500,6786.0,6786.0,6786.0,6786.0,443013.0
2020-08-16,132,0,146,0,908592,0,908592,0,6228398160,0,6228398160,0,6855.0,6855.0,,,0.0
2020-08-15,227,1,470,0,2842915,746000,3588915,0,20098102272,5265268000,25363370272,0,7069.5403387016495,7067.1415377628055,7058.0,,-746000.0
2020-08-12,225,0,213,0,2789739,0,2789739,0,20725211921,0,20725211921,0,7429.086348579563,7429.086348579563,,,0.0
2020-08-11,143,0,13,0,354241,0,354241,0,2640866655,0,2640866655,0,7455.0,7455.0,,,0.0
2020-08-10,339,0,145,0,1482388,0,1482388,0,11263096550,0,11263096550,0,7597.94099115751,7597.94099115751,,,0.0
2020-08-09,848,0,649,1,4848053,0,4841993,6060,37840474359,0,37793266959,47207400,7805.293044238584,7805.312184259663,,7790.0,6060.0
2020-08-05,466,1,673,1,4360009,1307,4361086,230,34054547575,9933200,34062737375,1743400,7810.65992639006,7810.608957264314,7600.0,7580.0,-1077.0
2020-08-04,569,3,715,0,4863214,139200,5002414,0,37817566728,1080932740,38898499468,0,7776.249765689932,7775.945667031957,7765.321408045977,,-139200.0
2020-08-03,487,0,444,0,2962163,0,2962163,0,23663461762,0,23663461762,0,7988.5751601110405,7988.5751601110405,,,0.0
2020-08-02,757,3,722,0,4809104,1204250,6013354,0,39272425028,9866581220,49139006248,0,8166.266528650659,8171.647012299625,8193.133668258251,,-1204250.0
2020-08-01,753,1,574,2,4650022,812610,4562232,900400,38179393808,6678451554,37426805362,7431040000,8210.58347852978,8203.617300040858,8218.520020674125,8253.043091959129,87790.0
2020-07-29,494,3,710,1,4229103,2489275,6638378,80000,33831243397,20061524689,53259085376,633682710,7999.62625573319,8022.906405148969,8059.183773990419,7921.033875,-2409275.0
2020-07-28,641,1,785,4,5013188,845916,5094033,765071,40848047014,6989363279,41514633407,6322776886,8148.117926955862,8149.659298830612,8262.479110218981,8264.300811297253,-80845.0
2020-07-27,608,3,1152,1,5016966,3714024,8620990,110000,40046632550,30031006041,69206878591,870760000,7982.241169264452,8027.718230852837,8085.840597960595,7916.0,-3604024.0
2020-07-26,824,2,521,1,4126188,104000,4130188,100000,33664866089,851878910,33708644999,808100000,8158.829914923896,8161.527997999123,8191.143365384615,8081.0,-4000.0
2020-07-25,1263,3,1212,1,7626982,2997145,10137952,486175,63346801066,25156399274,84416037530,4087162810,8305.618272863368,8326.734781344398,8393.454195242472,8406.772890420116,-2510970.0
2020-07-22,532,1,244,0,2328137,210000,2538137,0,19736246563,1773450000,21509696563,0,8477.270265023064,8474.600292655598,8445.0,,-210000.0
2020-07-21,1306,1,788,1,7657265,164752,7772017,50000,66649238916,1449356630,67656595546,442000000,8704.05280684422,8705.152799588575,8797.202037001069,8840.0,-114752.0
2020-07-20,1805,1,664,1,12482685,240000,12720685,2000,108383765964,2105280000,110471505964,17540000,8682.7285927667,8684.399147058512,8772.0,8770.0,-238000.0
2020-07-19,1080,0,430,1,9472351,0,9469351,3000,79144235456,0,79119164456,25071000,8355.289563910797,8355.289022024846,,8357.0,3000.0
2020-07-18,126,0,404,0,2653221,0,2653221,0,21528235194,0,21528235194,0,8114.0,8114.0,,,0.0
2020-07-15,649,0,1556,2,16395539,0,16245539,150000,129164629240,0,128015179240,1149450000,7878.034948408833,7880.02043145506,,7663.0,150000.0
2020-07-14,719,1,342,0,3773681,110000,3883681,0,29808651503,868890000,30677541503,0,7899.091497930005,7899.088906375163,7899.0,,-110000.0
2020-07-13,927,1,709,0,7575661,30000,7605661,0,61690653305,243990000,61934643305,0,8143.270046666555,8143.229537182896,8133.0,,-30000.0
2020-07-12,1365,2,1008,2,11631912,90700,11721412,1200,97538971679,742967600,98272158079,9781200,8385.463342484021,8383.986338761917,8191.48401323043,8151.0,-89500.0
2020-07-11,915,1,38,0,5088890,60000,5148890,0,42212342550,497700000,42710042550,0,8295.0,8295.0,8295.0,,-60000.0
2020-07-08,1337,1,504,2,12991047,860000,13591047,260000,111362120883,7083820000,116172240883,2273700000,8572.220613396288,8547.703564191926,8237.0,8745.0,-600000.0
2020-07-07,35,0,168,1,1191320,0,1027028,164292,10379971160,0,8948494964,1431476196,8713.0,8713.0,,8713.0,164292.0
2020-07-06,102,0,189,1,3285917,0,885917,2400000,27269825183,0,7352225183,19917600000,8299.0,8299.0,,8299.0,2400000.0
2020-07-05,8,0,170,0,956009,0,956009,0,7846921872,0,7846921872,0,8208.0,8208.0,,,0.0
2020-07-04,42,0,262,0,1991636,0,1991636,0,15974912356,0,15974912356,0,8021.0,8021.0,,,0.0
2020-07-01,30,0,240,0,1227017,0,1227017,0,9821044068,0,9821044068,0,8004.0,8004.0,,,0.0
2020-06-30,5,1,246,0,661201,200000,861201,0,5144143780,1556000000,6700143780,0,7780.0,7780.0,7780.0,,-200000.0
2020-06-29,102,2,320,0,1438049,300000,1738049,0,10986694360,2292000000,13278694360,0,7640.0,7640.0,7640.0,,-300000.0
2020-06-28,298,0,226,1,2698530,0,2485848,212682,20047379370,0,18467364792,1580014578,7429.0,7429.0,,7429.0,212682.0
2020-06-27,21,0,212,0,1315547,0,1315547,0,9737678894,0,9737678894,0,7402.0,7402.0,,,0.0
2020-06-24,318,0,319,0,2955319,0,2955319,0,20879328735,0,20879328735,0,7065.0,7065.0,,,0.0
