date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,767,10,861,3,28660848,3510000,22266184,9904664,385508638930,47097580000,299450785191,133155433739,13450.705957130089,13448.680078768773,13418.11396011396,13443.710330708846,6394664.0
2020-10-18,466,9,612,1,9838849,2770000,12608284,565,138637892531,39453234747,178083041563,8085715,14090.864950869762,14124.288567976419,14243.04503501805,14311.0,-2769435.0
2020-10-14,970,58,1403,10,20807630,8134500,26031038,2911092,306276009996,120277015621,383260329956,43292695661,14719.408697482606,14723.205811308791,14786.03671043088,14871.634308019122,-5223408.0
2020-10-13,871,29,1206,3,14855663,8903295,21816417,1942541,216258820105,128942797112,317108066185,28093551032,14557.332116715357,14535.29542385443,14482.59291779055,14462.269281317615,-6960754.0
2020-10-12,662,3,712,3,7571705,7998938,10252846,5317797,115014999739,121793795960,155844556620,80964239079,15190.105760723642,15200.12654242539,15226.245779127179,15225.146631020327,-2681141.0
2020-10-11,1473,5,1493,8,14399075,13141056,25543306,1996825,226299105867,207597277458,402305703934,31590679391,15716.225234398737,15749.9465391833,15797.609983398594,15820.454667284313,-11144231.0
2020-10-10,1293,4,1716,5,13802771,10695826,23545719,952878,212055858710,165322165434,362753070030,14624954114,15363.281670760169,15406.328005103604,15456.699223977652,15348.19159850474,-9742948.0
2020-10-07,1975,4,1349,9,30158705,3900500,30128040,3931165,478821326437,61590905023,478075381566,62336849894,15876.720384280427,15868.120912146956,15790.515324445583,15857.093226562609,30665.0
2020-10-06,73,1,69,4,3918940,1000000,1618940,3300000,60535866180,15447000000,25007766180,50975100000,15447.0,15447.0,15447.0,15447.0,2300000.0
2020-10-05,911,6,1407,13,25818565,2345800,21877446,6286919,380554771367,33799756476,322132450044,92222077799,14739.578724340412,14724.408417874738,14408.62668428681,14668.882770558997,3941119.0
2020-10-04,945,9,1147,4,11214016,10978182,21213450,978748,161021859741,156019788883,302855797538,14185851086,14358.982521605105,14276.593271627198,14211.805641680927,14493.87491570864,-9999434.0
2020-10-03,886,18,769,7,15244606,3692693,15142721,3794578,218695123722,53043300857,217090910023,54647514556,14345.73800870944,14336.321062971443,14364.394997634517,14401.473511942566,101885.0
2020-09-30,904,4,948,5,19388041,1269220,18264582,2392679,266156660887,17308354674,250524374329,32940641232,13727.877968021627,13716.403382732766,13637.001208616315,13767.263068719205,1123459.0
2020-09-29,737,8,1877,5,18700309,23747659,41499541,948427,246849832341,310217693408,544533430415,12534095334,13200.307670905331,13121.432606085933,13063.085224863638,13215.666924286214,-22799232.0
