date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
2020-10-19,57,0,139,1,963063,0,953063,10000,63500521968,0,62841161968,659360000,65936.0,65936.0,,65936.0,10000.0
2020-10-18,7,0,113,1,519088,0,516619,2469,33229937408,0,33071881904,158055504,64016.0,64016.0,,64016.0,2469.0
2020-10-14,23,1,89,0,348582,230459,579041,0,21665068464,14323487768,35988556232,0,62152.0,62152.0,62152.0,,-230459.0
2020-10-13,76,1,194,0,394360,252754,647114,0,23790403753,15258000718,39048404471,0,60326.614649051626,60342.388622406565,60367.0,,-252754.0
2020-10-12,135,8,341,3,752914,284377,980049,57242,44128832924,16665938658,57419134182,3375637400,58610.721707924145,58588.02384574649,58605.08640994173,58971.33922644212,-227135.0
2020-10-11,266,22,425,6,1242002,567663,1460759,348906,72323039629,32989967801,85030744848,20282262582,58231.01704264566,58209.97498423765,58115.40967264028,58131.02263073722,-218757.0
2020-10-10,60,4,235,0,320671,355467,676138,0,19208664253,21290706899,40499371152,0,59901.469895936956,59898.08463952625,59895.03075953605,,-355467.0
2020-10-07,25,1,0,1,43442,50000,0,93442,2672334630,3075750000,0,5748084630,61515.0,,61515.0,61515.0,43442.0
2020-10-05,11,4,6,1,6325,200000,76325,130000,394155025,12463400000,4756345025,8101210000,62317.0,62317.0,62317.0,62317.0,-70000.0
2020-10-04,21,0,18,0,63077,0,63077,0,3946349428,0,3946349428,0,62564.0,62564.0,,,0.0
2020-10-03,85,0,202,1,882475,0,596936,285539,56917984625,0,38363089327,18554895298,64498.12700076489,64266.670676588445,,64982.0,285539.0
2020-09-30,1,0,1,0,100,0,100,0,6119800,0,6119800,0,61198.0,61198.0,,,0.0
2020-09-29,1,0,1,0,100,0,100,0,6119800,0,6119800,0,61198.0,61198.0,,,0.0
2020-09-28,3,0,1,0,1818,0,1818,0,111270690,0,111270690,0,61205.0,61205.0,,,0.0
2020-09-27,2,0,1,0,249,0,249,0,14926305,0,14926305,0,59945.0,59945.0,,,0.0
2020-09-26,6,0,1,0,15736,0,15736,0,964097512,0,964097512,0,61267.0,61267.0,,,0.0
2020-09-23,11,0,2,0,10437,0,10437,0,639850722,0,639850722,0,61306.0,61306.0,,,0.0
2020-09-22,4,0,3,1,7320,0,6773,547,448972200,0,415421955,33550245,61335.0,61335.0,,61335.0,547.0
2020-09-21,8,0,2,0,3251,0,3251,0,195352590,0,195352590,0,60090.0,60090.0,,,0.0
2020-09-20,9,0,1,1,164728,0,984,163744,10211818176,0,61000128,10150818048,61992.0,61992.0,,61992.0,163744.0
2020-09-19,13,0,1,0,68833,0,68833,0,4285542580,0,4285542580,0,62260.0,62260.0,,,0.0
2020-09-16,84,0,133,1,327155,0,304974,22181,20881164125,0,19481094159,1400069966,63826.51686509453,63877.88519349191,,63120.23650872368,22181.0
